[00:00:09.121 --> 00:00:12.844]  Albert Pike served as a Brigadier General in the Confederate Army.
[00:00:13.044 --> 00:00:15.586]  Following the war, Pike was jailed for treason.
[00:00:15.866 --> 00:00:20.109]  He was quickly pardoned by a fellow Freemason, President Andrew Johnson.
[00:00:20.350 --> 00:00:28.276]  Among eventually becoming a 33 degree Mason and a top leader of the Ku Klux Klan, Pike was also believed to be a Luciferian.
[00:00:28.576 --> 00:00:34.001]  He claimed he was able to summon Lucifer at will as the Grand Master of the Order of the Palladium.
[00:00:34.341 --> 00:00:42.088]  Palladism, or traditional Satanism, an ancient Luciferian cult, was then introduced to the inner circle of the Masonic Lodges.
[00:00:42.608 --> 00:00:48.033]  This influence has flourished into modern-day Freemasonry in the super-rites of the upper degrees.
[00:00:48.493 --> 00:00:58.656]  Industry, entertainment, the CIA, Congress, and our military leaders are inundated with Freemasonic paladism, or a Luciferian New World Order.
[00:00:58.956 --> 00:01:09.939]  What follows are the chilling predictions, or better yet, instructions of Albert Pike's three world wars, funded in great part by the House of Rothschild.
[00:01:10.339 --> 00:01:19.604]  From a letter that he wrote to 33-degree Italian Illuminati head and Mafia founder Giuseppe Mazzini, dated August 15, 1871.
[00:01:20.064 --> 00:01:31.290]  The First World War must be brought about in order to permit the Illuminati to overthrow the power of the Tsars in Russia, and of making that country a fortress of atheistic communism.
[00:01:31.730 --> 00:01:39.400]  The divergences caused by the agentures of the Illuminati between the British and Germanic empires will be used to foment this war.
[00:01:39.801 --> 00:01:48.432]  At the end of the war, communism will be built and used in order to destroy the other governments, in order to weaken the religions.
[00:01:48.852 --> 00:01:55.941]  The Second World War must be fomented by taking advantage of the differences between the fascists and the political Zionists.
[00:01:56.241 --> 00:02:06.234]  This war must be brought about so that Nazism is destroyed and that the political Zionism be strong enough to institute a sovereign state of Israel in Palestine.
[00:02:06.474 --> 00:02:19.622]  During the Second World War, international communism must become strong enough in order to balance Christendom, which would be then restrained and held in check until the time when we would need it for the final social cataclysm.
[00:02:19.982 --> 00:02:31.389]  The Third World War must be fomented by taking advantage of the differences caused by the Agentur of the Illuminati between the political Zionists and the leaders of the Islamic world.
[00:02:31.549 --> 00:02:34.791]  The war must be conducted in such a way that Islam,
[00:02:35.111 --> 00:02:41.495]  The Muslim-Arabic world and political Zionism, the state of Israel, mutually destroy each other.
[00:02:42.176 --> 00:02:52.743]  Meanwhile, the other nations, once more divided on this issue, will be constrained to fight to the point of complete physical, moral, spiritual and economical exhaustion.
[00:02:52.943 --> 00:03:04.771]  We shall unleash the nihilists and the atheists, and we shall provoke a formidable social cataclysm which in all its horror will show clearly to the nations the effect of absolute atheism.
[00:03:05.131 --> 00:03:05.932]  We're good to go.
[00:03:24.025 --> 00:03:43.638]  Whose deistic spirits will from that moment be without compass or direction, anxious for an ideal, but without knowing where to render its adoration, will receive the true light through the universal manifestation of the pure doctrine of Lucifer, brought finally out in the public view.
[00:03:44.238 --> 00:03:55.905]  This manifestation will result from the General Reactionary Movement, which will follow the destruction of Christianity and Atheism, both conquered and exterminated at the same time.
[00:03:56.605 --> 00:03:58.166]  A bizarre letter indeed.
[00:03:58.767 --> 00:04:06.231]  And a red flag may have gone off when you heard the term Nazism, but the term Nazism was known to those in the Illuminati at that time.
[00:04:06.571 --> 00:04:12.095]  Will we allow this madness to unfurl unabated, or will we put a halt to it before it's too late?
[00:04:12.575 --> 00:04:14.638]  John Bowne, InfoWars.com
