[00:00:08.140 --> 00:00:09.542]  Bilderberg, 2015.
[00:00:09.542 --> 00:00:16.189]  You'll never find a more wretched hive of scum and villainy.
[00:00:16.189 --> 00:00:18.212]  We must be cautious in Austria.
[00:00:25.496 --> 00:00:27.316]  Ladies and gentlemen, we're live.
[00:00:27.316 --> 00:00:30.417]  Coming to you from deep in the heart of Texas, Austin, I'm your host Alex Jones.
[00:00:30.417 --> 00:00:32.038]  It's already the 10th day of June, 2015.
[00:00:32.038 --> 00:00:36.239]  Our reporters are now in place.
[00:00:36.239 --> 00:00:39.319]  Paul Watson is arriving as we speak in Austria.
[00:00:39.319 --> 00:00:44.141]  Of course, Rob Dew and Josh Owens have been in place for the last three, four days.
[00:00:44.141 --> 00:00:45.021]  They got there Sunday.
[00:00:46.650 --> 00:00:49.872]  Evening and we're going to be breaking down huge developments.
[00:00:49.872 --> 00:01:04.120]  The dam has yet again broken on the news blockade on Bilderberg and mainstream media is calling it the most exclusive meeting in the world and admitting that policies being set and now investigations are being called for all over Europe and the UK.
[00:01:04.120 --> 00:01:08.783]  There is a news blackout in the United States.
[00:01:08.783 --> 00:01:11.405]  They are threatening two weeks in prison
[00:01:12.709 --> 00:01:17.011]  And 500 euro fine if you step foot in the giant exclusion zone.
[00:01:17.011 --> 00:01:19.872]  That's now front page in the Austrian newspapers.
[00:01:19.872 --> 00:01:23.534]  Convicted criminal David Petraeus to represent the US at Bilderberg.
[00:01:23.534 --> 00:01:28.356]  We've got Austrians that are really angry on video about the Bilderberg takeover.
[00:01:28.356 --> 00:01:30.617]  And Paul Watson has done an incredible video.
[00:01:31.758 --> 00:01:32.419]  Nine minutes.
[00:01:32.419 --> 00:01:38.323]  It's just amazing the focus he's got boiling down their secret agenda and their public agenda.
[00:01:38.323 --> 00:01:39.044]  That's coming up.
[00:01:39.044 --> 00:01:41.646]  We'll talk to our reporters on the ground and more.
[00:01:41.646 --> 00:01:46.449]  But exposing Bilderberg will shoot some major holes in the New World Order agenda.
[00:01:46.449 --> 00:01:50.132]  That's why we're focusing on it because it's a window into the real world.
[00:01:50.132 --> 00:01:53.815]  And if we get the public to wake up to that, it's a big win for humanity.
[00:01:53.815 --> 00:01:57.418]  Here's John Bowne's report on the background of the Bilderberg Group.
[00:01:57.418 --> 00:01:59.940]  Welcome to Bilderberg Exposed.
[00:01:59.940 --> 00:02:01.361]  Evolution by stealth.
[00:02:03.556 --> 00:02:12.729]  Tonight we will examine the influence of the Council of Foreign Relations on the Bilderberg Group and document the objectives of the Masters of World Domination.
[00:02:13.678 --> 00:02:21.246]  In order to fundamentally understand Bilderberg, we must look at the origin and influence of the CFR.
[00:02:21.246 --> 00:02:35.682]  The Council on Foreign Relations was founded after World War I, when Woodrow Wilson tasked his advisor Edward Howse to create a fellowship of 150 scholars to formulate a new foreign policy strategy.
[00:02:35.982 --> 00:02:44.469]  From the very beginning, the CFR was committed to a one-world government based on a centralized global financial system.
[00:02:44.469 --> 00:02:47.112]  A global congress would need to be assembled.
[00:02:47.112 --> 00:03:01.384]  So by invitation only, leaders of the world in industry, politics, media, and royalty were brought in to discuss an extreme secrecy planning related to global domination by the selected elite.
[00:03:01.884 --> 00:03:29.524]  The objectives of the Bilderberg Group include one set of universal values, control of world public opinion by mind control, an end to the middle class, only rulers and servants, a zero growth society, order out of chaos and perpetual wars, total control of education to program the public mind as a servant class, centralized control of all foreign and domestic policies,
[00:03:29.944 --> 00:03:41.291]  ...impose a UN tax on world citizens, expanding NAFTA in the World Trade Organization globally, and expansion of NATO as a world military.
[00:03:41.291 --> 00:03:57.501]  In the 1960s, the attendees included Prince Philip, Paul-Henri Spock, former Secretary General of NATO, former Prime Minister Trudeau of Canada, former Secretary of the new Department of Economic Affairs, Eric Rohl, former President Gerald Ford,
[00:03:58.041 --> 00:03:59.022]  Former U.S.
[00:03:59.022 --> 00:04:01.883]  Secretary of State, Henry Kissinger.
[00:04:01.883 --> 00:04:02.664]  Former U.S.
[00:04:02.664 --> 00:04:05.245]  Secretary of State, Christian Herter.
[00:04:05.245 --> 00:04:09.327]  And Special Assistant to the President, Charles Douglas Jackson.
[00:04:09.327 --> 00:04:15.711]  The final names are especially important, as they boldly violated the Logan Act, a U.S.
[00:04:15.711 --> 00:04:21.054]  federal law that forbids unauthorized citizens from negotiating with foreign governments.
[00:04:21.054 --> 00:04:23.475]  Violation of the Logan Act is a felony.
[00:04:23.895 --> 00:04:28.639]  Punishable under federal law with imprisonment of up to three years.
[00:04:28.639 --> 00:04:38.448]  For more information regarding Bilderberg, please visit Infowarsstore.com and pick up Daniel Estulin's excellent work, The Octopus Deception.
[00:04:38.448 --> 00:04:44.594]  Please join us tomorrow when we examine how the Bilderberg Group manufactured the United States Presidents in the 1970s.
[00:04:46.195 --> 00:04:54.578]  And how these commanders-in-chief conspired with foreign entities illegally to forward the goals of a New World Order.
[00:04:54.578 --> 00:04:58.379]  As the elitist Bilderberg agenda evolves by stealth.
[00:04:58.379 --> 00:04:58.859]  We'll be back.
[00:04:58.859 --> 00:05:01.320]  This is John Bowne with the InfoWars Nightly News.
[00:05:01.320 --> 00:05:05.661]  House Speaker Boehner says fast-track legislation will likely be voted on by the House this weekend.
[00:05:06.221 --> 00:05:13.184]  The only snag, they say, is working out how they're going to get welfare checks to Americans who are going to lose their jobs.
[00:05:13.184 --> 00:05:16.205]  But it's not just jobs and wealth that we're losing.
[00:05:16.205 --> 00:05:24.389]  Senator Jeff Sessions, one of the few people in either House of Congress to actually bother to read the secret treaty, is very disturbed by what he's seeing.
[00:05:24.389 --> 00:05:27.630]  As he points out, it is a treaty with fast track.
[00:05:28.070 --> 00:05:33.735]  Congress is giving up the constitutional requirement of a two-thirds vote to pass a treaty.
[00:05:33.735 --> 00:05:39.420]  But the biggest secret of this secret agreement is that it creates a commission with global governance powers.
[00:05:39.420 --> 00:05:45.225]  This commission will be able to modify the treaty without any further input from any country.
[00:05:45.225 --> 00:05:55.173]  As Senator Sessions says, Congress would be pre-clearing a political and economic union before a word of that arrangement has been made available to a single private citizen.
[00:05:56.618 --> 00:05:58.926]  For more information, go to n4wars.com.
[00:05:58.926 --> 00:05:59.488]  I'm David Nike.
[00:06:00.802 --> 00:06:04.304]  When cells become toxic, they die early and aging sets in.
[00:06:04.304 --> 00:06:12.549]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:06:12.549 --> 00:06:17.973]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:06:17.973 --> 00:06:20.514]  You want the best that's out there at the lowest price anywhere?
[00:06:20.514 --> 00:06:22.596]  We now have the synergistic solution.
[00:06:22.596 --> 00:06:26.798]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:06:30.698 --> 00:06:31.718]  Alex Jones here.
[00:06:31.718 --> 00:06:41.002]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:06:41.002 --> 00:06:44.804]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:06:44.804 --> 00:06:53.127]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[00:06:53.127 --> 00:06:55.448]  Visit Infowarslife.com or call 1-888-253-3139.
[00:06:55.448 --> 00:06:56.488]  That's Infowarslife.com.
[00:07:03.674 --> 00:07:13.396]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:07:13.396 --> 00:07:16.097]  All of our children are hit with modern mind control.
[00:07:16.097 --> 00:07:19.658]  Television, music, fast food, GMOs, sugars, you name it.
[00:07:19.658 --> 00:07:25.980]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:07:25.980 --> 00:07:30.821]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:07:31.101 --> 00:07:37.485]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:07:37.485 --> 00:07:45.230]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[00:07:45.230 --> 00:07:52.794]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:07:52.794 --> 00:07:56.377]  Obtain your ChildEase today at InfoWarsLife.com.
[00:07:56.377 --> 00:07:59.318]  That's ChildEase exclusively at InfoWarsLife.com.
[00:08:01.288 --> 00:08:06.150]  Paul Watson filed a very powerful report
