[00:00:05.680 --> 00:00:09.248]  In focus, and three, two, one.
[00:00:15.936 --> 00:00:18.937]  Tonight, IBM, friend or foe.
[00:00:19.877 --> 00:00:29.441]  IBM has been announced as the winner of a long-term VA contract to modernize the electronic health records management system for the embattled VA.
[00:00:30.001 --> 00:00:37.424]  IBM will utilize the latest technology to provide up-to-the-minute care for veterans all across this great country.
[00:00:37.984 --> 00:00:39.366]  The VA released a statement.
[00:00:39.646 --> 00:00:54.226]  We are serious about health of our nation's heroes and are sparing no expense to update, modernize, and create an efficient system to diagnose and provide real-time health care solutions for those who've served our country.
[00:00:54.727 --> 00:01:09.261]  We thank IBM, a company that has a long history providing cutting-edge information technology solutions, for stepping in and providing leadership and experience that will be valuable to our country and save taxpayers money.
[00:01:10.882 --> 00:01:11.243]  Hold on.
[00:01:12.224 --> 00:01:13.104]  This isn't who we are.
[00:01:14.426 --> 00:01:14.566]  No.
[00:01:14.586 --> 00:01:16.648]  Give me those freaking cue cards, man!
[00:01:19.377 --> 00:01:19.777]  You know what?
[00:01:20.518 --> 00:01:21.418]  You know what's going to happen with this?
[00:01:21.438 --> 00:01:25.501]  You know what the implications are of this Watson program that's going to come up?
[00:01:26.342 --> 00:01:37.330]  It's a computer that they're going to use to replace the doctors at the VA, to do the death panels that have been going on, to help take away human emotion from making those decisions.
[00:01:37.730 --> 00:01:39.311]  This is something that's got to change.
[00:01:39.571 --> 00:01:45.536]  This is ridiculous, and I'm Joe Biggs with InfoWars.com, and I'm not going to f***ing take it anymore.
[00:01:47.441 --> 00:01:51.065]  I'm standing outside of the Veterans Affairs Center in Austin, Texas.
[00:01:51.545 --> 00:01:56.670]  This will be the proving ground for IBM's brand new technology, Watson.
[00:01:56.931 --> 00:02:04.358]  Now what that is, is a supercomputer that will have all of your medical records, admin records, and many other things downloaded into it.
[00:02:04.698 --> 00:02:11.085]  They want to use this machine to replace the doctors that have had death panels going on at the VA for years now.
[00:02:11.505 --> 00:02:17.508]  Newly released documents expose more explicitly the details of IBM's pivotal role in the Holocaust.
[00:02:18.068 --> 00:02:26.792]  All six phases, identification, expulsion from society, confiscation, ghettoization, deportation, and even extermination.
[00:02:27.572 --> 00:02:41.419]  Moreover, the documents portray with crystal clarity the personal involvement and micromanagement of IBM President Thomas J. Watson and the company's co-planning and co-organizing of Hitler's campaign to destroy the Jews.
[00:02:42.139 --> 00:02:53.265]  Why is the Department of Veterans Affairs awarding IBM with a large contract to bring in Watson, a new technology that will be used to replace doctors in an already failing VA health system?
[00:02:54.165 --> 00:02:58.729]  Why are they naming it after Thomas J. Watson, the founder and president of IBM?
[00:02:59.110 --> 00:03:08.078]  Did you know this man was responsible for making the machines that created punch cards with a coding system to label and eventually kill thousands of Jews?
[00:03:08.539 --> 00:03:13.704]  This machine would generate codes to be tattooed on prisoners in Hitler's concentration camps.
[00:03:14.184 --> 00:03:21.457]  This man committed genocide by any standard and IBM and the VA want to throw it in our face clear as day and name it after that monster.
[00:03:21.777 --> 00:03:23.961]  If this doesn't piss you off, I don't know what will.
[00:03:24.960 --> 00:03:35.729]  Hitler was so impressed with what Watson had done for the Third Reich that he awarded him with a special award created specifically for the occasion to honor extraordinary service by a foreigner.
[00:03:36.330 --> 00:03:44.237]  The medal was the order of the German eagle with star bedecked with swastikas and was to be worn on a sash over Watson's cold dead heart.
[00:03:44.397 --> 00:03:47.499]  Why do they want to put a machine in charge of your health you might ask yourself?
[00:03:48.410 --> 00:03:58.917]  They do it so this pre-programmed evil robot can make the life or death decisions about you, the veteran, instead of the doctors that have received so much flack from the VA scandal over the last year.
[00:03:59.517 --> 00:04:07.322]  This helps take human emotions away and also allows the medical personnel to use Watson as a scapegoat should any problems arise, like death.
[00:04:08.291 --> 00:04:14.816]  Watson will be a new form of medical AI technology used to run the death panels already in place at the VA.
[00:04:15.257 --> 00:04:19.340]  How soon will it be until this technology moves over into civilian healthcare?
[00:04:19.620 --> 00:04:21.442]  Will you be a victim of Watson's wrath?
[00:04:22.182 --> 00:04:24.905]  This is also happening in another area of the government.
[00:04:25.305 --> 00:04:30.129]  They now want to replace humans that fly drones and make them fully autonomous.
[00:04:30.770 --> 00:04:32.991]  And many pilots were also claiming PTSD.
[00:04:33.792 --> 00:04:38.793]  Once you take the human aspect out of dealing with healthcare and war, things become even more evil.
[00:04:38.933 --> 00:04:42.614]  Who is going to check the morals of the men and women who program these machines?
[00:04:43.054 --> 00:04:47.274]  How do we know the machines will be told to act ethical and make the right decisions?
[00:04:47.975 --> 00:04:48.555]  Well, there you have it.
[00:04:48.575 --> 00:04:54.596]  That is the new Watson technology that's going to run the death panels at the already failing VA healthcare system.
[00:04:54.916 --> 00:04:59.637]  Now I have a vision of how this Watson technology will be implemented when you walk into the VA.
[00:04:59.897 --> 00:05:01.177]  Let's go in here and take a look.
[00:05:04.546 --> 00:05:04.686]  Next.
[00:05:04.746 --> 00:05:05.306]  What's going on?
[00:05:05.326 --> 00:05:06.267]  Alright, right arm.
[00:05:07.387 --> 00:05:12.730]  Alright, Watson has determined you need to step into the medical chamber.
[00:05:13.110 --> 00:05:15.371]  So, go ahead.
[00:05:54.780 --> 00:05:55.029]  Next!
[00:06:11.348 --> 00:06:19.214]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:06:19.474 --> 00:06:21.555]  All the major networks are state-run.
[00:06:21.715 --> 00:06:24.357]  We are partnering this year with the NFL.
[00:06:24.417 --> 00:06:28.520]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[00:06:28.820 --> 00:06:31.983]  MSNBC tells us that our children belong to the state.
[00:06:32.003 --> 00:06:39.268]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:06:39.428 --> 00:06:50.513]  The brainwashing media machine has been turned up on high and it's time for humanity to double down on the true people's media and strike back against the tyrants that are destroying our civilization with their lies and fraud.
[00:06:50.693 --> 00:06:52.074]  We are the resistance.
[00:06:52.354 --> 00:06:53.715]  You are the resistance.
[00:06:54.075 --> 00:06:55.636]  You are the info war.
[00:06:55.816 --> 00:06:59.938]  It is more important than ever to realize that we are not the alternative media.
[00:07:00.118 --> 00:07:01.799]  We are the true media.
[00:07:01.919 --> 00:07:04.520]  The establishment dinosaur press is dying.
[00:07:04.620 --> 00:07:08.182]  We are in an information war and we are losing that war.
[00:07:08.362 --> 00:07:12.487]  Join us at Infowarsnews.com and PrisonPlanet.tv.
[00:07:12.707 --> 00:07:15.571]  Members can share their memberships with up to 11 people.
[00:07:15.671 --> 00:07:23.240]  By subscribing, you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[00:07:23.560 --> 00:07:25.262]  Join us at PrisonPlanet.tv.
