[00:00:03.322 --> 00:00:05.182]  Gear up!
[00:00:05.182 --> 00:00:06.503]  Big Brother.
[00:00:06.503 --> 00:00:08.263]  Mainstream media.
[00:00:08.263 --> 00:00:10.024]  Government cover-ups.
[00:00:10.024 --> 00:00:11.604]  You want answers?
[00:00:11.604 --> 00:00:13.184]  Well, so does he.
[00:00:13.184 --> 00:00:17.345]  He's Alex Jones on the GCN Radio Network.
[00:00:17.345 --> 00:00:21.406]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.282 --> 00:00:36.207]  Federal Austrian police two hours ago visited the hotel lodge where Infowars reporters Rob Dew and Josh Owens are staying.
[00:00:36.207 --> 00:00:43.550]  They were in another town interviewing locals about their view of the secretive criminal organization.
[00:00:43.550 --> 00:00:45.671]  Many of their members have been indicted.
[00:00:45.671 --> 00:00:45.951]  Meeting.
[00:00:47.165 --> 00:00:50.528]  in their area of the Austrian Alps.
[00:00:50.528 --> 00:01:00.057]  The hotel owner called and said the police are upset about your YouTube videos and they want to talk to you and want to see your papers.
[00:01:00.057 --> 00:01:02.279]  You cannot make this up.
[00:01:02.279 --> 00:01:12.089]  We have amazing video coming up and audio that we're going to air here for the TV slash radio audience of another checkpoint
[00:01:13.451 --> 00:01:16.232]  And the federal police saying, what are you doing filming us?
[00:01:16.232 --> 00:01:18.533]  It's not very polite.
[00:01:18.533 --> 00:01:21.694]  As they're sitting there filming them, obviously, at a checkpoint.
[00:01:21.694 --> 00:01:29.837]  Big mobile checkpoints set up on the side of the road with big open back trucks, I guess, to load people into.
[00:01:29.837 --> 00:01:36.700]  And he goes on to say, the quote, police officer, I do this for the taxpayers.
[00:01:36.700 --> 00:01:38.681]  The taxpayers' money pays me to do this.
[00:01:38.681 --> 00:01:40.301]  There is a private party.
[00:01:40.301 --> 00:01:41.762]  I will protect it from threats.
[00:01:43.547 --> 00:01:47.930]  And obviously they don't like that video.
[00:01:47.930 --> 00:01:49.591]  Unprecedented!
[00:01:49.591 --> 00:01:56.755]  So now the feds are looking and, boy, you talk about bugging their eyes out hatefully.
