[00:00:10.779 --> 00:00:14.142]  This is Rob Doo for InfoWars.com and InfoWars Nightly News.
[00:00:14.343 --> 00:00:34.823]  This is going to be another vaccine report, and I hope at the end of this report that you will come to realize that just because we don't agree with the medical establishment that we aren't wrong, we aren't crazy, we aren't conspiracy theorists, and that there's a lot of facts and a lot of studies behind the reasoning for people not wanting to vaccinate themselves and their children.
[00:00:36.172 --> 00:00:43.097]  So I hope this report will put all that to rest and all the vaccine pushing and all the vaccine hysteria that's going on in this country.
[00:00:43.657 --> 00:00:49.862]  Because this is a first step on a long line of tyrannies that are lined up if they get their way.
[00:00:49.882 --> 00:00:53.945]  If they're able to push mandatory vaccines onto people, it's over for everything.
[00:00:54.465 --> 00:01:00.950]  You see some of the largest outbreaks in states where they have personal health exemptions or religious exemptions.
[00:01:01.010 --> 00:01:02.211]  Do we need to rethink those?
[00:01:02.722 --> 00:01:10.086]  We're going to start this off with a little exchange between Senator Elizabeth Warren and Dr. Schuchat who works at the CDC.
[00:01:11.707 --> 00:01:14.808]  This is what I call the beauty pageant of vaccines.
[00:01:14.868 --> 00:01:19.791]  They throw softball questions at the officials and the officials throw back the canned answers.
[00:01:20.171 --> 00:01:21.452]  So let's look at this exchange.
[00:01:22.469 --> 00:01:27.254]  Dr. Sciocca, you are the top immunization official in the United States.
[00:01:27.635 --> 00:01:30.098]  I just want to walk through the science on this with you.
[00:01:30.678 --> 00:01:35.444]  Is there any scientific evidence that vaccines cause autism?
[00:01:35.784 --> 00:01:35.964]  No.
[00:01:36.865 --> 00:01:42.732]  Is there any scientific evidence that vaccines cause profound mental disorders?
[00:01:43.562 --> 00:01:46.504]  No, but some of the diseases we vaccinate against can.
[00:01:46.784 --> 00:01:54.287]  Is there any scientific evidence that vaccines have contributed to the rise in allergies or autoimmune disorders among kids?
[00:01:54.888 --> 00:01:55.088]  No.
[00:01:56.148 --> 00:02:01.131]  Are there additives or preservatives in vaccines that can be toxic to kids?
[00:02:01.511 --> 00:02:03.992]  No, not in the amounts that they're in vaccines.
[00:02:04.395 --> 00:02:14.462]  Is there any scientific evidence that kids can develop immunity to these diseases on their own simply by eating nutritious foods or being active?
[00:02:14.762 --> 00:02:15.023]  No.
[00:02:15.963 --> 00:02:26.651]  How do the risks of a child responding negatively to a vaccination compare with the risks of skipping vaccinations and risking exposure to a deadly disease?
[00:02:27.572 --> 00:02:33.736]  Vaccines are safe and highly effective and it's important for parents to know they're the best way to protect their kids.
[00:02:34.042 --> 00:02:35.624]  So you heard it from the officials.
[00:02:58.336 --> 00:03:00.759]  That there's no problem with vaccines whatsoever.
[00:03:01.520 --> 00:03:02.701]  Perfectly clean record.
[00:03:03.082 --> 00:03:04.003]  Nothing to worry about.
[00:03:04.043 --> 00:03:05.805]  Go out and get your child shot up today.
[00:03:05.825 --> 00:03:07.687]  Especially with that MMR, right?
[00:03:08.632 --> 00:03:11.173]  In fact, I get sent this study a lot.
[00:03:11.493 --> 00:03:13.314]  I'm going to read it out to you, so you can go read it yourself.
[00:03:13.774 --> 00:03:15.714]  Vaccines are not associated with autism.
[00:03:15.954 --> 00:03:20.076]  An evidence-based meta-analysis of case control and cohort studies.
[00:03:21.256 --> 00:03:27.758]  Basically what this has done is three doctors looked at, I don't know, 15, 20 different studies that all said vaccines are safe.
[00:03:28.198 --> 00:03:31.680]  So then they came up with the same conclusion, that vaccines were safe.
[00:03:32.600 --> 00:03:35.741]  What's interesting is if you go to the epilogue of this study.
[00:03:36.593 --> 00:03:39.795]  One of the doctors, Dr. Guy Eslick, says this,
[00:03:57.318 --> 00:04:00.221]  These events did not stop me from vaccinating my third child, however.
[00:04:00.761 --> 00:04:04.224]  I did take some proactive measures to reduce the risk of similar adverse effects.
[00:04:04.765 --> 00:04:17.896]  I vaccinated my child in the morning so that we were aware if any early adverse reaction during the day, and I also gave my child a dose of Tylenol 30 minutes before the vaccination was given to reduce any fever that might develop after the injection.
[00:04:18.817 --> 00:04:29.043]  So the doctor in this study admits that two of his children had adverse reactions to vaccines, one of them very serious, yet he still vaccinated his third child.
[00:04:29.604 --> 00:04:36.728]  This is because of the intense programming doctors go under by this Rockefeller and Carnegie Foundation funded medicine paradigm.
[00:04:37.168 --> 00:04:43.212]  Which is only vaccines, only prescription drugs, that is the only thing that can save you.
[00:04:43.413 --> 00:04:43.893]  Nothing else.
[00:04:43.993 --> 00:04:52.960]  Herbal remedies don't work, vitamins don't work, nothing else works unless it came from a Rockefeller Foundation company or a Carnegie Foundation company.
[00:04:53.540 --> 00:04:53.820]  Okay?
[00:04:54.100 --> 00:04:56.302]  And those are your big pharma companies that exist now.
[00:04:56.362 --> 00:04:59.825]  These chemical giants that don't want anything out there natural.
[00:04:59.865 --> 00:05:03.928]  They have to synthesize everything because they're afraid of natural competition.
[00:05:04.977 --> 00:05:08.502]  Furthermore, in this study, they list all the studies that they look at.
[00:05:09.203 --> 00:05:15.130]  One of which caught my eye, and it was a population-based study of measles, mumps, and rubella, vaccination, and autism.
[00:05:15.996 --> 00:05:22.401]  One of the doctors in this, Paul Thorson, MD, is wanted by the CDC for massive fraud.
[00:05:22.441 --> 00:05:29.686]  He was taking funds and grants that were supposed to be given to him for research and funneling them into his personal bank accounts.
[00:05:30.307 --> 00:05:32.128]  How much credibility can we take in this?
[00:05:32.908 --> 00:05:42.976]  And now let's look at some actual studies that are being done that show vaccines do cause harm, quite contrary to what you just saw in the exchange between Senator Warren and the doctor from the CDC.
[00:05:44.402 --> 00:05:50.561]  Vaccines are safe and highly effective and it's important for parents to know they're the best way to protect their kids.
[00:05:51.138 --> 00:05:56.340]  First article, activist post, 22 medical studies that show vaccines can cause autism.
[00:05:56.660 --> 00:05:58.101]  And they list the studies down here.
[00:05:58.181 --> 00:06:06.325]  They're in the journals of epidemiology, journal of inorganic biochemistry, study in the journal of toxicology and environmental health.
[00:06:06.785 --> 00:06:08.005]  These are reputable papers.
[00:06:08.526 --> 00:06:11.507]  And all these say there's a problem with vaccines.
[00:06:12.307 --> 00:06:18.450]  Yet, I guess our CDC officials didn't have time to read these studies because they don't say vaccines are safe and effective.
[00:06:18.632 --> 00:06:20.913]  They're very effective and they're very safe.
[00:06:21.213 --> 00:06:23.254]  Modern vaccines are safe.
[00:06:23.814 --> 00:06:25.855]  Modern vaccines are effective.
[00:06:25.915 --> 00:06:27.416]  Vaccine is safe and effective.
[00:06:27.476 --> 00:06:29.036]  It is a safe form of flu vaccine.
[00:06:29.096 --> 00:06:30.797]  It's very effective in preventing the flu.
[00:06:30.857 --> 00:06:33.358]  Vaccines are important, safe, and effective.
[00:06:33.946 --> 00:06:36.688]  Vaccines are safe and highly effective.
[00:06:36.869 --> 00:06:37.349]  Here's more.
[00:06:37.629 --> 00:06:39.070]  Journal of Biomedical Sciences.
[00:06:39.150 --> 00:06:40.672]  The Annals of Clinical Psychiatry.
[00:06:41.052 --> 00:06:42.773]  American Journal of Clinical Nutrition.
[00:06:43.114 --> 00:06:45.215]  Department of Pharmaceutical Sciences.
[00:06:45.656 --> 00:06:47.537]  Journal of Child Neurology.
[00:06:47.557 --> 00:06:50.139]  A study conducted at Massachusetts General Hospital.
[00:06:50.359 --> 00:06:55.364]  You can read the synopsis of each one of these studies and then it has links to these studies so you can go read them yourself.
[00:06:55.424 --> 00:06:56.364]  I encourage you to do this.
[00:06:56.685 --> 00:06:57.265]  Spend a night.
[00:06:57.485 --> 00:06:58.906]  Your child's health is worth it.
[00:06:59.247 --> 00:06:59.987]  Let's continue.
[00:07:00.968 --> 00:07:05.773]  Polish study confirms vaccines can cause a large number of adverse effects.
[00:07:06.534 --> 00:07:17.125]  And they say, it is not reasonable to assume that manipulation of the immune system through an increasing number of vaccinations during critical periods of brain development will not result in adverse neurodevelopment outcomes.
