[00:00:19.625 --> 00:00:21.569]  Welcome to the Info Wars Nightly News.
[00:00:21.669 --> 00:00:22.871]  I'm your host, Jakari Jackson.
[00:00:23.252 --> 00:00:27.199]  It is December 16th, 2015, and here's a look at our top stories.
[00:00:30.612 --> 00:00:40.479]  Tonight, highlights from the GOP debate, as Donald Trump exposed how the Bush family helped the Bin Ladens escape after 9-11.
[00:00:40.639 --> 00:00:51.487]  When you had the World Trade Center go, people were put into planes that were friends, family, girlfriends, and they were put into planes and they were sent back, for the most part, to Saudi Arabia.
[00:00:51.747 --> 00:00:59.391]  Meanwhile, the corporate media continues to insist that the Bush-Bin Laden connection is just a conspiracy theory.
[00:00:59.751 --> 00:01:04.093]  Just like the Bush-Nazi connection that's been confirmed in the U.S.
[00:01:04.153 --> 00:01:07.094]  National Archive and Library of Congress.
[00:01:07.474 --> 00:01:11.596]  All that plus much more up next on the InfoWars Nightly News.
[00:01:11.937 --> 00:01:16.819]  If he tells you he's a thief, if he tells you he's gonna steal your rights, he's gonna steal your damn rights!
[00:01:30.233 --> 00:01:31.594]  Clean, pure drinking water.
[00:01:31.875 --> 00:01:33.176]  You can't survive without it.
[00:01:33.356 --> 00:01:34.277]  But where do you get it?
[00:01:34.557 --> 00:01:40.322]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:01:40.543 --> 00:01:46.268]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:01:46.468 --> 00:02:03.329]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:03.709 --> 00:02:05.850]  Filter capacity up to 5,000 gallons.
[00:02:06.211 --> 00:02:07.391]  Stainless steel construction.
[00:02:07.672 --> 00:02:08.452]  Easy assembly.
[00:02:08.712 --> 00:02:09.333]  Low maintenance.
[00:02:09.633 --> 00:02:11.454]  Replacement filters are simple to install.
[00:02:11.714 --> 00:02:18.819]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:02:18.999 --> 00:02:24.002]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:02:24.202 --> 00:02:26.784]  Go to InfowarsStore.com or call 888-253-3139.
[00:02:33.254 --> 00:02:38.080]  Coming up later in our show, we'll have a top financial expert telling us what the Fed rate hike really means.
[00:02:38.400 --> 00:02:47.410]  But first, we have some breaking news out of Baltimore, where Paul Joseph Watson reports that some Black Lives Matter supporters are threatening to riot after a mistrial in the Freddie Gray case.
[00:02:47.851 --> 00:02:49.293]  We go to Leanne McAdoo for more.
[00:02:50.097 --> 00:02:51.978]  Leanne McAdoo with InfoWars.com.
[00:02:51.998 --> 00:02:53.358]  I'm here with some breaking news.
[00:02:53.538 --> 00:03:01.261]  A mistrial has been declared in the case of Baltimore Police Officer William Porter in the death of 25-year-old Freddie Gray.
[00:03:01.722 --> 00:03:05.203]  Now, the jury had been deadlocked on this decision.
[00:03:05.243 --> 00:03:17.388]  The judge did tell the jury to go on and continue deliberating, but after they were unable to come to a unanimous decision on the four charges the officer was facing, the judge did declare a mistrial.
[00:03:17.808 --> 00:03:24.552]  Now, Porter was charged with involuntary manslaughter, second-degree assault, reckless endangerment, and misconduct in office.
[00:03:25.112 --> 00:03:33.336]  Freddie Gray suffered a broken neck and severe spinal cord injury in the back of a police transport van after his arrest on April 12th.
[00:03:33.717 --> 00:03:36.418]  Officer William Porter was the driver of that van.
[00:03:36.818 --> 00:03:43.762]  Now, according to statements from Porter's defense attorney, he said that Porter acted under proper protocol to help Gray.
[00:03:43.842 --> 00:03:44.943]  He did not neglect him.
[00:03:45.763 --> 00:03:56.326]  As the prosecution has portrayed, for the last two weeks of this trial, prosecutors have been accusing Porter of knowingly ignoring Gray, not taking his pleas for medical help seriously.
[00:03:56.826 --> 00:04:01.607]  Now, Freddie Gray was handcuffed and shackled, but he was not strapped into a seat.
[00:04:01.967 --> 00:04:06.988]  And they are saying that this is what, a factor that led to his death from a severe spinal injury.
[00:04:07.548 --> 00:04:10.869]  Now, attorneys are going to have to decide if they're going to take this to a retrial,
[00:04:11.349 --> 00:04:24.475]  And it's unclear if that retrial of Officer William Porter is going to affect the trial dates for the other five officers who are scheduled to be tried separately and consecutively beginning January 6th.
[00:04:25.076 --> 00:04:31.238]  Now, Mayor Stephanie Rawlings-Blake has activated Baltimore City's Emergency Operations Center.
[00:04:31.619 --> 00:04:33.760]  This is in preparation for protests.
[00:04:34.941 --> 00:04:41.148]  In a statement, the mayor asked the city to remain unified, respect the outcome of the judicial process.
[00:04:41.808 --> 00:04:51.339]  She said, we want to respect the rights of those to demonstrate peacefully while acknowledging that the city is prepared to protect neighborhoods, businesses, and the people of Baltimore.
[00:04:51.940 --> 00:04:54.841]  Should the reaction from today's decision get out of hand?
[00:04:55.341 --> 00:04:59.662]  Now police have already arrested several protesters on the scene today.
[00:05:00.402 --> 00:05:03.363]  The police from around the Baltimore region arrived.
[00:05:03.403 --> 00:05:04.283]  They began assembling.
[00:05:04.684 --> 00:05:06.024]  Tuesday they had riot gear.
[00:05:06.384 --> 00:05:10.865]  They've cleared out jail space in the case of mass arrests taking place.
[00:05:11.365 --> 00:05:13.466]  But political and community leaders are issuing
[00:05:13.886 --> 00:05:17.509]  Calls for calm and peaceful protests.
[00:05:17.970 --> 00:05:19.811]  So stay tuned to InfoWars.com.
[00:05:19.851 --> 00:05:21.873]  We'll bring you more as this story develops.
[00:05:22.694 --> 00:05:28.079]  And of course we'll continue to monitor this and we may even dispatch some Infowarriors out there if things get any worse.
[00:05:28.119 --> 00:05:31.002]  Hopefully things will calm down and the cooler hedge will prevail.
[00:05:31.442 --> 00:05:38.208]  Now, we're going to go to the special report from John Bowne documenting various activities of the CIA and then on to the debate coverage.
[00:05:38.228 --> 00:05:41.511]  You guys know we had the live debate coverage last night, so we'll give you some of those highlights.
[00:05:41.851 --> 00:05:47.737]  And then coming up later in the show, don't forget we have Alex Jones, Sean Walshman, and Harry Dent all coming up right after this.
[00:05:48.848 --> 00:05:50.410]  I mean, this is why Trump is so awesome.
[00:05:51.030 --> 00:05:52.652]  I mean, he really is a wake to the new old order.
[00:05:52.772 --> 00:05:54.774]  Supposedly behind the scenes, I'll just say that and leave it at that.
[00:05:55.115 --> 00:05:56.136]  Inside baseball, that's what I mean.
[00:05:56.376 --> 00:06:00.740]  Who else would come back like that at the Bushes and the Clintons calling them criminals?
[00:06:00.921 --> 00:06:01.581]  And the Saudis.
[00:06:01.802 --> 00:06:02.903]  Guys, go back to your live feeds.
[00:06:03.083 --> 00:06:05.826]  We've got to go back on the DVR, grab that and play that clip again.
[00:06:06.066 --> 00:06:06.887]  That is sensational.
[00:06:07.087 --> 00:06:11.452]  That's what we should write about, is that Trump brings out the fact that the Bushes protected the bin Ladens.
[00:06:11.832 --> 00:06:12.813]  Yeah, exactly.
[00:06:13.293 --> 00:06:18.737]  They wanted to go after him, saying, you know, you want to go after the families of these ISIS members, and he's absolutely right.
[00:06:18.797 --> 00:06:21.899]  Well, should we protect him like your brother did?
[00:06:22.039 --> 00:06:30.865]  Well, I mean, getting past arresting people's family members or going after them or whatever, and I'm not even endorsing that, is that Trump will come back with hardcore 9-11 truth, which is a dead fact.
[00:06:31.085 --> 00:06:31.545]  Exactly.
[00:06:32.406 --> 00:06:32.926]  Exactly, Mr. Trump.
[00:06:54.784 --> 00:06:55.084]  Yep.
[00:06:55.284 --> 00:06:55.685]  Right.
[00:06:55.725 --> 00:06:59.208]  Instead of bombing all their kids and their wives.
[00:07:18.143 --> 00:07:19.124]  Not only to the Middle East.
[00:07:19.364 --> 00:07:21.745]  We've done a tremendous disservice to humanity.
[00:07:21.785 --> 00:07:26.287]  The people that have been killed, the people that have been wiped away, and for what?
[00:07:26.568 --> 00:07:28.008]  It's not like we had victory.
[00:07:28.409 --> 00:07:29.109]  It's a mess.
[00:07:29.489 --> 00:07:32.691]  The Middle East is totally destabilized.
[00:07:32.891 --> 00:07:35.312]  A total and complete mess.
[00:07:35.733 --> 00:07:39.695]  I wish we had the four trillion dollars or five trillion dollars.
[00:07:40.055 --> 00:07:47.379]  I wish it was spent right here in the United States on our schools, hospitals, roads, airports, and everything else that are all falling apart.
[00:07:48.159 --> 00:07:50.801]  I didn't agree with everything he said tonight, but that was a pretty good answer.
[00:07:50.881 --> 00:07:56.985]  That was a great answer, and it actually even got some applause from the Republicans, the hand-picked Republicans they've got.
[00:07:57.005 --> 00:08:03.930]  There's a group of moderate Muslims right there that all believe in Sharia law, and they all claim to be moderate.
[00:08:03.990 --> 00:08:07.913]  They all claim you should have your hands cut off if you steal, and wives should be beaten.
[00:08:08.293 --> 00:08:09.313]  And they're all happy about it.
[00:08:09.374 --> 00:08:10.794]  I mean, they admit it, which is fine.
[00:08:10.854 --> 00:08:11.935]  That's their beliefs.
[00:08:11.955 --> 00:08:17.319]  But let's just all be truthful about what they really believe in.
[00:08:17.819 --> 00:08:19.381]  And what they want to turn America into.
[00:08:19.561 --> 00:08:19.921]  Exactly.
[00:08:19.941 --> 00:08:23.785]  And let's understand that what they're talking about is not strictly a religion.
[00:08:23.985 --> 00:08:30.392]  It is a religion that is connected inextricably to a political system and a rule of law.
[00:08:30.432 --> 00:08:31.693]  That's what they're talking about.
[00:08:32.094 --> 00:08:35.337]  They want to have civil penalties if you violate their religion.
[00:08:35.597 --> 00:08:38.040]  That is anathema to what we have in America.
[00:08:38.400 --> 00:08:48.751]  We have separation of religion because we saw the abuses that happened in Europe when Christianity got allied with this particular king or with that particular church.
[00:08:49.111 --> 00:08:49.992]  We saw what happened.
[00:08:50.272 --> 00:08:51.834]  And we said we don't want to have that anymore.
[00:08:51.914 --> 00:08:58.821]  And for the same reason, we don't want to have Islam here doing that same kind of combination of politics and religion.
[00:08:59.221 --> 00:09:03.483]  We need a president who's going to understand what actionable intelligence looks like and act on it.
[00:09:03.503 --> 00:09:04.644]  And we need a president and
[00:09:17.159 --> 00:09:23.644]  A cabinet who understands that the first and most important priority of the President of the United States is to protect the safety and security of Americans.
[00:09:23.664 --> 00:09:24.504]  No it isn't!
[00:09:24.604 --> 00:09:25.725]  You're disqualified.
[00:09:26.065 --> 00:09:33.531]  You have an oath to the Constitution and the oath to the Constitution says, and the Declaration of Independence says, you are created to protect our freedoms.
[00:09:33.631 --> 00:09:34.071]  Right.
[00:09:34.452 --> 00:09:35.813]  Not to keep us safe.
[00:09:36.213 --> 00:09:37.153]  They didn't want safety.
[00:09:37.173 --> 00:09:41.857]  They wouldn't have rebelled against the strongest government in the world if their first priority was safety.
[00:09:41.877 --> 00:09:43.058]  Their first priority was liberty.
[00:09:43.358 --> 00:09:44.899]  They created a government to protect that.
[00:09:45.019 --> 00:09:46.000]  I'm sick of these people.
[00:09:46.320 --> 00:09:52.207]  And Marco has opposed at every point increased security, border security, for those who come to our country.
[00:09:52.728 --> 00:10:03.281]  On his Gang of Eight bill, he would have liberalized immigration, but he did not, and he steadfastly opposed any new border security requirements for refugees or students.
[00:10:04.102 --> 00:10:08.965]  Last week, I introduced another bill saying we need more security, we need more scrutiny.
[00:10:09.345 --> 00:10:10.806]  Once again, Marco opposed this.
[00:10:11.186 --> 00:10:12.667]  So Marco can't have it both ways.
[00:10:12.707 --> 00:10:19.210]  He thinks he wants to be this, oh, I'm great and strong on national defense, but he's the weakest of all the candidates on immigration.
[00:10:19.510 --> 00:10:22.872]  He is the one for an open border that is leaving us defenseless.
[00:10:23.112 --> 00:10:32.377]  If we want to defend the country, we have to defend against those who are coming in, and Marco has more of an allegiance to Chuck Schumer and to the liberals than he does to conservative policy.
[00:10:32.639 --> 00:10:35.993]  Do you really think that Republicans have fueled the rise of ISIS?
[00:10:37.512 --> 00:10:46.915]  I think that by arming the allies of ISIS, the Islamic rebels against Assad, that we created a safe space, or made that space bigger for ISIS to grow.
[00:10:47.435 --> 00:10:50.356]  I think those who have wanted regime change have made a mistake.
