[00:00:00.009 --> 00:00:01.439]  The Alex Jones Show!
[00:00:14.673 --> 00:00:15.294]  Big Brother.
[00:00:15.974 --> 00:00:16.995]  Mainstream media.
[00:00:17.736 --> 00:00:18.837]  Government cover-ups.
[00:00:19.497 --> 00:00:20.298]  You want answers?
[00:00:21.079 --> 00:00:21.959]  Well, so does he.
[00:00:22.640 --> 00:00:26.263]  He's Alex Jones on the GCN Radio Network.
[00:00:26.824 --> 00:00:30.887]  And now, live from Austin, Texas, Alex Jones.
[00:00:49.503 --> 00:00:57.389]  Ladies and gentlemen, thank you so much for joining us on this live Worldwide Monday transmission, the 5th day of October 2015.
[00:00:59.130 --> 00:01:08.937]  Congressman Daniel Webster, who helped lead the operation to have Boehner announce that he was stepping down two weeks ago, will be joining us.
[00:01:08.977 --> 00:01:12.800]  He's part of the leadership fight for ascension to the Speakership of the House.
[00:01:13.280 --> 00:01:18.523]  Which is basically as important as the presidency to the United States, and a third in line with the presidency.
[00:01:18.983 --> 00:01:28.928]  If we get a patriot, paleo-conservative, constitutionalist, libertarian, veined individual into that position, it is a mega-massive game changer.
[00:01:30.188 --> 00:01:34.830]  Five billion dollars, it's estimated, was spent on the last presidential campaign domestically alone.
[00:01:35.831 --> 00:01:38.352]  Billions of dollars foreign was spent as well.
[00:01:38.412 --> 00:01:39.793]  So let's say seven million dollars.
[00:01:40.899 --> 00:01:50.003]  There is literally almost no money, not even a million when I looked into it last night, that has been spent by different PACs and groups to try to get somebody in to replace Boehner.
[00:01:50.743 --> 00:01:57.766]  We're removing Boehner, but he's going before he becomes even more unpopular in his own admission to put in one of his little minions.
[00:02:01.368 --> 00:02:04.850]  So, Congressman Daniel Webster will be joining us.
[00:02:05.770 --> 00:02:08.891]  Also, in the fourth hour, Paul Joseph Watson will be hosting.
[00:02:09.332 --> 00:02:10.152]  I asked him this morning.
[00:02:11.766 --> 00:02:18.158]  What he was going to be covering and turns out he's going to be covering one of the things I'm going to be covering today when he does the fourth hour.
[00:02:21.411 --> 00:02:25.514]  Pouring drain cleaner in your eyes, the next trendy social justice movement.
[00:02:25.534 --> 00:02:28.596]  This is on mainstream television with a basic endorsement.
[00:02:29.197 --> 00:02:35.021]  And if you have sight now, it's hurtful, so you may have to lose your eyesight.
[00:02:35.461 --> 00:02:40.825]  Just like you can't see mother or father, or he or she, that's hurtful to those that do not consider themselves as sex.
