[00:00:06.583 --> 00:00:08.144]  Oh, baby!
[00:00:08.144 --> 00:00:26.476]  Ladies and gentlemen, we're starting the new year off here right.
[00:00:26.476 --> 00:00:27.357]  With a little bit of mobbing.
[00:00:29.190 --> 00:00:38.517]  I'm your host Alex Jones, and this is a very special first transmission, or the kickoff of 2015.
[00:00:38.517 --> 00:00:42.420]  January 1st, 2015.
[00:00:42.420 --> 00:00:44.201]  I would stand in line for this.
[00:00:44.201 --> 00:00:45.422]  It's so good to be here.
[00:00:45.422 --> 00:00:53.908]  I remember growing up in a little house by Whatrock Lake in Dallas, and hearing my mother talk about the year 2001.
[00:00:53.908 --> 00:00:54.769]  The new millennium.
[00:00:58.660 --> 00:01:06.806]  Because she was right, 2001 will be the start of the new millennium, not 2000, but little did she know that they would just say, oh, it's just 2000.
[00:01:06.806 --> 00:01:08.667]  When 2000 starts, it's the new millennium.
[00:01:08.667 --> 00:01:12.310]  No, 2001 is the new millennium.
[00:01:12.310 --> 00:01:24.619]  2000 is the completion, when it ends, of the second thousand years after Christ's birth and death.
[00:01:24.619 --> 00:01:26.921]  I guess now they just call it common era, but
[00:01:28.007 --> 00:01:30.629]  Here we are now, 15 years.
[00:01:30.629 --> 00:01:32.170]  We're starting the 15th year.
[00:01:32.170 --> 00:01:40.816]  So we're technically 14 years into this new millennium.
[00:01:40.816 --> 00:01:42.798]  Simply amazing.
[00:01:42.798 --> 00:01:46.961]  And we'll blank, it'll be 2030.
[00:01:46.961 --> 00:01:48.101]  Think about that.
[00:01:48.101 --> 00:01:55.146]  When this much time has passed, plus a year, but rounding up, that it's taken to get from 2000 to now,
[00:01:58.041 --> 00:01:58.621]  It'll be 2030.
[00:01:58.621 --> 00:02:03.545]  Oh yeah, it'll be Buck Rogers then, won't it?
[00:02:03.545 --> 00:02:07.968]  It's already Buck Rogers, and they're keeping secret much of what's going on.
[00:02:07.968 --> 00:02:12.611]  We are living in ultra-epic times.
[00:02:12.611 --> 00:02:14.352]  Everything is so interesting.
[00:02:14.352 --> 00:02:15.953]  Everything is so amazing.
[00:02:15.953 --> 00:02:17.314]  So much is happening.
[00:02:17.314 --> 00:02:23.819]  The only people you hear that are bored and unhappy are folks that still believe in and watch mainstream news and television.
[00:02:25.120 --> 00:02:32.113]  They think what comes out of that box, that controlled corporate gloveless box, is the sum total of the universe!
[00:02:32.113 --> 00:02:35.940]  I'm here to tell you what comes out of this little box is... tiny!
[00:02:36.960 --> 00:02:40.203]  Compared to the universe, but a lot bigger than what the mainstream media has to offer.
[00:02:40.203 --> 00:02:46.509]  They want to keep you shuttered, and your doorways of perception to control you and your family.
[00:02:46.509 --> 00:02:56.099]  And I'm not here to tell you what to think, I'm here to tell you, you might want to look around, you might want to understand, you can come out of the cave, the allegory of Plato, and there's a whole wide world.
[00:02:57.025 --> 00:03:22.238]  And then there's mountains to climb, and rockets to ascend in, and deep sea operations, and exploring the mind, and exploring music, and poetry, and honor, and relationships, and birth, and life, and marriage, and children, and death, and the elite merging with machines, and brain chips, and just, it's incredible!
[00:03:22.238 --> 00:03:25.340]  Dystopia meets utopia meets reality.
[00:03:27.421 --> 00:03:47.552]  So instead of just airing a few of the interviews we've had the last few weeks, that are great rebroadcasts we do occasionally on Christmas or other holidays, on New Year's Day, I was live on New Year's, on New Year's Day the crew from the TV side and the radio side have done a great job putting together a little snippet of one of the two Charlton Heston interviews I did, the one we can find.
[00:03:47.552 --> 00:03:53.376]  It's bad audio, but the info is interesting to hear that champion of the Second Amendment once more on the broadcast.
[00:03:54.372 --> 00:04:03.239]  David de Rothschild, a globalist, who says that Mars is closer to the Sun than Earth, and other such insanities.
[00:04:03.239 --> 00:04:05.321]  Well, he just thinks you're dumb.
[00:04:05.321 --> 00:04:10.545]  Viggo Mortensen, one of my favorite big actors, is a listener, and he was on the broadcast.
[00:04:10.545 --> 00:04:13.888]  Joe Rogan, old-time friend on him since, like, 1998.
[00:04:13.888 --> 00:04:15.049]  See, time flies.
[00:04:15.049 --> 00:04:21.334]  Mike Judge, of course, the creator of King of the Hill, Beavis, and Butthead, and more, talks Tea Party, New World Order.
[00:04:22.014 --> 00:04:29.878]  Rowdy Rowdy Piper needs no introduction of They Live with Sean Stone, Willie Nelson, an old blast from the past, and Russell Brand.
[00:04:29.878 --> 00:04:40.063]  When I said let's get together some of the most interesting celebrity interviews I've done, the list was a lot longer than this, so we're gonna have some more of these coming up in the future, but this is a first look at it.
[00:04:41.198 --> 00:04:47.261]  Doesn't have a lot of great folks there like Dave Mustaine or Billy Corgan or so many others or Charlie Sheen for that matter.
[00:04:47.261 --> 00:04:50.663]  But they'll be in the next round of this coming up.
[00:04:50.663 --> 00:04:58.548]  But straight ahead, Charlton Heston, David Rothschild, Viggo Mortensen, Joe Rogan, Mike Judge, Rowdy Rowdy Piper, Willie Nelson and more.
[00:04:58.548 --> 00:04:58.968]  Stay with us.
[00:05:00.473 --> 00:05:03.156]  Every year we make resolutions to lose weight and get in shape.
[00:05:03.156 --> 00:05:04.577]  And the truth is, it's hard.
[00:05:04.577 --> 00:05:11.443]  Even with diet and exercise, because of toxic food and our environment that is stressing our bodies more than ever before.
[00:05:11.443 --> 00:05:18.270]  Working with experts in nutrition and biochemistry, I found that super high quality nutraceuticals, in addition to my diet and exercise,
[00:05:18.570 --> 00:05:20.814]  Worthy answers that synergistically worked.
[00:05:20.814 --> 00:05:27.644]  I can see the drastic changes every day with the amount of weight I've lost, my increased stamina, and more of a twinkle in my eye.
[00:05:27.644 --> 00:05:33.574]  That's why we are now so excited to launch the InfoWars Life Resolution Pack, combining three essential formulations.
[00:05:34.034 --> 00:05:41.938]  Oxygen-Based Cleanser Oxy Powder, The Secret 12 Bioavailable Vitamin B12, and your choice of Super Female or Super Male Vitality.
[00:05:41.938 --> 00:05:48.902]  Now all available at a discounted price to you and your family to bring in the new year and make 2015 a true success.
[00:05:48.902 --> 00:05:50.082]  That's Infowarslife.com or 888-253-3139.
[00:05:50.082 --> 00:05:53.224]  2015 is the year to do it and it all starts at Infowarslife.com.
[00:06:00.546 --> 00:06:04.207]  The government's Department of Homeland Security is buying up loads of ammo.
[00:06:04.207 --> 00:06:08.489]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:06:08.489 --> 00:06:10.269]  Can you put two and two together?
