[00:00:00.009 --> 00:00:00.511]  Alex Jones Show!
[00:00:15.956 --> 00:00:16.576]  Big Brother.
[00:00:17.257 --> 00:00:18.298]  Mainstream media.
[00:00:19.018 --> 00:00:20.119]  Government cover-ups.
[00:00:20.779 --> 00:00:21.600]  You want answers?
[00:00:22.360 --> 00:00:23.261]  Well, so does he.
[00:00:23.921 --> 00:00:27.563]  He's Alex Jones on the GCN Radio Network.
[00:00:28.104 --> 00:00:32.206]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.248 --> 00:00:37.350]  Well, it took him ten years to ram it through.
[00:00:37.970 --> 00:00:40.472]  In fact, ten years ago, the mainstream media said it didn't exist.
[00:00:41.565 --> 00:00:46.466]  Now they admit it merges the North American Union and the European Union with the Asian Union.
[00:00:47.106 --> 00:00:48.087]  It's the TPP.
[00:00:48.747 --> 00:00:51.067]  It's already been ratified by secret corporate groups.
[00:00:51.648 --> 00:00:51.908]  U.S.
[00:00:51.968 --> 00:00:55.589]  polls showed that upwards of 90% of Americans were against it.
[00:00:56.369 --> 00:01:01.090]  Congress wasn't even allowed to read it, but one page at a time in a secret room.
[00:01:02.344 --> 00:01:11.767]  And after it was voted down repeatedly in the House, it finally passed earlier this week, and today, just minutes ago, it passed the Senate.
[00:01:12.427 --> 00:01:15.788]  And the media spun it like it was a victory for Obama and his legacy.
[00:01:17.228 --> 00:01:22.089]  His legacy, like it's a football game, like the New England Patriots won something.
[00:01:23.170 --> 00:01:27.051]  This is, in the 240 year history of this country, the biggest
[00:01:28.362 --> 00:01:29.022]  We're good to go.
[00:01:45.530 --> 00:01:45.930]  I think?
[00:02:06.482 --> 00:02:08.484]  Look, in the past, armies conquered nations.
[00:02:08.764 --> 00:02:10.325]  Now, it's these corporate boards.
[00:02:10.385 --> 00:02:11.266]  It's all through fraud.
[00:02:11.907 --> 00:02:13.228]  We can expect to be looted.
[00:02:13.748 --> 00:02:18.272]  We can expect to have our laws made in secret, just like the people of the European Union.
[00:02:18.892 --> 00:02:21.434]  This is a very sad day for America.
[00:02:21.514 --> 00:02:22.395]  It's so surreal.
[00:02:22.475 --> 00:02:24.217]  It's so breathtaking.
[00:02:24.417 --> 00:02:26.599]  I have trouble myself believing it happened.
[00:02:27.139 --> 00:02:39.569]  I was so excited last week when there was incredible pressure on the House and they voted it down, but Obama traveled to the Hill, twisted arms, and got a bunch of Democrats to go over to him.
[00:02:40.310 --> 00:02:45.595]  They used the whole Confederate battle flag diversion as a way to get people obsessed on that.
[00:02:46.602 --> 00:02:48.205]  And we took it hook, line, and sinker.
[00:02:49.147 --> 00:02:53.095]  Now is the fight to try to stop them from fully implementing it.
[00:02:53.917 --> 00:02:57.063]  But the whole thing's secret in perpetuity, so how do you fight something that's invisible?
[00:02:57.844 --> 00:02:58.265]  It's stealth.
[00:02:59.144 --> 00:03:12.473]  That's what the North American Union documents talked about that got released by Judicial Watch when they sued back in 2007, was that it's North American integration by stealth, that they would then integrate North America with the other unions by stealth as well.
[00:03:12.513 --> 00:03:13.254]  That's in the document.
[00:03:13.674 --> 00:03:15.875]  I cover it in my film, Endgame, Blueprint for Global Enslavement.
[00:03:16.476 --> 00:03:18.937]  We'll be on the radio tomorrow, 11 a.m.
[00:03:18.977 --> 00:03:20.478]  to 2 p.m., talking about this issue.
[00:03:20.518 --> 00:03:22.320]  But understand, the bottom's now falling out.
[00:03:22.560 --> 00:03:23.921]  The government's gone full tyranny.
[00:03:26.571 --> 00:03:30.692]  And nothing is stopping them now because of the blackmail, the insider trading, whatever it is.
[00:03:31.593 --> 00:03:33.513]  Katie barred the door all over the world.
[00:03:34.754 --> 00:03:41.155]  Governments are pledging their support to the big six mega banks and we are headed towards world government.
[00:03:41.195 --> 00:03:42.596]  The Pope has called for a global government.
[00:03:44.376 --> 00:03:45.917]  Everybody's calling for one in the establishment.
[00:03:46.017 --> 00:03:52.379]  It is a unified front, left, right and center, to bring in an unelected, secretive, planetary corporate government.
[00:03:52.819 --> 00:03:55.900]  We have been conquered by Goldman Sachs and JP Morgan and the Bank of England.
[00:03:56.752 --> 00:04:06.274]  This country that was somewhat free since our revolution in 1776 wasn't perfect, but became the apple of the world's eye because we had more freedom than others, has now sunk into the mud.
[00:04:06.995 --> 00:04:08.655]  And this is a devastating blow.
[00:04:09.875 --> 00:04:20.158]  While we were busy complaining about Confederate flags and sex changes for Jenner, while we were busy in trance by the television, our country was stolen.
[00:04:20.518 --> 00:04:24.459]  As Thomas Jefferson warned, if private central banks are ever allowed to issue the currency,
[00:04:25.430 --> 00:04:27.653]  Our grandchildren will wake up homeless.
[00:04:28.394 --> 00:04:29.815]  On the continent our forebearers conquered.
[00:04:30.496 --> 00:04:32.679]  I'm Alex Jones from the front lines of the Infowar.
[00:04:33.139 --> 00:04:34.501]  The tyranny is just starting.
[00:04:35.262 --> 00:04:37.425]  But humanity fighting back has just begun.
[00:04:38.663 --> 00:04:39.684]  Alright, that's Alex Jones.
[00:04:39.704 --> 00:04:44.968]  That's a recorded message that you can see on YouTube as well as the Infowars channel.
[00:04:44.988 --> 00:04:47.630]  We're going to be talking more about what this means.
