[00:00:14.440 --> 00:00:18.842]  Last Thursday morning, 148 Kenyan University students were slaughtered.
[00:00:18.902 --> 00:00:28.045]  The al-Shabaab terrorists from neighboring Somalia took their time executing and beheading Christians and innocents that could not or would not recite from the Quran.
[00:00:28.426 --> 00:00:37.229]  It took troops from Kenya's capital, Nairobi, to finally arrive in Garissa just before 2 p.m., seven hours after the massacre began.
[00:00:37.509 --> 00:00:48.360]  What is adequate about 150 people face down on the ground, many of them shot in the head, execution style, and parents and students saying, we were waiting for several hours?
[00:00:48.400 --> 00:01:00.932]  The response was adequate, and because of the military garrison that was actually quite close to the university, one cannot actually say that the response was slow.
[00:01:01.232 --> 00:01:12.637]  While it took the Kenyan military a neglectful seven hours to finally arrive at the massacre in Garissa, the United States reflects that same slothful response our taxpayer dollars burned for.
[00:01:12.978 --> 00:01:17.440]  Patty showed them a small revolver she was carefully holding in the palm of her hand.
[00:01:18.200 --> 00:01:21.822]  A camera crew was there to capture what unfolded next.
[00:01:24.907 --> 00:01:26.731]  I said, it's not even loaded.
[00:01:27.393 --> 00:01:30.440]  And I dropped it on the floor.
[00:01:30.861 --> 00:01:32.685]  Well, they punched me in the face.
[00:01:34.670 --> 00:01:36.532]  Look at my black and blue marks.
[00:01:36.672 --> 00:01:39.414]  Look at what they did to me.
[00:01:39.514 --> 00:01:40.615]  No one will be able to be armed.
[00:01:40.776 --> 00:01:42.037]  We will take all weapons.
[00:01:42.217 --> 00:01:47.221]  Katrina was the dry run for what we have come to expect from the federal response.
[00:01:47.602 --> 00:02:00.974]  Katrina was surreptitiously politicized by the Bush administration, while hundreds of volunteer firefighters and National Guard were ordered to wait for days until finally being authorized to respond to the massive devastation.
[00:02:01.474 --> 00:02:12.283]  During the ordeal, then-Vice President Cheney ordered a Mississippi Electricity Cooperative to restore power to a gas pipeline rather than restoring power to two rural hospitals.
[00:02:12.703 --> 00:02:22.351]  And after the fact, we learned that the White House was fully aware that the levees had broken and flooding was underway as it happened, contrary to what they told the public.
[00:02:24.232 --> 00:02:26.815]  It is chaos along the Jersey Shore.
[00:02:28.176 --> 00:02:30.778]  The superstorm battering the barrier islands.
[00:02:31.832 --> 00:02:33.673]  In the crosshairs, Atlantic City.
[00:02:34.014 --> 00:02:36.015]  Look, talk about a delayed reaction.
[00:02:36.035 --> 00:02:41.219]  It's kind of like Force 10 from Navarone, where they detonate the dam and it doesn't collapse right away.
[00:02:41.259 --> 00:02:42.580]  It takes a few minutes.
[00:02:43.100 --> 00:02:48.304]  Well, Sandy's worse than I thought it was going to be.
[00:02:48.344 --> 00:02:55.670]  I thought it was mainly hype, and they still did overhype it as basically the storm of all time, Satan incarnate ravaging the East Coast.
[00:02:56.010 --> 00:03:00.093]  The cops were geared up in their, you know, paramilitary gear.
[00:03:00.133 --> 00:03:01.734]  They just didn't want to deal with anybody.
[00:03:01.794 --> 00:03:05.817]  I could kind of understand that, but you could tell some of these guys were really getting off on it.
[00:03:05.877 --> 00:03:08.559]  The Pentagon's done breakdowns in different countries watching this.
[00:03:08.740 --> 00:03:11.922]  Over 90% will start killing for food and water.
[00:03:12.382 --> 00:03:18.847]  And within 15 days, 90 plus percent, depending on which study, it's right over 90, become cannibals.
[00:03:20.208 --> 00:03:25.092]  Within 15 days, the 9 out of 10 plus people will start eating.
