[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[00:00:21.113 --> 00:00:25.715]  What an honor to be with you here today on this Wednesday, January 26th.
[00:00:28.303 --> 00:00:28.843]  2022.
[00:00:28.843 --> 00:00:37.653]  Alex coming up in the next segment, and then we'll be hearing from him again at the bottom of the hour.
[00:00:37.653 --> 00:00:49.486]  And I mean, boy, oh boy, what a time to be sitting at this desk behind this microphone as Joe Biden is going out for ice cream socials and boutique shopping sprees.
[00:00:51.400 --> 00:01:08.406]  I guess that's how he clears his mind as he weighs, and the people behind him weigh, whether or not they want to start World War III with Russia and China, and then see where the pieces fall after that.
[00:01:08.406 --> 00:01:18.069]  Now, the good news is, the American people in polls, whatever accuracy they represent, perhaps some form of accuracy,
[00:01:19.195 --> 00:01:24.137]  Polls are saying only 15% of people want to see the U.S.
[00:01:24.137 --> 00:01:29.899]  get involved with a potential war or foreign entanglements with Russia and Ukraine.
[00:01:29.899 --> 00:01:30.699]  So that's good news.
[00:01:30.699 --> 00:01:31.860]  The American people don't want it.
[00:01:31.860 --> 00:01:36.882]  Those 15% that want it probably live in, you know, northern Virginia, D.C.
[00:01:36.882 --> 00:01:37.262]  area.
[00:01:37.262 --> 00:01:38.202]  We know who.
[00:01:38.202 --> 00:01:39.723]  They want to remodel their homes.
[00:01:41.539 --> 00:01:51.902]  And then maybe just some crazed neocons and just some crazed brainwashed liberals who think, you know, if Biden dropped trowel and took a dump at the ice cream parlor, it'd be a good thing.
[00:01:51.902 --> 00:01:53.222]  So anything he does would be good.
[00:01:53.222 --> 00:01:58.823]  But most Americans don't want anything to do with Russia or Ukraine.
[00:01:58.823 --> 00:02:00.524]  It's just the Great Reset.
[00:02:00.524 --> 00:02:05.485]  It's just the corrupt American regime that, A, needs a distraction
[00:02:06.232 --> 00:02:20.283]  From the disaster that is the Biden administration, a distraction from all the information coming out on the vaccine injuries and a distraction from the disaster that has been the COVID response.
[00:02:20.283 --> 00:02:27.969]  So that's the big news story for today that we're going to be covering, but I've got a ton of news that we're going to cover and great guests coming up.
[00:02:27.969 --> 00:02:31.492]  But you know, here's the situation that we're in and it's a.
[00:02:33.126 --> 00:02:48.518]  It's a hard reality to accept, and this is why most people don't want to accept it, because it requires you to take some form of a survival mechanism response.
[00:02:48.518 --> 00:02:58.746]  That is, if you want to have a future, if you want to have a prosperous future, if you want your future generations of lineage to even exist.
[00:02:58.746 --> 00:02:59.907]  And so here's the analogy.
[00:03:01.018 --> 00:03:05.879]  Well, let's just start with this, and then we'll do the analogy.
[00:03:05.879 --> 00:03:08.500]  Just take COVID as an example.
[00:03:08.500 --> 00:03:13.041]  Just take COVID as the scenario.
[00:03:13.041 --> 00:03:29.805]  We know that Western interests, like Anthony Fauci, knew and took part in what was going on in the Wuhan Institute of Virology to make biological weapons for the Chinese Communist Army.
[00:03:31.055 --> 00:03:35.179]  That then escaped the lab, most likely intentionally.
[00:03:35.179 --> 00:03:37.921]  That's what the evidence would support.
[00:03:37.921 --> 00:03:41.084]  Intentionally, they released it.
[00:03:41.084 --> 00:03:49.151]  But either way, they then covered it up so that you wouldn't know about it, and that they wouldn't be held responsible.
[00:03:49.151 --> 00:03:51.614]  Now, you just think about how evil that is.
[00:03:53.396 --> 00:03:55.598]  You just think about how evil that is.
[00:03:55.598 --> 00:04:10.072]  As if it's not evil enough to make bioweapons with the Chinese Communist Military, but to then cover it up, make it worse, and then make that crisis into your power grab is total evil.
[00:04:10.072 --> 00:04:13.355]  So imagine, you're walking through the woods on a hike,
[00:04:14.758 --> 00:04:19.241]  And you see a bear kind of foraging around, maybe eating some berries.
[00:04:19.241 --> 00:04:20.281]  Doesn't look too threatening.
[00:04:20.281 --> 00:04:22.883]  It's kind of, it looks like it doesn't really have any interest in you.
[00:04:22.883 --> 00:04:24.404]  It's just kind of eating these berries or whatever.
