[00:00:00.649 --> 00:00:05.070]  This is truly an Emergency Saturday Broadcast.
[00:00:05.070 --> 00:00:09.291]  Saturday, January 15th, 2022.
[00:00:09.291 --> 00:00:24.054]  In just the last 24 hours, Mike Lindell's MyPillow has had its banking and credit card systems taken away, and they even recorded the bank saying it was because of the FBI.
[00:00:24.054 --> 00:00:28.215]  Then, minutes ago, we got confirmation, it's now in the news,
[00:00:28.959 --> 00:00:36.848]  That one American news has been taken off direct TV because of their questioning the election.
[00:00:36.848 --> 00:00:42.815]  The censorship that we've seen from big tech to start with Alex Jones three and a half years ago is now expanding across the board.
[00:00:42.815 --> 00:00:46.199]  And like Jews in Nazi Germany, people are literally now being put in
[00:00:47.551 --> 00:00:48.112]  We're good to go.
[00:01:11.517 --> 00:01:19.240]  And try to push us into a physical confrontation because they know they've intellectually and spiritually and economically lost the American people.
[00:01:19.240 --> 00:01:20.661]  They're losing.
[00:01:20.661 --> 00:01:23.282]  And so they're doing what tyrants do.
[00:01:23.282 --> 00:01:27.043]  They are bringing in an authoritarian state and not letting you question elections.
[00:01:27.043 --> 00:01:30.244]  Because as Biden said on Friday, I don't care who cast the votes.
[00:01:30.244 --> 00:01:31.425]  I care who counts them.
[00:01:31.425 --> 00:01:33.806]  Quoting Joseph Stalin again.
[00:01:33.806 --> 00:01:35.807]  So take this report, share this live feed.
[00:01:36.894 --> 00:01:46.901]  Get everything you can out there now because they don't want us to have real elections in 297 days and they are closing the door on the American Republic.
[00:01:46.901 --> 00:02:00.091]  Stay with us.
[00:02:00.091 --> 00:02:00.712]  It's Saturday.
[00:02:04.455 --> 00:02:08.557]  InfoWars, tomorrow's news today.
[00:02:08.557 --> 00:02:15.460]  It's Saturday, January 15th, 2022, and I'm your host, Alex Jones.
[00:02:15.460 --> 00:02:32.707]  Well, it is beyond surreal to have been on air 20 years ago and to have had Jonathan Turley and many other constitutional lawyers on decrying the Patriot Act and warning that it would be used against the American people.
[00:02:35.976 --> 00:02:56.222]  And that they would be establishing a domestic terrorism bureau, where if the Justice Department designates a terror group, a terror group, if you even unknowingly aid them with giving them a sandwich on the side of the road or loaning them a dollar, you go to prison for decades.
[00:02:56.222 --> 00:02:58.742]  And to be here in the year 2022,
[00:03:01.676 --> 00:03:17.684]  And to be the subject of that, in the January 6th investigation, that is a counter-terrorist investigation, and to have CNN and MSNBC and all of them calling for my arrest, saying clearly I was in a plan with Trump and others.
[00:03:17.684 --> 00:03:26.869]  It's like a mafia investigation from the protesters, you know, on up to the captains, on up to Alex Jones and President Trump.
[00:03:30.285 --> 00:03:34.667]  Absolute bull.
[00:03:34.667 --> 00:03:46.231]  But I have a responsibility here to admit when we've been wrong about things, and to be honest, because that's my superpower, is being honest.
[00:03:46.231 --> 00:03:54.715]  That's why it's very upsetting to me to see the talking point they use all over the corporate media, who are the professional liars, that I'm a known liar.
[00:03:55.899 --> 00:03:57.801]  I'm a known liar.
[00:03:57.801 --> 00:04:01.724]  Really, is that why the internet has the saying, Alex Jones was right again?
[00:04:01.724 --> 00:04:03.826]  The Alex Jones tip jar is overflowing.
[00:04:03.826 --> 00:04:06.368]  Alex Jones is never wrong.
[00:04:06.368 --> 00:04:08.470]  And of course, I've really corrected that.
[00:04:08.470 --> 00:04:10.592]  It has the best ring to it, but it's not true.
[00:04:10.592 --> 00:04:11.472]  I've made a lot of mistakes.
[00:04:11.472 --> 00:04:18.398]  I've been wrong quite a bit because I make thousands of decisions every week on things I say and things I do and things I look at.
[00:04:18.398 --> 00:04:20.280]  Sometimes I get exhausted.
[00:04:20.280 --> 00:04:21.161]  Sometimes I get tired.
[00:04:22.390 --> 00:04:30.393]  And sometimes, you know, I go on autopilot, and the autopilot Alex Jones is not as nice as the bright-eyed, mushy-tailed Alex Jones.
[00:04:30.393 --> 00:04:35.774]  And so I'm going to make this announcement right here, an announcement of an upcoming announcement.
[00:04:35.774 --> 00:04:42.957]  I have decided to take off a lengthy period of time in the next few weeks.
[00:04:42.957 --> 00:04:46.398]  I always say I'm going to have a vacation, and then I've worked the whole time, as you know.
[00:04:47.461 --> 00:04:53.387]  But I'm talking about two, three, four weeks, just because of where the world is, everything that's happening.
[00:04:53.387 --> 00:04:59.873]  And I think when I come back, Owen and Harrison and others, they'll deserve a two or three week long vacation.
[00:04:59.873 --> 00:05:02.475]  Because here's why I have to do it.
[00:05:02.475 --> 00:05:06.318]  You can't just drive a car's engine for 10 days straight, it'll blow up.
[00:05:06.318 --> 00:05:08.921]  And I've been driving my engine for about nine days straight, to use that metaphor.
[00:05:13.280 --> 00:05:37.537]  Where the world's going is so dangerous and so many truly evil things are happening by design right now via the New World Order scientific dictatorship takeover that I absolutely must just stay home with my wife and children and exercise and pray and meditate on things to get myself ready
[00:05:38.700 --> 00:05:41.441]  Personally, for what's coming in the next 397 days.
[00:05:41.441 --> 00:05:51.645]  And of course, the instant some massive event happens, like a war with Russia or a giant earthquake hitting the San Andreas Fault or something like that, I'll be here.
[00:05:51.645 --> 00:05:59.308]  But barring a catastrophe, and they did have a big tsunami hit a bunch of South Pacific islands today, so those things happen.
[00:05:59.308 --> 00:06:05.191]  Barring that, which is a good chance something bad will happen that's so big I have to come, new power outages, you name it, I'll be here.
[00:06:07.237 --> 00:06:10.759]  I've got to unplug it, and so do you.
[00:06:10.759 --> 00:06:15.962]  But the real reason I have to do this is, all I do is work now.
[00:06:15.962 --> 00:06:18.803]  You know, I have burnout repeatedly.
[00:06:18.803 --> 00:06:21.724]  And a lot of people burnout and, you know, can't ever get off the couch again.
[00:06:21.724 --> 00:06:22.925]  I'm the opposite.
[00:06:22.925 --> 00:06:25.746]  When I burnout, I just stop sleeping and work all the time.
[00:06:25.746 --> 00:06:29.969]  I worked, no exaggeration, 20 hours yesterday.
[00:06:29.969 --> 00:06:30.509]  20 hours.
[00:06:30.509 --> 00:06:30.809]  20 hours.
[00:06:33.229 --> 00:06:37.272]  And I tried to go to bed, couldn't sleep, slept about an hour and a half.
[00:06:37.272 --> 00:06:40.835]  And I have this massive energy right now.
[00:06:40.835 --> 00:06:42.536]  But I know this is not good for me.
[00:06:42.536 --> 00:06:44.457]  This is not good.
[00:06:44.457 --> 00:06:49.501]  And so I've got to just totally turn the phone off, turn the computers off, hide everything.
[00:06:49.501 --> 00:06:52.483]  I'm going to have to hide my phone from myself.
[00:06:52.483 --> 00:07:00.489]  And just... I mean, I plan to probably pray an hour a day.
[00:07:00.489 --> 00:07:01.610]  That's what I really need to do.
[00:07:01.610 --> 00:07:02.491]  I need to get close to God.
[00:07:04.275 --> 00:07:07.216]  Look, now, I'm never going to quit.
[00:07:07.216 --> 00:07:07.976]  I'm never going to back down.
[00:07:07.976 --> 00:07:09.997]  I'm never going to give up.
[00:07:09.997 --> 00:07:24.062]  But I do need to pivot, and all of us need to pivot, and really understand the world we've been through, and what the globalists are trying to establish, and what they're wargaming, and then not play the game, like the 1983 film War Games.
