[00:00.000 --> 00:15.000]  Music
[00:15.000 --> 00:20.000]  Infowars, tomorrow's news, today.
[00:20.000 --> 00:23.000]  SAC, this is Crystal Palace.
[00:23.000 --> 00:25.000]  Zincno Radders declare DEF CON 3.
[00:25.000 --> 00:27.000]  Scramble all alert aircraft.
[00:27.000 --> 00:29.000]  I repeat, scramble all alert aircraft.
[00:29.000 --> 00:34.000]  The whopper spends all its time thinking about World War 3.
[00:34.000 --> 00:36.000]  Target selection complete.
[00:36.000 --> 00:38.000]  Time on target sequence complete.
[00:38.000 --> 00:42.000]  22 Typhoon class submarines departing Petropavlov,
[00:42.000 --> 00:46.000]  turning south out of Nordkapp, bearing 095 degrees.
[00:46.000 --> 00:50.000]  Radar reports two unknown tracks are penetrating the Alaskan Air Defense Zone.
[00:50.000 --> 00:54.000]  From the front lines of the information war.
[00:54.000 --> 00:57.000]  Flush the bombers, get the subs in launch mode.
[00:57.000 --> 01:00.000]  We are at DEF CON 1.
[01:00.000 --> 01:04.000]  Are you prepared to destroy the enemy?
[01:04.000 --> 01:09.000]  Defending the Republic from enemies, foreign and domestic.
[01:09.000 --> 01:12.000]  We'll keep control, but we'll keep it here at the top where it belongs.
[01:12.000 --> 01:17.000]  Three, two, one, impact.
[01:17.000 --> 01:19.000]  Shall we play a game?
[01:19.000 --> 01:25.000]  How about global thermal nuclear war?
[01:25.000 --> 01:30.000]  Live from the Infowars.com studios, it's Alex Jones.
[01:30.000 --> 01:34.000]  All units confirm weapons targeted and ready, awaiting launch codes.
[01:34.000 --> 01:36.000]  We are in launch mode.
[01:36.000 --> 01:40.000]  Do you really believe that the enemy would attack without provocation?
[01:40.000 --> 01:44.000]  If you are receiving this transmission, you are the resistance.
[01:44.000 --> 01:45.000]  We're in.
[01:45.000 --> 01:47.000]  Russians are still denying everything, sir.
[01:47.000 --> 01:50.000]  We have a Soviet submarine launch detection.
[01:50.000 --> 01:52.000]  I wish I didn't know about any of this.
[01:52.000 --> 01:54.000]  I wish I was like everybody else.
[01:54.000 --> 01:56.000]  Change again.
[01:56.000 --> 02:01.000]  The only winning goal is not to play.
[02:01.000 --> 02:19.000]  The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[02:19.000 --> 02:27.000]  It takes about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[02:27.000 --> 02:35.000]  As president, I will make it clear that the United States will treat cyber attacks just like any other attack.
[02:35.000 --> 02:41.000]  We will be ready with serious political, economic and military responses.
[02:41.000 --> 02:47.000]  They are voting for peace on planet Earth if they vote for Trump, but if they vote for Hillary, it's war.
[02:47.000 --> 02:52.000]  We came, we saw, we died.
[02:52.000 --> 02:54.000]  With her, you'll end up in World War II.
[02:54.000 --> 02:58.000]  I want the Iranians to know that if I'm the president, we will attack Iran.
[02:58.000 --> 03:08.000]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[03:08.000 --> 03:12.000]  The U.S. military has just raised the threat level to DEF CON 2.
[03:12.000 --> 03:20.000]  Meanwhile, Hillary Clinton is still threatening Russia with military action following unconfirmed reports of further hacking.
[03:20.000 --> 03:23.000]  It's like she's not even concerned about the repercussions.
[03:23.000 --> 03:24.000]  Of course not, because she's...
[03:24.000 --> 03:29.000]  Look, there's a really loud noise.
[03:29.000 --> 03:31.000]  Alright, it looks like we're having a little bit of technical difficulties.
[03:31.000 --> 03:37.000]  We'll try to get Leanne back on in a few minutes.
[03:37.000 --> 03:42.000]  When the president gives the order, it must be followed.
[04:07.000 --> 04:36.000]  I just got back last night from Connecticut in the show trial, and I've been following the news globally of war escalating to incredibly dangerous levels in Ukraine.
[04:36.000 --> 04:48.000]  And I'm strongly considering not even going back to testify on my own behalf in our part of the show trial, because I'm that concerned I can get stuck there without my family when nuclear war breaks out.
[04:48.000 --> 04:52.000]  That's why I took my wife and my youngest daughter with me.
[04:52.000 --> 04:56.000]  The other children are grown up or almost out of school.
[04:56.000 --> 04:57.000]  Two are out.
[04:57.000 --> 05:01.000]  One is still in high school, and they've got my parents and family here.
[05:01.000 --> 05:03.000]  I mean, it's that serious, okay?
[05:03.000 --> 05:06.000]  And I've never acted like that. I've never behaved like that.
[05:06.000 --> 05:11.000]  I seriously may not even be able to go to Connecticut and defend myself, because it doesn't matter.
[05:11.000 --> 05:13.000]  We're going into a global depression.
