[00:00:00.089 --> 00:00:02.291]  The Liberal World Order!
[00:00:03.412 --> 00:00:10.097]  Cutting your power, brainwashing your children, destroying your currency, annihilating your borders, and drag queen pedophile time.
[00:00:11.598 --> 00:00:12.559]  It's live!
[00:00:14.180 --> 00:00:18.003]  You're now living inside the New World Order.
[00:00:20.484 --> 00:00:25.484]   You can pretend you're part of it and be destroyed, or you can wake up and connect to God and get informed,
[00:00:25.484 --> 00:00:28.484]  get ready and start informing others, and win.
[00:00:28.484 --> 00:00:38.484]  [Music]
[00:00:38.357 --> 00:00:40.357]  It's Alex Jones.
[00:00:40.357 --> 00:00:56.357]   While 80% of the world's population continues on with oil and gas,
[00:00:56.357 --> 00:01:02.357]   the United States and a small handful of Western nations have decided to go green,
[00:01:02.357 --> 00:01:04.358]  even if it kills everyone.
[00:01:04.687 --> 00:01:16.514]  They have already admitted that the disruptive economic burden this will cause is exactly the sort of pressure required to inspire the innovation needed to make it all work someday.
[00:01:17.295 --> 00:01:18.456]  Because that's the plan.
[00:01:18.716 --> 00:01:22.038]  There are no viable solutions to replace oil and gas.
[00:01:22.458 --> 00:01:33.185]  So the sooner we can figure it out, the sooner we can stop the endless rise of inflation, starvation and death that will obviously result from shutting off our energy taps.
[00:01:34.125 --> 00:01:40.149]  And a new company has already appeared, albeit with a bizarre solution to our problems.
[00:01:41.010 --> 00:01:49.735]  A massive meat rendering facility is set to break ground next year in Rapid City, South Dakota, and be completed by 2026.
[00:01:52.117 --> 00:02:00.362]  With the ordinary name, the Western Legacy Development Corporation, one might never guess how innovative this company actually is.
[00:02:01.653 --> 00:02:16.636]  The Western Legacy Development Corporation will process cattle and bison completely with robotics and artificial intelligence, including new laser technology air knives that use a high-velocity airstream to de-hide the animals.
[00:02:17.597 --> 00:02:27.179]  The Western Legacy Development Corporation is building a massive 1 million square foot meat factory that will be operating at levels as high as 8,000 cattle per day.
[00:02:29.321 --> 00:02:38.529]  Now, one might ask, what about all this social engineering to stop eating real beef and get used to eating lab-grown meat and bugs?
[00:02:38.990 --> 00:02:42.353]  Aren't we being told that cow farts are bad for the environment?
[00:02:42.933 --> 00:02:51.961]  Well, as it turns out, the Western Legacy Development Corporation isn't necessarily going to be processing 3 million cattle per year for food.
[00:02:52.662 --> 00:02:59.091]  The Western Legacy Development Corporation will be collecting animal fat to be used as feed and fuel.
[00:02:59.552 --> 00:03:05.260]  A biofuel that they will use to power their very own one million square foot facility.
[00:03:06.061 --> 00:03:07.323]  Now how green is that?
[00:03:08.348 --> 00:03:14.210]  Well, maybe not small-farm, grass-fed level green, but still, it's pretty green.
[00:03:15.210 --> 00:03:21.151]  Rapid City is a small town, and many residents are asking, where will they get 8,000 cattle a day?
[00:03:21.732 --> 00:03:22.712]  And where will they keep them?
[00:03:23.272 --> 00:03:28.593]  And where will they get 2,500 employees, which is 3% of their population?
[00:03:29.014 --> 00:03:30.094]  And where will they house them?
[00:03:30.914 --> 00:03:45.361]  These questions weren't really answered, but we do know that they plan to have a thriving rail system that will be offloading thousands of cattle each and every day directly into the AI robot laser slaughterhouse for immediate processing.
[00:03:46.261 --> 00:03:48.402]  So they won't need to store the cattle anywhere.
[00:03:49.002 --> 00:04:01.785]  Now, while this may sound like some sort of crazy economist's solution to cleaning up a mass murder, or even some kind of Soylent Green scenario where the government is chopping up people in a factory for food.
[00:04:02.385 --> 00:04:04.145]  And in this case, energy.
[00:04:04.385 --> 00:04:06.226]  Soylent Green is people!
[00:04:07.961 --> 00:04:12.664]  We are told that it's all for the environment, so I'm sure it's all good.
[00:04:13.284 --> 00:04:17.566]  And hey, at least we won't be burning any more oil, like the rest of the world.
[00:04:18.167 --> 00:04:20.568]  And don't worry, trust the science.
[00:04:20.648 --> 00:04:21.008]  Russia.
[00:04:22.129 --> 00:04:23.469]  Russia, Russia, Russia.
[00:04:23.589 --> 00:04:24.690]  And remember the plan.
[00:04:25.270 --> 00:04:29.573]  Once we really start suffering, someone will eventually think of a solution.
[00:04:30.193 --> 00:04:35.416]  And if not, at least we were willing to die for a criminal government run by pedophiles.
[00:04:37.034 --> 00:04:39.594]  Reporting for InfoWars, this is Greg Reese.
[00:04:40.555 --> 00:04:44.315]  Ladies and gentlemen, it is Tuesday, July 5th, 2022.
[00:04:44.415 --> 00:04:45.516]  I'm your host, Alex Jones.
[00:04:46.236 --> 00:04:49.056]  In the command seat in the ATX, stay with us.
[00:04:49.476 --> 00:04:50.716]  InfoWars.com.
[00:04:50.756 --> 00:04:51.657]  Tomorrow's news.
[00:04:51.697 --> 00:04:55.697]   Today today today Oh
[00:04:55.697 --> 00:04:59.697]   Oh Oh
[00:04:59.697 --> 00:05:03.697]   Oh Oh
[00:05:03.697 --> 00:05:07.697]   Oh Oh
[00:05:07.697 --> 00:05:09.697]  Oh my god, it's got Shag!
[00:05:09.697 --> 00:05:11.697]  Oh my god, it's got shit!
[00:05:11.347 --> 00:05:17.427]  This is the shooting in Highland, Illinois on July 4th.
[00:05:17.427 --> 00:05:19.427]  I didn't record that.
[00:05:19.427 --> 00:05:24.427]  I can't believe I actually.
[00:05:24.427 --> 00:05:34.747]   And a man fitting the almost identical description as all the other mass shooters
[00:05:34.747 --> 00:05:42.787]  has now been caught by the police today after a chase.
[00:05:42.787 --> 00:05:46.106]  [BLANK_AUDIO]
[00:05:46.188 --> 00:05:48.312]  This is the world we live in, ladies and gentlemen.
[00:05:50.635 --> 00:05:59.960]  Three dead people last week in a tractor-trailer outside San Antonio, locked in there to die by the human smugglers because their families hadn't paid the second half of the money.
[00:06:00.441 --> 00:06:02.282]  That will just go away in the wash.
[00:06:02.362 --> 00:06:03.663]  No one's going to blame 18-wheelers.
[00:06:04.143 --> 00:06:08.805]  No one's going to blame tractor-trailers that could be used as cages to kill people in the heat.
[00:06:09.546 --> 00:06:12.988]  They're used every week by the coyotes, by the human smugglers to do that.
[00:06:15.660 --> 00:06:24.048]  You wouldn't blame the tractor-trailer, you wouldn't blame the 18-wheeler, you wouldn't blame the machine, you'd blame the psychotic evil!
[00:06:25.894 --> 00:06:27.475]  Of someone that would do something like that.
[00:06:27.515 --> 00:06:31.438]  In fact, I saw a headline from the UN itself yesterday.
[00:06:31.478 --> 00:06:32.399]  I forgot to send it to the crew.
[00:06:32.419 --> 00:06:33.960]  I'm going to ask the crew to grab it.
[00:06:34.940 --> 00:06:42.966]  UN agency lists Texas-Mexico border as the most dangerous land crossing in the world.
[00:06:42.986 --> 00:06:43.887]  And they give us statistics.
[00:06:43.947 --> 00:06:49.311]  In fact, it's twice as dangerous as the next most dangerous border crossing.
[00:06:50.992 --> 00:06:52.493]  And that's into Arizona.
[00:06:54.318 --> 00:06:55.279]  And it goes on from there.
[00:06:56.000 --> 00:06:58.823]  Tens of thousands dead a year on both sides.
[00:06:59.444 --> 00:07:01.846]  Not even a radar blip.
[00:07:03.228 --> 00:07:07.392]  But we have less than 150 people killed in mass shootings a year.
[00:07:07.452 --> 00:07:08.233]  Still way too many.
[00:07:08.253 --> 00:07:11.196]  We just had 6 killed in Illinois.
[00:07:11.216 --> 00:07:11.797]  21 killed in Uvalde.
[00:07:16.621 --> 00:07:26.610]  And the media will hype the hell out of it and there will be more copycats, mentally ill, highly suggestible individuals on psychotropics.
[00:07:29.312 --> 00:07:45.392]   The individual who is reportedly the shooter, Bobby Cremo, had a YouTube channel.
[00:07:45.483 --> 00:07:46.844]  It was taken down last night.
[00:07:48.025 --> 00:07:51.107]  I watched all 26 videos on it yesterday.
[00:07:51.127 --> 00:07:54.169]  You talk about depressing and scary.
[00:07:54.229 --> 00:07:55.690]  I sent links to it to my producers.
[00:07:56.330 --> 00:07:58.392]  By the time they got here at 7 a.m.
[00:07:58.432 --> 00:08:01.634]  this morning, they'd all been deleted, but they were able to find some of them.
[00:08:01.654 --> 00:08:03.836]  But let me tell you what's on them.
[00:08:03.896 --> 00:08:05.056]  Extremely haunting.
[00:08:05.237 --> 00:08:06.337]  I watched every one of them.
[00:08:08.699 --> 00:08:11.401]  He did animations about mass shooting at schools.
[00:08:12.322 --> 00:08:14.003]  Complete with crying and screaming and blood.
[00:08:17.048 --> 00:08:19.049]  He made music videos about the same thing.
[00:08:19.089 --> 00:08:40.840]  He even got into the school that he went to years ago and shot a music video inside of it and later dressed up like paramilitary with a military helmet and rifle and described what he was going to do.
[00:08:42.145 --> 00:08:44.486]  They have red flag laws already in place in Illinois.
[00:08:45.106 --> 00:09:05.772]  And just like Uvalde, and just like Colorado with Harrison Kleibold and Columbine, and just like Sandy Hook, New Haven, Connecticut, and just like every single one of them, it's an incel into the occult, obsessed with shoot-em-up games.
[00:09:08.393 --> 00:09:21.560]  Who said in the music videos that he was under mind control, and just wanted to sleep, and was under someone else's control, and that he didn't want to do what he was going to do, but that he had to.
[00:09:25.262 --> 00:09:37.729]  Even more dramatic, even more open than the shooter in Florida at Parkland a few years ago, who was called in the school, the school shooter.
[00:09:39.298 --> 00:09:47.023]  And who was kicked out of school for stealing and making threats when he rode his bicycle to the school and shot the people inside.
[00:09:47.384 --> 00:09:48.724]  And again, the police stood down.
[00:09:50.646 --> 00:09:52.247]  The police did not stand down.
[00:09:54.869 --> 00:09:56.770]  In Illinois yesterday, they charged him.
[00:09:58.411 --> 00:10:02.534]  And they did not stand down with a shooter in Philadelphia at a July 4th event.
[00:10:02.914 --> 00:10:05.496]  And two of the officers were shot, but they were able to stop him.
[00:10:06.943 --> 00:10:16.691]  So good for the police in Philadelphia, Pennsylvania, and good for the police in Highland Park, Illinois.
[00:10:17.472 --> 00:10:24.618]  They did not act in disgraceful, disgusting fashion like the police in Florida and Texas.
[00:10:27.441 --> 00:10:38.833]   But if I had to create an image of a demonic slave, an entity, a human totally taken over by evil, Bobby Cremio would be it.
[00:10:41.335 --> 00:10:44.276]  Now, we have at least five of the videos we were able to find.
[00:10:44.316 --> 00:10:47.919]  I watched over 20 of them last night, some repeatedly.
[00:10:47.939 --> 00:10:55.744]  And I should have called crew and had them download them then, but it was 4th of July and it was 8 o'clock at night by the time I started watching them.
[00:10:55.764 --> 00:10:57.385]  It was past 10 before I'd finished.
[00:10:58.849 --> 00:11:01.772]  And they did get some of the bad ones, but some of them they did not get.
[00:11:02.152 --> 00:11:05.836]  I'm sure somebody will dig them up, but I really don't want to subject you to this.
[00:11:08.158 --> 00:11:09.599]  I mean, very haunting.
[00:11:10.140 --> 00:11:18.667]  Some of the music's actually pretty good beats, but you hear total depression and total desperateness in this.
[00:11:20.209 --> 00:11:23.312]  So, this is why we have guns.
[00:11:24.481 --> 00:11:29.841]   is because with the collapse of civilization and the satanic takeover that's happening
[00:11:29.841 --> 00:11:34.481]   and the economic collapse that's accelerating and inflation and when the EBT cards still get
[00:11:34.481 --> 00:11:38.321]   money put on them but it won't buy what people need to live you're going to see
[00:11:38.321 --> 00:11:44.000]   as Klaus Schwab says a much angrier world which they're designing to bring down civilization.
[00:11:44.160 --> 00:11:51.105]  They're attacking the energy, they're attacking the food processing, they're attacking the borders, they're attacking the currency, they're attacking us at every level.
[00:11:51.465 --> 00:12:04.034]  This is the planned Great Reset to collapse civilization to build on its ashes their New World Order after a 90% depopulation operation.
[00:12:05.996 --> 00:12:10.068]   But He, the evidence is overwhelming.
[00:12:10.088 --> 00:12:11.469]  The left's trying to blame the right wing.
[00:12:11.489 --> 00:12:13.711]  The right wing's trying to blame the left wing.
[00:12:13.751 --> 00:12:14.672]  I did a deep study.
[00:12:15.392 --> 00:12:17.754]  Probably a four hour dive on this guy last night.
[00:12:18.635 --> 00:12:20.356]  Two hours watching the sickening videos.
[00:12:22.558 --> 00:12:24.600]  The haunting videos of him.
[00:12:24.620 --> 00:12:28.603]  His music videos and his art videos and his animation pieces.
[00:12:29.924 --> 00:12:31.406]  Most of them about shooting up schools.
[00:12:33.748 --> 00:12:36.150]  And I can tell you that it's demonic.
[00:12:37.591 --> 00:12:40.413]  Just like all the other shootings of this nature.
[00:12:40.954 --> 00:12:46.439]  And it's 100% driven by seeing the mass shootings in the media and it being hyped up.
[00:12:48.580 --> 00:12:56.107]  And he even created music videos of himself after he did a mass shooting at a parade, being killed by police and laying in a pool of blood.
[00:12:58.889 --> 00:13:04.194]  But what he wanted to have happen to him did not happen to him.
[00:13:04.254 --> 00:13:07.329]   He is now Alive.
[00:13:09.011 --> 00:13:10.432]  Captured by the police.
[00:13:11.713 --> 00:13:44.191]   And as this evil rises, especially in the blue cities, the system wants our guns so they can carry out the organized enslavement and extermination that we've seen in Maoist China, Stalinists and Leninists, Russia, Hitler's Germany, Pol Pot's Cambodia, Fidel Castro's Cuba, Hugo Chavez is Venezuela and countless other nations where the public is disarmed and are absolutely at the mercy of the criminal governments.
[00:13:47.275 --> 00:13:52.302]  This individual, Bobby Cremio, is the definition of mind control.
[00:13:53.490 --> 00:13:55.992]  You also like to dress up wearing FBI agent outfits.
[00:13:56.673 --> 00:14:17.270]  And just like the white supremacist shooter followed the same MO in Buffalo, New York, and was under constant contact with a retired federal agent, I will bet you my bottom dollar that this individual was under cultural mass mind control and probably directed mind control.
[00:14:17.390 --> 00:14:23.230]  And I told you the season of the mass shootings is coming.
[00:14:23.230 --> 00:14:27.630]  And you can expect more of this.
[00:14:28.397 --> 00:14:30.318]  Remember, Tim McVeigh said he was under mind control.
[00:14:30.698 --> 00:14:32.039]  Theodore Kuczynski was under mind control.
[00:14:32.079 --> 00:14:33.480]  The Unabomber, on record, L.A.
[00:14:33.500 --> 00:14:34.901]  Times, came out in court.
[00:14:36.282 --> 00:14:39.884]  This has mind control, MKUltra, CIA written all over it.
[00:14:40.705 --> 00:14:48.210]  Coming to you from the Embattled Info Wars headquarters in Austin, Texas, broadcasting worldwide, this is the Alex Jones Show, and I am your host.
[00:14:48.750 --> 00:14:58.492]   Well, it turns out our psycho poster boy of mind control, Bobby Cremio, from the Fourth of July shooting in Highland Park, Illinois.
[00:14:58.512 --> 00:15:01.013]  It was more prolific than I even knew.
[00:15:02.173 --> 00:15:07.995]  More videos of him on Facebook and other places have surfaced, reaching out to his FBI handlers.
[00:15:08.635 --> 00:15:09.695]  Here's one of those clips.
[00:15:12.636 --> 00:15:15.497]  I'll see y'all later.
[00:15:18.258 --> 00:15:20.358]  Goodbye, Mr. FBI agent.
[00:15:21.358 --> 00:15:29.157]   Okay Completely mentally ill
[00:15:29.537 --> 00:15:30.758]  Totally out of his mind.
[00:15:32.879 --> 00:15:38.302]  And through the drugs, through the shoot-em-up games, through the culture, through the copycatting, they can mind control now through the culture.
[00:15:39.383 --> 00:15:49.289]  But many times they'll have a federal handler as well, and that turned out to be the case, obviously, in the failed kidnapping of Governor Whitmer in Michigan.
[00:15:50.197 --> 00:15:54.340]  And of course, the FBI handler in the Buffalo shooting.
[00:15:55.140 --> 00:15:57.381]  I mean, this is bad, ladies and gentlemen.
[00:15:58.362 --> 00:15:59.643]  He dressed up as communist.
[00:15:59.703 --> 00:16:01.064]  He dressed up as Trump supporters.
[00:16:02.104 --> 00:16:03.165]  He dressed up as a woman.
[00:16:04.145 --> 00:16:05.226]  He dressed up as the Joker.
[00:16:05.246 --> 00:16:13.209]   And when you see those eyes of your TV viewer, when you see that look, Get away as fast as you can.
[00:16:13.389 --> 00:16:15.110]  That is the mass shooter.
[00:16:15.470 --> 00:16:17.231]  That is the program creature.
[00:16:17.771 --> 00:16:19.131]  That is Harrison Kleibold.
[00:16:19.991 --> 00:16:21.412]  That is Adam Lanza.
[00:16:21.992 --> 00:16:24.753]  That is every one of these people.
[00:16:27.013 --> 00:16:27.994]  And they are coming.
[00:16:29.494 --> 00:16:35.356]  Just like special forces will parachute into a zone, hide out for months in the woods or mountains.
[00:16:36.690 --> 00:16:43.831]  And quietly lays targets, marked targets for missiles to be dropped from planes or fired from a great distance.
[00:16:45.372 --> 00:16:55.634]  The media and the studies are there, advertises mass shootings to these people, pushes them, and it's like moths to an open flame, or moths to the front porch light.
[00:16:56.874 --> 00:17:00.895]  They are attracted to it, and they can't help themselves.
[00:17:01.955 --> 00:17:02.435]  And they come.
[00:17:03.626 --> 00:17:21.442]  This is a well-known phenomenon, and we've talked about it a lot, but going back to the 50s, they learned that when one person, might be once a year, twice a year, would jump off the Empire States Building, they'd have to station police up there, because immediately, as soon as it hit the newspapers, radio, or TV, more people would go, you know what?
[00:17:22.703 --> 00:17:23.683]  That's a good idea.
[00:17:24.824 --> 00:17:37.742]   I'm gonna climb up the top of the Empire States Building, or bridges where people do it, Every time somebody jumps off the Brooklyn Bridge, the police, it's in the news, I'll tell you, three or four more people in the next 24 hours will show up to do the same thing.
[00:17:37.982 --> 00:17:49.829]  And it comes in these cascades where one will trigger the other very suggestible individuals that are like, well, do I want to commit suicide with a gun?
[00:17:49.849 --> 00:17:51.831]  Do I want to commit suicide with carbon monoxide?
[00:17:51.851 --> 00:17:52.851]  Do I want to jump off a building?
[00:17:53.392 --> 00:17:55.993]  Do I want to die of suicide by cop?
[00:17:56.473 --> 00:17:58.675]  Well, now there's a new option on the menu.
[00:17:59.946 --> 00:18:16.534]  So if you go to an Italian restaurant, they have fettuccine alfredo, and they have veal parmesan, and they've got linguine, and they've got Caesar salad, and then now there's a new special dish!
[00:18:17.795 --> 00:18:21.776]  They even advertise on a whiteboard at the front of the restaurant.
[00:18:23.797 --> 00:18:24.678]  Try the special.
[00:18:25.578 --> 00:18:26.799]  You'll get lots of attention.
[00:18:27.639 --> 00:18:29.040]  Shoot up a big crowd of people.
[00:18:30.535 --> 00:18:32.076]  Schools are the best place to do it.
[00:18:33.217 --> 00:18:34.217]  And then the copycats.
[00:18:34.958 --> 00:18:37.119]  This is 101 criminology, 101 psychology.
[00:18:37.159 --> 00:18:40.981]  I know you all know this, but that's one big issue.
[00:18:41.021 --> 00:18:48.705]  Then you've got the people every week found 5 dead, 10 dead, 25 dead, 16 dead, 53 dead in tractor trailers.
[00:18:49.045 --> 00:18:49.526]  And it's just a...
[00:18:50.626 --> 00:18:50.826]  Bloop!
[00:18:51.286 --> 00:18:51.487]  Bloop!
[00:18:51.647 --> 00:18:52.407]  Just a little blip!
[00:18:52.987 --> 00:18:54.628]  Tractor-trailer in New Mexico!
[00:18:54.688 --> 00:18:56.049]  Tractor-trailer in Arizona!
[00:18:56.349 --> 00:18:57.790]  Tractor-trailer in California!
[00:18:58.050 --> 00:18:59.111]  Tractor-trailer in Texas!
[00:19:01.272 --> 00:19:02.413]  Tractor-trailer in Arizona!
[00:19:02.433 --> 00:19:05.915]  And another tractor-trailer in California!
[00:19:06.555 --> 00:19:06.875]  And another!
[00:19:06.975 --> 00:19:09.977]  And then a dungeon full of dead illegal aliens tortured to death!
[00:19:10.037 --> 00:19:13.960]  And piles of dead illegals on the side of the street!
[00:19:14.280 --> 00:19:14.960]  Heads cut off!
[00:19:15.540 --> 00:19:17.402]  It's just blip blip blip blip blip blip blip!
[00:19:17.742 --> 00:19:19.563]  Doesn't even make the news in many cases!
[00:19:20.953 --> 00:19:25.917]  The most dangerous land border in the world is the Texas-Mexico border.
[00:19:26.217 --> 00:19:29.840]  And today, we're going to have a lawyer on who's involved in this later.
[00:19:29.860 --> 00:19:31.961]  I think it'll be in the third hour.
[00:19:35.244 --> 00:19:37.325]  I'll cover this coming up last segment of this hour.
[00:19:38.685 --> 00:19:43.005]   A whole string of Texas counties and towns are going to declare an emergency of invasion
[00:19:43.005 --> 00:19:46.444]   and total collapse and call for aid from the state and federal government.
[00:19:46.444 --> 00:19:57.724]  Texas is in a total and complete emergency.
[00:19:57.952 --> 00:20:06.919]  And today on The War Room, 3 p.m., when they have the press conference, Owen Schroer will be carrying the press conference live, 3 p.m.
[00:20:06.959 --> 00:20:14.945]  Central, Infowars.com forward slash show, and the live feed section of Banned.video.
[00:20:15.005 --> 00:20:26.134]  Hope you'll share it, because Texas is calling for aid, and we need to listen to what's happening, because the collapse of Texas heralds the collapse of the United States and the designed failed system.
[00:20:29.033 --> 00:20:33.394]  Speaking of that, I want to talk to listeners and I want to be very, very clear with you right now.
[00:20:35.435 --> 00:20:45.078]  I told you 30 months ago you need to start buying storable foods because of inflation and coming food shortages under the Great Reset, and that you would only save money by buying food then because food prices would explode.
[00:20:45.458 --> 00:20:46.879]  Exactly what I told you happened.
[00:20:48.490 --> 00:20:52.853]  I only promote and sell things that I believe are the very best plan for myself personally.
[00:20:53.633 --> 00:20:55.375]  And so a lot of you have been on the fence about this.
[00:20:55.435 --> 00:21:03.160]  We have high-quality, affordable food, hundreds of different types of high-quality, nutritious food ready to ship to you at the lowest price you're going to find for high-quality food.
[00:21:03.180 --> 00:21:04.701]  You can find some stuff cheaper that's crap.
[00:21:05.001 --> 00:21:06.422]  This is what my family has.
[00:21:06.682 --> 00:21:11.965]  It's what I've stockpiled at the office, my home, what I give at Christmas to my cousins and aunts and uncles.
[00:21:12.846 --> 00:21:14.147]  I bought three times the food.
[00:21:15.623 --> 00:21:20.268]  For the office and my family that I have bought for myself.
[00:21:20.489 --> 00:21:24.493]  And I have a five-year food supply, ladies and gentlemen.
[00:21:25.855 --> 00:21:29.199]  I have water filters, I have backup solar panels, because I know.
[00:21:31.246 --> 00:21:32.147]  I'm hoping for the best.
[00:21:32.207 --> 00:21:32.968]  I'm preparing for the worst.
[00:21:32.988 --> 00:21:34.570]  You need to go to preparetoday.com.
[00:21:35.612 --> 00:21:36.593]  The food is in.
[00:21:37.113 --> 00:21:41.799]  All the water filters, air filters, preparedness items, survival items, you find at preparetoday.com.
[00:21:42.060 --> 00:21:47.947]  Not just food, it's ready, in stock, at great prices, and it funds the broadcast, a 360 win.
[00:21:48.227 --> 00:21:49.829]  So mark down preparetoday.com.
[00:21:51.109 --> 00:21:57.595]  Or preparewithalex.com takes you to the same place and go there today and get a month, a three month, a six month, a year.
[00:21:57.855 --> 00:21:59.476]  The packaging is also the very best.
[00:21:59.897 --> 00:22:07.183]  They sell at Walmart and Target plastic tote containers that are thick and nice like this for $20 to $30 a piece.
[00:22:07.583 --> 00:22:16.671]  The packaging of the food costs more than the same amount of food would cost in a grocery store.
[00:22:18.493 --> 00:22:20.895]  Just the packaging is a better deal.
[00:22:22.356 --> 00:22:33.626]  It's in big sealed plastic, resealable tote containers to put in the back of your truck, your car, to bury, to put in the roof, to put in a shack, under a tarp, wherever you want it, lasts for more than a decade.
[00:22:33.646 --> 00:22:43.254]  And there's high quality storable food in thick, powerful, high quality plastic sealed containers inside.
[00:22:43.274 --> 00:22:46.117]  And these containers are filled to the top.
[00:22:48.257 --> 00:22:50.938]  High-calorie, high-nutrient meals.
[00:22:51.598 --> 00:22:52.658]  But you need an emergency.
