[00:00.000 --> 00:07.000]  Infowars. Tomorrow's news. Today.
[00:30.000 --> 00:35.000]  I'm
[00:35.000 --> 00:40.000]  I'm
[00:40.000 --> 00:44.000]  I'm
[00:44.000 --> 00:49.000]  I'm
[00:49.000 --> 00:54.000]  I'm
[00:54.000 --> 00:59.000]  I'm
[00:59.000 --> 01:04.000]  I'm
[01:04.000 --> 01:09.000]  I'm
[01:09.000 --> 01:14.000]  I'm
[01:14.000 --> 01:19.000]  I'm
[01:19.000 --> 01:23.000]  I'm
[01:23.000 --> 01:28.000]  I'm
[01:28.000 --> 01:33.000]  I'm
[01:33.000 --> 01:38.000]  I'm
[01:38.000 --> 01:43.000]  I'm
[01:43.000 --> 01:48.000]  I'm
[01:48.000 --> 01:53.000]  I'm
[01:53.000 --> 01:58.000]  I'm
[01:58.000 --> 02:03.000]  I'm
[02:03.000 --> 02:08.000]  I'm
[02:08.000 --> 02:13.000]  I'm
[02:13.000 --> 02:18.000]  I'm
[02:18.000 --> 02:23.000]  I'm
[02:23.000 --> 02:28.000]  I'm
[02:28.000 --> 02:33.000]  I'm
[02:33.000 --> 02:38.000]  I'm
[02:38.000 --> 02:42.000]  I'm
[02:42.000 --> 02:47.000]  I'm
[02:47.000 --> 02:52.000]  I'm
[02:52.000 --> 02:57.000]  I'm
[02:57.000 --> 03:02.000]  I'm
[03:02.000 --> 03:07.000]  I'm
[03:07.000 --> 03:12.000]  I'm
[03:12.000 --> 03:17.000]  I'm
[03:17.000 --> 03:22.000]  I'm
[03:22.000 --> 03:27.000]  I'm
[03:27.000 --> 03:32.000]  I'm
[03:32.000 --> 03:37.000]  I'm
[03:37.000 --> 03:42.000]  I'm
[03:42.000 --> 03:47.000]  I'm
[03:47.000 --> 03:52.000]  I'm
[03:52.000 --> 03:57.000]  I'm
[03:57.000 --> 04:02.000]  I'm
[04:02.000 --> 04:07.000]  I'm
[04:07.000 --> 04:12.000]  I'm
[04:12.000 --> 04:17.000]  I'm
[04:17.000 --> 04:22.000]  I'm
[04:22.000 --> 04:26.000]  I'm
[04:26.000 --> 04:31.000]  I'm
[04:31.000 --> 04:36.000]  I'm
[04:36.000 --> 04:41.000]  I'm
[04:41.000 --> 04:46.000]  I'm
[04:46.000 --> 04:51.000]  I'm
[04:51.000 --> 04:56.000]  I'm
[04:56.000 --> 05:00.000]  I'm
[05:00.000 --> 05:04.000]  I'm
[05:04.000 --> 05:08.000]  I'm
[05:08.000 --> 05:12.000]  I'm
[05:12.000 --> 05:16.000]  I'm
[05:16.000 --> 05:20.000]  I'm
[05:20.000 --> 05:24.000]  I'm
[05:24.000 --> 05:28.000]  I'm
[05:28.000 --> 05:32.000]  I'm
[05:32.000 --> 05:36.000]  I'm
[05:36.000 --> 05:40.000]  I'm
[05:40.000 --> 05:44.000]  I'm
[05:44.000 --> 05:48.000]  I'm
[05:48.000 --> 05:52.000]  I'm
[05:52.000 --> 05:56.000]  I'm
[05:56.000 --> 06:00.000]  I'm
[06:00.000 --> 06:04.000]  I'm
[06:04.000 --> 06:08.000]  I'm
[06:08.000 --> 06:12.000]  I'm
[06:12.000 --> 06:16.000]  I'm
[06:16.000 --> 06:20.000]  I'm
[06:20.000 --> 06:24.000]  I'm
[06:24.000 --> 06:28.000]  I'm
[06:28.000 --> 06:32.000]  I'm
[06:32.000 --> 06:36.000]  I'm
[06:36.000 --> 06:40.000]  I'm
[06:40.000 --> 06:44.000]  I'm
[06:44.000 --> 06:48.000]  I'm
[06:48.000 --> 06:52.000]  I'm
[06:52.000 --> 06:56.000]  I'm
[06:56.000 --> 07:00.000]  I'm
[07:00.000 --> 07:04.000]  I'm
[07:04.000 --> 07:08.000]  I'm
[07:08.000 --> 07:12.000]  I'm
[07:12.000 --> 07:16.000]  I'm
[07:16.000 --> 07:20.000]  I'm
[07:20.000 --> 07:24.000]  I'm
[07:24.000 --> 07:28.000]  I'm
[07:28.000 --> 07:32.000]  I'm
[07:32.000 --> 07:36.000]  I'm
[07:36.000 --> 07:40.000]  I'm
[07:40.000 --> 07:44.000]  I'm
[07:44.000 --> 07:48.000]  I'm
[07:48.000 --> 07:52.000]  I'm
[07:52.000 --> 07:56.000]  I'm
[07:56.000 --> 08:00.000]  I'm
[08:00.000 --> 08:04.000]  I'm
[08:04.000 --> 08:08.000]  I'm
[08:08.000 --> 08:12.000]  I'm
[08:12.000 --> 08:16.000]  I'm
[08:16.000 --> 08:20.000]  I'm
[08:20.000 --> 08:24.000]  I'm
[08:24.000 --> 08:28.000]  I'm
[08:28.000 --> 08:32.000]  I'm
[08:32.000 --> 08:36.000]  I'm
[08:36.000 --> 08:40.000]  I'm
[08:40.000 --> 08:44.000]  I'm
[08:44.000 --> 08:48.000]  I'm
[08:48.000 --> 08:52.000]  I'm
[08:52.000 --> 08:56.000]  I'm
[08:56.000 --> 09:00.000]  I'm
[09:00.000 --> 09:04.000]  I'm
[09:04.000 --> 09:08.000]  I'm
[09:08.000 --> 09:12.000]  I'm
[09:12.000 --> 09:16.000]  I'm
[09:16.000 --> 09:20.000]  I'm
[09:20.000 --> 09:24.000]  I'm
[09:24.000 --> 09:28.000]  I'm
[09:28.000 --> 09:32.000]  I'm
[09:32.000 --> 09:36.000]  I'm
[09:36.000 --> 09:40.000]  I'm
[09:40.000 --> 09:44.000]  I'm
[09:44.000 --> 09:48.000]  I'm
[09:48.000 --> 09:52.000]  I'm
[09:52.000 --> 09:56.000]  I'm
[09:56.000 --> 10:00.000]  I'm
[10:00.000 --> 10:04.000]  I'm
[10:04.000 --> 10:08.000]  I'm
[10:08.000 --> 10:12.000]  I'm
[10:12.000 --> 10:16.000]  I'm
[10:16.000 --> 10:20.000]  I'm
[10:20.000 --> 10:24.000]  I'm
[10:24.000 --> 10:28.000]  I'm
[10:28.000 --> 10:32.000]  I'm
[10:32.000 --> 10:36.000]  I'm
[10:36.000 --> 10:40.000]  I'm
[10:40.000 --> 10:44.000]  I'm
[10:44.000 --> 10:48.000]  I'm
[10:48.000 --> 10:52.000]  I'm
[10:52.000 --> 10:56.000]  I'm
[10:56.000 --> 11:00.000]  I'm
[11:00.000 --> 11:04.000]  I'm
[11:04.000 --> 11:08.000]  I'm
[11:08.000 --> 11:12.000]  I'm
[11:12.000 --> 11:16.000]  I'm
[11:16.000 --> 11:20.000]  I'm
[11:20.000 --> 11:24.000]  I'm
[11:24.000 --> 11:28.000]  I'm
[11:28.000 --> 11:32.000]  I'm
[11:32.000 --> 11:36.000]  I'm
[11:36.000 --> 11:40.000]  I'm
[11:40.000 --> 11:44.000]  I'm
[11:44.000 --> 11:48.000]  I'm
[11:48.000 --> 11:52.000]  I'm
[11:52.000 --> 11:56.000]  I'm
[11:56.000 --> 12:00.000]  I'm
[12:00.000 --> 12:04.000]  I'm
[12:04.000 --> 12:08.000]  I'm
[12:08.000 --> 12:12.000]  I'm
[12:12.000 --> 12:16.000]  I'm
[12:16.000 --> 12:20.000]  I'm
[12:20.000 --> 12:24.000]  I'm
[12:24.000 --> 12:30.000]  I'm
