[00:00:00.000 --> 00:00:15.740]  [Outro]
[00:00:15.798 --> 00:00:16.678]  Tomorrow's news.
[00:00:16.798 --> 00:00:23.118]  today. Hey Alexa.
[00:00:23.118 --> 00:00:33.118]  [BLANK_AUDIO]
[00:00:24.821 --> 00:00:26.862]  Where did Joe Biden fall off his cycle?
[00:00:27.082 --> 00:00:30.144]  Joe Biden died in National Naval Medical Center.
[00:00:32.185 --> 00:00:35.266]  I could spend the next hour on an 11-minute speech Biden put out.
[00:00:36.451 --> 00:00:37.232]  Let me close with this.
[00:00:37.292 --> 00:00:39.313]  Every day we rely on law enforcement to save lives.
[00:00:39.333 --> 00:00:42.636]  Then on January 6th, we relied on law enforcement to save our democracy.
[00:00:42.656 --> 00:00:44.137]  We saw what happened.
[00:00:43.976 --> 00:00:49.615]   minutes he bleaks six times. Let me close with this. Every day we rely on law
[00:00:49.615 --> 00:00:54.296]   enforcement to save lives. Then on January 6th we relied on law
[00:00:54.296 --> 00:00:58.655]  enforcement to save our democracy. We saw what happened.
[00:00:58.655 --> 00:01:07.899]   The Capitol Police, the DC Metropolitan Police, other law enforcement agencies, were attacked and assaulted before our very eyes.
[00:01:08.359 --> 00:01:12.201]  Speared, sprayed, stomped on, brutalized.
[00:01:13.322 --> 00:01:14.262]  Lives were lost.
[00:01:15.403 --> 00:01:24.988]  And for three hours, the defeated former President of the United States watched it all happen as he sat in the comfort of the private dining room next to the Oval Office.
[00:01:26.087 --> 00:01:31.487]   While he was doing that, brave law enforcement officers were subject to the medieval hell
[00:01:31.487 --> 00:01:36.807]  for three hours, dripping in blood, surrounded by carnage.
[00:01:36.807 --> 00:01:41.567]   Face to face with crazed mob that believed the lies of the defeated president.
[00:01:41.567 --> 00:01:44.087]  The police were heroes that day.
[00:01:44.087 --> 00:01:47.606]  Donald Trump lacked the courage to act.
[00:01:47.606 --> 00:01:53.887]   The brave women and men in blue all across this nation should never forget that.
[00:01:53.887 --> 00:01:56.286]  You can't be pro-insurrection and pro-cop.
[00:01:56.677 --> 00:01:59.020]  You can't be pro-insurrection and pro-democracy.
[00:01:59.340 --> 00:02:01.863]  You can't be pro-insurrection and pro-American.
[00:02:02.444 --> 00:02:07.930]  I mean, he looks like an animatronic robot at Chuck E. Cheese or something.
[00:02:08.491 --> 00:02:12.891]   I mean, ladies and gentlemen, this looks like the intro to a horror movie or something where
[00:02:12.891 --> 00:02:14.891]  body snatchers have taken over.
[00:02:14.891 --> 00:02:16.891]  [crowd cheering]
[00:02:16.891 --> 00:02:18.891]  [crowd cheering]
[00:02:18.891 --> 00:02:20.891]  [crowd cheering]
[00:02:20.891 --> 00:02:22.891]  [crowd cheering]
[00:02:22.891 --> 00:02:24.890]  [crowd cheering]
[00:02:24.890 --> 00:02:26.891]  This happens in human civilization.
[00:02:26.771 --> 00:02:28.871]  It normally collapses civilization for at least a time.
[00:02:29.371 --> 00:02:31.472]  When the good people let crazies get in charge.
[00:02:31.932 --> 00:02:38.755]  Why is the Biden administration building a border wall in Arizona?
[00:02:38.775 --> 00:02:41.756]  So, we are not finishing the wall.
[00:02:42.276 --> 00:02:47.618]  We are cleaning up the mess the prior administration left behind in their failed attempt.
[00:02:48.398 --> 00:02:49.379]  Uh, to build a wall?
[00:02:49.399 --> 00:02:56.605]  Of course, the more pain we are all experiencing from the high price of gas, the more benefit there is for those who can access electric vehicles.
[00:02:56.745 --> 00:02:57.866]  We let them be in control.
[00:02:57.886 --> 00:03:01.709]  Mr. Biden, are you still groping Senators' children?
[00:03:01.729 --> 00:03:03.010]  Creepy Joe Biden?
[00:03:03.030 --> 00:03:08.094]  They always start assaulting reality and assaulting common sense and assaulting due process and assaulting logic.
[00:03:08.675 --> 00:03:11.157]  And people keep acquiescing until everything disintegrates.
[00:03:11.597 --> 00:03:26.967]   This is the first time in American history, I believe, That a chamber of the Congress will pass a bill openly defying the Supreme Court's explicit declaration of the constitutional rights of the American people.
[00:03:28.107 --> 00:03:35.652]  It represents the farthest ever reach of the Democrats' long-pursued massive resistance doctrine.
[00:03:37.132 --> 00:03:45.037]  In markup, I asked if any Democrat disputed that this bill bans guns and magazines in common use.
[00:03:46.041 --> 00:03:50.742]  Chairman Nadler candidly responded, quote, Would the gentleman yield?
[00:03:51.142 --> 00:03:53.162]  I would, if I'm for an answer to that question.
[00:03:53.182 --> 00:03:54.323]  Yeah, that's the point of the bill.
[00:03:54.543 --> 00:04:01.744]  So, to clarify, Mr. Chairman, you're saying it is the point of the bill to ban weapons that are in common use in the United States today?
[00:04:01.764 --> 00:04:20.410]   Yes, the problem is... In other words, the essence of the bill is to stop commerce in weapons As alternatively described by the court in Heller in 2008, as those, quote, typically possessed by law-abiding citizens for lawful purposes, close quote.
[00:04:20.670 --> 00:04:22.491]  And that is now the point we've entered at every level.
[00:04:22.871 --> 00:04:24.992]  Donald Trump lacked the courage to act.
[00:04:25.752 --> 00:04:30.994]  The brave women and men in blue all across this nation should never forget that.
[00:04:31.594 --> 00:04:36.756]  Folks, as we fight inflation, bringing down gas prices is a big part of the job.
[00:04:37.216 --> 00:04:42.998]  All right, I wanted to play some of the 11-minute speech, so you can see he's not blinking, and then another speech later where he is.
[00:04:43.058 --> 00:04:46.059]  I mean, if you can figure out what this is, please tell me.
[00:04:46.338 --> 00:04:52.899]   We've reached out to some physiologists and people that can perhaps tell us what in the
[00:04:52.899 --> 00:04:55.059]  world this means, but it's getting crazy.
[00:04:55.059 --> 00:05:11.057]  Big Brother, mainstream media, government cover-ups.
[00:05:11.717 --> 00:05:13.178]  You want to stop tyranny?
[00:05:13.418 --> 00:05:14.559]  Well, so does he.
[00:05:15.099 --> 00:05:19.841]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:20.662 --> 00:05:25.604]  Well, the United Nations Global Government, WEF, Combine have been busy.
[00:05:26.145 --> 00:05:33.219]   These A month ago, they announced that the private corporate dictatorship's merging with the UN, that it controls publicly.
[00:05:33.800 --> 00:05:40.483]  Last week, they announced global censorship interfacing with big tech to block basically any type of pro-human information.
[00:05:40.503 --> 00:05:42.864]  Ahead of new COVID lockdowns.
[00:05:44.105 --> 00:05:46.386]  And now the UN officially came out on Friday.
[00:05:46.446 --> 00:05:47.767]  I didn't see it until yesterday.
[00:05:48.661 --> 00:05:55.284]  And released a video about how they're going to run the new global ID system and control the world ID.
[00:05:55.444 --> 00:05:58.785]  So world government with a world ID run by the tyrannical UN.
[00:05:58.805 --> 00:06:00.046]  We've got that information.
[00:06:00.606 --> 00:06:06.849]  We've got the admission of the global cutoff of food supplies as part two of the Great Resets.
[00:06:06.889 --> 00:06:09.870]  They already used lockdowns to destroy food supply all over the world.
[00:06:10.931 --> 00:06:12.731]  In some third world countries they did it for two years.
[00:06:13.492 --> 00:06:20.594]   Now, They're moving ahead to ban most types of farming and ranching in every major nation of the earth.
[00:06:21.094 --> 00:06:23.176]  Unbelievable what that's going to cause.
[00:06:23.196 --> 00:06:31.021]  This is going to accelerate a total collapse of the third world and a flooding of the first world and our collapse as well in Italy.
[00:06:32.182 --> 00:06:37.884]  Australia, in the Netherlands, in the UK, and in Canada, millions of farmers are protesting.
[00:06:38.564 --> 00:06:42.325]  Almost zero coverage in the corporate media of this.
[00:06:42.385 --> 00:06:43.186]  Why are they protesting?
[00:06:43.206 --> 00:06:45.606]  They said this is a UN edict of the WEF.
[00:06:46.527 --> 00:06:52.428]  Your cows, your farms, the grain you're growing, all carbon is toxic.
[00:06:52.488 --> 00:06:54.529]  Well, we're carbon-based life forms.
[00:06:56.110 --> 00:06:56.830]  That's coming up.
[00:06:58.226 --> 00:07:01.916]  Biden's had COVID, supposedly, or touched it positive twice in the last two weeks.
[00:07:02.297 --> 00:07:02.618]  He's in...
[00:07:04.045 --> 00:07:18.332]  Hiding again, supposedly quarantining himself, and massive new information adding on to all the other insurance numbers and government numbers we've had around the Western world of the so-called COVID vaccines causing mass death, blood clots, infertility, and cancer.
[00:07:18.893 --> 00:07:30.339]  Those are three stacks I've got here that are absolutely massive and a lot of new monkeypox news as they prepare the new global lockdown that's already been announced, but they are planning to do it later this fall.
[00:07:31.400 --> 00:07:32.561]  That's their current trajectory.
[00:07:32.821 --> 00:07:33.701]  This is all pre-planned.
[00:07:33.741 --> 00:07:34.542]  It's all being rolled out.
[00:07:34.582 --> 00:07:35.302]  It's all coming up.
[00:07:35.803 --> 00:07:36.543]  And so much more today.
[00:07:36.563 --> 00:07:38.784]  We have a special guest joining us in the second hour.
[00:07:38.824 --> 00:07:40.525]  But let me just get this out of the way right now.
[00:07:42.547 --> 00:07:45.308]  I am proud of the work of InfoWars in the last 28 years.
[00:07:46.389 --> 00:07:48.290]  We have never made a mistake on purpose.
[00:07:48.310 --> 00:07:49.611]  We've never lied on purpose.
[00:07:50.191 --> 00:07:50.852]  We've never lied.
[00:07:51.932 --> 00:07:59.717]  But we're not like the corporate mercenary New World Order parrots that put out their lies and propaganda, who never admit when they're wrong.
[00:08:00.615 --> 00:08:03.016]  When we make a mistake, we admit to it.
[00:08:03.996 --> 00:08:08.738]  And it's essential that we do that because all we have is our credibility.
[00:08:09.819 --> 00:08:21.143]  That said, with these three Sandy Hook trials, which are show trials where the judges have found me guilty in both Texas and Connecticut without ever letting me have a jury trial, the juries are told he is guilty.
[00:08:21.864 --> 00:08:24.465]  The judges said I can't say I'm innocent, well I'm obviously going to.
[00:08:25.598 --> 00:08:28.099]  And even sway on, you know, up on murder charges.
[00:08:28.139 --> 00:08:30.000]  Charlie Manson can say he was innocent if he wanted to.
[00:08:30.020 --> 00:08:32.261]  In my case, I am innocent of what they've claimed.
[00:08:32.601 --> 00:08:39.464]  Premeditatedly lying about nobody dying at Sandy Hook to make money and saying my main career was Sandy Hook.
[00:08:39.904 --> 00:08:48.548]  When they've talked more about Sandy Hook at this week-long trial, the first week of it, than we talked about in all my time on air since it happened a decade ago.
[00:08:49.068 --> 00:08:50.449]  We have all those numbers down to the minute.
[00:08:51.129 --> 00:08:54.291]  So it's just a complete lie and a fraud.
[00:08:55.011 --> 00:09:00.314]  That said, I looked at some of the evidence later that they claim show that it didn't happen and it wasn't true.
[00:09:00.474 --> 00:09:01.695]  I believe mass shootings happened.
[00:09:02.255 --> 00:09:03.496]  I believe Parkland happened.
[00:09:03.556 --> 00:09:04.676]  I believe Columbine happened.
[00:09:05.197 --> 00:09:13.561]  And I believe in every case we know it's linked to Prozac-type drugs, video games shoot them up, and mental illness, and police stand-downs like we just saw in Uvalde.
[00:09:13.861 --> 00:09:14.582]  Very, very shameful.
[00:09:15.458 --> 00:09:21.386]  That said though, I didn't lie about WMDs in Iraq on purpose like the CNN and the New York Times.
[00:09:21.707 --> 00:09:23.729]  I didn't lie about it being safe and effective.
[00:09:24.010 --> 00:09:27.034]  These poison shots they now admit don't work and actually make you sick.
[00:09:27.655 --> 00:09:30.679]  I didn't promote drag queen pedophile time and I was the first!
[00:09:31.500 --> 00:09:45.704]  More than 14 years ago to expose Jeffrey Epstein and Epstein Island and how they were flying kids out and using it to blackmail and control people particularly in the science divisions of the world for Bill and Melinda Gates Foundation to take over and that Epstein basically worked for them.
[00:09:46.344 --> 00:09:47.924]  We are the first to expose it.
[00:09:48.344 --> 00:09:53.606]  We have been vindicated and I am proud of the body of our work and they see InfoWars.
