[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[00:00:01.649 --> 00:00:02.890]  And it's already all over the place.
[00:00:02.950 --> 00:00:04.030]  Everybody's already figured it out.
[00:00:04.450 --> 00:00:09.931]  I wasn't ready to hit it yesterday, because I wanted to spend hours last night and hours today going over it.
[00:00:09.951 --> 00:00:11.192]  And I've overdone it as usual.
[00:00:11.232 --> 00:00:14.472]  I've got hundreds of documents, studies, all the damn proof here.
[00:00:14.912 --> 00:00:19.853]  And when I'm sitting here reading this in private, I mean, I'm not even angry at these people anymore.
[00:00:20.254 --> 00:00:26.375]  My cells, my guts, my brain, my soul is, you're going to stop these people, Jones, or you're to blame.
[00:00:27.774 --> 00:00:38.899]  I'm pissed at myself when I'm reading this because I've got clips of Gates bragging last year that they'll soon be smallpox and monkeypox and giggling and laughing and say the next pandemic will be far worse.
[00:00:39.239 --> 00:00:43.301]  Then they put in all the orders for the new monkeypox vaccine.
[00:00:43.761 --> 00:00:55.286]  Biden just bought tens of millions of doses yesterday and then magically right on time, right as the vaccine's delivered, monkeypox pops up in more than 20 countries.
[00:01:00.174 --> 00:01:04.617]  Rallying patriots worldwide in defense of human liberty.
[00:01:04.676 --> 00:01:06.676]  It's Alex Jones.
[00:01:06.676 --> 00:01:10.676]  [MUSIC]
[00:01:10.676 --> 00:01:25.676]  [MUSIC]
[00:01:25.676 --> 00:01:30.676]  InfoWars, the most banned network in the world.
[00:01:30.676 --> 00:01:37.676]  [MUSIC]
[00:01:37.561 --> 00:01:44.284]  And it's time for humanity to stand up in the InfoWars and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:01:44.384 --> 00:01:46.685]  You better believe you've got one!
[00:01:48.605 --> 00:01:53.805]   From the front lines of the information war, it's Alex Jones.
[00:01:53.805 --> 00:02:14.045]   The document begins by promising to restrict the WHO's authority just to pandemics.
[00:02:14.284 --> 00:02:15.385]  Calm down, it's just pandemics.
[00:02:15.485 --> 00:02:23.688]  Quote, WHO Secretariat to play the leading, convening, and coordinating role in operational aspects of emergency response to a pandemic.
[00:02:24.068 --> 00:02:24.588]  End quote.
[00:02:25.568 --> 00:02:26.629]  So don't get paranoid.
[00:02:27.329 --> 00:02:31.170]  Someone needs to coordinate the pandemic response globally, because it's a global problem.
[00:02:31.210 --> 00:02:31.591]  Got it?
[00:02:31.991 --> 00:02:33.351]  Settle down, conspiracy nut.
[00:02:34.452 --> 00:02:35.192]  But here's the catch.
[00:02:36.024 --> 00:02:42.949]  The World Health Organization gets to define what a pandemic is, when a pandemic is in progress, and how long a pandemic lasts.
[00:02:43.509 --> 00:02:52.915]  Then you read the fine print and you realize the WHO will have total authority over emergency operations in the United States if there is ever a, quote, public health emergency.
[00:02:53.315 --> 00:02:53.575]  Huh?
[00:02:54.536 --> 00:02:57.418]  What qualifies exactly as a public health emergency?
[00:02:57.438 --> 00:02:58.459]  Well, they don't define that.
[00:02:59.229 --> 00:02:59.949]  But they get to.
[00:03:00.289 --> 00:03:02.811]  They get to decide what a public health emergency is.
[00:03:03.211 --> 00:03:13.875]  The White House eliminated a provision that would have required the World Health Organization to, quote, consult with and attempt to obtain verification from the state party in whose territory the event is allegedly occurring in.
[00:03:14.936 --> 00:03:22.339]  So, as originally written, they couldn't do anything without the permission of their member countries' governments.
[00:03:23.061 --> 00:03:29.528]  But thanks to the change that the Biden administration pushed, effectively there is no limit at all on WHO's power.
[00:03:30.028 --> 00:03:44.604]  It provides that every member country in the WHO must quote, inform WHO about the establishment of its national competent authority responsible for overall implementation of the IHR that will be recognized and held accountable.
[00:03:45.638 --> 00:03:55.380]  So, they're going to get to censor anybody who doesn't agree with what they do as they control the intimate details of your life.
[00:03:56.020 --> 00:03:57.420]  And they will control those details.
[00:03:57.920 --> 00:04:03.281]  Under this treaty, the World Health Organization will get to establish vaccine passports and regulate travel.
[00:04:04.261 --> 00:04:11.903]  World Health Organization will, quote, develop standards for producing a digital version of the International Certificate of Vaccination and Prophylaxis.
[00:04:13.363 --> 00:04:14.083]  Okay!
[00:04:15.140 --> 00:04:21.082]  So you may be thinking, well, it's just about COVID and I went along with mandatory vaccines and vaccine passports at the time.
[00:04:21.122 --> 00:04:22.123]  How bad could it be?
[00:04:22.143 --> 00:04:27.665]  First of all, if you went along with that, you should be repenting right about now.
[00:04:28.005 --> 00:04:29.825]  You've got so many people talking about it.
[00:04:30.486 --> 00:04:35.407]  They are going to come in and tell you, not ask you, but tell you when your pandemic starts.
[00:04:36.148 --> 00:04:36.828]  What does that mean?
[00:04:37.728 --> 00:04:38.288]  Does that mean?
