[00:00.000 --> 00:16.000]  Infowars, tomorrow's news, today.
[00:16.000 --> 00:38.000]  Tomorrow's news, today.
[00:38.000 --> 00:57.000]  It's Wednesday, March 2nd, 2022.
[00:57.000 --> 01:03.000]  And you're listening to another original edition of the Alex Jones show.
[01:03.000 --> 01:13.000]  And I'm your host Alex Jones. I want to be very, very clear and make a very, very precise differentiation about something that's happening.
[01:13.000 --> 01:25.000]  If the Ukrainian people decide to self-determinate, as we did with our Declaration of Independence, from its historical connection to Russia,
[01:25.000 --> 01:34.000]  and if they choose to abolish that form of government, that is their right and that is their duty as any free people to do so.
[01:34.000 --> 01:43.000]  And because Russia was born in Ukraine, that argument becomes even stronger if you have that perspective.
[01:43.000 --> 01:48.000]  And if the people of Ukraine are willing to stand up and fight back and defeat Russia.
[01:48.000 --> 01:59.000]  That said, let's just look at the facts. Corporate media, especially the UK and the US-based corporate media, have been lying for now eight days,
[01:59.000 --> 02:07.000]  saying that the Ukrainians have dealt huge defeats to Putin and huge defeats to the Russians.
[02:07.000 --> 02:10.000]  And that is just not true.
[02:10.000 --> 02:22.000]  From the beginning, when this was officially launched seven, eight days ago, Putin said, we're going to encircle your main cities and then try to remove your government.
[02:22.000 --> 02:29.000]  And we'll have to escalate the force at each stage until Zelensky gives up.
[02:29.000 --> 02:40.000]  And there's no doubt, unless all of NATO basically attacked right now, that Putin would not be successful in that.
[02:40.000 --> 02:47.000]  And so we're talking about a major conflict with a major world power, arguably the third largest military,
[02:47.000 --> 02:53.000]  perhaps the second largest military in the world with the second largest nuclear force.
[02:53.000 --> 02:58.000]  And so it's just not realistic unless we want to destroy the planet. It's totally insane.
[02:58.000 --> 03:07.000]  But the corporate media lying to Ukrainians and telling them that they're winning and making up the ghost of Kiev and making up the Snake Island stuff
[03:07.000 --> 03:18.000]  and making all that up to try to encourage not just Ukrainians, but other people from around Europe and as far away as Australia and Nigeria
[03:18.000 --> 03:29.000]  to get on airplanes and fly to Poland and other areas around Ukraine to go be part of that war is really suckering people into certain death.
[03:29.000 --> 03:34.000]  And that is absolutely their right to go do it. And I'm not attacking people that go decide to do that.
[03:34.000 --> 03:41.000]  I'm just sitting back and pointing out that Putin, the Munich Conference in 2007, and then a countless other conferences said,
[03:41.000 --> 03:49.000]  if you continue to move troops up to our borders, I'm going to go into those countries and I'm going to attack them and kick them out.
[03:49.000 --> 03:56.000]  I said, it's one thing if you've expanded NATO four or five times up to within just a few hundred miles of our border.
[03:56.000 --> 04:01.000]  But if you push right up to our border with weapons, we're going to attack you.
[04:01.000 --> 04:12.000]  So that was the ultimatum. And the globalist said to Putin, fine, we'll go ahead and have a war with you. And so Putin called their bluff.
[04:12.000 --> 04:21.000]  And so that's the reality of where we are right now with the major cities in central and eastern Ukraine surrounded by hundreds of thousands of Russian troops
[04:21.000 --> 04:32.000]  and high-tech weapons who are going to start really leveling those areas. And a lot of that is because NATO and the West goaded and manipulated Ukraine
[04:32.000 --> 04:42.000]  into this conflict with Russia in the last eight years. And it really accelerated the overthrow of an elected pro-Russian president in Ukraine eight years ago.
[04:42.000 --> 04:51.000]  So this tug of war between the West and Russia over Ukraine has come to serious blows and it endangers the peace and security of the entire planet.
[04:51.000 --> 05:20.000]  We'll be right back on this special edition of The Alex Jones Show. Owen Shroyer will be the main maestro.
[05:20.000 --> 05:28.000]  And listen, all the products are great. But when it comes to high-quality, storeable food in an inflationary system with major supply chain breakdowns,
[05:28.000 --> 05:35.000]  this is an absolute 360 win and no brainer. And they've got high-quality, storeable food ready to ship to you right now.
