[00:00:00.000 --> 00:00:20.000]  [Music]
[00:00:20.000 --> 00:00:26.000]  Ladies and gentlemen, it is Friday, March 11th, 2022.
[00:00:26.663 --> 00:00:35.548]  Reuters, the Associated Press, the United Nations itself are all reporting what we already told you years ago and weeks ago.
[00:00:36.929 --> 00:00:45.074]  The United States under Obama built dozens of Level 3 and Level 4 bioweapon labs studying race-specific bioweapons.
[00:00:46.294 --> 00:00:52.557]  To kill Slavic people and others at the labs in Ukraine and other areas.
[00:00:53.297 --> 00:00:58.960]  There's the original 2005 article with Obama massively increasing the funding with a bill he put through the Senate.
[00:01:01.221 --> 00:01:14.947]  Tomorrow's news today, they are certainly trying to spin all this, but I've gotten sent by a lot of people articles and reports going, hey, look, they're creating a financial reset right now off of COVID.
[00:01:16.275 --> 00:01:22.558]  I've been sent some of the quotes by Edward Dowd, who was on with us yesterday and did a great job breaking it down as well.
[00:01:23.078 --> 00:01:33.223]  But I thought, and he did that in May of 2020, but I thought I'd tell you where the original analysis of this came from, and that's InfoWars and Greg Reese.
[00:01:33.542 --> 00:01:37.702]  So here is that original report from two years ago in March.
[00:01:37.702 --> 00:01:42.422]  (explosion)
[00:01:42.422 --> 00:01:54.022]   In 1816, the gold standard, an economic unit of account based on a fixed quantity of gold, was officially adopted.
[00:01:54.022 --> 00:01:58.782]   And the world reserve currency became the British pound sterling.
[00:01:58.782 --> 00:01:59.782]  (audience applauding)
[00:01:59.926 --> 00:02:08.013]  In 1914, after World War I, nations attempted to revive the gold standard, but it collapsed during the Great Depression.
[00:02:09.989 --> 00:02:15.567]  Also in 1914, the Federal Reserve Bank, a private company, was born.
[00:02:16.503 --> 00:02:24.931]  After Britain was devastated by World War II, they were no longer a superpower, and so the global reserve currency needed to be reset.
[00:02:26.232 --> 00:02:29.855]  In 1944, at the Bretton Woods Conference, the U.S.
[00:02:29.935 --> 00:02:32.557]  dollar became the new global reserve currency.
[00:02:33.558 --> 00:02:40.584]  This established America as the dominant power in the world economy, giving America the sole ability to print dollars.
[00:02:41.565 --> 00:02:45.067]  The rest of the world would need to trade their own currency against the U.S.
[00:02:45.127 --> 00:02:50.670]  dollar in order to balance exchange rates, keeping the international economy vibrant and fluid.
[00:02:51.331 --> 00:02:57.714]  But by the 1960s, the United States had printed more USD than their gold reserves could cover.
[00:02:58.735 --> 00:03:04.158]  And by 1970, a growing American trade deficit was undermining the value of the dollar.
[00:03:05.655 --> 00:03:11.478]  On August 15th, 1971, President Richard Nixon brought an end to the gold standard.
[00:03:12.659 --> 00:03:19.142]  Federal Reserve notes, a fiat currency backed by debt rather than gold, became the new standard.
[00:03:20.242 --> 00:03:23.064]  This is basically no different than an IOU.
[00:03:24.564 --> 00:03:33.549]  As one would expect, right after President Nixon gave his speech, inflation began to rise and America's biggest export became debt.
[00:03:34.802 --> 00:03:37.383]  The creation of the petrodollar gave the U.S.
[00:03:37.503 --> 00:03:39.644]  even more sway over world economies.
[00:03:40.304 --> 00:03:43.665]  And today, the international debt has become untenable.
[00:03:44.666 --> 00:03:48.387]  And many are saying, another global currency reset is needed.
[00:03:49.807 --> 00:03:54.489]  Historically, the gold standard has been the most stable economy we have known.
[00:03:55.109 --> 00:03:57.750]  But gold can be manipulated and disruptive as well.
[00:03:58.771 --> 00:04:02.012]  Some are suggesting that cryptocurrency could be the solution.
