[00:00:00.000 --> 00:00:17.199]  [MUSIC]
[00:00:17.262 --> 00:00:18.863]  Tomorrow's news today.
[00:00:23.806 --> 00:00:29.390]  Ladies and gentlemen, we're now into the year 2022.
[00:00:31.191 --> 00:00:31.931]  Nine days in.
[00:00:33.972 --> 00:00:35.233]  And it's official.
[00:00:35.974 --> 00:00:50.688]   All over the world, the UN is directing internment camps That hold people for months if they misbehave when they're taken there for their 5 to 14 day quarantines when they're not even positive for COVID.
[00:00:51.068 --> 00:00:54.771]  If you're bad, you now stay a month is the UN guideline.
[00:00:56.132 --> 00:01:00.276]  And they've introduced bills that are very close to passing in 11 states.
[00:01:02.097 --> 00:01:05.380]  New York, Washington State, Oregon, you name it.
[00:01:08.035 --> 00:01:11.857]  To hold you for 30 days per infraction.
[00:01:12.297 --> 00:01:13.958]  You kind of get how this works, right?
[00:01:14.318 --> 00:01:15.139]  You never get out.
[00:01:16.400 --> 00:01:22.123]  Oh, and it deputizes anybody the Democrats want to with law enforcement powers.
[00:01:23.584 --> 00:01:28.026]  Not under the elected sheriff who has that power constitutionally, under the health department.
[00:01:32.042 --> 00:01:38.087]  Remember, Obama said we need a domestic security force just as big and just as strong as our military.
[00:01:38.186 --> 00:01:43.167]   And then Dr. Ryan last year from the UN said the UN goals have all local governments go
[00:01:43.167 --> 00:01:53.146]  into the houses and take the children away.
[00:01:53.146 --> 00:01:55.646]  So that's where we are.
[00:01:55.646 --> 00:02:05.646]  [BLANK_AUDIO]
[00:01:59.044 --> 00:02:11.544]   And it dovetails With the announcements in Politico and the Washington Post and CNN and scores of other establishment publications this weekend said, we're in a civil war!
[00:02:13.345 --> 00:02:19.550]  And now the Democrat talking point is, we want to kill the conservatives and the Trump supporters.
[00:02:20.190 --> 00:02:20.831]  I've got the news.
[00:02:23.012 --> 00:02:23.613]  Just like that.
[00:02:24.413 --> 00:02:28.136]  Now we knew they were training for civil war years ago.
[00:02:29.369 --> 00:02:34.113]  And actually teaching that in their underground Democrat publications that were getting wide distribution by Soros.
[00:02:34.433 --> 00:02:36.655]  And there was a lot of media attacked me in 2017, 18, 19.
[00:02:37.676 --> 00:02:40.579]  Oh, but now they say it's true.
[00:02:40.819 --> 00:02:45.563]  And I have the articles all right here to remind people, this is the system making its big move.
[00:02:45.723 --> 00:02:46.304]  And why?
[00:02:47.585 --> 00:02:52.089]  Because they're getting ready to collapse the world economy by design.
[00:02:52.972 --> 00:03:03.063]  And all over the world, whether you're in Australia, or in Spain, or in Canada, or in a blue city, which is occupied by globalist forces, literally, like a foreign army.
[00:03:06.287 --> 00:03:12.053]  They have to get you ready for the total collapse, and that's why they're rolling out martial law with the training wheels.
[00:03:13.012 --> 00:03:16.795]  That it's all being done to protect you from COVID.
[00:03:17.015 --> 00:03:22.420]  And that's why they lie with a unified voice worldwide with fake numbers, fake statistics over and over again.
[00:03:22.740 --> 00:03:24.541]  Lie and tell you it's a vaccine when it's not.
[00:03:25.622 --> 00:03:28.104]  Lie and tell you it gives you 100% protection when it doesn't.
[00:03:28.144 --> 00:03:29.605]  Then they tell you it gives you no protection.
[00:03:29.626 --> 00:03:30.626]  You gotta have another shot.
[00:03:30.646 --> 00:03:32.448]  You're not allowed to criticize it or you get banned.
[00:03:33.379 --> 00:03:47.031]  Now they're passing laws all over the world to arrest people that go out and protest or criticize or speak out because the pandemic would end if you just shut up and accept martial law and accept your vaccine passport and accept unlimited shots.
[00:03:49.313 --> 00:04:01.394]   If you'll just accept the government and big pharma run by the UN putting in your body what they want, when they want, but if you don't do what they say, Obama We'll send his domestic security force to get you.
[00:04:01.554 --> 00:04:03.375]  And you know who's in his third term right now?
[00:04:03.636 --> 00:04:04.717]  Barack Hussein Obama.
[00:04:04.537 --> 00:04:17.456]  Here it is.
[00:04:18.348 --> 00:04:25.414]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:04:30.194 --> 00:04:36.059]  And I can play you video from the outgoing Obama five and a half years ago at the U.N.
[00:04:36.940 --> 00:04:43.346]  with then Attorney General Loretta Lynch and they had tears in their eyes with Henry Kissinger as they announced the U.S.
[00:04:43.506 --> 00:04:48.210]  cities, Democrats have every major city, were now under U.N.
[00:04:48.110 --> 00:04:51.468]   control under the Strong Cities Initiative and that they would be
[00:04:51.468 --> 00:04:54.869]   implementing the abolishment of the police and the rise of their new
[00:04:54.869 --> 00:04:57.990]  paramilitary force.
[00:04:57.990 --> 00:05:13.949]  Resistance to tyrants is obedience to God.
[00:05:12.937 --> 00:05:18.539]  It's Alex Jones.
[00:05:18.619 --> 00:05:25.578]   Welcome ladies and gentlemen to this live Sunday January 9th 2022 transmission.
[00:05:26.078 --> 00:05:28.139]  Very grave times, ladies and gentlemen.
[00:05:28.899 --> 00:05:48.327]  But America still exists, freedom still exists, and outposts of telling the truth are still on air, despite the fact that the globalists are shutting down the old republic, shutting down the basic freedoms and liberties, and jumping the train to the other tracks of absolute despotism and oppression.
[00:05:48.999 --> 00:05:51.360]  So we are in very, very dangerous dark times.
[00:05:51.781 --> 00:05:55.743]  The live show headline at InfoWars.com says it all.
[00:05:57.024 --> 00:05:59.645]  And I'm going to read you that headline on air right now.
[00:06:00.186 --> 00:06:01.166]  Sunday live.
[00:06:02.747 --> 00:06:03.127]  U.S.
[00:06:03.187 --> 00:06:12.613]  COVID camps coming online as Biden pushes forward with vaccine mandate, forced injection mandate.
[00:06:13.956 --> 00:06:21.499]  COVID totalitarianism is accelerating despite pushback against their draconian measures across the world.
[00:06:25.241 --> 00:06:38.787]  But the important thing to note here in amongst all of this is that meanwhile, Democrat deep state mouthpieces have announced that America is officially in a civil war.
[00:06:41.469 --> 00:06:42.089]  As the cover.
[00:06:43.174 --> 00:06:49.638]  We're declaring martial law and completing America's journey into tyranny.
[00:06:51.919 --> 00:06:56.922]  You don't have to hear about Alex Jones tell you about it 25 years ago or five years ago anymore or six months ago.
[00:06:57.222 --> 00:06:57.882]  It's all here.
[00:07:00.324 --> 00:07:02.845]  Let me just read you a couple of headlines.
[00:07:03.446 --> 00:07:08.889]  Another blue state announces plans for a strike force right out of the UN directives.
[00:07:10.117 --> 00:07:14.360]  These are quotes to involuntarily detain the unvaccinated.
[00:07:14.380 --> 00:07:17.001]  That's the GMO gene therapy.
[00:07:18.302 --> 00:07:24.285]  That story is on InfoWars.com and is so incredibly important.
[00:07:25.446 --> 00:07:26.086]  Here's another one.
[00:07:27.487 --> 00:07:35.012]  Bill filed in Washington would authorize Strike Force to involuntarily detain unvaccinated families.
[00:07:36.271 --> 00:07:39.373]  They have already set up the, quote, internment camps, is the quote.
