[00:00:00.000 --> 00:00:15.439]  [MUSIC PLAYING]
[00:00:15.439 --> 00:00:17.280]  InfoWars.
[00:00:16.651 --> 00:00:17.532]  Tomorrow's news.
[00:00:17.832 --> 00:00:18.232]  Today.
[00:00:18.252 --> 00:00:52.081]   Well, I can't say that I personally enjoy the entire establishment trying to bring us down, but deep down it is satisfying to know that we're really given these corrupt globalists A run for their money, and that they fear us, above all others, for igniting brush fires in the minds of men and women everywhere, as Thomas Jefferson talked about, the author of our Declaration of Independence.
[00:00:53.902 --> 00:01:08.414]  Well, this is a Saturday evening emergency special with my good friend and well-known constitutional lawyer, Robert Barnes, who's been here for two weeks covering the show, Trial of the Century, and they got two more coming up.
[00:01:08.674 --> 00:01:09.134]  Wow.
[00:01:10.155 --> 00:01:11.736]  To break it all down is just insane.
[00:01:11.756 --> 00:01:14.218]  We're going to do it here today because people have a lot of questions.
[00:01:14.699 --> 00:01:19.723]  It's been the number one story for the last week in the United States.
[00:01:20.303 --> 00:01:23.146]  It's been in the top 10 stories in Europe and other parts of the world.
[00:01:23.786 --> 00:01:37.832]  Not China threatening war, not Russia winning the Ukraine war, not collapsing borders, not human smuggling, not mass suicides and fentanyl deaths, but the monster Alex Jones who questioned a mass shooting.
[00:01:38.873 --> 00:01:47.277]  And then I have the mayor of Uvalde in my stack actually coming out and saying he thinks there's a cover-up in Uvalde.
[00:01:47.317 --> 00:01:51.899]  Well, I guess he'll be the next person to face a 40-plus million dollar judgment.
[00:01:53.018 --> 00:02:02.083]  You're about to get the exclusive details of what really happened in the show trial, what it means next, what these huge judgments mean, is M4 going to be closing, is it going to be shutting down?
[00:02:02.103 --> 00:02:09.066]  We're going to talk about it all here in the next hour with Robert Barnes and play some of these incredible clips.
[00:02:10.247 --> 00:02:12.308]  The ambulance chasing lawyers.
[00:02:13.462 --> 00:02:19.384]  of the Democratic Party openly bragged in their closing statements, take his megaphone away and everybody else like him.
[00:02:19.424 --> 00:02:22.065]  We have to shut them down and silence this information.
[00:02:22.385 --> 00:02:25.526]  The judge said she is the arbiter of truth, not me.
[00:02:26.187 --> 00:02:27.227]  She said, I'm a liar.
[00:02:27.267 --> 00:02:28.207]  My lawyer's a liar.
[00:02:28.547 --> 00:02:29.308]  Everybody's a liar.
[00:02:29.748 --> 00:02:39.211]  This is an incredible time to be alive and to lay out how this show trial of the century that would make the Nazis blush is Robert Barnes.
[00:02:39.812 --> 00:02:40.752]  Robert, simply incredible.
[00:02:41.212 --> 00:02:41.532]  No doubt.
[00:02:41.572 --> 00:02:45.836]  I mean, basically, even the Soviets tried to make a show trial at least a good show.
[00:02:46.016 --> 00:02:51.261]  This was a show trial that was so one-sided, so evidently partisan, so made-for-the-movie scripts.
[00:02:51.741 --> 00:03:00.169]  I was talking to Mark Rober the other day, and this is a Hollywood screenwriter, and even he was shocked to hear how it was basically designed, the courtroom was designed like a set.
[00:03:00.508 --> 00:03:06.347]   with three big movie cameras with the judge alternating the what could be said and when it could be said
[00:03:06.347 --> 00:03:10.468]   and how it could be said and who could say it in such a way that had nothing to do
[00:03:10.468 --> 00:03:13.427]   with the rules of evidence, nothing to do with the rules of law in Texas,
[00:03:13.427 --> 00:03:18.988]   nothing to do with constitutional liberties and protection, and everything to do with scripting a case
[00:03:18.988 --> 00:03:23.508]   so that it would have a particular outcome and in particular a future media narrative
[00:03:23.508 --> 00:03:29.908]   that could be spun, and ultimately an actual future movie where the judge has made herself the star.
[00:03:29.908 --> 00:03:34.788]   That is what has happened in this case, and it is a show trial unparalleled and unprecedented
[00:03:34.788 --> 00:03:36.508]  in American or world history.
[00:03:36.508 --> 00:03:40.748]   There have been analogous examples, but nothing as severe, nothing as substantial,
[00:03:40.748 --> 00:03:47.388]   and nothing as literally scripted for a movie as this film, as this case was.
[00:03:47.388 --> 00:03:52.587]   And again, whether we're right or wrong about things, that's up to the public to decide.
[00:03:52.719 --> 00:03:58.403]  When they try to censor and control outlets, they're trying to censor what you can see, what you can watch, and literally mind-control you.
[00:03:58.923 --> 00:04:00.644]  Since I mentioned it, here's Axios.
[00:04:00.664 --> 00:04:01.985]  Do they deserve to be sued in oblivion?
[00:04:02.465 --> 00:04:06.048]  The Evalde mayor says he fears cover-up of deadly school shooting.
[00:04:06.508 --> 00:04:10.451]  The same thing that the head of the state police is saying they've been lied to.
[00:04:12.008 --> 00:04:12.709]  This is incredible.
[00:04:12.749 --> 00:04:21.959]  Robert Barnes continuing with your observations, both watching the trial on TV, being down there, having live coverage of it, why you say it's the most insane show trial ever.
[00:04:22.463 --> 00:04:26.027]  It is because, well first of all, there pretty much wasn't a right that the judge didn't violate.
[00:04:26.207 --> 00:04:29.870]  First Amendment right of freedom of expression, freedom of association, freedom of the press.
[00:04:30.271 --> 00:04:33.814]  Second Amendment right to speak out in favor of the Second Amendment right to self-defense.
[00:04:34.154 --> 00:04:35.476]  Fourth Amendment right to privacy.
[00:04:35.536 --> 00:04:37.938]  She violated that repeatedly throughout the proceedings.
[00:04:38.218 --> 00:04:50.110]   Not only what went on in the discovery being unduly invasive, but in fact turning over and telling the plaintiff's lawyer he could turn over attorney-client privilege communications Protected by the Fourth Amendment to the January 6th Committee or whomever else.
[00:04:50.470 --> 00:04:58.439]  Fifth Amendment rights to due process of law, denied rights to bring motions to dismiss, anti-slap motions, denied right to bring appeals, summary judgment motions.
[00:04:58.899 --> 00:05:06.127]  Sixth Amendment rights to both counsel and confrontation, infringed by the attorney-client privilege being disclosed, and the right to confront those making accusations against you.
[00:05:06.867 --> 00:05:08.529]  7th Amendment right to trial by jury.
[00:05:08.789 --> 00:05:13.754]  And that means a right to trial by jury on all facts, not just the facts the judge decides can be tried.
[00:05:14.114 --> 00:05:20.720]  And that all of those same analogous federal constitutional provisions have analogs in the state constitution of the state of Texas.
[00:05:20.740 --> 00:05:27.607]  Well that's right, her quote was when Bankston said he's going to give what they call the contents of my phone, it's not, to the January 6th committee.
[00:05:29.329 --> 00:05:32.470]  He said, I will not stand between you and Congress.
[00:05:32.510 --> 00:05:34.470]  Well, the state's supposed to stand up for our rights.
[00:05:34.790 --> 00:05:35.130]  Exactly.
[00:05:35.150 --> 00:05:43.792]  I mean, it's only because of a judge's order that that information is in the possession at all of the plaintiff's counsel, who basically stole it under the law.
[00:05:44.052 --> 00:05:44.712]  That's what he did.
[00:05:44.792 --> 00:05:50.534]  He got information he knew he wasn't entitled to, admitted that openly in court, and yet was allowed to be rewarded for it.
[00:05:50.794 --> 00:05:51.534]  But that wasn't all.
[00:05:51.914 --> 00:05:57.358]  Then you go to Texas substantive law that was routinely and flagrantly violated at every stage of these proceedings.
[00:05:57.738 --> 00:06:03.682]  This includes the right to summary judgment for claims that are brought under these terms that don't have a legal basis.
[00:06:03.962 --> 00:06:05.983]  The right of statutes of limitations.
[00:06:06.103 --> 00:06:08.825]  These claims are mostly all past the statute of limitations.
[00:06:09.185 --> 00:06:12.047]  The right to bring an appeal of a summary judgment motion.
[00:06:12.307 --> 00:06:19.210]   The right under defamation law to challenge Whether or not an apology, correction, or retraction was given, and to mitigate damages.
[00:06:19.510 --> 00:06:30.512]  The right to demand that a punitive damages request be done in a timely manner, which didn't happen here, based on their own testimony of the plaintiffs in court, and what the plaintiffs' lawyers said and admitted in court.
[00:06:30.912 --> 00:06:37.973]  The attempts to get an inflated punitive damages verdict, that is in excess of what Texas statutes allow, or what constitutional due process permits.
[00:06:38.413 --> 00:06:42.994]  And then, after that, violation of pretty much every rule of evidence you can possibly imagine.
[00:06:43.314 --> 00:06:58.764]  The Rule of Evidence Concerning Relevance, The Rule of Evidence Concerning Materiality, The Rules of Evidence Concerning Completeness, The Rules of Evidence Concerning Hearsay, The Rules of Evidence... And for folks that don't know, they wouldn't let us have any of our videos in, even though they were in evidence, and turned over to them and their evidence.
[00:06:58.824 --> 00:07:01.326]  But then she would not let us play videos when we wanted to.
[00:07:01.686 --> 00:07:08.150]  They would play five second clips from my show last week, out of context, and I would say, may I please see the larger clip?
[00:07:08.170 --> 00:07:08.211]  No.
[00:07:09.554 --> 00:07:14.097]  It just went on and on and now they want to sanction my lawyer and Dino Reynaud.
[00:07:14.437 --> 00:07:18.160]  I mean, it's an attempt to punish everybody who defended you in any way, shape or form.
[00:07:18.420 --> 00:07:24.244]  There's been constant attacks in the court of public opinion and in the courts of law against anyone who defended Alex Jones or Infowars.
[00:07:24.344 --> 00:07:32.509]   And let's be clear, if I was caught with dead kids in my basement, the defense lawyer that took the job, they'd call him a hero because every man deserves A defense.
[00:07:32.689 --> 00:07:36.290]  But now with Alex Jones, who just questioned a mass shooting, oh no.
[00:07:36.731 --> 00:07:37.511]  We've got a sanction.
[00:07:37.591 --> 00:07:38.511]  Every lawyer involved.
[00:07:38.751 --> 00:07:39.091]  Absolutely.
[00:07:39.111 --> 00:07:41.992]  Not only that, they excluded your lawyer of choice repeatedly.
[00:07:42.352 --> 00:07:44.133]  They tried to kick me out of the case early on.
[00:07:44.173 --> 00:07:47.494]  They did exclude multiple other lawyers who you had retained to appear.
[00:07:47.534 --> 00:07:49.234]  They didn't allow them to appear in Texas.
[00:07:49.274 --> 00:07:50.815]  Didn't allow them to appear in Connecticut.
[00:07:51.135 --> 00:07:53.716]  So they controlled which lawyer was representing you.
[00:07:53.977 --> 00:07:56.118]  They controlled how the jury selection went forward.
[00:07:56.358 --> 00:08:01.000]  They're not supposed to be allowed to ask, hey, do you commit to a ridiculous verdict before you even sit down?
