[00:00.000 --> 00:17.000]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:51.000]  The globalist crime syndicate has launched their bubble taker.
[00:51.000 --> 01:19.000]  The globalists have been caught lying and dissembling and manipulating instead of backing off.
[01:19.000 --> 01:29.000]  They have intensified their lives to create an entire false universe and false reality in which they intend to try to keep us under their control.
[01:29.000 --> 01:35.000]  But instead it's only making them a complete and total laughing stock.
[01:35.000 --> 01:44.000]  This is extremely dangerous because historically this leads to collapse, massive war and unspeakable death.
[01:44.000 --> 01:49.000]  That's where we are right now in the year 2022.
[01:49.000 --> 01:52.000]  Thank you for joining us on this May 11 Wednesday Transmission.
[01:52.000 --> 01:58.000]  A very powerful broadcast lined up for you today, particularly powerful.
[01:58.000 --> 02:15.000]  First, let's show two exhibits of the clown show that when Biden says absolutely insane things like the Democratic Party controls all three branches of government,
[02:15.000 --> 02:27.000]  Saki then backs him up instead of admitting that he is a person avalled with serious, late stage dementia.
[02:27.000 --> 02:29.000]  Here are the clips.
[02:29.000 --> 02:35.000]  Do you believe that you and your administration bear some measure of responsibility for the inflation that we're seeing across the country?
[02:35.000 --> 02:45.000]  First is we're empowered as a person and you justifiably right we control all three branches of the government.
[02:45.000 --> 02:47.000]  Well, we don't really.
[02:47.000 --> 02:58.000]  What the president's done is taken steps to address both of those enormous, enormous challenges and tried to put forward solutions to them.
[02:58.000 --> 03:05.000]  We'll leave it to the Federal Reserve, outside economists, inside economists to make other projections on what's next.
[03:05.000 --> 03:08.000]  They've already made projections about when they expect inflation to come down.
[03:08.000 --> 03:10.000]  As he noted today, he is the president.
[03:10.000 --> 03:12.000]  We do control all forms of branches of government.
[03:12.000 --> 03:18.000]  That's why he laid out very clearly what he'll continue to do as president to bring down prices.
[03:18.000 --> 03:24.000]  All they have is arrogance and hubris and their disconnection from God.
[03:24.000 --> 03:30.000]  They're way out in left field.
[03:30.000 --> 03:48.000]  And our subservience and our laziness, mine included, has allowed these lesser beings to commandeer and hijack control of the trajectory of our species.
