[00:00.000 --> 00:20.080]  Further escalation of the war, whether by accident or design, threatens all of humanity.
[00:20.080 --> 00:25.120]  Raising the alert of Russian nuclear forces is a bone-chilling development.
[00:25.120 --> 00:32.120]  The prospect of nuclear conflict, once unthinkable, is now back within the realm of possibility.
[00:56.120 --> 01:07.120]  The third scenario is a South China Sea Taiwan-Hong Kong crisis being kicked off there that could happen between Vietnam and the Philippines against China.
[01:07.120 --> 01:16.120]  Anything could kick it off where you already see skirmishes going on over these drilling rigs in the South China Sea and other areas, the artificial islands the Chinese are building.
[01:16.120 --> 01:31.120]  So that's where the world is right now, that's the reality. So when you see leftists calling for war and when you see right-wingers calling for war and all this idiocy, you know the old saying, World War III will be fought with nuclear weapons, World War IV will be fought with sticks and stones.
[01:31.120 --> 01:35.120]  Republican Senator Lindsey Graham suggesting the Russian people get rid of him.
[01:35.120 --> 01:39.120]  You need to take this guy out by any means possible.
[01:39.120 --> 01:49.120]  Putin is trying to fake the trap so that we go in and that could be the beginning of World War III.
[01:49.120 --> 01:55.120]  Putin is totally irresponsible using weapons that are not allowed under the Geneva Convention.
[01:55.120 --> 02:01.120]  Putin who threatens using chemical weapons, nuclear and the rest.
[02:01.120 --> 02:10.120]  Myself when I see those tanks, those 40 miles of tanks, I like to take out those tanks.
[02:10.120 --> 02:19.120]  I mean I think there are a couple of them having more planes might be useful but I'm not a military strategist.
[02:19.120 --> 02:29.120]  And Russia now announcing they're likely to ban exports of wheat and oats and buckwheat and other grains all the way through June 30th.
[02:29.120 --> 02:35.120]  And that's on top of of course Ukraine banning the exports of all those grains and hungry banning exports of wheat.
[02:35.120 --> 02:42.120]  Why is this happening? Because these countries know that there's a global shortage and that they have to protect their domestic supply.
[02:42.120 --> 02:46.120]  Now China was very smart about this strategically.
[02:46.120 --> 02:51.120]  They bought up grain supplies around the world over the last let's say eight months or so.
[02:51.120 --> 02:58.120]  They're sitting on about 18 months of wheat right now but the United States does not have really a strategic grain supply.
[02:58.120 --> 03:07.120]  We're going to be facing severe shortages and price inflation in the grocery stores hitting the US in the second half of this year.
[03:07.120 --> 03:11.120]  Accelerating from about August all the way through the end of the year.
[03:11.120 --> 03:21.120]  But I think what we're going to see in the United States is that the prices will get so high on not only grains but then meat and dairy and eggs.
[03:21.120 --> 03:25.120]  Because all of those products come from animals that are fed the grains.
[03:25.120 --> 03:30.120]  So most of the grains in the world are actually grown to feed animals not to feed people.
[03:30.120 --> 03:34.120]  So we're going to see huge increases in meat prices beyond what we've seen already.
[03:34.120 --> 03:42.120]  So flash mobs are going to start looting grocery stores in huge numbers and stealing the meat primarily.
[03:42.120 --> 03:52.120]  But just the food rationing they will have to implement food rationing passports which is a mark of the beast system to verify your identity.
[03:52.120 --> 03:59.120]  It might be a face scan, an iris scan, a thumb print scan or maybe just your mobile phone that's tied to your identity.
[03:59.120 --> 04:05.120]  There's going to be more stimulus money handed out and the money to buy groceries.
[04:05.120 --> 04:08.120]  There's going to be at least 10 million more Americans put on food stamps.
[04:08.120 --> 04:19.120]  Eventually maybe in 23 or 24 they'll say that if you want to buy food under the food rationing system you must use the central bank digital dollar control system.
[04:19.120 --> 04:26.120]  And that's how they're going to starve people into the mark of the beast Federal Reserve crypto system controlled by the government.
[04:26.120 --> 04:30.120]  So they're going to say we're terrorists and we're Russian sympathizers.
[04:30.120 --> 04:41.120]  So this is all a way to internationally take over, create a global crisis on the heels of the police state already set up under COVID-19
[04:41.120 --> 04:44.120]  and now just roll that in to outlaw their opposition.
[04:44.120 --> 04:50.120]  So this is banking technocratic fifth six-generational warfare economic against the people.
[04:50.120 --> 05:18.120]  It's called the Great Reset Build Back Better.
[05:20.120 --> 05:29.120]  With concentrated meat extract, you can get the high levels of butane, nitrates and antioxidants you want to help support a healthy liver,
[05:29.120 --> 05:35.120]  athletic performance, blood vessels and more.
[05:35.120 --> 05:37.120]  Don't overlook the power of beetroot.
[05:37.120 --> 05:49.120]  Get your naturally occurring potassium, folate, vitamin C, iron, selenium, zinc, vitamin K and more.
[05:49.120 --> 06:11.120]  With one of nature's greatest treasures in VasoBeat from Infowars Life today.
[06:11.120 --> 06:21.120]  You are listening to an Infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[06:21.120 --> 06:23.120]  Good morning, ladies and gentlemen.
[06:23.120 --> 06:25.120]  Welcome to the Alex Jones show.
[06:25.120 --> 06:31.120]  This wartime broadcast brought to you live from the Infowars World Headquarters here in Austin, Texas.
[06:31.120 --> 06:34.120]  I'm Harrison Smith sitting in momentarily for Alex Jones.
[06:34.120 --> 06:35.120]  He is in the building.
[06:35.120 --> 06:40.120]  He's taking care of some legal stuff right now, but he will be taking over just as soon as possible.
[06:40.120 --> 06:50.120]  But for now, let me give you a little outlook as to how close we are to nuclear annihilation.
[06:50.120 --> 06:57.120]  How close to the precipice we are before taking that plunge off the cliff that will destroy all of humanity.
[06:57.120 --> 06:59.120]  It's not looking good, folks.
[06:59.120 --> 07:03.120]  Before I do that, let me tell you Happy St. Patrick's Day, everybody.
[07:03.120 --> 07:06.120]  Hope you're all doing well. Hope you're wearing green.
[07:06.120 --> 07:08.120]  If not, I hope you get pinched.
[07:08.120 --> 07:17.120]  Now's the time for celebrating the glorious work of one of the most powerful evangelists that Christianity ever saw.
[07:17.120 --> 07:27.120]  It's worth taking a quick moment to tell you the story of St. Patrick because it's a great source of inspiration for what we're doing here in the Infowar.
[07:27.120 --> 07:29.120]  St. Patrick was from Britain.
[07:29.120 --> 07:33.120]  He was part of a Romanized British family.
[07:33.120 --> 07:35.120]  His father was a deacon in the church.
[07:35.120 --> 07:41.120]  But as a young man, he was captured and taken to Ireland, which was at the time completely pagan, where he was kept as a slave.
[07:41.120 --> 07:47.120]  And he was abused as a slave, and he lived a life as a slave until he got a vision from God that told him,
[07:47.120 --> 07:51.120]  Your boat's here. Your ride is waiting. It's time for you to escape.
[07:51.120 --> 07:55.120]  And trusting his vision, he went to the coast and found a ship waiting there.
[07:55.120 --> 07:58.120]  It took him to England where, again, his troubles were not over.
[07:58.120 --> 08:00.120]  He was captured multiple times.
[08:00.120 --> 08:02.120]  He eventually made it back to his family.
[08:02.120 --> 08:09.120]  Now, think about this. Put yourself in the mindset of a freed slave who's escaped bondage in Ireland, has escaped the pagans.
[08:09.120 --> 08:13.120]  You've made it out. You live a comfortable life with your family now.
[08:13.120 --> 08:19.120]  What would compel somebody to give up that life, go back into the land where he was enslaved,
[08:19.120 --> 08:25.120]  not to extract retribution, not to enact some revenge fantasy on the people who abused him,
[08:25.120 --> 08:32.120]  but to gift those people with the truth, to tell them the gospel, to convert them to Christianity,
