[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[00:30.000 --> 00:42.000]  Thank you so much for joining us. It is Tuesday, October 4th, 2022. I am here in the hills of Connecticut, outside
[00:42.000 --> 00:49.000]  Waterbury with constitutional lawyer Robert Barnes. Owen Schreuer is going to be hosting most of broadcast today.
[00:49.000 --> 00:57.000]  I may be back tomorrow for the show. I may not even testify here because he's not allowing me to even basically speak.
[00:57.000 --> 01:03.000]  It's a total show trial. So our part of the trial now starts as he's not allowing any defense.
[01:03.000 --> 01:08.000]  This is unprecedented in U.S. history, but it's actually happening.
[01:08.000 --> 01:14.000]  So we'll be talking some about that coming up and just how this fits in to the whole backdrop.
[01:14.000 --> 01:20.000]  But the globalist blowing up pipelines, dissolving the border, shipping in drugs, devaluing the currency,
[01:20.000 --> 01:30.000]  drag queen pedophile time, forced injections, they are making their moves on every level. Robert Barnes will be talking about that here in just a moment.
[01:30.000 --> 01:35.000]  And again, Rob, there was some documents that were in my book. I don't see them now.
[01:35.000 --> 01:40.000]  I know this is this is the other book. There's another book that I think I left in the kitchen that has my notes.
[01:40.000 --> 01:45.000]  I wanted to go over for people. I forgot to get it. That's my fault. But Robert Barnes is here.
[01:45.000 --> 01:51.000]  I love a lot to cover. Oh, and Troyer, tell folks what you've got coming up.
[01:51.000 --> 01:58.000]  Well, I'm still sitting here just trying to parse through all the news, Alex. There's so many.
[01:58.000 --> 02:05.000]  It's like you can take one stack of the news and try to break it down. And if people could just understand that, like, like, here's an example.
[02:05.000 --> 02:08.000]  This is from Yahoo News today.
[02:08.000 --> 02:16.000]  The FDA misled the public about ivermectin and should be held accountable and court argues the association of American physicians and surgeons.
[02:16.000 --> 02:24.000]  And so, obviously, we were talking about ivermectin. Others were talking about ivermectin. Republican leaders were trying to get people ivermectin.
[02:24.000 --> 02:28.000]  Democrats were banning it. Biden was banning it. The media was saying it bad.
[02:28.000 --> 02:36.000]  But see, it's not just the FDA. There's this entire consortium, Alex, that you've been talking about for decades.
[02:36.000 --> 02:45.000]  It's an entire power structure. The FDA is just one, like, a fingertip of it. It's the media. It's Fauci. It's the NIH. It's all of them combined.
[02:45.000 --> 02:55.000]  It's not just the FDA that should be held accountable. Every single bastard that made sure Americans couldn't get ivermectin, couldn't get hydroxychloroquine, and couldn't get cures for COVID,
[02:55.000 --> 03:02.000]  every single one of those creeps should be held accountable, not just the ones in governments, legally and lawfully,
[03:02.000 --> 03:08.000]  but also the ones in the media should be held to extreme scrutiny for what they did to this country and what they did to people,
[03:08.000 --> 03:14.000]  causing the inflation of the deaths because of COVID, because they didn't want people to know that there was a cure.
[03:14.000 --> 03:24.000]  So, this is like, oh, okay, like, I've got an ingrown fingernail that I need to chop off, but my arm is, like, completely broken,
[03:24.000 --> 03:32.000]  you know, hanging in like a limb like this, my shoulder is separated, and it says, oh, I'm just going to take care of this little ingrown fingernail I have here, Alex,
[03:32.000 --> 03:38.000]  and that'll take care of it. No. The entire government and media lied about ivermectin and COVID.
