[00:00.000 --> 00:26.400]  Infowars, tomorrow's news, today.
[00:26.400 --> 00:32.760]  The main weapon being deployed against us by the would-be New World Order is slight
[00:32.760 --> 00:37.400]  of hand, distraction, and fakery.
[00:37.400 --> 00:43.520]  And we can see its effectiveness in the recent Johnny Depp trial, meaningless drivel to feed
[00:43.520 --> 00:49.760]  humanity while we are literally being killed by criminal gangs posing as governments.
[00:49.760 --> 00:52.520]  And almost everybody takes a bite.
[00:52.520 --> 00:58.840]  As a human being, one must always factor in the tendency to be fooled and focus on what
[00:58.840 --> 01:00.120]  we know.
[01:00.120 --> 01:04.560]  And so, what do we know so far about monkeypox?
[01:04.560 --> 01:09.680]  We know that after Bill Gates warned of an impending terrorist attack involving a synthetic
[01:09.680 --> 01:15.840]  smallpox in 2017, two new monkeypox vaccines were developed.
[01:15.840 --> 01:22.280]  Both admittedly dangerous, known to cause infection, vaccine shedding, and death.
[01:22.280 --> 01:25.280]  And both have been approved by the FDA.
[01:25.280 --> 01:29.440]  And we know that they have been planning for a monkeypox outbreak.
[01:29.440 --> 01:36.120]  Just as the event 201 simulation war-gamed COVID-19 the year prior, or as Bill Gates
[01:36.120 --> 01:43.040]  calls it, germ-gamed, in the spring of last year, the U.S. held a monkeypox pandemic simulation
[01:43.040 --> 01:49.720]  exercise with the non-profit Nuclear Threat Initiative that predicted a monkeypox bioattack
[01:49.720 --> 01:52.440]  in June of this year.
[01:52.440 --> 01:59.040]  During that same time, the U.K. Ministry of Defense simulated a monkeypox outbreak, focusing
[01:59.040 --> 02:00.240]  on Russian disinfo.
[02:00.240 --> 02:04.560]  And what do we know about monkeypox?
[02:04.560 --> 02:11.400]  Monkeypox was first discovered in 1958 within colonies of laboratory research monkeys who
[02:11.400 --> 02:14.360]  were being given the polio vaccine.
[02:14.360 --> 02:20.400]  And according to the CDC, the only symptom that distinguishes monkeypox from smallpox
[02:20.400 --> 02:27.560]  is lymphadenopathy, swollen lymph nodes, which is also a smallpox vaccine side effect, and
[02:27.560 --> 02:33.000]  is known to be a symptom of smallpox, as well as chickenpox.
[02:33.000 --> 02:39.720]  Electron microscope visualization cannot prove a smallpox infection because allpox viruses
[02:39.720 --> 02:42.840]  are morphologically indistinguishable.
[02:42.840 --> 02:49.360]  According to actual science, there is a strong argument that smallpox, monkeypox, chickenpox,
[02:49.360 --> 02:54.560]  and shingles are all the same thing, and there is no actual proof that they are different.
[02:54.560 --> 03:01.840]  We are simply expected to trust the CDC and their logical fallacies as so-called evidence.
[03:01.840 --> 03:07.840]  And so in 1958, when virologists were likely seeing side effects on lab monkeys they were
[03:07.840 --> 03:13.560]  injecting with experimental vaccines, they called it monkeypox, and claimed it was an
[03:13.560 --> 03:19.680]  ancient rare virus that they had just discovered, which coincidentally showed up in humans for
[03:19.680 --> 03:22.560]  the first time in 1970.
[03:22.560 --> 03:29.520]  And by 1978, without any proof of its existence, scientific journals were already saying that
[03:29.520 --> 03:35.240]  vaccination is an effective preventative measure against monkeypox.
[03:35.240 --> 03:41.640]  Just three months ago, the famous Wuhan lab, who allegedly created COVID-19, published
[03:41.640 --> 03:47.760]  a paper claiming they assembled a monkeypox virus genome, which will enable for successful
[03:47.760 --> 03:53.080]  PCR testing, and potentially make it more contagious.
[03:53.080 --> 04:00.120]  And so, just as the PCR tests were used to create false positives by misreading the flu,
[04:00.120 --> 04:07.360]  the common cold, and even fruit as COVID-19, they will now be used to create false positives
[04:07.360 --> 04:13.480]  for monkeypox, whether you are experiencing vaccine side effects, or common herpes, or
[04:13.480 --> 04:16.240]  even asymptomatic monkeypox.
[04:16.240 --> 04:22.760]  And finally, we know that the media is the real virus, and when the media puts out the
[04:22.760 --> 04:29.560]  fear, their followers will eagerly line up to get the new dangerous vaccines and insist
[04:29.560 --> 04:31.880]  that you do the same.
[04:31.880 --> 05:00.240]  Reporting for Infowars, this is Greg Rees.
[05:00.240 --> 05:05.120]  Ladies and gentlemen, Ultra-12, the highest quality B-12 you're going to find on the market,
[05:05.120 --> 05:08.840]  has been sold out for many months, but now it's back in stock at infowarsstore.com.
[05:08.840 --> 05:13.640]  Now, in the next 45 seconds, I don't have time to get into vitamin B-12, but do your
[05:13.640 --> 05:20.240]  own research and realize, when it is organic, high quality vitamin B-12, it energizes every
[05:20.240 --> 05:25.000]  other vitamin mineral in your body, and all of your hormones, and so much more.
[05:25.000 --> 05:26.680]  Ultra-12 is incredible.
[05:26.680 --> 05:31.120]  You take it out of the tongue, so it's better absorption into your body, and it is a game
[05:31.120 --> 05:32.120]  changer.
[05:32.120 --> 05:38.440]  Infowarsstore.com has Ultra-12 back in stock, and despite the fact it's back in stock, despite
[05:38.440 --> 05:43.160]  the fact it's sold very quickly, it is 40% off for a limited time.
[05:43.160 --> 05:50.200]  So act now, fund the Infowars, and experience the purest, highest quality B-12 now at Infowarsstore.com,
[05:50.200 --> 05:54.400]  or call toll-free, 888-253-33139.
[05:54.400 --> 05:55.920]  Thank you all for your support.
[05:55.920 --> 05:59.600]  Now take action and get your Bottle of Ultra-12.
[05:59.600 --> 06:17.600]  I have sworn upon the altar of God, eternal hostility, against every form of tyranny over
[06:17.600 --> 06:23.040]  the mind of man, Thomas Jefferson.
[06:23.040 --> 06:26.200]  Good morning, ladies and gentlemen, welcome to the Alex Jones show.
[06:26.200 --> 06:29.600]  I'm Harrison Smith, sitting in momentarily for Alex Jones.
[06:29.600 --> 06:37.600]  He had a family engagement that he's doing right now, so he'll be in within the hour,
[06:37.600 --> 06:41.480]  the bottom of the hour, maybe 30 or 45 minutes, but I'm just going to cover some of the news
[06:41.480 --> 06:46.040]  here in the meantime, but he is on his way, and he's got some stuff to say about some
[06:46.040 --> 06:51.520]  of the news, came out yesterday, some of what we've learned about the Uvaldi shooter and
[06:51.520 --> 06:59.320]  the actual shooting as it took place and as it went down and how the police acted, incredibly
[06:59.320 --> 07:04.480]  troubling video coming out showing the parents desperately trying to get the police to go
[07:04.480 --> 07:09.880]  in and save their children as the sound of gunshots rings out from within the building
[07:09.880 --> 07:14.720]  and the police are holding these people back, actually taking their tasers out and threatening
[07:14.720 --> 07:21.920]  the parents of children with tasers and pinning them on the ground as the shooter rampages
[07:21.920 --> 07:24.840]  inside, crazy stuff.
[07:24.840 --> 07:29.400]  Now I'm the host of the American Journal, our morning show here on InfoWars, so I spent
[07:29.400 --> 07:34.680]  quite a while going through this footage and breaking it down and talking about some of
[07:34.680 --> 07:39.880]  what we can conclude from what we're learning all throughout the program today, so I won't
[07:39.880 --> 07:43.000]  spend too much time on that because I know Alex is going to cover that quite a bit as
[07:43.000 --> 07:53.160]  well, but fortunately for us there is no shortage of horrific news on a daily basis.
[07:53.160 --> 07:57.920]  So we'll be talking about a little bit of other stuff here and we'll leave it to Alex
[07:57.920 --> 08:03.760]  Jones to break down exactly what is to be learned from the inaction by the police yesterday.
[08:03.760 --> 08:09.280]  I actually had some supporters on Twitter contact me and saying, don't fall into the
[08:09.280 --> 08:17.000]  anti-police messaging of how this is being reported, it's only contributing to the Defund
[08:17.000 --> 08:21.200]  the Police program, it's the exact opposite as far as I see it.
[08:21.200 --> 08:25.480]  The Defund the Police program means two things, it means privatizing the police, those who
[08:25.480 --> 08:29.920]  can pay for it will still have protection, those who cannot afford it will be left on
[08:29.920 --> 08:34.120]  their own and without any defense whatsoever.
[08:34.120 --> 08:38.040]  And federalizing the police, that's the other issue, is that you get rid of the local police
[08:38.040 --> 08:43.280]  departments and that allows you to justify the creation of federal police departments
[08:43.280 --> 08:48.160]  and in my interpretation of what happened in Uvalde that was the issue, is that the
[08:48.160 --> 08:55.120]  local police were waiting around, excuse me, for the federal police to come in and provide
[08:55.120 --> 08:57.200]  oversight and give them instructions.
[08:57.200 --> 09:01.480]  It turns out the person that actually killed the shooter, the Border Patrol agent, was
[09:01.480 --> 09:06.240]  acting without orders, he just went in on his own, he refused to wait for instructions
[09:06.240 --> 09:10.280]  and just took it upon himself to go in and save, God knows how many children, by putting
[09:10.280 --> 09:18.080]  down the shooter after, of course, 19 had already been killed.
[09:18.080 --> 09:26.880]  I mean, I guess it's a testament to the modern American world where the news of 19 children
[09:26.880 --> 09:33.960]  being slaughtered by single gunmen isn't the worst case scenario, like showing up to a
[09:33.960 --> 09:37.440]  school and finding out that your 10 year old child has been killed, you would think would
[09:37.440 --> 09:40.920]  be the worst thing you could possibly imagine.
[09:40.920 --> 09:45.240]  That's only because it boggles the mind and defies imagination to imagine showing up to
[09:45.240 --> 09:50.520]  a school where your 10 year old is alive, just to be held outside of it by the police
[09:50.520 --> 09:52.960]  while the murder takes place inside.
[09:52.960 --> 09:58.520]  That somehow is even more horrific, the news just gets worse and worse and worse.
[09:58.520 --> 10:01.280]  It's incredibly troubling.
[10:01.280 --> 10:08.560]  But again, I'll leave that up to Alex Jones to do the deep dive investigation into that
[10:08.560 --> 10:12.360]  and explain exactly what that's all about, because after all, there's other stories to
[10:12.360 --> 10:19.880]  cover as well, including this one, which, again, it's the type of thing where they're
[10:19.880 --> 10:24.920]  just doing this sort of stuff now, it used to be the type of thing where only Info Wars
[10:24.920 --> 10:29.280]  would report on things like this, we'd be the only ones that cared about it, it would
[10:29.280 --> 10:33.400]  be all secret and we'd have to go in and figure out what was really going on.
[10:33.400 --> 10:34.400]  Times have changed.
[10:34.400 --> 10:39.960]  Now, they're establishing world government, they're very open and proud about that.
[10:39.960 --> 10:46.560]  The world elites are now gathered in Davos and Geneva in a joint or parallel World Health
[10:46.560 --> 10:52.880]  Organization and World Economic Forum meetings where they are quite openly describing the
[10:52.880 --> 10:57.920]  methods and means by which they will control the entire global population in a technocratic
[10:57.920 --> 11:04.040]  control grid that uses financial levers and digital currency controlled by a central bank
[11:04.040 --> 11:11.360]  to dictate what you deserve to do, who you deserve to go interact with, how far you're
[11:11.360 --> 11:14.640]  able to travel, what you're able to buy and eat.
[11:14.640 --> 11:20.640]  All of this will be very minutely controlled by people flying private jets and eating big
[11:20.640 --> 11:24.240]  steak dinners every night because they're worth it, because they've earned it, because
[11:24.240 --> 11:28.760]  they're doing so much to fight back against climate change, they can have a little extra
[11:28.760 --> 11:31.280]  carbon to help them along the way.
[11:31.280 --> 11:37.040]  It's a complete and total scam, world government is their espoused desire and now they're laying
[11:37.040 --> 11:42.640]  down the mechanisms by which they will achieve that goal.
[11:42.640 --> 11:47.200]  It's not a conspiracy theory, it's just conspiracy.
[11:47.200 --> 11:50.400]  Although back in the day they would have had to hide this and this is the really amazing
[11:50.400 --> 11:51.400]  thing about the globalists.
[11:51.400 --> 11:54.320]  This is their great achievement over the last several years.
[11:54.320 --> 12:00.200]  They have somehow been able to trick the people of the world and in particular the American
[12:00.200 --> 12:05.280]  people into thinking that what they're up to in their secret little conclaves is somehow
[12:05.280 --> 12:10.040]  for the benefit of them, for the benefit of the citizens.
[12:10.040 --> 12:11.040]  It's really amazing.
[12:11.040 --> 12:14.440]  It used to be a time where you said, yeah, these elites get together and they plot what
[12:14.440 --> 12:19.520]  they're going to do and they plan together and they coordinate an unelected, super national,
[12:19.520 --> 12:27.880]  secret controlled cabals and you're told that's crazy, that's insane, that doesn't happen.
[12:27.880 --> 12:32.320]  Now you're told it does happen, they do do this, they do get together, they are planning
[12:32.320 --> 12:38.320]  world events, they are plotting how to enslave the earth, it's just, it's for your own good.
[12:38.320 --> 12:42.160]  It's because they love you so much.
[12:42.160 --> 12:46.520]  It's really, you want to talk about sleight of hand, like that Gregory's report.
[12:46.520 --> 12:51.080]  This is something else entirely.
[12:51.080 --> 12:52.080]  Something else entirely.
[12:52.080 --> 12:56.000]  And of course one of the things, one of their main mechanisms of control is censorship,
[12:56.000 --> 12:57.000]  is control of information.
[12:57.000 --> 13:00.640]  And it is an information war, I don't know if you've heard of this yet, but it's an
[13:00.640 --> 13:06.760]  info war we're engaged in and of course they're still pursuing the Disinformation Governance
[13:06.760 --> 13:07.760]  Board.
[13:07.760 --> 13:12.440]  I don't know if you caught this, but we reported on it on the day that it was announced that
[13:12.440 --> 13:15.240]  Nina Jankiewicz was retiring from the Disinformation Board.
[13:15.240 --> 13:19.920]  And Disinformation Governance Board is no more, we did it, victory, we got rid of the
[13:19.920 --> 13:20.920]  Governance Board.
[13:20.920 --> 13:24.120]  But of course we actually listened to what the White House was saying and read what their
[13:24.120 --> 13:27.080]  reports were and it was like, no, this isn't going anywhere.
[13:27.080 --> 13:28.080]  It hasn't gone anywhere.
[13:28.080 --> 13:32.800]  They literally said, standing in front of the press room in the White House, they said
[13:32.800 --> 13:36.480]  the work will continue behind the scenes, it'll just be less public.
[13:36.480 --> 13:40.280]  There's too much backlash with all of the public knowing what we're doing, so we'll continue
[13:40.280 --> 13:46.600]  to do it in secret, that's how we respond to anger and outrage when it's discovered
[13:46.600 --> 13:47.600]  what we're involved in.
[13:47.600 --> 13:52.600]  And of course they turned it over from Nina Jankiewicz to, you know, the guy that wrote
