[00:00.000 --> 00:18.280]  Infowars, tomorrow's news, today.
[00:36.200 --> 00:40.400]  If you are receiving this transmission, you are the resistance.
[00:40.400 --> 01:09.520]  Ladies and gentlemen, it is Thursday, September 1st. The year is 2022 and we are cruising
[01:09.520 --> 01:20.720]  right in to a new world order takeover. Design collapsed the world economy, world IDs, Mark
[01:20.720 --> 01:31.000]  of the Beast. Thank you so much for joining us on this emergency Thursday transmission.
[01:31.000 --> 01:37.680]  I am witnessing, you are witnessing, we are all experiencing the greatest levels of brainwashing
[01:37.680 --> 01:48.080]  and outright lies, gaslighting that we have ever seen. Three days ago, I went on Steve
[01:48.080 --> 01:53.120]  Bannon's show and on my own broadcast and I went through a laundry list of the Democrats
[01:53.120 --> 01:58.760]  saying right wingers are about to be violent, Trump supporters are fascist, we are all planning
[01:58.760 --> 02:03.280]  violence and I said the last thing we want is violence and they are desperate, the world
[02:03.280 --> 02:07.880]  is turning against the whole new world order and they have pre-programmed all this to do
[02:07.880 --> 02:14.480]  what they did on January 6th or with the governor Whitmer, false flag, kidnapping operation,
[02:14.480 --> 02:19.600]  provocateur operation. The last thing we want is violence and I believe they are preparing
[02:19.600 --> 02:25.200]  when I was 68 days, it was 71 days then, out of the midterms, to stage something. My gosh
[02:25.200 --> 02:32.360]  it is as obvious as the nose on our face, on your face, my face. And the spin in the
[02:32.360 --> 02:39.680]  last two days by CNN and MSNBC and the young turds and all of them is Alex Jones is calling
[02:39.680 --> 02:46.080]  for violence. Then they play clips where I say they are planning stage stuff. So now
[02:46.080 --> 02:50.400]  they don't even, they used to do where they would to show a clip, they show a clip that
[02:50.400 --> 02:57.200]  says the opposite and then say I am calling for violence and saying oh what does he know,
[02:57.200 --> 03:05.120]  he is planning something. They want to stage stuff or provocateur it to blame us, we don't
[03:05.120 --> 03:10.160]  want violence, we are politically winning. They are hoping election fraud could put them
[03:10.160 --> 03:17.160]  over the top. Great example, all the major polls showed in the Alaska special election
[03:17.160 --> 03:21.600]  the Sarah Palin was going to win big but they got mail in ballots and the Republicans let
[03:21.600 --> 03:29.760]  them redistrict things and so while she loses to a Democrat for the first time a Republican
[03:29.760 --> 03:36.360]  has lost for that seat in 50 years, swimming against the tide, total fraud, that's what
[03:36.360 --> 03:42.560]  they have done. So people ask how am I taking all the attacks on them for wars? I mean we
[03:42.560 --> 03:46.240]  are all under attack, they are turning the power off, they are disintegrating the borders,
[03:46.240 --> 03:51.920]  they are devaluing the currency, inflation is off the chart, power bills on average are
[03:51.920 --> 03:56.760]  up 47% this year so far. I mean my God, a third of people they are announcing nationally
[03:56.760 --> 04:02.720]  in the national survey can't pay their damn power bill. California told people yesterday
[04:02.720 --> 04:06.720]  don't charge your electric cars, there is not enough power, which they know there is
[04:06.720 --> 04:11.760]  not, they have all the equations. This is the deliberate destruction of the western
[04:11.760 --> 04:17.000]  world to bring us under a feudal model like they used in the third world and the biggest
[04:17.000 --> 04:23.600]  issue is that leftist and minions of the system who are mercenaries at every level from school
[04:23.600 --> 04:30.520]  teachers up to propagandists at CNN to the Justice Department behave and act like they
[04:30.520 --> 04:35.520]  are on a winning team going through with all this and all you are doing is destroying
[04:35.520 --> 04:41.640]  and burning down your own house. This isn't normal corruption that just wants control,
[04:41.640 --> 04:48.080]  this is corruption that wants a new dark age and we are going to be covering it all a day
[04:48.080 --> 04:53.080]  but this is a big deal folks and by the way we passed the point our return, the collapse
[04:53.080 --> 04:57.040]  is already happening and it is going to get a hell of a lot worse so get ready to stay
[04:57.040 --> 05:01.520]  with us.
[05:01.520 --> 05:07.840]  Just look at these headlines from Reuters, World Faces on Presented Global Hunger Crisis
[05:07.840 --> 05:15.000]  UN Chiefs says going into 2023, World Food Program warns of global food catastrophe,
[05:15.000 --> 05:20.080]  looming global catastrophe, the world could run out of food by 2023, major studies say
[05:20.080 --> 05:24.720]  and the reports go on and on. We told you this was a designed program by the globalist
[05:24.720 --> 05:28.320]  two and a half years ago, we told you energy and food prices would explode and now they
[05:28.320 --> 05:32.960]  are up more than 40% in the US alone, some areas of the world are up over 100%. The only
[05:32.960 --> 05:36.440]  way you beat inflation and protect yourself and your family is with high quality swarble
[05:36.440 --> 05:43.720]  food ready to ship right now at preparetoday.com and a very rare sale of 10% off site wide
[05:43.720 --> 05:47.520]  not just on swarble food but survival and preparedness items is happening right now,
[05:47.520 --> 05:54.120]  10% off at preparetoday.com and on top of it any order above $99 gets free shipping
[05:54.120 --> 05:59.000]  that is a huge part of the cost of swarble food so go to preparedtoday.com and protect
[05:59.000 --> 06:04.000]  yourself and your family while you still can.
[06:04.000 --> 06:11.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[06:11.000 --> 06:31.320]  The well planned, designed, accelerated collapse of the caring capacity of the industrial society
[06:31.320 --> 06:39.880]  that supports almost 8 million people on this planet is being deliberately turned off and
[06:39.880 --> 06:46.400]  anybody going along with this, including the establishment or psychotics, this will cause
[06:46.400 --> 06:52.560]  massive civil unrest, massive war, massive starvation, it's already happening, the total
[06:52.560 --> 06:57.240]  collapse of the third world into the first world, hell on earth and I told you when
[06:57.240 --> 07:00.400]  they started the lockdown two and a half years ago this was the plan because they've written
[07:00.400 --> 07:06.400]  the plan, they blame it on global warming when they're the ones doing it, oh a virus
[07:06.400 --> 07:10.080]  came out of a lab because of global warming, oh the border is collapsing because of global
[07:10.080 --> 07:15.000]  warming, no because of your lockdowns, in some cases over two years long in the third
[07:15.000 --> 07:18.920]  world not letting farmers and others work so they were starving to death so they have
[07:18.920 --> 07:27.920]  to come here, it is a premeditated plan so here's the big front and center issue, on
[07:27.920 --> 07:33.280]  Tuesday and Wednesday, on Monday, Tuesday and Wednesday of this week, I did my own
[07:33.280 --> 07:38.880]  show, I did Steve Bannon show, I did a lot of broadcast and I said you can see all the
[07:38.880 --> 07:42.560]  pre-programming in the media, they say the right wing is about to be violent, they're
[07:42.560 --> 07:46.160]  about to engage in terror attacks, the FBI says the number one terror threat is right
[07:46.160 --> 07:49.920]  wingers with no evidence of that, we know they staged the Whitmer event, we know they
[07:49.920 --> 07:54.440]  helped provocateur January 6th and they are losing political control and everybody's
[07:54.440 --> 07:58.440]  turning against them, so they're betting on election fraud and persecution of their
[07:58.440 --> 08:03.960]  political opposition and staging events to claim that we're the violent ones, that's
[08:03.960 --> 08:10.480]  their move, that's the clear move they're engaged in right now and I came out on Monday
[08:10.480 --> 08:16.520]  and Tuesday and talked about this and now everything from CNN to the young Turks to
[08:16.520 --> 08:22.560]  all of them have gone completely ape and are misrepresenting and saying tonight, Alex
