[00:00.000 --> 00:10.000]  There is a lot of controversy around this network about Alex Jones, for example.
[00:10.000 --> 00:25.000]  Alex Jones, the foray conspiracy theorist who was a parent.
[00:25.000 --> 00:34.000]  Alex Jones, Scott, Russian, Scott.
[00:34.000 --> 00:40.000]  Before wars comes to mind.
[00:40.000 --> 00:51.000]  Reputation is amazing. I will not let you down. You will be very, very impressed, I hope.
[00:51.000 --> 00:59.000]  Ladies and gentlemen, thank you for joining us on this live Sunday, May 29, 2022, transmission.
[00:59.000 --> 01:03.000]  For your TV viewer, we were just showing you some images. We'll show you some more of the puppet.
[01:03.000 --> 01:10.000]  Biden, who is the placeholder for the Third Obama Unelected Administration.
[01:10.000 --> 01:23.000]  Grandstanding in Yvaldi, Texas, calling for the American people to be armed in his surrogates calling for repeal of the Second Amendment.
[01:23.000 --> 01:30.000]  That is just some of the news and information we're going to be covering on this live Sunday night broadcast.
[01:30.000 --> 01:39.000]  I want to thank you all for tuning in. I want to encourage all of us to realize the way we override the censors is to share the articles, the videos,
[01:39.000 --> 01:51.000]  my feeds, and to tell everyone you know about the local station that thanks to their great support of freedom that you're able to hear us on.
[01:51.000 --> 01:59.000]  The Russians are winning in Ukraine. The corporate media has tried to lie about that for months, but they are.
[01:59.000 --> 02:06.000]  And now it's being admitted by Zelensky and by Henry Kissinger and by the Pope a few weeks ago, big developments on that front.
[02:06.000 --> 02:16.000]  I'm going to talk some about what Memorial Day really stands for and means. The big story is something I came in and covered some yesterday in an emergency Saturday broadcast we did,
[02:16.000 --> 02:28.000]  but I want to get more detail in it tonight. And that is Biden actually preparing to act and firing up old executive orders and provisions
[02:28.000 --> 02:41.000]  that go back to the 60s that were expanded in a very draconian authoritarian way in 2002 after 9-11 that would allow the president to basically suspend Congress
[02:41.000 --> 02:51.000]  and be a dictator for a period of six months at least. And now even the Washington Post, The New York Times, ran headlines about emergency powers being prepared
[02:51.000 --> 03:04.000]  to be activated and used for blackouts, cyber attacks, economic collapses. In fact, it says in the executive orders that went unchallenged in 2001 and 2002 by George W. Bush
[03:04.000 --> 03:16.000]  the corresponding laws to basically fund it that it could turn this country into a permanent dictatorship.
[03:16.000 --> 03:25.000]  Well, the leftists come out when these powers were still there and hated it that Trump had the powers and kept warning that he was going to activate him any minute
[03:25.000 --> 03:40.000]  and set up a dictatorship of the one-party state. But instead, as usual, what they claim you're doing or I'm doing or Trump's doing, any populist, any Christian, any nationalist is doing.
[03:40.000 --> 03:47.000]  Whatever they claim we're doing, they're actually doing. So that's a big, big deal. We have the documents, we have the reports, we have the background on it.
[03:47.000 --> 04:01.000]  That's all coming up as well today. We also have a lot of news on the designed implosion of the economy and even conservative news sites, not just ABC News or CNN,
[04:01.000 --> 04:14.000]  are saying, man, Biden's just an idiot. He didn't know how to get fuel flowing and he's running out of options to fix this, running out of options.
[04:14.000 --> 04:22.000]  If I walk over there, there's a light switch on the wall and if I turn the lights off, there's a master switch, it'll turn the lights off in here.
