[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[00:00:04.511 --> 00:00:07.293]  When I took office, the economy was in ruins.
[00:00:08.894 --> 00:00:14.557]  No, you put the economy, attempted to with your lockdowns, the Democrats ran, Trump went along with it.
[00:00:14.857 --> 00:00:16.638]  But since you got in, it's gotten 10 times worse.
[00:00:18.259 --> 00:00:23.642]  And now he's got the nerve to say it was in ruins, but now it's strong as hell.
[00:00:25.223 --> 00:00:28.745]  Everybody knows that's a bald-faced lie.
[00:00:31.587 --> 00:00:32.468]  So what are they trying to do?
[00:00:34.029 --> 00:00:35.931]  Create unrest, create hunger, create fear.
[00:00:36.631 --> 00:00:37.552]  Have new lockdowns.
[00:00:37.873 --> 00:00:39.514]  Say we'll give you money if you take a shot.
[00:00:40.195 --> 00:00:40.855]  That's what this is.
[00:00:41.135 --> 00:00:46.280]  They need to get you so poor they can dictate the terms of our surrender.
[00:00:47.941 --> 00:00:52.225]  Rallying patriots worldwide in defense of human liberty.
[00:00:52.084 --> 00:00:59.084]  worldwide in defense of human liberty. It's Alex Jones.
[00:00:59.084 --> 00:01:18.084]  [Music]
[00:01:18.541 --> 00:01:19.441]  Tomorrow's news.
[00:01:19.741 --> 00:01:20.162]  Today.
[00:01:20.182 --> 00:01:24.982]  We're live.
[00:01:25.002 --> 00:01:27.643]  It's Monday, October 31st.
[00:01:28.503 --> 00:01:37.185]  The official president of the United States has warned the world they will face Armageddon if Russia uses tactical nukes in Ukraine.
[00:01:38.365 --> 00:01:53.000]   And when the Russian president said that the use of nuclear weapons in Ukraine is senseless, The Biden administration reversed the no first use and sole purpose policies regarding nuclear warfare, meaning that the U.S.
[00:01:53.040 --> 00:01:58.849]  will now consider first strike nuclear attacks against non-nuclear threats.
[00:02:00.276 --> 00:02:04.058]  In a surprising break from projection and gaslighting, U.S.
[00:02:04.138 --> 00:02:09.281]  Congressman Jamie Raskin recently explained the truth behind the current U.S.
[00:02:09.341 --> 00:02:10.662]  policy with Russia.
[00:02:11.102 --> 00:02:15.325]  Russia is an Orthodox Christian country with traditional social values.
[00:02:15.865 --> 00:02:20.408]  And for that reason, it must be destroyed, no matter what the cost to us.
[00:02:22.059 --> 00:02:23.840]  So this is not a conventional war.
[00:02:24.340 --> 00:02:25.800]  This is a jihad.
[00:02:26.601 --> 00:02:30.582]  Jamie Raskin said that out loud, but many in Washington agree with him.
[00:02:30.802 --> 00:02:34.823]  In both parties, they would like to see World War Trans immediately.
[00:02:35.324 --> 00:02:37.184]  On the surface, that's what this is.
[00:02:37.724 --> 00:02:39.285]  World War Trans.
[00:02:39.805 --> 00:02:41.788]  That is what the United States has become.
[00:02:42.209 --> 00:02:49.058]  To the rest of the world, America has become the land of abortions, castrations, death, and lies.
[00:02:49.639 --> 00:02:55.867]  Meanwhile, our diesel fuel is set to run out before the winter, and our leadership could care less.
[00:02:56.613 --> 00:03:04.175]  What are we doing to increase the supply of diesel given that the Energy Information Administration said as of October 14th the U.S.
[00:03:04.195 --> 00:03:06.636]  only had about a 25-day supply?
[00:03:06.696 --> 00:03:10.677]  You have the Northeast and New York already rationing home heating oil.
[00:03:11.278 --> 00:03:15.759]  What are we doing to prepare for the winter and to ramp up the supply of diesel?
[00:03:16.440 --> 00:03:19.863]  I'll take the question on the diesel, because I just don't have the data on that in front of me.
[00:03:19.903 --> 00:03:22.846]  So let me take that and we'll get back to you on that.
[00:03:23.267 --> 00:03:35.019]  But writ large, the president has been working very, very hard to make sure that not only are we ready for fluctuations that could come, and of course the prices are going down, and we think that's important.
[00:03:35.379 --> 00:03:42.779]   But that we are also doing what we can to help our European friends and partners who are also going to be facing a long
[00:03:42.779 --> 00:03:43.379]  cold winter.
[00:03:43.379 --> 00:03:49.459]   We have doubled our commitment. The commitment you made in March for natural gas exports to Europe, we've doubled that
[00:03:49.459 --> 00:03:50.379]  commitment.
[00:03:50.379 --> 00:03:56.379]   The President has cut off our fuel and given away our emergency reserves.
[00:03:56.379 --> 00:04:00.379]  Without diesel fuel, the entire nation comes to a halt.
[00:04:00.683 --> 00:04:03.705]  And at this point, nothing is being done to stop it.
[00:04:03.765 --> 00:04:09.150]  The problem is, at this point, there may not be an answer, because there may not be a way to avoid a disaster.
[00:04:09.450 --> 00:04:15.615]  Diesel fuel is not just low in this country, it's low in every western nation that has aligned itself with Ukraine.
[00:04:16.156 --> 00:04:19.999]  All these nations preparing for World War Trans are running out of diesel fuel.
[00:04:20.239 --> 00:04:33.508]  While millions may be scratching their heads over World War Trans, too afraid to speak against it, Russian President Vladimir Putin recently explained what it's all about, and how Russia has already been there.
[00:04:33.988 --> 00:04:45.536]  He said, after the 1917 revolution, the Bolsheviks also said that they would change existing ways and customs, and not just political and economic ones.
[00:04:46.016 --> 00:05:00.405]  But the very notion of human morality and the foundations of a healthy society, the destruction of age-old values, religion and relations between people, up to and including the total rejection of family.
[00:05:00.966 --> 00:05:09.151]  All this was proclaimed progress, widely supported around the world back then and was quite fashionable, same as today.
[00:05:09.771 --> 00:05:21.437]   Parent number one and parent number two, birthing parent instead of mother, I repeat, this is nothing new, and they made such a mess, it still makes one shudder at times.
[00:05:22.558 --> 00:05:27.199]  President Putin says America should do what they want, but leave Russia out of it.
[00:05:27.539 --> 00:05:28.560]  They've already been there.
[00:05:29.280 --> 00:05:39.204]  And seeing as how Americans have become nothing but submissive spectators, it seems as if the United States will be going there as well, starting this winter.
[00:05:39.824 --> 00:05:42.463]  Reporting for InfoWars, this is Greg Reis.
[00:05:42.463 --> 00:05:58.463]  The quickening is here.
[00:05:58.438 --> 00:06:02.439]  We have crossed the event horizon.
[00:06:03.740 --> 00:06:10.001]  The planets of historical chaos are now in alignment.
[00:06:11.101 --> 00:06:16.963]  Thank you for joining us on this Monday, October 31st, All Hallows' Eve.
[00:06:18.314 --> 00:06:19.495]  I'm your host Alex Jones.
[00:06:20.076 --> 00:06:24.179]  We'll be here for the next four hours ahead of the War Room at 3 p.m.
[00:06:24.219 --> 00:06:25.961]  Central with the great Owen Troyer.
[00:06:25.981 --> 00:06:28.003]  I am your host Alex Jones.
[00:06:30.165 --> 00:06:31.346]  Let me just do it this way.
[00:06:31.386 --> 00:06:34.088]  Let me just read you some of the headlines.
[00:06:34.949 --> 00:06:43.597]  The United States has moved hydrogen bomb loaded B-52 bombers to Australia preparing for open nuclear war with China.
[00:06:44.341 --> 00:06:48.903]  Much of Ukraine's capital without power and water after new Russian missile strikes.
[00:06:49.484 --> 00:06:54.666]  The world's most heavily armed governments are becoming explicitly hostile towards one another.
[00:06:57.247 --> 00:07:02.410]  Massive protests in Europe to get out of NATO as prices explode and the lights go out.
[00:07:04.851 --> 00:07:05.792]  It goes on and on.
