[00:00.000 --> 00:20.800]  Infowars, the most banned network in the world.
[00:20.800 --> 00:33.800]  I'm sure you knew when I fit off more than I could shoot.
[00:33.800 --> 00:59.800]  But through it all, when there was doubt, I ate it up and spit it out. I faced it all and I stood tall and did it my way.
[00:59.800 --> 01:27.800]  I've loved, I've laughed and cried, I've had my fill, my share of losing and now, as tears subside, I find it all so amusing to think.
[01:27.800 --> 01:47.800]  I did all that and may I say, not in a shy way, oh no, oh no, not me. I did it my way.
[01:47.800 --> 02:07.800]  My mission for 28 years has been to fire the flare to beat Paul Revere 2.0 and we've had more success than I ever imagined together thanks to what we've done.
[02:07.800 --> 02:34.800]  You've done it the American way and now we stand at the precipice of the great struggle against the New World Order and thanks to your actions and my actions, humanity is awakening and we have a fighting chance.
[02:34.800 --> 02:45.800]  Friday, October 7, 2022 and we've got one hell of a broadcast lined up for you today.
[02:45.800 --> 03:08.800]  Mark Passio, I've known about Mark for seven, eight years, really smart guy and he's become even more prominent. I have people come up to me on the street constantly, I mean four or five times a week talking about Mark Passio and my wife's a huge fan. She watches and listens to all of his shows and he's really helped her expand her understanding of things, which I really like.
[03:08.800 --> 03:22.800]  I've helped her some too. She's helped me. She's really excited. He's on in the second hour today up to do some long two, three hour presentations with him in the future on Saturdays and Sundays as we move into doing more and more podcasting style old school that we help pioneer.
[03:22.800 --> 03:41.800]  And then Steve Quayle on the global threat of nuclear war and cyber attack and just everything that he's been predicting. Talk about an original OG. This guy was way ahead of his time, even more than I've been or even William Cooper or anybody out there.
[03:41.800 --> 04:03.800]  And I would hear Quayle. I discovered Quayle 30 years ago before I even got on air and I thought this guy's really well spoken but he's he's out there. Human animal hybrids, weather weapons, forced injections and you look back 30 years and his dozens about selling books and it's just ridiculous how right he was.
[04:03.800 --> 04:19.800]  And now unfortunately he's being completely vindicated because it's all coming true. Exactly as he said it would Steve Quayle third hour and then of course great historian and researcher J. Dyer in the fourth hour as he does every Friday in the fourth hour.
[04:19.800 --> 04:35.800]  We're going to go to break and come back and get in the situation with Zelensky home for preemptive strikes on Russia on the homeland of Russia that would that would cause World War three. Just totally insane. We've got that we've got Biden saying we're on the verge of Armageddon that's all coming up.
[04:35.800 --> 04:54.800]  And we're not going to talk much today about the jury that's out in the show trial in Connecticut. I've got notes from my lawyer about what they asked for. I said 7 million. I miscalculated what he told me on the phone. They asked the jury for 8.25 billion might as well ask for 80 quadrillion.
[04:54.800 --> 05:08.800]  What a bunch of ambulance chasers. We'll be right back. Stay with us. Look around you. Everything I predicted from the global stone documents from their own admissions is now happening info wars credibility.
[05:08.800 --> 05:19.800]  My credibility has never been higher. And it's because of your backing of this operation that I could steadfastly despite the censorship and the boycotts and the attacks and the lawsuit stay on air.
[05:19.800 --> 05:32.800]  But now we're reaching the most critical juncture in the fight together. So I want to ask all of you today to help keep me on the air in my decades on air. I've never asked for personal donations.
[05:32.800 --> 05:46.800]  But I've been forced by the bankruptcy court to pay for 40% of the legal fees and I can't fund those myself. It's unsustainable. So please visit save info wars dot com save info wars dot com.
[05:46.800 --> 05:55.800]  Where you can make straight donations 5 10 50 hundred dollars whatever you can so that I can continue to persevere. I'll never give up. I'll never give in but I could give out.
[05:55.800 --> 06:17.800]  Thank you for your support. Wouldn't be without you. Save info wars dot com.
[06:17.800 --> 06:40.800]  Well, ladies and gentlemen, we have entered the Twilight Zone officially on so many fronts. Let me tell you what's coming up today.
[06:40.800 --> 06:49.800]  Zelensky who was elected but has now arrested all his political opposition even outlawed liberal parties that are anti Russia.
[06:49.800 --> 06:58.800]  He says only one party allowed. He's taken over all radio TV and print under his control. He set up death camps.
[06:58.800 --> 07:12.800]  He called in a speech yesterday that the media first said was deep fake. No, they confirm it's him now. Now they're defending it for the United States and NATO to start preemptively attacking targets inside Russia.
[07:12.800 --> 07:30.800]  To quote preclude them and deter them from escalating the war. Okay, so attack Russia proper, which is a complete open act of war under international law. Russia could then nuke us.
[07:30.800 --> 07:42.800]  I mean, this guy wants Armageddon. And on the heels of that the articles up on info wars dot com. Biden told much Democrats at a fundraiser who reportedly loved it.
[07:42.800 --> 07:51.800]  Tell them all over the news saying nuclear war survivable. Biden warns of nuclear Armageddon says the world's more danger than even the Cuban Missile Crisis.
[07:51.800 --> 08:02.800]  And I agree with that statement. I mean, that's the first big story we're going to get to next segment.
[08:02.800 --> 08:11.800]  US is piling up an anti radiation drug that doesn't let you bleed out as easily when your cells dissolve but you still die.
[08:11.800 --> 08:21.800]  But I guess it won't be as gruesome looking. That's being given to the troops and government operatives not just in Europe, but also in the United States.
[08:21.800 --> 08:32.800]  They're also stocking up on potassium iodide pills, which do protect you from a lot of the radiation that'll precipitate out into the thyroid.
[08:32.800 --> 08:44.800]  If you have enough iodide in the thyroid, you can't get in there. That's why we hammer and push x2 and x3 constantly. Imagine if it protects your thyroid from radioactive isotopes.
[08:44.800 --> 08:52.800]  Imagine what else iodine does. Well, it's essential. That means you die without it like you die without water in four or five days.
[08:52.800 --> 09:05.800]  You die without food in a month. You die without iodine by the different diseases and things you get in degeneration in about four or five months with no iodine.
[09:05.800 --> 09:13.800]  It's essential. Look it up. So I'm not selling x2 and x3 for radiation protection. It only protects you from some isotopes.
[09:13.800 --> 09:25.800]  I'm selling it because it's essential and it's awesome and we've got the best at infowarstore.com. The reason I raised this is we got a big shipment of it in it and I've been selling it for 50% off.
[09:25.800 --> 09:32.800]  But it looks like it's going to sell out like a week at the current rate. I'm keeping it 50% off even though it's going to sell out.
[09:32.800 --> 09:43.800]  So x3, all three of the good types of iodine you need, we are not going to raise the price like a lot of other folks are raising the price on ingestible, high quality, nutraceutical iodine.
[09:43.800 --> 09:57.800]  We've got the best out there and we are not going to raise the price. Stamina, libido, energy, focus. It's critical in all electrochemical activity in the body.
[09:57.800 --> 10:04.800]  We have the other big sale going. Everything is 40% off on vitamin mineral fusion. Finally, back in stock. So good for your immune system and everything else.
[10:04.800 --> 10:12.800]  Tastes great. All the vitamins on the minerals. Back in stock, 50% off. Part of the infowar super sale at infowarstore.com.
[10:12.800 --> 10:16.800]  Keep us on the air and be healthy at the same time. Thank you so much for your support.
[10:16.800 --> 10:21.800]  Now, we're going to get into all this other news on Ukraine and more when we come back.
[10:21.800 --> 10:27.800]  As I said, in Biden continuing to block pipelines. Well, same. We've got our oil now from Venezuela through sabotage.
[10:27.800 --> 10:41.800]  But the first thing I want to hit is when we come in at the bottom of the hour after I cover Russia, I'm going to get into the admissions and mainline science everywhere now that the shots are erasing your immune systems,
[10:41.800 --> 10:48.800]  attacking your entire cardiovascular system, your brain, your heart, your lungs, all your blood vessels and killing people in mass.
[10:48.800 --> 10:55.800]  And I aired this report yesterday, but it's so important. I'm going to air it again first before we come back because this is the number one issue.
[10:55.800 --> 10:59.800]  The chemical attack we're under, the biological attack. Here's the report.
[10:59.800 --> 11:07.800]  New vaccine with a new approach for most Americans. That means one COVID-19 shot once a year each fall.
[11:07.800 --> 11:12.800]  If it sounds familiar, it's because it is the White House has been comparing it to the annual flu shot.
[11:12.800 --> 11:20.800]  Now more than 200 million people are eligible to get a booster from Pfizer and Moderna. But questions remain over how many actually will get it.
[11:20.800 --> 11:26.800]  They intended to never stop the lockdowns in Australia, Canada, Europe, you name it.
[11:26.800 --> 11:33.800]  The country's zero COVID strategy came at a cost. Melbourne capital of Victoria state had six lockdowns.
[11:33.800 --> 11:39.800]  Only those who've received the jab are allowed to visit restaurants, gyms and most stores.
[11:39.800 --> 11:45.800]  People's freedoms have been taken away. Some people have willingly thrown it away.
[11:45.800 --> 11:51.800]  Very restrictive on movement and everything. It's pretty much like an open-air prison here in Australia.
[11:51.800 --> 11:58.800]  But I said in December that I could metaphysically, intellectually, economically, culturally see it.
[11:58.800 --> 12:06.800]  I said we've won this round of the fight, but barely we're bloodied, but we're awake now and we've got a chance.
[12:06.800 --> 12:12.800]  This is not some accidental thing. These aren't just companies that mean well, that screwed up and all this garbage.
[12:12.800 --> 12:16.800]  These are individuals that are using this to take over the planet.
[12:16.800 --> 12:26.800]  I see already that it's a checkmate. The only question that's still a variable is how much carnage and what will be the body count of the innocent until we get to that point.
[12:26.800 --> 12:36.800]  The numbers mirror Israel, they mirror Europe, they mirror areas of Asia that keep the statistics and show it.
[12:36.800 --> 12:42.800]  Taiwan, the number of people dying after their COVID vaccination is exceeding the number of deaths from the virus itself.
[12:42.800 --> 12:54.800]  And if you look, the peak of taking the poison shots was in December of 2021. Since then, there is a 99% rejection. 99%.
[12:54.800 --> 13:01.800]  By late May, there will be enough vaccine for every American who wants one. The problem is, millions don't.
[13:01.800 --> 13:04.800]  I'm not getting the vaccine because I'm honestly not scared of the virus.
[13:04.800 --> 13:08.800]  I don't trust the vaccine at all.
