[00:00.000 --> 00:24.120]  It's a helpless feeling.
[00:24.120 --> 00:29.120]  When your baby is upset and you're uncertain about how to best meet his or her needs, imagine
[00:29.120 --> 00:35.800]  the desperation some moms are feeling seeing these empty shelves if they rely on baby formula.
[00:35.800 --> 00:41.660]  Store after store has little to no baby formula left to buy, or is rationing what they do
[00:41.660 --> 00:43.160]  have left.
[00:43.160 --> 00:48.040]  Even the Atlantic admits this has become a full-blown national crisis.
[00:48.040 --> 00:52.640]  Many states are now at least 40% out of stock according to data assembly.
[00:52.640 --> 00:58.320]  Legacy media is partly blaming the pandemic, but there's also the issue of a major manufacturer,
[00:58.320 --> 01:00.720]  government nutrition, remaining shuttered.
[01:00.720 --> 01:05.320]  The FDA has not let them resume production since a voluntary recall in February of this
[01:05.320 --> 01:06.320]  year.
[01:06.320 --> 01:09.640]  The facility says it will be at least two more months before his formula can fill the
[01:09.640 --> 01:10.800]  shelves again.
[01:10.800 --> 01:15.240]  House Republican Dusty Johnson of South Dakota says that's unacceptable.
[01:15.240 --> 01:19.160]  He's blaming the FDA for dropping the ball and is urging it to do more.
[01:19.160 --> 01:22.400]  Representative Marjorie Taylor Greene is also fired up.
[01:22.400 --> 01:29.760]  40 billion dollars, but there's no baby formula for American mothers and babies.
[01:29.760 --> 01:34.480]  But if you dare even acknowledge this crisis, all these empty shelves, then Democrat Representative
[01:34.480 --> 01:39.400]  Jamie Raskin will say you're just repeating Putin's propaganda and disinformation.
[01:39.400 --> 01:45.800]  Here's a formula for the destruction of democracy, repeating Putin's propaganda and disinformation,
[01:45.800 --> 01:49.480]  and appeasing imperialist assaults on sovereign nations.
[01:49.480 --> 01:54.040]  If this is about claiming that it's about saving lives, let's be real, then we would
[01:54.040 --> 01:59.480]  care about war-torn countries like Ethiopia, so that's a bunch of hypocrisy because I never
[01:59.480 --> 02:01.680]  hear Ethiopia brought up here.
[02:01.680 --> 02:07.840]  So while we've sent more than 54 billion to Ukraine this year, what is being done about
[02:07.840 --> 02:09.560]  these empty shelves?
[02:09.560 --> 02:11.920]  Wait, these shelves look full?
[02:11.920 --> 02:16.280]  Oh, that's a processing center on the U.S. border according to Florida Congresswoman
[02:16.280 --> 02:17.280]  Kat Kamek.
[02:17.280 --> 02:21.560]  What I absolutely have to share with you right now is the craziness of the empty shelves
[02:21.560 --> 02:28.120]  Biden movement and the fact that they are sending pallets, pallets of baby formula to
[02:28.120 --> 02:29.120]  the border.
[02:29.120 --> 02:34.440]  Meanwhile, in our own district at home, we cannot find baby formula.
[02:34.440 --> 02:39.360]  But have no fear, Bill Gates and billionaire crew conveniently have had a backup plan
[02:39.360 --> 02:40.600]  in the works.
[02:40.600 --> 02:45.000]  From a 2020 article in Science Times, Bill Gates, Zuckerberg, other billionaires invest
[02:45.000 --> 02:50.280]  in environmentally friendly, artificial breast milk cultured from human mammary.
[02:50.280 --> 02:52.880]  Oh, hey, isn't that convenient?
[02:52.880 --> 02:56.000]  Dr. Syed Haider has a different take.
[02:56.000 --> 03:02.520]  And so I would recommend don't use the stuff that's available in stores ever again.
[03:02.520 --> 03:09.200]  This is a good time to find a good alternative for your breastfeeding needs or for your child
[03:09.200 --> 03:14.980]  in formula needs because if you read the ingredients on the breast milk in the stores,
[03:14.980 --> 03:18.920]  it's a bunch of junk, honestly, like it's a bunch of oils that I wouldn't recommend
[03:18.920 --> 03:23.040]  that human beings use and a bunch of other sugars.
[03:23.040 --> 03:27.600]  There's a lot of sugar in all the breast or the infant formulas.
[03:27.600 --> 03:31.320]  And so making your own is actually far, far better.
[03:31.320 --> 03:37.200]  Now on cue, this is contrary to what the mainstream media is advising CNN homemade infant formula
[03:37.200 --> 03:42.320]  can be dangerous misinformation about how families can get through infant formula shortage
[03:42.320 --> 03:44.240]  is fueling concern.
[03:44.240 --> 03:48.880]  But the nonprofit Western Price Foundation has been around for more than 20 years, offering
[03:48.880 --> 03:51.960]  an at-home recipe many moms swear by.
[03:51.960 --> 03:54.560]  Other moms are recommending goat's milk as an alternative.
[03:54.560 --> 03:58.080]  So goat milk isn't the perfect substitute for human breast milk.
[03:58.080 --> 04:01.600]  It doesn't have all the same things that human breast milk does, all the same nutrients.
[04:01.600 --> 04:06.880]  There's different levels of different nutrients in the goat milk and in cow milk.
[04:06.880 --> 04:10.760]  So if you want to try to mirror human breast milk as closely as possible, then I would
[04:10.760 --> 04:12.360]  recommend the Western Price formula.
[04:12.360 --> 04:18.160]  You can find that online, just Google Western Price Foundation, you know, baby formula.
[04:18.160 --> 04:21.160]  And it's got a whole lot of stuff and you're not going to have everything on hand.
[04:21.160 --> 04:23.720]  So you're going to have to order some things, you know, it's got all these different oils
[04:23.720 --> 04:26.320]  that you add in and you've got to really mix it up really well.
[04:26.320 --> 04:32.000]  Otherwise, it gives like a recipe of how yeah, they have a recipe and it's kind of complicated.
[04:32.000 --> 04:34.800]  So you know, you're going to have to, you're not going to have everything at home, I guarantee
[04:34.800 --> 04:35.800]  you.
[04:35.800 --> 04:39.920]  There's a lot of different like specific oils that you add so that you get the right level
[04:39.920 --> 04:45.240]  of omega-3s and the right level of DHA and EPA and so they're trying to mirror human
[04:45.240 --> 04:49.000]  breast milk as closely as possible and it's really important for brain development to
[04:49.000 --> 04:52.960]  have something that is as close as possible to human breast milk.
[04:52.960 --> 04:57.000]  Perhaps the silver lining in this is that for those that are able to, they'll heed
[04:57.000 --> 05:00.280]  the advice that breast is best.
[05:00.280 --> 05:06.280]  Here at Info Wars, our slogan is, tomorrow's news today, whether it's politics or health
[05:06.280 --> 05:13.040]  or spirituality, we're about bringing you the very best documented, accurate, real world
[05:13.040 --> 05:18.080]  information and when it comes to our supplements, they are so game changing for your body, for
[05:18.080 --> 05:23.400]  your health, your immunity, your libido, your middle clarity, they're incredible and out
[05:23.400 --> 05:27.360]  of all the products, X2 is definitely the most amazing.
[05:27.360 --> 05:32.120]  It is the purest, highest quality, atomic iodine you're going to find.
[05:32.120 --> 05:37.600]  Each other iodine out there is bound to other minerals and compounds so you don't absorb
[05:37.600 --> 05:39.880]  it at all or fully.
[05:39.880 --> 05:43.080]  Ladies and gentlemen, we got a limited supply and it's been sold out for months because
[05:43.080 --> 05:49.000]  supply chain right now, but despite that, we're selling it at 25% off for one more week
[05:49.000 --> 05:50.120]  than it goes back to full price.
[05:50.120 --> 05:53.640]  Within two weeks, the current sales rate is going to sell out.
[05:53.640 --> 05:57.120]  Experience X2 for yourself today at infowarstore.com.
[05:57.120 --> 06:04.120]  Take action now.
[06:28.120 --> 06:33.160]  The world is really starting to wake up to the fact that whether it's Bill Gates or
[06:33.160 --> 06:44.240]  Klaus Schwab or Trudeau up in Canada or Joe Biden and Obama here or Prince Charles, that
[06:44.240 --> 06:50.480]  these people are creepy authoritarian dictators that absolutely hate us and hate our guts
[06:50.480 --> 06:55.280]  and we're going to have to decide whether we're going to allow them to dismantle civilization
[06:55.280 --> 07:02.680]  and deindustrialize us and make us abject poor serfs if we're lucky and live.
[07:02.680 --> 07:10.600]  The direction they're taking us on record is war and famine and death and destruction.
[07:10.600 --> 07:14.680]  And I for one am not going to just sit here and take it.
[07:14.680 --> 07:20.760]  And I want this to sink into the listeners and viewers on this Friday, May 13th broadcast.
[07:20.760 --> 07:28.320]  I guess that's Friday the 13th.
[07:28.320 --> 07:39.320]  This broadcast is the largest, most effective, pro-human, populist resistance platform in
[07:39.320 --> 07:40.320]  the world.
[07:40.320 --> 07:47.240]  And I don't say that with enjoyment because we're ragtag, we're small and we're barely
[07:47.240 --> 07:51.520]  hanging on and we're having a bigger effect than we've ever had.
[07:51.520 --> 07:56.040]  And my enemies are massive.
[07:56.040 --> 08:01.240]  Your enemies are massive, but I know that as their evil plan unfolds, more people will
[08:01.240 --> 08:07.320]  wake up by necessity and realize that we must stop complying with this new world order.
