[00:00.000 --> 00:23.560]  Infowars, tomorrow's news, today.
[00:23.560 --> 00:28.800]  Former Japanese Prime Minister Shinzo Abe has died after being shot during a campaign
[00:28.800 --> 00:43.520]  speech today. The shooting captured on video.
[00:43.520 --> 00:49.000]  You can hear their two shots fired. Abe suffered a bullet wound to the right side of his neck
[00:49.000 --> 00:53.760]  and also to his chest. He was rushed from the scene in an ambulance and then transferred
[00:53.760 --> 00:58.840]  by medical helicopter to a hospital where he underwent emergency treatment, but doctors
[00:58.840 --> 01:01.240]  could not stop the bleeding.
[01:01.240 --> 01:06.320]  Moments after the shots were fired, you could see Abe's security detail tackling the suspect,
[01:06.320 --> 01:11.680]  a local resident in his 40s. The gun he used appears to have been handmade, a mode of not
[01:11.680 --> 01:16.960]  known at this time. As Briana said, Abe was Japan's longest serving Prime Minister and
[01:16.960 --> 01:22.800]  was still a towering figure in Japanese and international politics. He had crucial working
[01:22.800 --> 01:27.740]  relationships with both President Obama and President Trump and this assassination causing
[01:27.740 --> 01:31.880]  shock waves around the world this morning.
[01:31.880 --> 01:37.520]  And some breaking news tonight. Former Japanese Prime Minister Shinzo Abe collapsed on stage
[01:37.520 --> 01:42.160]  during a campaign speech bleeding and was in heart failure after apparently being shot
[01:42.160 --> 01:47.280]  in western Japan. According to NHK public television, witnesses say they heard gunshots
[01:47.280 --> 01:51.800]  while Abe was making his speech. NHK says he was rushed to the hospital.
[01:51.800 --> 02:00.420]  He thinks he's dead. He must be veuts to get out of here...
[02:00.420 --> 02:04.700]  It was almost even possible and he wanted to get out of here.
[02:04.700 --> 02:17.760]  The time has come that young man assumed his dad to be himself
[02:17.840 --> 02:22.660]  The anybody hiding behind this ship is now a ship
[02:22.780 --> 02:28.260]  and head to the dock where all the eens filmed
[02:28.260 --> 02:30.260]  What is this?
[02:30.260 --> 02:32.260]  It's a black tape!
[02:32.260 --> 02:34.260]  What is this?
[02:34.260 --> 02:40.260]  There was a black tape on the road near the station.
[02:40.260 --> 02:46.260]  The former Prime Minister Abe was giving this speech for the upcoming
[02:46.260 --> 02:48.260]  Upper House elections.
[02:48.260 --> 03:04.260]  And we can see the smogs.
[03:04.260 --> 03:24.260]  It's Friday.
[03:24.260 --> 03:28.260]  Well, the head of OPEC mysteriously died yesterday.
[03:28.260 --> 03:32.260]  Boris Johnson resigned yesterday.
[03:32.260 --> 03:36.260]  The former Prime Minister who really ran Japan
[03:36.260 --> 03:39.260]  and was gearing up for war with China has been shot in the back.
[03:39.260 --> 03:41.260]  China is celebrating.
[03:41.260 --> 03:46.260]  Two blasts from a homemade 12-gauge shotgun.
[03:46.260 --> 03:49.260]  The assassin knew what he was doing.
[03:49.260 --> 03:54.260]  Two shots to the heart.
[03:54.260 --> 03:57.260]  The Georgia Guidestones have been blown sky high.
[03:57.260 --> 04:01.260]  Vladimir Putin in a speech has threatened direct nuclear war with the West
[04:01.260 --> 04:04.260]  and says they're preparing for a real war
[04:04.260 --> 04:08.260]  if NATO does not stop pouring weapons into Ukraine.
[04:08.260 --> 04:11.260]  We're not entering World War III, ladies and gentlemen.
[04:11.260 --> 04:13.260]  We're in it.
[04:13.260 --> 04:17.260]  And everything you see happening, everything you see unfolding,
[04:17.260 --> 04:21.260]  is just the beginning of the angrier world that Klaus Schwab talked about,
[04:21.260 --> 04:27.260]  the purposeful destabilization of the plant.
[04:27.260 --> 04:31.260]  We are going to open the phones up today.
[04:31.260 --> 04:35.260]  I have canceled the guests that were set for the show.
[04:35.260 --> 04:39.260]  And I will be hosting the entire four hours.
[04:39.260 --> 04:41.260]  I think I'm going to co-host with Jay Dyer.
[04:41.260 --> 04:43.260]  This is too important in the fourth hour.
[04:43.260 --> 04:45.260]  So this is a very important transmission.
[04:45.260 --> 04:50.260]  And I told you that I have not just a political and geopolitical understanding,
[04:50.260 --> 04:53.260]  but a spiritual understanding and a historical understanding of this.
[04:53.260 --> 04:55.260]  I'm not playing games and I know you aren't either.
[04:55.260 --> 04:56.260]  You can feel it. You can see it.
[04:56.260 --> 04:59.260]  This is very hard times that are here.
[05:26.260 --> 05:29.260]  Ultimate Crill Oil, that's a huge deal.
[05:56.260 --> 05:58.260]  Right now on infowarstore.com.
[05:58.260 --> 06:27.260]  Alex Jones's right t-shirt while you're there.
[06:28.260 --> 06:40.260]  It's Friday, July 8th, 2022.
[06:40.260 --> 06:46.260]  And the prime minister, he really still ran Japan just like Obama runs the U.S.
[06:46.260 --> 06:49.260]  He was anti-globalist, anti-China, an ally of Trump.
[06:49.260 --> 06:58.260]  Trump was executed with two shotgun blasts, 12-gauge shotgun blasts in the back.
[06:58.260 --> 07:00.260]  We have the head of OPEC mysteriously dying yesterday.
[07:00.260 --> 07:03.260]  We have Boris Johnson resigning the day and a half ago.
[07:03.260 --> 07:06.260]  We have the Georgia Guidestones blowing up two days ago.
[07:06.260 --> 07:10.260]  We have Vladimir Putin directly threatening a wider war and nuclear confrontation,
[07:10.260 --> 07:16.260]  as well as the former president, Mitya Giv.
[07:16.260 --> 07:22.260]  We have all the futures numbers coming in showing absolute total collapse.
[07:22.260 --> 07:31.260]  I talked yesterday to a major, major national supplier to grocery stores,
[07:31.260 --> 07:39.260]  and they are expecting no coffee, just to give you an example, by November.
[07:39.260 --> 07:45.260]  All coffee supplies will be exhausted by November of this year.
[07:45.260 --> 07:52.260]  Bill Gates and others have cornered the market and have been hoarding it and massing it.
[07:52.260 --> 07:54.260]  Not to mention apples.
[07:54.260 --> 07:56.260]  The list goes on and on.
[07:56.260 --> 08:00.260]  I mean, it is just unbelievable what they're about to do to us.
[08:00.260 --> 08:04.260]  If you think things are crazy now, believe me.
[08:04.260 --> 08:10.260]  If we don't have nuclear war in the next six months, we can count our lucky stars.
[08:10.260 --> 08:20.260]  There is covert war going on everywhere. There are at least four major globalist factions battling for control of the New World Order.
[08:20.260 --> 08:22.260]  We have lived to be inside the New World Order.
[08:22.260 --> 08:30.260]  We have lived to see the full launch of a bio weapon through the COVID release and then the so-called vaccines.
[08:30.260 --> 08:41.260]  We have mainstream news Wall Street Journal saying one study shows double, other studies show triple, people dying who've taken the COVID shot.
[08:41.260 --> 08:45.260]  You're twice as likely to die of heart attacks, you name it, if you've taken it.
[08:45.260 --> 08:47.260]  I mean, it's just insane.
[08:47.260 --> 08:54.260]  We are living through a bio attack, and then the vaccine does the same thing as the virus.
[08:54.260 --> 08:55.260]  This is unbelievable.
[08:55.260 --> 09:00.260]  I mean, they're really doing this as a man.
[09:00.260 --> 09:03.260]  And I'm a guy that's known this is coming for a while and ready for it.
[09:03.260 --> 09:24.260]  As a man, I have to literally control myself not to walk out of here and go to the middle of nowhere in a trailer with solar panel and a giant tank of natural gas enough to live for two, three years and just never be seen again.
[09:24.260 --> 09:25.260]  But I'm not going to do that.
[09:25.260 --> 09:28.260]  I'm going to stay at the helm of this ship right through this.
[09:28.260 --> 09:32.260]  But I look at the general public going about their business, having no idea what's about to happen.
[09:32.260 --> 09:33.260]  And I am just blown away.
