[00:00:06.405 --> 00:00:09.189]  Well, here we are ladies and gentlemen in the year 2022.
[00:00:09.189 --> 00:00:10.992]  It is Sunday, January 2nd.
[00:00:15.740 --> 00:00:26.144]  We're going to be live here for the next four hours on this very special Sunday night transmission.
[00:00:26.144 --> 00:00:38.969]  Dr. Robert Malone, the inventor of mRNA technology and the holder of literally dozens of top patents, has been involved at the highest levels of big pharma and government in previous drug and vaccine approval.
[00:00:40.296 --> 00:00:48.600]  has given a stunning three-hour interview with Joe Rogan that has gone mega viral and is really waking people up.
[00:00:48.600 --> 00:00:59.325]  And the day after Joe interviewed Robert Malone while he was in town, our own Christy Lee interviewed him in an in-depth hour-plus interview that is now at Man.Video.
[00:00:59.325 --> 00:01:06.268]  So today, even though I'm right here in Austin, Texas and ready to go on, I asked her to come in and host the special edition
[00:01:07.483 --> 00:01:07.783]  Of course.
[00:01:31.039 --> 00:01:42.899]  He talked about being multi-dimensionally aware of their multi-faceted globalist Great Reset takeover and how he sees how all the pieces come together for the cashless society, the global medical ID, all of it.
[00:01:44.232 --> 00:01:49.196]  He talked about being red-pilled to the fact that this is a dimensional attack.
[00:01:49.196 --> 00:01:51.497]  And that's something Elon Musk has talked about.
[00:01:51.497 --> 00:01:57.561]  That's something I've been talking about, obviously, from the very beginning of being on air, because that's what the globalists are aware of.
[00:01:57.561 --> 00:01:59.803]  This is very important information.
[00:01:59.803 --> 00:02:03.926]  And also, Dr. Peter McCullough was in the studio with me for over two hours Friday.
[00:02:03.926 --> 00:02:04.887]  Did an incredible job.
[00:02:04.887 --> 00:02:06.087]  That's posted to Bandai Video.
[00:02:06.087 --> 00:02:09.310]  I'll be playing excerpts tomorrow on my weekday show.
[00:02:10.274 --> 00:02:12.957]  This is such a huge interview.
[00:02:12.957 --> 00:02:16.280]  The things he talked about are so incredibly important.
[00:02:16.280 --> 00:02:19.824]  I wanted to air it tonight here on the Sunday broadcast.
[00:02:19.824 --> 00:02:25.730]  And I wanted to ask you all to share the live links and to share the interview because people are really hungry for the truth.
[00:02:25.730 --> 00:02:31.956]  And as I've said a thousand times, a thousand times conservatively in the last couple of years,
[00:02:32.797 --> 00:02:43.839]  If we do not expose the globalist Great Reset Build Back Better agenda, and that it's a planetary, corporate authoritarian takeover, then we have no chance of defeating any of their systems.
[00:02:44.918 --> 00:03:03.664]  There's a global awakening that it's corporate fascist systems using liberalism and wokeism as political correct speech control and we realize that they are openly bringing in to our world the cashless society social credit score system through our phones and then through implantable chips.
[00:03:03.664 --> 00:03:05.685]  It's all been announced by Klaus Schwab.
[00:03:05.685 --> 00:03:10.747]  If we come together and have an epiphany that they are designing a system to cut off resources
[00:03:11.787 --> 00:03:18.612]  To bring humanity to its knees and force the population in war, if we have that epiphany, it's game over.
[00:03:18.612 --> 00:03:30.379]  And I got to tell you, all of the top scientists and doctors and people we talked to on air, and yes, some of the other huge names, you know who they are, folks.
[00:03:30.379 --> 00:03:38.485]  One of the names out there is a very well-known individual who had a uncle that was President of the United States.
[00:03:38.485 --> 00:03:39.886]  He is getting more and more hardcore.
[00:03:40.993 --> 00:03:51.142]  And understands exactly what is happening and we now have a very, very, very good shot of stopping the globalists.
[00:03:51.142 --> 00:04:02.072]  This is so exciting and I'm so proud of all you and I want to thank you for your past support because literally you are owed the thanks and the credit for the fact that we've got any hope of beating this.
[00:04:02.072 --> 00:04:02.872]  We've got more than hope.
[00:04:02.872 --> 00:04:07.697]  We've got a damn good chance because the globalists can only carry this out if people aren't aware of what's really happening.
[00:04:08.397 --> 00:04:11.078]  So, this is so critical.
[00:04:11.078 --> 00:04:13.098]  Red-pilled Dr. Robert Malone.
[00:04:13.098 --> 00:04:15.939]  Talk about the Great Reset, the New World Order, the endgame.
[00:04:15.939 --> 00:04:19.820]  And all the other scientists I talked to, they've known for over a year that's what's happening.
[00:04:19.820 --> 00:04:21.560]  They've concurred with my analysis.
[00:04:21.560 --> 00:04:22.500]  They've just been scared.
[00:04:22.500 --> 00:04:24.021]  But Malone isn't scared.
[00:04:24.021 --> 00:04:28.802]  Their attempt to silence him, their attempt to censor him, has blown up in their face.
[00:04:28.802 --> 00:04:31.242]  And now, humanity is awakening.
[00:04:31.242 --> 00:04:33.983]  The answer to the Great Reset is the Great Awakening.
[00:04:33.983 --> 00:04:37.564]  The answer to the New World Order, built back better, is the New Renaissance.
[00:04:37.944 --> 00:04:39.105]  InfoWars.com.
[00:04:39.105 --> 00:04:47.049]  Tomorrow's news today will go to break, and then Christy Lee takes over with powerful excerpts from the interview, a lot of breaking news, and so much more today.
[00:04:47.049 --> 00:04:51.832]  And then Harrison Smith, tonight, who broke the fact that they're denying white people monoclonal antibodies.
[00:04:51.832 --> 00:04:52.532]  That's not confirmed.
[00:04:52.532 --> 00:04:55.814]  Mainstream News has new breaking info coming up as well.
[00:04:55.814 --> 00:04:57.795]  So stay with us and share those live links.
[00:04:57.795 --> 00:04:58.636]  God bless and good luck.
[00:05:00.316 --> 00:05:02.798]  Christmas 2021 is gone.
[00:05:02.798 --> 00:05:04.199]  It's in the rearview mirror.
[00:05:04.199 --> 00:05:10.364]  But you can still take advantage of Christmas prices going into the new year at InfoWareStore.com.
[00:05:10.364 --> 00:05:14.387]  On to our bestselling products, now finally back in stock.
[00:05:14.387 --> 00:05:17.609]  We have the number one bestseller of all time.
[00:05:18.630 --> 00:05:26.993]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[00:05:26.993 --> 00:05:28.594]  It is back in stock.
[00:05:28.594 --> 00:05:35.336]  X2 is 50% off at m4warrestore.com and right in time for the deepest part of winter.
[00:05:36.462 --> 00:05:41.846]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[00:05:41.846 --> 00:05:46.871]  And again, your whole body is back in stock, ready to ship for you right now at InfoWarsTore.com.
[00:05:46.871 --> 00:05:47.972]  So it's a 360 win.
[00:05:47.972 --> 00:05:53.236]  It keeps us on air and it also makes your life so much healthier and better.
[00:05:53.236 --> 00:05:57.700]  So get your supply up to date at InfoWarsTore.com right now.
[00:06:16.217 --> 00:06:17.319]  InfoWars.
[00:06:17.319 --> 00:06:18.520]  Tomorrow's news.
[00:06:18.520 --> 00:06:18.840]  Today.
[00:06:21.323 --> 00:06:25.886]  It's Sunday, January 2nd, 2022.
[00:06:25.886 --> 00:06:31.710]  This is a special edition of the Alex Jones Show with investigative journalist Christy Lee.
[00:06:31.710 --> 00:06:38.815]  We now take you live to the Central Texas Command Center in the heart of the resistance with massive breaking news and information.
[00:06:43.072 --> 00:06:44.733]  Wow, what an introduction!
[00:06:44.733 --> 00:06:46.033]  That is great.
[00:06:46.033 --> 00:06:49.535]  Tomorrow's news today is how this starts out and isn't that the truth?
[00:06:49.535 --> 00:06:52.397]  We're seeing that over and over again.
[00:06:52.397 --> 00:07:09.165]  We're seeing news predicted and then coming true and it's all starting here and then the mainstream news is catching up and I should know as spending multiple years, 20 years in traditional news journalism before being able to escape to a place of truth and that is my motto for 2022 is that
[00:07:11.886 --> 00:07:15.810]  What is true will come out in 2022.
[00:07:15.810 --> 00:07:19.194]  And that is the hope and the prayer and what a journey it's been.
[00:07:19.194 --> 00:07:20.135]  It's been a wild ride.
[00:07:20.135 --> 00:07:26.742]  We're going to be showing you clips of the interview with Dr. Malone that we had right after Joe Rogan.
