[00:00.000 --> 00:18.600]  Infowars, tomorrow's news, today.
[00:36.000 --> 00:45.000]  Crying on the corner, waiting in the rain, I swear I'll never ever wait again.
[00:45.000 --> 00:52.000]  You gave me a word, words for you are lies.
[00:52.000 --> 01:08.000]  Darling in my wildest dreams, I never thought I'd go, but it's time to let you know.
[01:08.000 --> 01:24.000]  Going to harden my heart, won't swallow my tears, I'm gonna turn and leave you here.
[01:24.000 --> 01:32.000]  Ladies and gentlemen, we are live broadcasting worldwide on this Tuesday, September 6th broadcast.
[01:32.000 --> 01:42.000]  I'm your host Alec Jones, and I am extremely honored to be here with you in defense of the future of humanity.
[01:42.000 --> 01:46.000]  Very honored, very blessed to be here.
[01:46.000 --> 01:56.000]  Ready to go to war with the New World Order, with information, with the truth, and you need to get ready and strap yourselves in.
[01:56.000 --> 02:03.000]  Well, the next phase of the Great Reset is here, exactly as we told you it would unfold, it's unfolding.
[02:03.000 --> 02:10.000]  And we can tell you what the next phase will be, and the next phase, and the next phase till the majority of us are dead.
[02:10.000 --> 02:12.000]  It's all official.
[02:12.000 --> 02:21.000]  So I'm like a tour guide, telling you, you know, when you come to, say, a national park or something, where the bus is going and where the stops are.
[02:21.000 --> 02:29.000]  And I would suggest we not get on the bus, but we're already on the bus, we're already gotten to a couple of the stops.
[02:29.000 --> 02:31.000]  It's the New World Order.
[02:31.000 --> 02:39.000]  So first they put their police state surveillance control grid in, then they release the virus, then they have the lockdowns that destroy the third world and collapse it.
[02:39.000 --> 02:47.000]  They further destroy the west, then they bring in sanctions that cripple the economy further and say, this is good to lower people's carbon footprint.
[02:47.000 --> 02:59.000]  But because you're poor, even middle class people can't pay their power bills or their gas bills, the government's going to give you a universal basic income through this hard winter.
[02:59.000 --> 03:10.000]  Oh, but now they're announcing it's going to be permanent, but you're going to have to accept a tracker system on your phone or a card that decides what you can buy with the rations.
[03:10.000 --> 03:16.000]  Ah, what energy you're allowed to buy, what food you're allowed to buy.
[03:16.000 --> 03:21.000]  You will have nothing, you will own nothing, you will like it, you will eat the bugs.
[03:21.000 --> 03:27.000]  Oh, you will eat the bugs and then the rest of the dystopia.
[03:27.000 --> 03:41.000]  So I'm going to lay out what's currently happening and then I'm going to tell you what's coming next and you can decide to get off the bus or you can decide to go to the next phase of this journey to hell, this journey to Mordor.
[03:41.000 --> 03:47.000]  That's where we're being taken and I see even all the mainstream news, even conservative sites can't really figure out what's going on.
[03:47.000 --> 03:56.000]  Oh, look at the idiots, they did sanctions on Russia and now it's collapsing the economy and now they've got to bail people out and oh, the education system didn't work.
