[00:00.000 --> 00:18.000]  Infowars. Tomorrow's news. Today.
[00:30.000 --> 00:35.000]  Ladies and gentlemen, Owen Troyer with you here filling in for Alex as he is on the
[00:35.000 --> 00:48.000]  witness stand today in Connecticut and they're in a break right now but we are
[00:48.000 --> 00:55.000]  going to go live to Alex's testimony when they return from break. We've got the
[00:55.000 --> 01:03.000]  live feeds up and ready to go and we will be going to them once they return from
[01:03.000 --> 01:15.000]  break but I got to tell you I was I was watching the case this morning and I
[01:15.000 --> 01:22.000]  don't know how any neutral observer cannot see what's going on with this case.
[01:22.000 --> 01:33.000]  Now, let me just briefly explain what I saw this morning. Alex is being
[01:33.000 --> 01:39.000]  instructed on that on what he can say and can't say by the judge the judge
[01:39.000 --> 01:44.000]  literally sits there like he's lecturing like she's lecturing a kindergarten or
[01:44.000 --> 01:48.000]  something and that's what this is. It's expecting Alex to be treated like a
[01:48.000 --> 01:53.000]  toddler and and honestly part of me is like maybe Alex should just start acting
[01:53.000 --> 01:59.000]  like a toddler up there like I don't know like you guys want to treat him like
[01:59.000 --> 02:02.000]  a toddler then they'll just act like a toddler if that's what you want. You're
[02:02.000 --> 02:06.000]  setting him up so the judge sits up there and says you can't say this you can't
[02:06.000 --> 02:09.000]  say this you can't say this you can't say this you can't say this you can't say
[02:09.000 --> 02:16.000]  this you can't say this and I mean what is he supposed to it's like okay this
[02:16.000 --> 02:21.000]  obviously isn't a trial this is a kangaroo court rigged system bunch of
[02:21.000 --> 02:28.000]  Democrats going after an enemy I've never seen anything like it that went on
[02:28.000 --> 02:33.000]  for quite a while before he even got on the stand he was being told by the judge
[02:33.000 --> 02:41.000]  he can't say then he gets on the stand and the plaintiff's lawyer starts asking
[02:41.000 --> 02:50.000]  Alex about a bunch of stuff none of it has to do with Sandy Hook none of it and
[02:50.000 --> 03:00.000]  it was all stuff that he said either on or off the air this week and and the lawyer
[03:00.000 --> 03:05.000]  asking about a bunch of different stuff that happened this week not even about
[03:05.000 --> 03:09.000]  what he's supposed to be in there about just totally other stuff and the other
[03:09.000 --> 03:17.000]  cases nothing about this case nothing about the people suing him nothing about
[03:17.000 --> 03:23.000]  what he said years ago none of that all new stuff what he said nothing nothing
[03:23.000 --> 03:31.000]  even to do with the case then and this is the craziest part it just kept getting
[03:31.000 --> 03:41.000]  worse then the attorney is asking Alex questions which are trap questions and
[03:41.000 --> 03:45.000]  I mean really there's no way for him to respond that's why it's like I mean I'm
[03:45.000 --> 03:49.000]  almost watching this like the only way for you to respond Alex is just act like
[03:49.000 --> 03:53.000]  a baby act like a toddler they want to treat you like a little toddler they
[03:53.000 --> 03:57.000]  want to make a whole show out of this they want to do a whole ritualistic
[03:57.000 --> 04:04.000]  psychological torture of you don't give into it just just play into it don't let
[04:04.000 --> 04:09.000]  it break you embrace it I'm not giving Alex legal advice here I'm just sitting
[04:09.000 --> 04:16.000]  here as an observer thinking this is what I would probably do so the lawyer
[04:16.000 --> 04:22.000]  asking him questions and when Alex doesn't give the answer that they want the
[04:22.000 --> 04:32.000]  judge scolds Alex and says no you have to say this what so I mean honestly what
[04:32.000 --> 04:36.000]  should I mean I don't know what else you can do if you're Alex up there being
[04:36.000 --> 04:39.000]  told what you can say what you can't say and then how you have to answer
[04:39.000 --> 04:44.000]  questions I mean so it's like the lawyer asked Alex a question if I was Alex I
[04:44.000 --> 04:49.000]  just turned to the judge and say a judge what am I supposed to say I don't know
[04:49.000 --> 04:52.000]  I'm not allowed to say what I want I'm not allowed to say the truth so why don't
[04:52.000 --> 04:55.000]  you tell me what to say why don't you just answer all the questions for me this
[04:55.000 --> 05:19.000]  is totally fair case isn't it I'm so glad justice is working
[05:19.000 --> 05:25.000]  it's different strokes for different folks it varies all three are different
[05:25.000 --> 05:31.000]  formulas all three do different things turbo force is 10 hours of clean out of
[05:31.000 --> 05:36.000]  control energy I can't even take a whole pack myself brain force plus is a long
[05:36.000 --> 05:42.000]  term acting clean new trope this brain force ultra is a super fast acting
[05:42.000 --> 05:49.000]  new tropic that creates incredible clarity but doesn't last very long they're all
[05:49.000 --> 05:53.000]  three different formulas and finally back in stock massively discounted brain
[05:53.000 --> 05:58.000]  force ultra is available at info wars store dot com brain force ultra back in
[05:58.000 --> 06:08.000]  stock info or short dot com from the front lines of the information war it's
[06:08.000 --> 06:16.000]  true
[06:16.000 --> 06:22.000]  gentlemen another day where I'm doing double duty and I've got too much news two
[06:22.000 --> 06:28.000]  shows are not enough to fill with news coverage with all the stuff I have on my
[06:28.000 --> 06:37.000]  desk and I think it is more important at this point to show you Alex Jones live
[06:37.000 --> 06:44.000]  testimony from the case in Connecticut we're here live on this Alex Jones show
[06:44.000 --> 06:49.000]  Thursday September 22nd 2022 and Shroy are filling in Royce White going to be
[06:49.000 --> 06:54.000]  filling in as well later on in the transmission hosting great professional
[06:54.000 --> 07:02.000]  basketball player total red pill machine when he's on the court so looking
[07:02.000 --> 07:06.000]  forward to that they're in break right now as you can see on the screen they're
[07:06.000 --> 07:12.000]  in break right now in the case in Connecticut and so when they come back
[07:12.000 --> 07:17.000]  with Alex on the stand we are going to take that live now I already did a brief
[07:17.000 --> 07:23.000]  breakdown of what has happened so far today in the prior segment so I want to
[07:23.000 --> 07:28.000]  tell you what I have in front of my desk or on my desk as far as the news is
[07:28.000 --> 07:36.000]  concerned today while we're waiting for them to get Alex back on the stand but
[07:36.000 --> 07:39.000]  for those of you that didn't hear the first five minutes it's pretty much
[07:39.000 --> 07:44.000]  exactly what you might expect Alex is told what he can't say and then when he
[07:44.000 --> 07:47.000]  doesn't answer the question the way all the Democrats in the courtroom want him
[07:47.000 --> 07:51.000]  to he then gets scolded by the judge and told what he's supposed to say to answer
[07:51.000 --> 07:55.000]  the question so I mean really the judge should just be in there talking for Alex
[07:55.000 --> 08:00.000]  I mean there's no point even Alex even being on the stand he's told what he
[08:00.000 --> 08:03.000]  can't say and then and then when they ask questions he's not allowed to answer
[08:03.000 --> 08:06.000]  honestly because they told him he can't say these things and then when he doesn't
[08:06.000 --> 08:10.000]  give him the response they want they just say no you have to say this not even
[08:10.000 --> 08:24.000]  kidding they tell him what to say and so you know I feel bad because I mean
[08:24.000 --> 08:29.000]  there's an understanding here we you know we knew what we were going up against
[08:29.000 --> 08:35.000]  Alex knew what he was going up against we know the historical significance and
[08:35.000 --> 08:41.000]  what happens in these cases and the people that take on the corrupt power structure
[08:41.000 --> 08:45.000]  the people that take on the tyrants first they always get marked for destruction
[08:45.000 --> 08:49.000]  they always die first arrested first you know all the stuff so there's a reason
[08:49.000 --> 08:52.000]  why I keep getting arrested there's a reason why they got me on all these lists
[08:52.000 --> 08:55.000]  there's a reason why they got Alex in all these cases trying to take the money
[08:55.000 --> 08:59.000]  because we went after the tyrants first we identified the tyrants first we were
[08:59.000 --> 09:03.000]  there battling them first so we have to be destroyed first so so we understood
[09:03.000 --> 09:15.000]  that and so now we're in this period of in limbo where they've already decided
[09:15.000 --> 09:18.000]  they're going to shut this transmission down they're going to shut this
[09:18.000 --> 09:24.000]  transmission down and the censorship wasn't enough so now they have to take
[09:24.000 --> 09:28.000]  all of Alex's money and then who knows what else they're going to pull I mean
[09:28.000 --> 09:31.000]  folks any day they could come in here and just take all this equipment and say
[09:31.000 --> 09:38.000]  it's ours and that'll be that and so there's a level of we knew this was
[09:38.000 --> 09:45.000]  coming but then there's a level of do we continue to pay the price to stay in the
[09:45.000 --> 09:56.000]  fight when it's like this Alex can make a decision to say I'm going to purchase
[09:56.000 --> 10:02.000]  a bunch of new product with the money coming in so that we can stay on the
[10:02.000 --> 10:08.000]  air knowing that any minute they could just pull the plug on this whole thing
[10:08.000 --> 10:13.000]  so then you got a bunch of products you can't sell but we also want to keep the
[10:13.000 --> 10:19.000]  broadcast on the air so we get the product to sell so that works and then
