[00:00:00.069 --> 00:00:01.751]  This is InfoWars, right?
[00:00:01.751 --> 00:00:05.574]  So you got some InfoWarriors on both sides of you and you fought for us.
[00:00:05.574 --> 00:00:14.403]  You've been fighting this battle for a long time, Alex, and we just gotta salute you as a Christian and as American because you paved the way to make braver soldiers like us today.
[00:00:14.403 --> 00:00:17.106]  It's like Terminator Part 10 happening right now.
[00:00:25.765 --> 00:00:29.787]  Free shipping is back at InfoWarsTore.com.
[00:00:29.787 --> 00:00:34.950]  Free shipping is back at InfoWarsTore.com on orders of $50 or more.
[00:00:34.950 --> 00:00:38.772]  And the other orders, you've seen the prices on that slash as well.
[00:00:38.772 --> 00:00:40.593]  Check out InfoWarsTore.com today.
[00:00:55.788 --> 00:01:01.129]  InfoWars, the most banned network in the world.
[00:01:01.129 --> 00:01:03.350]  It's Thursday, December 1st, 2022.
[00:01:03.350 --> 00:01:04.890]  I'm your host, Alex Jones.
[00:01:04.890 --> 00:01:08.251]  And in studio, Ye is our guest.
[00:01:08.251 --> 00:01:10.732]  He's going to be here, it says, for the next three hours or so.
[00:01:10.732 --> 00:01:13.372]  And also America's first leader.
[00:01:13.372 --> 00:01:19.574]  And that is Nick Fuentes, Olly Alexander, Owen Schroyer, and many others are also going to be coming through here today.
[00:01:20.914 --> 00:01:27.856]  Ye has arrived in a new ensemble here with us, but I'll assure you it is Ye.
[00:01:27.856 --> 00:01:30.797]  Ye, thank you so much for coming to Austin.
[00:01:30.797 --> 00:01:31.197]  Thank you.
[00:01:31.197 --> 00:01:32.938]  Thank you for having me.
[00:01:32.938 --> 00:01:34.058]  Well, where would you like to start?
[00:01:34.058 --> 00:01:38.680]  This first little five-minute segment is just kind of a prelude to what's coming up.
[00:01:38.680 --> 00:01:42.241]  What do you want to cover today?
[00:01:42.241 --> 00:01:48.563]  Just God runs the world and Jesus is the way and the life, and it's time to put
[00:01:49.716 --> 00:02:00.359]  Jesus first, and the way that we run our businesses, the way we run our families, our businesses, and the way we run our country.
[00:02:00.359 --> 00:02:03.580]  Radio listeners, we're on over 400 radio stations, they can't see you right now.
[00:02:03.580 --> 00:02:06.641]  This is a new look for you.
[00:02:06.641 --> 00:02:09.342]  Oh no, I've been wearing a mask for a while.
[00:02:09.342 --> 00:02:09.682]  Ah.
[00:02:09.682 --> 00:02:10.322]  Yeah.
[00:02:10.322 --> 00:02:13.423]  So this is an archetypal example of the mask is off by putting the mask on?
[00:02:15.376 --> 00:02:18.237]  People can take it how they want to take it.
[00:02:18.237 --> 00:02:35.482]  It's just, you know, it's interesting if you look at a Michael Jordan or something, you load up all these pictures and he's smiling and he's holding a basketball, he's jumping from the free throw line, and then you look at Phil Knight and you barely can see a picture of him and he's got his face covered.
[00:02:35.482 --> 00:02:39.923]  So, I don't have to show my face, it's me.
[00:02:39.923 --> 00:02:42.084]  That's my right.
[00:02:42.084 --> 00:02:42.524]  Absolutely.
