[00:00:00.089 --> 00:00:00.570]  Red alert.
[00:00:01.451 --> 00:00:05.778]  Planet Earth on verge of massive nuclear war.
[00:00:06.179 --> 00:00:07.981]  And you know, maybe we should just add to that headline.
[00:00:08.222 --> 00:00:14.552]  Putin says any sanctions will be treated as an act of war and will be responded to with force.
[00:00:18.001 --> 00:00:19.963]  And you ask, why would Putin do such a thing?
[00:00:20.923 --> 00:00:32.272]  Because all the major Western leaders came out and said, if a red light, that's a quote of a US senator, if a red light goes out and we think it's Putin, we're going to war.
[00:00:34.314 --> 00:00:35.235]  Sounds like a good plan.
[00:00:36.936 --> 00:00:38.177]  That sounds really restrained.
[00:00:38.217 --> 00:00:39.278]  That sounds really smart.
[00:00:40.219 --> 00:00:46.344]  These crazy ass lawyers that run our country, like Senator Mark Warner, need to be put in rubber rooms.
[00:00:47.549 --> 00:00:50.552]  You're the people that shipped billions of dollars of weapons into Ukraine.
[00:00:52.333 --> 00:00:55.256]  You're the ones that kept poking Russia in the nose.
[00:00:56.537 --> 00:00:57.498]  And now look what you've done.
[00:00:59.540 --> 00:01:01.882]  Finally found somebody you couldn't push around.
[00:01:02.702 --> 00:01:04.924]  Just like Napoleon, and just like Hitler.
[00:01:05.124 --> 00:01:06.406]  You dumb asses.
[00:01:06.786 --> 00:01:12.786]   From the front lines of the information war, it's Alex Jones.
[00:01:12.786 --> 00:01:15.786]  [Music]
[00:01:15.786 --> 00:01:18.786]  [Music]
[00:01:18.786 --> 00:01:34.786]  [Music]
[00:01:34.786 --> 00:01:42.786]  [Music]
[00:01:42.786 --> 00:01:45.786]  [Music]
[00:01:45.786 --> 00:02:00.786]  [Music]
[00:02:00.786 --> 00:02:07.786]  Ladies and gentlemen, we're live on this Friday.
[00:02:08.598 --> 00:02:12.279]  February 25th, 2022 broadcast.
[00:02:14.359 --> 00:02:25.961]  And you are seeing the biggest unfolding war on the continent of Europe since World War II, 75 years ago.
[00:02:27.582 --> 00:02:28.902]  Full-scale invasion.
[00:02:30.542 --> 00:02:34.623]  Full-scale takeover of a country with 40 million people in it.
[00:02:35.919 --> 00:02:38.403]  One of the largest countries geographically in Europe.
[00:02:39.184 --> 00:02:40.566]  All hell has broken loose.
[00:02:42.188 --> 00:02:47.375]  Now a lot of people have asked, how did I know in October, November, December this was coming?
[00:02:47.436 --> 00:02:48.858]  And I told you how I knew that.
[00:02:50.973 --> 00:02:55.118]  The ice melts at the end of February, and the tanks would bog down.
[00:02:55.178 --> 00:02:58.641]  So if Russia was going to invade, they'd do it by the end of February.
[00:02:59.222 --> 00:03:06.790]  And major financial individuals I've talked to at the highest levels said, get ready for war in February.
[00:03:07.911 --> 00:03:09.493]  Not just Russia, but also China.
[00:03:09.533 --> 00:03:11.615]  And I told you that so you could get ready.
[00:03:12.506 --> 00:03:14.768]  A lot of people just marvel and say, how does he do it?
[00:03:14.788 --> 00:03:16.149]  He must be a secret agent.
[00:03:16.389 --> 00:03:20.973]  Or, or Jones must just make a lot of predictions and this one's stuck.
[00:03:21.013 --> 00:03:28.879]  No, no, I said for the last four months, five months, that it would come at the end of February.
[00:03:29.539 --> 00:03:30.260]  That's what I said.
[00:03:31.180 --> 00:03:36.625]  And, and the reason I point that out is now I'm going to tell you what is also in the cards.
[00:03:37.984 --> 00:03:48.614]  And I think you already know what's in the cards if you're informed and educated, but for leftists and others out there that don't seem to get it, or for the Rolling Stone or CNN attacking us, because they're jealous because they have to lie and we get to tell the truth.
[00:03:50.335 --> 00:03:58.343]  But they don't have the skills to actually predict the future because they're so disconnected from reality, putting out lies, they're basically smoking their own dope.
[00:04:00.145 --> 00:04:08.712]  The reason I point out that we've been so accurate on all these different issues is so people will listen to me on what I'm about to say today.
[00:04:11.834 --> 00:04:15.076]  Now, right before we went live, I dictated the headline for the show.
[00:04:15.116 --> 00:04:18.279]  It's not up yet, but it basically goes like this.
[00:04:20.561 --> 00:04:32.859]   World War III alert or nuclear war alert is technically The Communist Chinese and the Russians and the CIA and all these groups call this World War 4.
[00:04:34.520 --> 00:04:35.481]  World War 3 already happened.
[00:04:35.501 --> 00:04:37.202]  The last Cold War was called World War 3.
[00:04:37.722 --> 00:04:38.403]  This is World War 4.
[00:04:38.703 --> 00:04:39.783]  This is a different type of war.
