[00:00:00.000 --> 00:00:15.000]  [Music]
[00:00:15.000 --> 00:00:20.000]  InfoWars, the most banned network in the world.
[00:00:20.000 --> 00:00:45.000]  [Silence]
[00:00:45.862 --> 00:00:48.663]  I really appreciate all of you for being here today.
[00:00:48.683 --> 00:00:56.466]  I have Robert Barnes, a well-known constitutional First Amendment and criminal lawyer who also worked on this case for several years.
[00:00:56.526 --> 00:01:07.351]  He can give you documented evidence that we gave them all the discovery so they didn't have a case, so they were forced to default us because I'm this villain that deserves to be found guilty by this kangaroo court.
[00:01:08.666 --> 00:01:11.407]  This is American justice on trial.
[00:01:12.047 --> 00:01:17.949]  Even the worst people in the world, which I'm not, but even if I'm a bad person, as some say, I deserve my day in court.
[00:01:18.869 --> 00:01:22.970]  Even the local newspaper admits, I'm not allowed to defend myself.
[00:01:24.031 --> 00:01:28.172]  It's not Alex Jones saying this, it's the Hartford Courant, an article published yesterday.
[00:01:28.192 --> 00:01:32.393]  Alex Jones set to testify in the Sandy Hook defamation trial this week.
[00:01:32.914 --> 00:01:33.714]  Here's what we know.
[00:01:34.274 --> 00:01:37.055]  It says he's prohibited from defending himself.
[00:01:38.271 --> 00:01:45.714]  They've had three weeks of people up there lying about me, twisting what I said, and basically have a memorial for dead children I didn't kill.
[00:01:46.415 --> 00:01:53.258]  All in an attack, not just on the Second Amendment, but now, ladies and gentlemen, on the First Amendment of this country.
[00:01:54.038 --> 00:01:54.999]  This is not a trial.
[00:01:55.499 --> 00:01:57.420]  Now, I came here to testify two weeks ago.
[00:01:57.760 --> 00:01:59.041]  I came here this time to testify.
[00:01:59.712 --> 00:02:05.551]   And the judge today said that she will hold me in criminal contempt if I say I'm innocent,
[00:02:05.551 --> 00:02:09.551]   if I say I'm bankrupt, if I say I wasn't the first person to question Sandy Hook,
[00:02:09.551 --> 00:02:15.151]   and over 10 other things. No judge in U.S. history has ever told somebody what they can and can't say.
[00:02:15.151 --> 00:02:19.070]   I'm being ordered to perjure myself when they ask me questions,
[00:02:19.070 --> 00:02:22.831]  or I'll be arrested if I tell the truth.
