[00:26.000 --> 00:28.000]  You don't need
[00:28.000 --> 00:31.000]  CNBC to tell you the world is under a depression
[00:32.000 --> 00:34.000]  Ladies and gentlemen
[00:34.000 --> 00:36.000]  You're experiencing it and you're seeing it
[00:36.000 --> 00:37.000]  But feel blessed
[00:37.000 --> 00:40.000]  You're not the third world where they're being starved to death
[00:40.000 --> 00:42.000]  By the tens of millions
[00:42.000 --> 00:44.000]  Every six months
[00:45.000 --> 00:48.000]  Pop Schwab said you'll own nothing, you'll have nothing
[00:48.000 --> 00:50.000]  And now it's happening
[00:52.000 --> 00:55.000]  In the last two months I have talked to
[00:55.000 --> 00:59.000]  dozens of top talk show hosts and podcasters
[00:59.000 --> 01:01.000]  who are populist and conservative
[01:01.000 --> 01:04.000]  They've all come to me and said have you seen Revenue go away now?
[01:04.000 --> 01:06.000]  And I've said yeah
[01:06.000 --> 01:09.000]  They said yeah, it's a recession
[01:09.000 --> 01:12.000]  I said no, it's a depression because people are going to spend
[01:12.000 --> 01:15.000]  all their money on energy and food
[01:15.000 --> 01:18.000]  Energy for combustion engines
[01:18.000 --> 01:21.000]  and machines and energy for humans, food
[01:21.000 --> 01:23.000]  And that's their plan
[01:23.000 --> 01:25.000]  Bring us to our knees
[01:25.000 --> 01:27.000]  This is economic warfare
[01:27.000 --> 01:30.000]  And we've seen the head of J.P. Morgan
[01:31.000 --> 01:33.000]  Warned something worse than a recession
[01:33.000 --> 01:35.000]  is coming
[01:35.000 --> 01:38.000]  We've got the FedEx CEO on Wednesday
[01:38.000 --> 01:41.000]  sending shock waves to the stock market when he said
[01:41.000 --> 01:45.000]  across the board logistics companies are seeing a flatline
[01:45.000 --> 01:48.000]  as the population spends the majority of its money
[01:48.000 --> 01:50.000]  on energy and food
[01:50.000 --> 01:52.000]  and critical services
[01:52.000 --> 01:55.000]  And the critical services have been set up
[01:55.000 --> 01:58.000]  to absolutely gouge and control the population
[01:58.000 --> 02:00.000]  Then things collapse
[02:00.000 --> 02:02.000]  Then they bring in their answer to it
[02:02.000 --> 02:05.000]  the new world order, the casual society
[02:05.000 --> 02:07.000]  It's not coming, it's here
[02:07.000 --> 02:10.000]  Here's the CNBC clip I was just talking about
[02:10.000 --> 02:12.000]  with the CEO of FedEx
[02:12.000 --> 02:15.000]  We're going to a worldwide recession
[02:15.000 --> 02:17.000]  Well, I'm not an economist, but you know
[02:17.000 --> 02:19.000]  I know more than economists, come on
[02:19.000 --> 02:21.000]  They just push papers, you actually look at things
[02:21.000 --> 02:23.000]  Well, I'd think so
[02:23.000 --> 02:25.000]  You think we are going on more conversation?
[02:25.000 --> 02:27.000]  I'd think so, but you know, again
[02:27.000 --> 02:29.000]  these numbers don't portend very well
[02:29.000 --> 02:31.000]  U.S. in the last few weeks
[02:31.000 --> 02:33.000]  as bad as China in the last few weeks?
[02:33.000 --> 02:36.000]  Yeah, the U.S. consumer
[02:36.000 --> 02:38.000]  has definitely spending less
[02:38.000 --> 02:40.000]  but the U.S. has been
