[00:00:04.133 --> 00:00:07.095]  Our story starts as most of these investigations do.
[00:00:07.275 --> 00:00:25.566]  Just regular people on the internet, namely Twitter and Instagram, noticed that Balenciaga, head of a Paris fashion show, last week posted images from a new photo shoot with what appeared to be depressed, drugged-out children holding bondage teddy and panda bears.
[00:00:26.086 --> 00:00:31.850]  Panda bears and panda eyes, again, are a code word for people that have been seriously tortured in dungeons.
[00:00:32.290 --> 00:00:33.150]  Look it up for yourself.
[00:00:33.711 --> 00:00:45.495]  And in part of the same shoot, they showed a purse on the desk, and under the purse were court filings, Ashcroft versus the Free Speech Coalition.
[00:00:45.895 --> 00:00:51.777]  And in that case, the Supreme Court ruled that you could produce synthetic child porn.
[00:00:52.198 --> 00:01:00.701]  That as long as actual children weren't raped, you could, under the First Amendment, depict children being raped, tortured, and even murdered.
[00:01:01.261 --> 00:01:07.489]  So as Internet Sleuths began to go to their official website of Balenciaga, they found even more.
[00:01:07.929 --> 00:01:17.801]  That's when the fashion designing company pulled thousands of images off of their website and issued an apology claiming the whole thing was an innocent mistake.
[00:01:18.402 --> 00:01:21.566]  But it was too late for the international fashion conglomerate.
[00:01:22.206 --> 00:01:37.303]  Before they were able to scrub the images, the public had already downloaded them all and are now going through them one by one and are finding things even worse than what we saw in the panda shoot or the promotion of the legalization of synthetic pedophilia.
[00:01:37.924 --> 00:01:48.432]  What we are witnessing is an open rollout of the internal operations of this globalist cult that operates in the currency of children.
[00:01:48.692 --> 00:01:53.035]  And this is their coming out, their externalization of the hierarchy.
[00:01:53.315 --> 00:01:58.299]  In the types of ancient black magic they are practicing, they go back to Egypt and even before.
[00:01:59.019 --> 00:02:20.607]  It is critical to not just conduct your rituals in private or secret, but as you build towards your societal takeover, you then must have a moment of emergence or revolution where you force the, quote, transformation of humanity by shocking humanity using what is nothing but ancient forms of trauma-based mind control.
[00:02:21.087 --> 00:02:22.467]  They must break our will.
[00:02:22.507 --> 00:02:23.568]  They must break our spirit.
[00:02:23.608 --> 00:02:27.069]  They must train us to accept the most horrible barbaristic things.
[00:02:27.469 --> 00:02:30.550]  Like sex with children, their torture, and even murder.
[00:02:31.211 --> 00:02:39.034]  Because if we will put up with our young being attacked, if we will put up with the system coming directly after our children, then they know they've won.
[00:02:39.214 --> 00:02:45.177]  They are openly working in concert to condition the public not to value human life.
[00:02:45.737 --> 00:02:47.859]  They are purposely making the world ugly.
[00:02:48.119 --> 00:02:52.202]  They're purposely trying to depress us and isolate us for total control.
[00:02:52.823 --> 00:03:12.197]  In 2007, Tony Podesta, brother of John Podesta, celebrated his quote, radical deviant art in a full spread in the Washington Post and publicized many of the images of children being tortured and sexually abused in one of the nation's largest newspapers.
[00:03:12.938 --> 00:03:17.760]  The same reason the fashion industry is now celebrating these very same images.
[00:03:18.120 --> 00:03:25.162]  They're letting you know that they are the cult, they are the ruling party, they are predators, and they are in control.
[00:03:25.762 --> 00:03:29.724]  All of this is designed to engage in complete dominance.
[00:03:30.572 --> 00:03:34.713]  Or physical, psychological, and spiritual assault on the body.
[00:03:35.173 --> 00:03:43.015]  The shots, the transgenderism, the mutilation, the abortion, the infanticide, the forced euthanasia.
[00:03:43.655 --> 00:03:49.756]  All of it is this death cult planning its flag of victory on us and saying, we control the future.
[00:03:50.216 --> 00:03:56.358]  This is the trans humanist revolution against every man, woman, and child on this planet.
[00:03:56.998 --> 00:03:57.838]  What can we do about it?
[00:03:58.413 --> 00:04:00.474]  We can understand the psychological warfare.
[00:04:00.875 --> 00:04:04.017]  We can understand the history of trauma-based mind control.
[00:04:04.357 --> 00:04:12.623]  We can educate others and we can withdraw all our support from Hollywood, big tech, and a system that is trying to force this down our throats.
[00:04:12.843 --> 00:04:22.810]  So if you want to stop these people, learn how they operate, learn why they fear you, learn why they're trying to break your will, and don't blacken your heart and just become desensitized to all this evil.
[00:04:23.573 --> 00:04:46.180]  Let it hit your heart, let it hurt your heart and let it energize you to cry out to God and to become more empathetic and more loving and then God will lead God and direct you with the Holy Spirit in ways you've never known to be able to expose peacefully and lovingly these corrupt devils and bring them to justice so that our children will no longer be molested, attacked, tortured and even killed by this cult.
[00:04:46.949 --> 00:04:47.630]  I'm Alex Jones.
[00:04:47.650 --> 00:04:48.912]  I want to thank you all for your support.
[00:04:48.932 --> 00:04:56.364]  I want to say great job to everybody on the internet spreading the truth because the awakening is accelerating and exploding and we are on the march.
[00:04:56.905 --> 00:04:58.868]  The satanic empire is on the run.
[00:04:58.687 --> 00:05:02.247]  Now share this critical emergency Thanksgiving report.
[00:05:02.247 --> 00:05:04.247]  [MOTORCYCLE REVS]
[00:05:04.247 --> 00:05:08.887]  Selling out fast.
[00:05:08.528 --> 00:05:20.032]  Mega blowout sale up to 60% off our top selling items plus free gifts with each purchase for just the second time in InfoWars store history.
[00:05:20.352 --> 00:05:26.574]  Even though many of our top selling items are in limited supply and won't be back in stock until next year.
[00:05:26.714 --> 00:05:31.473]   We're putting them All on sale for up to 60% off.
[00:05:31.473 --> 00:05:34.473]  Brain Force Plus, 60% off.
[00:05:34.473 --> 00:05:37.473]  Knockout Sleep Support, 50% off.
[00:05:37.473 --> 00:05:40.473]  Alpha Power, 50% off.
[00:05:40.473 --> 00:05:44.473]  DNA Force Plus, 50% off.
[00:05:44.643 --> 00:05:58.730]  Free gift items will be chosen at random from our massive inventory and may include, but are not limited to, koozies, flags, books, DVDs, stickers, sunglasses, paracords, coasters, RFID protection, and more!
[00:05:59.050 --> 00:06:04.573]  Our thanks to you for supporting the InfoWarp and the voice of freedom worldwide.
