[00:00:00.000 --> 00:00:03.480]  [SIRENS]
[00:00:03.480 --> 00:00:06.960]  [MUSIC PLAYING]
[00:00:07.759 --> 00:00:11.240]  [MUSIC PLAYING]
[00:00:11.240 --> 00:00:14.720]  [MUSIC PLAYING]
[00:00:14.720 --> 00:00:18.199]  [MUSIC PLAYING]
[00:00:18.199 --> 00:00:21.678]  [MUSIC PLAYING]
[00:00:21.678 --> 00:00:25.160]  [MUSIC PLAYING]
[00:00:25.160 --> 00:00:28.640]  [MUSIC PLAYING]
[00:00:28.640 --> 00:00:33.079]  [MUSIC PLAYING]
[00:00:33.079 --> 00:00:37.039]  [MUSIC PLAYING]
[00:00:37.039 --> 00:00:41.000]  [MUSIC PLAYING]
[00:00:41.000 --> 00:00:44.960]  [MUSIC PLAYING]
[00:00:44.960 --> 00:00:48.920]  [MUSIC PLAYING]
[00:00:50.399 --> 00:00:58.039]   The small fringe minority of people who are on their way to Ottawa or who
[00:00:58.039 --> 00:01:07.760]   are holding unacceptable views that they are expressing do not represent--
[00:01:07.298 --> 00:01:27.338]  ...the views of Canadians who have been there for each other, who know... ...total gaslighting... ...following the science... ...following the Stockholm Syndrome... ...standing up to protect each other... ...following Klaus Schwab's enslavement... ...it's the best way to continue to ensure our freedoms, our rights... ...that's already starved 40 million people to death in Africa... ...this pandemic has provided an opportunity for a reset...
[00:01:27.847 --> 00:01:38.794]  This is our chance to accelerate our pre-pandemic efforts to reimagine economic systems that actually address global challenges like extreme poverty, inequality, and climate change.
[00:01:39.354 --> 00:01:49.121]  Building back better means getting support to the most vulnerable while maintaining our momentum on reaching the 2030 Agenda for Sustainable Development and the SDGs.
[00:01:49.801 --> 00:01:52.600]  Canada is here to listen and to help.
[00:01:52.600 --> 00:02:13.600]   Men and women of the Australian Defence Force, both serving and retired,
[00:02:13.600 --> 00:02:17.401]   volunteers or National Service men and women, veterans all,
[00:02:17.401 --> 00:02:20.441]  We are at a point in history without precedent.
[00:02:20.628 --> 00:02:21.448]  A war for the world.
[00:02:22.848 --> 00:02:29.809]  Now many of you know that truly malevolent forces have been attacking and undermining our nation for longer than most of us have lived.
[00:02:30.850 --> 00:02:37.351]  They, our adversaries, have executed their monstrous plans against innocent men, women and children.
[00:02:38.300 --> 00:02:43.144]  They fight with a pre-biblical barbarity, without decency and without constraint.
[00:02:43.744 --> 00:02:46.086]  They fight without courage and without compassion.
[00:02:46.926 --> 00:02:50.569]  Their war against the people is undeclared total war.
[00:02:51.790 --> 00:02:57.414]  It has been a traitor's war, a dirty war, a coward's war.
[00:02:57.434 --> 00:03:05.480]  We know only too well that unless we halt and then reverse this unrelenting attack on every aspect of our lives, we will lose everything we love.
[00:03:06.207 --> 00:03:11.879]  And enter a period of civilizational darkness more depraved than any period in human history.
[00:03:12.781 --> 00:03:14.124]  We must act.
[00:03:15.005 --> 00:03:16.549]  However, this is not a call to arms.
[00:03:17.268 --> 00:03:23.690]  Our soulless adversaries and their mindless enablers would like nothing better than for a shot to be fired.
[00:03:24.210 --> 00:03:36.252]  Because to do so would legitimise, in the minds of many subnambulant Australians, further unconstitutional and unlawful constraints on our rights, to our lives, our liberty and our property.
[00:03:37.193 --> 00:03:38.813]  We will not give them that excuse.
[00:03:39.713 --> 00:03:42.974]  We, no, we never fight on ground of the enemy's choosing.
[00:03:43.866 --> 00:03:47.188]  We must fight, but in doing so we must win the people.
[00:03:48.448 --> 00:03:53.971]  At every opportunity, we must stand with the people, unarmed but in uniform.
[00:03:55.111 --> 00:03:55.531]  Our weapon?
[00:03:56.392 --> 00:03:57.052]  Pure courage.
[00:03:58.365 --> 00:04:02.448]  We took an oath to serve our nation, and what is our nation if not the people?
[00:04:03.128 --> 00:04:16.456]  By our presence in uniform alongside and with the people, we are sending a powerful, unambiguous and galvanising message that in this war for the world, we the people are united and invincible.
[00:04:17.137 --> 00:04:26.503]  We must demonstrate the pure courage born of love of family and love of country, that beats in the heart of every soldier, sailor and airman.
[00:04:27.685 --> 00:04:29.765]  Because what is courage but love in action?
[00:04:30.726 --> 00:04:36.707]  And if you love someone or something enough, you will do what must be done, regardless of the cost to you.
[00:04:37.867 --> 00:04:39.287]  Perhaps we will lose our property.
[00:04:39.868 --> 00:04:40.748]  If so, what of it?
[00:04:41.228 --> 00:04:42.348]  We can always acquire more.
[00:04:43.068 --> 00:04:44.368]  Perhaps we will lose our liberty.
[00:04:45.089 --> 00:04:46.409]  If so, what of it?
[00:04:46.989 --> 00:04:48.789]  We can eventually be set free.
[00:04:50.430 --> 00:04:51.710]  Perhaps we'll lose our lives.
[00:04:53.210 --> 00:04:54.711]  If so, what of it?
[00:04:55.131 --> 00:04:56.851]  There are destinies much worse than death.
[00:04:57.930 --> 00:05:01.632]  These sentiments are too much for most to understand, much less accept.
[00:05:02.433 --> 00:05:06.956]  And that is all the more reason for us, for you, to stand with the people.
[00:05:08.016 --> 00:05:11.459]  Now you might be challenged to explain why you chose such a course of action.
[00:05:12.579 --> 00:05:13.520]  The answer is simple.
[00:05:14.501 --> 00:05:21.285]  You will be doing what military law, civilian law, and just plain common decency require and demand.
[00:05:22.310 --> 00:05:31.955]  You are disobeying the unlawful commands given by the admirals, generals and air marshals of the Australian Defence Force to participate in the genocide of the Australian people.
[00:05:32.796 --> 00:05:34.777]  They are guilty and you will be innocent.
[00:05:36.097 --> 00:05:43.882]  The oath to serve your country as a soldier did not include a contract for the normal luxuries and comforts enjoyed within our society.
[00:05:44.622 --> 00:05:50.025]  On the contrary, it implied hardship, loyalty and devotion to duty, regardless of rank.
[00:05:51.152 --> 00:06:05.438]  Ladies and gentlemen of the Australian Defence Force, it is time for you to serve not the admirals, not the generals, and not the air marshals, but to endure hardship, show loyalty, and do your duty for your country and your people.
[00:06:06.238 --> 00:06:14.662]  And remember that in the words of GK Chester, we fight not because we hate what is in front of us, but because we love what is behind us.
[00:06:16.263 --> 00:06:18.564]  I'm Ricardo Bose, National Leader of Australia 1.
[00:06:18.984 --> 00:06:20.984]  Thank you.
[00:06:20.984 --> 00:06:31.984]  [Music]
[00:06:31.984 --> 00:06:37.984]   As the 21st century began, human evolution was at a turning point.
[00:06:38.568 --> 00:06:53.313]  Natural selection, the process by which the strongest, the smartest, the fastest reproduced in greater numbers than the rest, a process which had once favored the noblest traits of man, now began to favor different traits.
[00:06:53.333 --> 00:06:53.653]  Barbaric!
[00:06:54.409 --> 00:07:00.219]  Most science fiction of the day predicted a future that was more civilized and more intelligent.
