[00:00:00.349 --> 00:00:02.210]  Emergency Tuesday broadcast.
[00:00:02.770 --> 00:00:09.714]  Russia withdraws troops from Ukraine border as NATO continues to declare full-scale war is imminent.
[00:00:10.194 --> 00:00:17.118]  Meanwhile in Canada, Trudeau has declared a national emergency in financial martial law.
[00:00:21.129 --> 00:00:26.211]  The world to the threat of the global social credit score police state.
[00:00:27.091 --> 00:00:35.894]  Also Alex Jones breaks down exclusive Intel on the Durham case and how it shows the deep state has overthrown the US government.
[00:00:37.635 --> 00:00:39.016]  And that's why these people are so arrogant.
[00:00:39.036 --> 00:00:43.057]  They believe they are invincible like all other tyrants throughout history.
[00:00:44.578 --> 00:00:47.979]  But the US background says they will not win in the end.
[00:00:48.809 --> 00:00:52.212]  And if history repeats itself, they're going to be going to prison.
[00:00:53.493 --> 00:00:58.437]  I just want them to stop their criminal takeover using behavioral psychology and economic warfare.
[00:00:58.717 --> 00:01:05.717]   From the front lines of the information war, it's Alex Jones.
[00:01:05.717 --> 00:01:26.717]  InfoWars, the most banned network in the world.
[00:01:26.717 --> 00:01:29.638]  (electronic music)
[00:01:29.969 --> 00:01:54.749]  The 2022 Winter Olympics in Beijing will one day be written in the history books as they parade celebrating the point at which the United States lost its ability to perceive reality and embrace the impending doom brought on by the selling out of its most powerful assets by a self-serving treasonous elite class of baby boomer politicians and economic prostitutes.
[00:01:55.129 --> 00:01:59.033]  I would say to our athletes, you're there to compete.
[00:01:59.674 --> 00:02:05.519]  Do not risk incurring the anger of the Chinese government because they are ruthless.
[00:02:06.420 --> 00:02:11.125]  I know there is a temptation on the part of some to speak out while they are there.
[00:02:11.885 --> 00:02:13.007]  I respect that.
[00:02:13.787 --> 00:02:17.931]  But I also worry about what the Chinese government might do.
[00:02:18.792 --> 00:02:21.895]  What do you mean nobody cares?
[00:02:21.915 --> 00:02:22.435]  You really don't care?
[00:02:22.275 --> 00:02:23.474]  happening to the leakers, okay?
[00:02:23.474 --> 00:02:26.194]   You bring it up 'cause you really care, and I think that's nice that you care.
[00:02:26.194 --> 00:02:27.175]  What do you mean nobody cares?
[00:02:27.175 --> 00:02:28.474]  The rest of us don't care.
[00:02:28.474 --> 00:02:30.235]  I'm just telling you a very hard--
[00:02:30.235 --> 00:02:31.075]  You really don't care?
[00:02:31.075 --> 00:02:31.915]  I'm telling you a very--
[00:02:31.915 --> 00:02:32.735]  Wait, you're saying you personally don't care?
[00:02:32.735 --> 00:02:34.033]  I'm telling you a very hard, ugly truth, okay?
[00:02:34.033 --> 00:02:36.954]   Of all the things that I care about, yes, it is below my line.
[00:02:36.954 --> 00:02:43.075]   The irony of statements like these is that the very CCP tyranny they either ignore
[00:02:43.075 --> 00:02:50.015]   or bow down to is already in the United States, as those rightfully exercising their First Amendment
