[00:00.000 --> 00:18.000]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:40.000]  We are on day eight of this occupation. Our city is under siege.
[00:40.000 --> 00:46.000]  This group is emboldened by the lack of enforcement by every level of government.
[00:46.000 --> 00:55.000]  They are terrorizing our residents, torturing them with incessant honking, threatening them and preventing them from leading their lives.
[00:55.000 --> 01:05.000]  People cannot go to work or open their businesses. They cannot sleep, walk, shop, go to medical appointments or enjoy their neighborhood.
[01:05.000 --> 01:17.000]  Ladies and gentlemen, what you're hearing is the Ottawa City Council that last week called for the $11 million in GoFundMe to be taken and given to leftist causes and they announced that.
[01:17.000 --> 01:25.000]  They said, we'll decide who to give it to and stole the money until there was a huge backlash and calls for criminal investigations by Governor DeSantis and others.
[01:25.000 --> 01:33.000]  And now they said, well, we might give some people the money back. This is incredible. This is the left always pushing the boundaries, always seeing what they can do.
[01:33.000 --> 01:41.000]  But coming up the bottom of the hour, I'm going to really focus on what's happening with these amazing trucker convoys all over the world and why these are so important.
[01:41.000 --> 01:47.000]  But also how I think the globalists are going to try to turn this great event against us.
[01:47.000 --> 01:51.000]  So that's coming up at the bottom of the hour.
[01:51.000 --> 02:03.000]  But the big issue here is that the truckers and their horns are, ladies and gentlemen, the sound of freedom.
[02:03.000 --> 02:15.000]  If you hear that eerie sound, it's not when they find the obelisk on the moon in 2001 Space Odyssey. No, it's not a high-tech version of Flight of the Valkyries.
[02:15.000 --> 02:35.000]  It is the very eerie sound of tens of thousands of trucks and cars honking their horns 24 hours a day in the capital of the seized nation under globalist control, Canada.
[02:35.000 --> 02:45.000]  It's a beautiful example of nonviolent resistance and solidarity, and so that's why they're calling them terrorists. They're not letting us sleep. They're not letting us work.
[02:45.000 --> 02:55.000]  They're taking our lives over. This is what the bureaucrats have done to the people two years under martial law, under Klaus Schwab's control, with the Prime Minister saying,
[02:55.000 --> 03:05.000]  I want to be a dictator. We're getting rid of your basic rights. You did have rights. We're taking them away. These are quotes. I want a basic dictatorship like China's EGP.
[03:05.000 --> 03:13.000]  We're taking away your rights. Yes, you had these rights. We're taking them away. Your views are not acceptable and you're not allowed to hold them.
[03:13.000 --> 03:19.000]  Those are quotes. Those are quotes. People are like, why is he like a cartoon character of a little spoiled rotten dictator?
[03:19.000 --> 03:27.000]  Because he is a little spoiled rotten dictator, he didn't win that last snap election. He almost lost control of parliament despite all the election fraud.
[03:27.000 --> 03:38.000]  People absolutely hate his guts. There's footage of convoys going into the border there at Canada and the United States from the U.S. side.
[03:38.000 --> 03:50.000]  And this is ongoing now into day 10. And they're now calling him terrorist and the police are now arresting people that they give, quote, material support,
[03:50.000 --> 03:57.000]  like it's the Patriot actor terrorism. They have the same similar draconian laws there. And so we're going to arrest him when giving material support.
[03:57.000 --> 04:04.000]  And what are they calling it? Gasoline. If you're seen gassing up your vehicle, you're being arrested. There is no law in the books.
[04:04.000 --> 04:14.000]  They're just calling it a weapon of terror. Oh, we're not the left burning everything down. We're not trying to shut down society like Klaus Schwab and the Great Reset.
[04:14.000 --> 04:24.000]  It's an incredible time to be alive, but that's not our top story. Our top story is when we come back and it deals with Russia and it deals with war
[04:24.000 --> 04:34.000]  and it deals with the fact that when you get so close to a problem like I am, you really forget how important it is to have this intelligence.
[04:34.000 --> 04:43.000]  And I kind of sometimes dial it back because it sounds like bragging. It's not. If you go back six months ago, we need to find it.
[04:43.000 --> 04:49.000]  Maybe the archivist could find it. I did several shows where I said that I've talked to people at the top of the food chain.
[04:49.000 --> 05:00.000]  And they said by January, February, there will be war with Russia. That sounded crazy six months ago, but here we are. Stay with us.
[05:00.000 --> 05:09.000]  Sold out for months. X3 is now back in stock. Ladies and gentlemen, just like our information is game changing, our products are game changing.
[05:09.000 --> 05:19.000]  So many people are deficient in iodine. It's not the soil anymore. Most of the ocean is contaminated, but when you get high quality tri-iodine,
[05:19.000 --> 05:27.000]  all three of the healthy types together, it does amazing things for your stamina, your libido, but most importantly, your immune system.
[05:27.000 --> 05:37.000]  So, X3, the only tri-iodine on the market, highest grade, is now exclusively available again at 50%off at mforeshore.com.
[05:37.000 --> 05:45.000]  If you've not experienced clean, pure iodine, and what it does for your body takes about two weeks to get on average, you really need to experience X3.
[05:45.000 --> 05:48.000]  Those of you that have tried it and used it, I know you're going to be reordering it.
[05:48.000 --> 05:53.000]  But particularly those that haven't ever tried the product, you need it because it's amazing what it does for your body.
[05:53.000 --> 05:58.000]  It's the good halogen, not the bad halogen, and it funds the M4 war. A true 360 win.
[05:58.000 --> 06:07.000]  X3, back at stock, 50% off.
[06:07.000 --> 06:18.000]  Big Brother. Mainstream media. Government coverups. You want answers? Well, so does he.
[06:18.000 --> 06:36.000]  Live from Austin, Texas. Broadcasting worldwide. It's Alex Jones.
[06:36.000 --> 06:51.000]  That eerie sound, made by the horns of thousands of trucks in other vehicles, the capital of the Maseage Nation of Canada under Klaus Schwab, UN control.
[06:51.000 --> 06:57.000]  That eerie sound is the sound of warning to the establishment, the warning to the occupiers.
[06:57.000 --> 07:09.000]  It is the people of Canada that do not want to live under tyranny, just as the people of nations in Africa, nations in Latin America, and Asia and Europe and Russia,
[07:09.000 --> 07:16.000]  want to live in prosperity and freedom, not in the post-industrial New World Order.
[07:16.000 --> 07:20.000]  All right, here's where I want to start today. We've got particularly important news.
[07:20.000 --> 07:28.000]  The world becomes crazier as we head towards the satanic singularity here, but a lot of big news here today, obviously.
[07:28.000 --> 07:34.000]  But I just was thinking before the show about 30 minutes ago, what do I want to cover first?
[07:34.000 --> 07:37.000]  What's the most important thing, and obviously imminent war with Russia is?
[07:37.000 --> 07:47.000]  We're just calmly sitting around talking about it like it's the price of potatoes or something at the store, but it's very, very serious.
[07:47.000 --> 07:53.000]  There are a lot of ramifications, and I've done a lot of in-depth studying on it, know exactly what's going on.
[07:53.000 --> 08:06.000]  But then I remember six months ago, I did a whole show six months ago, and then again about four months ago.
[08:06.000 --> 08:10.000]  It was back in October and in November and December.
[08:10.000 --> 08:20.000]  And August was the first time, though, that I talked to folks that are high level in the Senate,
[08:20.000 --> 08:30.000]  and then I talked separately to folks that are very high up at the highest levels of the corporate international scientific world.
[08:30.000 --> 08:42.000]  And then I learned from a very well-known prominent person who's good friends with the richest man in the world on paper,
[08:42.000 --> 08:46.000]  and heard the same thing that he just heard from him.
[08:46.000 --> 08:54.000]  And so that's when I started really thinking about going on there and talking about it.
[08:54.000 --> 09:06.000]  And then I made some more calls to people that are managerial level, but also need to know, in the Pentagon, on the ground, folks.
[09:06.000 --> 09:10.000]  And they said, yeah, you got good information.
[09:10.000 --> 09:26.000]  They told the military six months ago that in January or February, the United States will have a provocation and will start an official wide scale in-theater proxy war with Russia.
[09:26.000 --> 09:28.000]  And I came on here and I told you that.
[09:28.000 --> 09:31.000]  I didn't just pull that out of my rear end.
[09:31.000 --> 09:36.000]  But telling people something like that is not something that's fun to tell you.
[09:36.000 --> 09:44.000]  I've got children, you've got children, or you've got family you love, you've got businesses, you like living, right?
[09:44.000 --> 09:49.000]  I am beyond mad at the power structure in this country and the world.
[09:49.000 --> 09:56.000]  These are mentally ill power addicts who need to be in rubber rooms, not running things.
[09:56.000 --> 09:59.000]  And that's why I'm just over everything.
[09:59.000 --> 10:01.000]  I mean, I've already seen the top of Hollywood.
[10:01.000 --> 10:03.000]  There's nothing up there that sucks.
[10:03.000 --> 10:06.000]  I've seen the top of media, top of podcasting.
[10:06.000 --> 10:08.000]  That's where it all is because that's where the people are.
[10:08.000 --> 10:10.000]  But I've seen the top of that.
[10:10.000 --> 10:12.000]  And I've seen the top of the government.
[10:12.000 --> 10:18.000]  I haven't sat down with Prince Charles or Klaus Schwab, but I mean, I've sat down with the people that work directly under them.
[10:18.000 --> 10:21.000]  And, you know, they offered me to go join them.
[10:21.000 --> 10:25.000]  And I could see where they're going and I'm like, no, thank you.
[10:25.000 --> 10:31.000]  So it's very important for all of us to declare we don't want to be part of the New World Order.
[10:31.000 --> 10:33.000]  We don't want to be part of the transhumanism.
[10:33.000 --> 10:40.000]  We don't want to be part of the whole satanic system and where our sacrament and communion is taking these poison shots.
[10:40.000 --> 10:46.000]  But at the same time, not be enemies of these people, because they are enemies.
[10:46.000 --> 10:48.000]  When I say that, it's a very important distinction.
[10:48.000 --> 10:55.000]  We do this for the love of our children, the love of justice and the love of life and the love of God's creation that God gave us this planet.
[10:55.000 --> 11:01.000]  Most importantly, our love of God, we can't fight these people because we hate them and really get down their level.
[11:01.000 --> 11:06.000]  And I say that from someone who has really burned myself up and hurt myself with hate.
[11:06.000 --> 11:09.000]  It's a very powerful engine of driving.
[11:09.000 --> 11:13.000]  And I can flick it on anytime I need to, but it's like the ring of Mordor.
[11:13.000 --> 11:14.000]  It's not good.
[11:14.000 --> 11:19.000]  Love is the real long distance winner that's going to get us out of this.
[11:19.000 --> 11:21.000]  And so I'll just say this to everybody.
[11:21.000 --> 11:28.000]  99.99999% of us are going to be hurt by the New World Order.
[11:28.000 --> 11:29.000]  You can work for it.
[11:29.000 --> 11:30.000]  You can pretend you're part of it.
[11:30.000 --> 11:35.000]  You'll statistically be destroyed more often than those of us that don't serve it.
[11:35.000 --> 11:40.000]  Because selling out up into this point has gotten people money and power.
[11:40.000 --> 11:42.000]  But we're down to the end game now.
[11:42.000 --> 11:48.000]  And so anyone serving evil, anyone going along with a globalist has a suicidal death wish.
[11:48.000 --> 11:55.000]  Of course, Joe Rogan three and a half years ago flipped over to our side when he saw really how evil the globalist are.
[11:55.000 --> 11:56.000]  It was inevitable.
[11:56.000 --> 11:57.000]  And I said it was.
[11:57.000 --> 12:00.000]  Of course, Tucker Carlson came over completely to our side.
[12:00.000 --> 12:04.000]  Of course, because they're not psychotics that want to destroy their families.
[12:04.000 --> 12:15.000]  And so to the bureaucrats and the academics and the military and the Justice Department and the corporate leaders and the everybody, the clergy,
[12:15.000 --> 12:22.000]  you can pretend you're with the power structure mimicking the talking points that come out of ABC News and CNN.
[12:22.000 --> 12:27.000]  But almost everyone knows it's lies and fraud and bad.
[12:27.000 --> 12:36.000]  And so everybody should just stop pretending and stopping because these globalist trick us with people like Trump.
[12:36.000 --> 12:43.000]  And I'm not saying Trump's overall bad, but by bringing him in, making the left hating to get the left to do things as a general public,
[12:43.000 --> 12:44.000]  they would never go along with.
[12:44.000 --> 12:46.000]  And then now we get some at the left.
[12:46.000 --> 12:49.000]  When the right wing gets in power, it will then do things to stop them.
[12:49.000 --> 12:52.000]  And in the end of the day, all of our liberties are gone.
[12:52.000 --> 12:58.000]  All of our freedoms are gone and wars of global domination take place because make no mistake.
[12:58.000 --> 13:05.000]  They're not setting up censorship systems and AI control grids and kill switches everywhere because they want to take Alex Jones off the air.
[13:05.000 --> 13:06.000]  Joe Rogan off the air.
[13:06.000 --> 13:08.000]  They want to take everybody off the air.
[13:08.000 --> 13:14.000]  You will only get prescribed communications in the system that's coming.
[13:14.000 --> 13:19.000]  You're not going to get the open free internet anymore under the nuclear war plan under the biological weapon plan.
[13:19.000 --> 13:21.000]  And those are just two of the plans.
[13:21.000 --> 13:24.000]  Then they've also got the giant cyber attack.
[13:24.000 --> 13:35.000]  They're going to blame on Russia or or our Patriot groups are already pre planning and preparing the minds out there with that information.
[13:35.000 --> 13:40.000]  So I love my family and I love all of you.
[13:40.000 --> 13:46.000]  And I just need to tell you that you need to get ready for absolute hell on earth.
[13:46.000 --> 13:48.000]  Okay, my gut feels it.
[13:48.000 --> 13:50.000]  My intellect knows it.
[13:50.000 --> 13:57.000]  And it's helped me grow up a lot too and really get my mind clear about how things work and what's going on.
[13:57.000 --> 14:04.000]  And I am just overwhelmed with a sense of real sadness and a sense of failure.
[14:04.000 --> 14:06.000]  People say, don't you feel great?
[14:06.000 --> 14:07.000]  Everybody says you're right.
[14:07.000 --> 14:10.000]  Oh my God, you're like, you know, super popular more than ever now.
[14:10.000 --> 14:11.000]  Oh boy, you're successful.
[14:11.000 --> 14:14.000]  I'm successfully telling people that horrible stuff's about to happen.
[14:14.000 --> 14:15.000]  And then it does.
[14:15.000 --> 14:20.000]  I told you all this to try to stop it.
[14:20.000 --> 14:26.000]  And if you don't feel the grave danger in your heart, it's not a feeling of fear.
[14:26.000 --> 14:27.000]  It's a feeling of get ready.
[14:27.000 --> 14:30.000]  It's a feeling of get your ass squared away.
[14:30.000 --> 14:35.000]  It's a feeling of doom.
[14:35.000 --> 14:37.000]  And the globalists get off on the feeling of doom.
[14:37.000 --> 14:38.000]  They love it.
[14:38.000 --> 14:40.000]  It's what they get off on doing bad things.
[14:40.000 --> 14:41.000]  They get off on hurting people.
[14:41.000 --> 14:45.000]  They get off on raw destructive exercise of power.
[14:45.000 --> 14:59.000]  And if we let the psychotic crazies and the arrogant narcissist and that collection of criminals that run the State Department, the CIA, and the Justice Department do this, then it's our fault.
[14:59.000 --> 15:01.000]  This isn't a game, ladies and gentlemen.
[15:01.000 --> 15:05.000]  Now, why do you think the big billionaires knew about this six months ago?
[15:05.000 --> 15:09.000]  Because they're all prepositioned.
[15:09.000 --> 15:21.000]  And the decision has been made to have brinksmanship with Putin and accelerate a proxy war that they plan to have go regional or even worldwide.
[15:21.000 --> 15:30.000]  And so that's the news on that front. We got a bunch of it right here, but this is bad, bad, bad, bad, bad.
[15:30.000 --> 15:38.000]  And when you look at the disconnected, crazy, supergeriatric losers that have hijacked and run this country in the ground, they're just out of their minds.
[15:38.000 --> 15:41.000]  I mean, Soros is a big part of this. He can hardly talk.
[15:41.000 --> 15:47.000]  And that guy's still giving orders and still commanding troops in the field against us and Russia and everybody else.
[15:47.000 --> 15:49.000]  You just think about that.
[15:49.000 --> 16:00.000]  I'm Alex Jones. This is the Info War. This is the future of humanity. This is the fight against evil.
[16:00.000 --> 16:04.000]  Sold out for months. X3 is now back in stock.
[16:04.000 --> 16:12.000]  Ladies and gentlemen, just like our information is game changing, our products are game changing and so many people are deficient in iodine.
[16:12.000 --> 16:21.000]  It's not the soil anymore. Most of the ocean is contaminated, but when you get high quality tri iodine, all three of the healthy types together,
[16:21.000 --> 16:26.000]  it does amazing things for your stamina, your libido, but most importantly, your immune system.
[16:26.000 --> 16:36.000]  So X3, the only tri iodine on the market, highest grade, is now exclusively available again at 50% off at infowarshore.com.
[16:36.000 --> 16:44.000]  If you've not experienced clean, pure iodine, and what it does for your body takes about two weeks to get on average, you really need to experience X3.
[16:44.000 --> 16:47.000]  Those of you that have tried it and used it, I know you're going to be reordering it.
[16:47.000 --> 16:52.000]  But particularly those that haven't ever tried the product, you need it because it's amazing what it does for your body.
[16:52.000 --> 16:57.000]  It's the good halogen, not the bad halogen, and it funds the Info War, a true 360 win.
[16:57.000 --> 17:01.000]  So again, X3 back in stock, 50% off at limited time.
[17:01.000 --> 17:07.000]  With all the craziness going on in the world, with the globalists plotting their next big lockdown,
[17:07.000 --> 17:14.000]  with the next phase of the Great Reset being a stage cyber attack, with the deep state pushing a civil war,
[17:14.000 --> 17:22.000]  not just here, but in Europe and war with Russia, with the massive inflation and all the other garbage that's taking place
