[00:00.000 --> 00:26.400]  Infowars, tomorrow's news, today.
[00:26.400 --> 00:34.400]  Ladies and gentlemen, thank you so much for joining us on this live Eyes of March, March
[00:34.400 --> 00:39.120]  15th, 2022 broadcast.
[00:39.120 --> 00:49.400]  It was more than 2,000 years ago that Julius Caesar, the first Emperor of Rome, was stabbed
[00:49.400 --> 00:55.240]  to death inside the Roman Senate, and this has been seen as a very dangerous, unlucky
[00:55.240 --> 01:02.360]  day ever since then, and if you look at the continuation of the czars, which basically
[01:02.360 --> 01:08.600]  means the king or the Caesar in Russian, Russia particularly, more than any other country
[01:08.600 --> 01:14.040]  in modern history, but it's a 1,000-year-old civilization, kills its leaders when they
[01:14.040 --> 01:16.400]  fail.
[01:16.400 --> 01:24.080]  All systems do this, to some extent, but the Russians are the most extreme proximity
[01:24.080 --> 01:27.880]  to this, and there's a very good chance, that's why Lindsey Graham is out there talking
[01:27.880 --> 01:31.120]  about how people need to kill Putin.
[01:31.120 --> 01:36.160]  He's not just saying that for no reason, he's encouraging Russians to kill Putin.
[01:36.160 --> 01:40.600]  Obviously, this is all spiraling out of control, Putin is now not just arresting his spy
[01:40.600 --> 01:46.880]  chiefs for others, other reports of battlefield executions, of troops that don't follow
[01:46.880 --> 01:52.160]  orders, because what you have here is NATO starting a war, proxy war with Russia, so
[01:52.160 --> 01:59.160]  Bill Gates and Klaus Schwab and really George Soros, yes, starting a war with Russia, Russia
[01:59.160 --> 02:05.720]  had a reason to do this, I'm not defending them going in, but then once Putin comes in
[02:05.720 --> 02:11.480]  and his armies bog down, because there's basically, they're fighting Slavic peoples
[02:11.480 --> 02:16.400]  that are where Russia was started, it'd be like asking people in Texas to go kill people
[02:16.400 --> 02:22.920]  in Oklahoma, or be like asking people in New York to go kill people in New Jersey, you're
[02:22.920 --> 02:27.400]  like, well, my aunt and uncle live in New Jersey, what are you going to be doing?
[02:27.400 --> 02:34.600]  Ukraine's more than 60% ethnic Russian, the rest is more Germanic type groups in the West,
[02:34.600 --> 02:39.040]  but they're all intermarrying, and I don't let listeners understand all this, it's just
[02:39.040 --> 02:50.000]  that having Putin tied down now, and definitely he was unable to pay off enough of the Ukrainian
[02:50.000 --> 02:57.800]  military, and the resistance like his generals in his KGB foreign head told him, that's what
[02:57.800 --> 03:02.080]  I said previously, I said, well, if it goes quickly, it means they pay off the opposition,
[03:02.080 --> 03:06.400]  that's what you do, it looks like they didn't do a good job of that, and so now he's in
[03:06.400 --> 03:11.040]  a no win situation, where if he doesn't win this, he'll be killed, though you'll hear
[03:11.040 --> 03:18.560]  he's had a stroke, or a heart attack, or a helicopter crash, and if, or a jet crash,
[03:18.560 --> 03:24.280]  or if he does continue to push, there'll be massive civilian casualties, and that will
[03:24.280 --> 03:30.200]  be more and more of a pretext for NATO to publicly come in, not just with all the US
[03:30.200 --> 03:37.560]  and British, and Scottish, and German, and French special forces that are on the ground,
[03:37.560 --> 03:44.000]  both former and current active duty fighting the little green men, that's what they call
[03:44.000 --> 03:47.320]  the Russians, because the Russians have denied that they've been in Eastern Ukraine the
[03:47.320 --> 03:53.440]  last eight years, and of course they have been there, and US troops, and European troops,
[03:53.440 --> 03:57.880]  and Russian troops, have been killing each other for at least eight years in a proxy
[03:57.880 --> 04:04.600]  war, and Putin's tired of that, and I understand the reason he went in, but it is extremely
[04:04.600 --> 04:09.840]  dangerous gamble, and he walked into a trap, and he said that now, they've put the people
[04:09.840 --> 04:14.800]  in house arrest, and said they told me that they had already cleaned out the opposition,
[04:14.800 --> 04:18.600]  that they were going to fold, so now we're in a world where it isn't about being on Russia's
[04:18.600 --> 04:22.280]  side, or Ukraine's side, or the US side, or the EU side, it's about being on the side
