[00:00:00.883 --> 00:00:02.420]  Tomorrow's news, today.
[00:00:04.514 --> 00:00:13.300]  The White House published its framework today for how it intends to combat one of the most pressing national security threats, domestic terrorism.
[00:00:13.300 --> 00:00:16.242]  Domestic terrorism is on the rise across the country.
[00:00:16.242 --> 00:00:24.047]  We're now hearing from Attorney General Merrick Garland on one of the Biden administration's top security priorities, combating domestic terrorism.
[00:00:24.047 --> 00:00:33.673]  You understand they're going to stage terror attacks and they're going to declare martial law and they're going to come and they're going to arrest the opposition leaders and beat us to death in prisons.
[00:00:34.013 --> 00:00:40.196]  This afternoon, we saw federal agents collecting evidence at a home there, and they arrested Stuart Rhodes.
[00:00:40.196 --> 00:00:48.119]  He and ten others now charged with seditious conspiracy, but essentially the feds believe he was simply trying to overthrow the government.
[00:00:48.119 --> 00:00:54.501]  So, Jake, no doubt you're going to probably face some repercussions for even doing this interview with us today.
[00:00:54.501 --> 00:00:55.622]  Are you a little worried about that?
[00:00:57.109 --> 00:01:09.856]  Um, I'm, you know, fear does not live in the hearts of patriots and, you know, it's time for the American people to band together and to stand behind the Constitution and to really support the January Sixers because we were the frontline patriots.
[00:01:09.856 --> 00:01:13.178]  This call is being terminated by the facility.
[00:01:13.178 --> 00:01:14.719]  Uh oh.
[00:01:14.719 --> 00:01:15.259]  Yep.
[00:01:15.259 --> 00:01:15.919]  Alright.
[00:01:15.919 --> 00:01:16.640]  Interesting.
[00:01:16.640 --> 00:01:18.421]  Someone didn't like that conversation.
[00:01:18.421 --> 00:01:22.283]  Somebody didn't like, uh, um, but that's one of the reasons we're
[00:01:23.064 --> 00:01:30.946]  Doing the story, it said, I don't know if the folks could hear that, this call is being terminated by the facility.
[00:01:30.946 --> 00:01:33.746]  Why do you call the attackers terrorists?
[00:01:33.746 --> 00:01:39.048]  But I can see why someone would take issue with the title of terrorist.
[00:01:39.048 --> 00:01:43.389]  It's gained a lot of notoriety in our vocabulary in the past few decades.
[00:01:43.389 --> 00:01:49.310]  And we have seen growing evidence that the dangers to our country can come not only across borders,
[00:01:50.694 --> 00:01:52.715]  But from violence that gathers within.
[00:01:52.715 --> 00:02:05.261]  His view, the top domestic violent extremist threat comes from racially or ethnically motivated violent extremists, specifically those who advocate for the superiority of the white race.
[00:02:05.261 --> 00:02:14.545]  According to the United States intelligence community, domestic terrorism from white supremacists is the most lethal terrorist threat in the homeland.
[00:02:14.545 --> 00:02:17.747]  We know now we must confront and defeat political extremism.
[00:02:18.436 --> 00:02:21.498]  White supremacy and domestic terrorism.
[00:02:21.498 --> 00:02:23.719]  Don't dare call them protesters.
[00:02:23.719 --> 00:02:26.721]  They were a riotous mob.
[00:02:26.721 --> 00:02:28.561]  Insurrectionists.
[00:02:28.561 --> 00:02:30.362]  Domestic terrorists.
[00:02:30.362 --> 00:02:31.803]  White supremacy.
[00:02:31.803 --> 00:02:33.644]  Domestic terrorism.
[00:02:33.644 --> 00:02:37.366]  That we must confront and we will defeat.
[00:02:37.366 --> 00:02:40.148]  Madam Vice President.
[00:02:40.148 --> 00:02:42.609]  Fellow Americans.
[00:02:42.609 --> 00:02:44.870]  State the obvious.
[00:02:44.870 --> 00:02:46.011]  One year ago today.
[00:02:47.901 --> 00:02:53.504]  In this sacred place, democracy was attacked.
[00:02:53.504 --> 00:02:55.025]  Simply attacked.
[00:02:55.025 --> 00:03:00.448]  Since you asked my critique of the President's speech, I thought it was fabulous.
[00:03:00.448 --> 00:03:04.550]  And then they're going to devalue the dollar completely and start turning your power off on a regular basis.
[00:03:04.550 --> 00:03:11.574]  Our wind and our solar got shut down and they were, collectively, more than 10% of our power grid.
[00:03:11.574 --> 00:03:14.996]  It just shows that fossil fuel is necessary.
[00:03:18.259 --> 00:03:20.601]  I went and got the jab.
[00:03:20.601 --> 00:03:24.344]  I did it at 11.30 in the morning in Hawaii.
[00:03:24.344 --> 00:03:25.405]  Everything was normal.
[00:03:25.405 --> 00:03:26.326]  I went to bed.
[00:03:26.326 --> 00:03:30.570]  Woke up at 3.30 in the morning with my heart pounding out of my chest.
[00:03:30.570 --> 00:03:32.272]  I went to the ER.
[00:03:32.272 --> 00:03:37.356]  They hooked me up quickly to EKG, IVs, did blood work.
[00:03:37.356 --> 00:03:39.799]  Quickly determined that I was in atrial fibrillation.
[00:03:40.896 --> 00:03:47.661]  I could have stroked out at 100 feet trying to land an airplane with 40 airplanes lined up next to us.
[00:03:47.661 --> 00:03:52.384]  I could have just pushed down on that stick before the person next to me could do anything.
[00:03:52.384 --> 00:03:56.346]  We're in a... It's all over for a lot of people.
[00:03:56.346 --> 00:03:57.767]  Not a good scenario.
