[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[00:11.000 --> 00:18.000]  to happen at the end of this, but you want to fight, you better believe, you got one!
[00:18.000 --> 00:36.000]  The front lines of the information war is Alex Jones.
[00:48.000 --> 00:57.000]  America is already suffering a food shortage, which can be felt by rising costs and emptying shelves at the grocery store.
[00:57.000 --> 01:05.000]  But this is a cakewalk. It's going to get much worse. The writing, as they say, is on the wall.
[01:05.000 --> 01:10.000]  Any reasonable person can see that this is all being done deliberately.
[01:10.000 --> 01:26.000]  Over 10,000 cattle just died, and we are told that it was due to 100 degree weather. And in just the past 17 months, nearly 100 disasters have mysteriously befallen the American food industry.
[01:26.000 --> 01:36.000]  Dozens of catastrophic fires burning down food processing plants, in multiple cases, caused by small aircraft crashing into them.
[01:36.000 --> 01:45.000]  Thousands of tons of meat destroyed. Over 2 million turkeys have been destroyed. Over 40 million chickens have been destroyed.
[01:45.000 --> 01:54.000]  And with the rising cost of fuel, farmers are unable to harvest their crops. And it's only just beginning.
[01:54.000 --> 02:00.000]  Remember, Joe Biden promised he would shut down oil and gas.
[02:00.000 --> 02:06.000]  I have one final question. Would he close down the oil industry? Would you close down the oil industry?
[02:06.000 --> 02:12.000]  I would transition from the oil industry, yes. I would transition. It is a big statement.
[02:12.000 --> 02:14.000]  Why would you do that?
[02:14.000 --> 02:19.000]  Because the oil industry pollutes significantly. Here's the deal.
[02:19.000 --> 02:27.000]  If you let me finish the statement, because it has to be replaced by renewable energy over time.
[02:27.000 --> 02:32.000]  Because basically what he is saying is he is going to destroy the oil industry.
[02:32.000 --> 02:36.000]  Will you remember that, Texas? Will you remember that Pennsylvania, Oklahoma?
[02:36.000 --> 02:40.000]  Vice President Biden, let me give you 10 seconds to respond, and then I have to get to the final question.
[02:40.000 --> 02:41.000]  Vice President Biden.
[02:41.000 --> 02:49.000]  He takes everything out of context, but the point is, look, we have to move toward a net zero emissions.
[02:49.000 --> 02:57.000]  But, kiddo, I want you to just take a look, okay? You don't have to agree, but I want you to look at my eyes.
[02:57.000 --> 03:05.000]  I guarantee, I guarantee, we're going to end fossil fuel and I am not going to clock it.
[03:05.000 --> 03:12.000]  And they are making good with their radical promise, except there is no alternative energy plan.
[03:12.000 --> 03:19.000]  The Biden administration is doing everything they can to shut down all fossil fuel in this country.
[03:19.000 --> 03:28.000]  And not only will that stop people from driving, all public transportation, all shipping, and all industry will come to a halt.
[03:28.000 --> 03:34.000]  Millions will lose their jobs, and hundreds of millions will starve to death.
[03:34.000 --> 03:43.000]  Whether you like it or not, civilization is dependent upon oil and gas, and our government is turning it all off.
[03:43.000 --> 03:52.000]  We are also still suffering a baby formula shortage, and what little we do have is being sent to the open southern border
[03:52.000 --> 04:02.000]  for the tens of thousands of hungry foreigners being brought in unchecked and flown to already struggling cities across America.
[04:02.000 --> 04:08.000]  After several countries suspended the Moderna vaccine for adults due to safety concerns,
[04:08.000 --> 04:16.000]  the United States FDA just unanimously voted to inject your infant children with the deadly shot.
[04:16.000 --> 04:26.000]  Your government is trying to kill you, and if anyone thinks this is hyperbole or fear-mongering, they are not paying attention, or they are in shock.
[04:26.000 --> 04:36.000]  The only solution we are being offered is to vote, even though we have a rigged election system and two parties that work for the same corporate establishment.
[04:36.000 --> 04:43.000]  Starvation is coming fast, and people can only survive a few weeks without food.
[04:43.000 --> 04:52.000]  And so what exactly will we do if the so-called red wave this November fails to turn the tide?
[04:52.000 --> 04:57.000]  Reporting for InfoWars, this is Greg Rees.
[05:23.000 --> 05:26.000]  It's now out in the open.
[05:26.000 --> 05:32.000]  Klaus Schwab said last week that they rule the earth, the Bilderberg group founded Davos Group.
[05:32.000 --> 05:38.000]  So now the fight's out in the open, they're making their move because they know they're behind schedule.
[05:38.000 --> 05:39.000]  We're going to win this thing.
[05:39.000 --> 05:41.000]  God's watching the children counting on us.
[05:41.000 --> 05:46.000]  I just want to thank the viewers and listeners for your word of mouth and your prayer and your financial support,
[05:46.000 --> 05:48.000]  because without you InfoWars would not be here.
[05:48.000 --> 05:55.000]  I want you to really internalize the fact that you are the InfoWars, and you are the reason humanity has a fighting chance.
[05:55.000 --> 06:20.000]  So I want to thank you and salute you again for all you've done, and ask you now to redouble your efforts.
[06:20.000 --> 06:26.000]  The numbers tell us that the vaccines have already caused a 20% increase in deaths.
