[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[00:00:01.190 --> 00:00:01.951]  I don't want to give up.
[00:00:01.991 --> 00:00:06.135]  And I'm asking you, don't let me give up.
[00:00:06.275 --> 00:00:07.336]  Don't let me give out.
[00:00:07.497 --> 00:00:08.798]  Please keep me in the fight.
[00:00:08.998 --> 00:00:10.900]  Please support us today.
[00:00:11.040 --> 00:00:18.968]  Please realize that if you're watching this and you've procrastinated, you haven't supported the broadcast, that you're missing out on history right now.
[00:00:19.008 --> 00:00:22.632]  And you're really letting some very evil, wicked, sick people take control.
[00:00:24.670 --> 00:00:25.871]  So this is do or die, folks.
[00:00:25.951 --> 00:00:29.193]  I know the world's full of thousands of shows and entertainment.
[00:00:29.253 --> 00:00:34.636]  It's a background noise and people just get used to it and think, you know, oh, yeah, all right.
[00:00:35.757 --> 00:00:37.778]  But who has exposed the New World Order?
[00:00:38.138 --> 00:00:39.659]  Who has exposed their operations?
[00:00:39.759 --> 00:00:43.801]  Who has helped get leaders elected worldwide that have changed the world?
[00:00:43.941 --> 00:00:44.402]  We have.
[00:00:45.302 --> 00:00:46.003]  You and I together.
[00:00:47.223 --> 00:00:51.166]  So now we're at that critical juncture in the coming months.
[00:00:52.199 --> 00:00:54.360]  Word of I have the funds, I can continue on.
[00:00:55.480 --> 00:01:00.102]  If I don't, I've got to make decisions that'll keep us on air six months to a year.
[00:01:00.442 --> 00:01:05.684]  But then after that, there's no rebuilding something this big, this amazing, this historical.
[00:01:07.150 --> 00:01:11.113]  So I need you to reach down deep inside yourself and just say, am I passive?
[00:01:11.653 --> 00:01:12.734]  And am I going to lay down to this?
[00:01:12.794 --> 00:01:14.095]  Or am I going to take this serious?
[00:01:14.496 --> 00:01:18.779]  When all I'm doing is straight shooting you on my children, on my soul, God's witness.
[00:01:19.219 --> 00:01:20.360]  Strike me down if I'm lying.
[00:01:21.321 --> 00:01:24.263]  I don't have $16 million or $10 million or $5 million or $3 million of cash.
[00:01:28.157 --> 00:01:31.661]  I got two and a half million or less, and that's nothing to run this operation.
[00:01:31.701 --> 00:01:32.722]  That's running out quick.
[00:01:33.223 --> 00:01:37.028]  I need your support now at InfoWarsTore.com.
[00:01:37.809 --> 00:01:43.736]  I need you to go there and get great products and great items and know you're fighting the tip of the spear.
[00:01:44.296 --> 00:01:46.359]  And if you don't, that's your choice to understand.
[00:01:48.496 --> 00:01:57.880]  It's all in God's will and I want to thank all the viewers and listeners over the years that have supported us and made this possible because you're the reason we've come this far and you're the reason humanity has a fighting chance.
[00:01:58.681 --> 00:01:59.721]  So I leave the choice to you.
[00:02:00.682 --> 00:02:02.623]  Keep InfoWars on the air or let us fade away.
[00:02:03.723 --> 00:02:04.343]  It's up to you.
[00:02:04.423 --> 00:02:05.784]  God bless and good luck.
[00:02:06.384 --> 00:02:13.384]   From the front lines of the Information War, it's Alex Jones.
[00:02:14.384 --> 00:02:30.384]  [Music]
[00:02:30.384 --> 00:02:31.384]  InfoWars.
[00:02:31.977 --> 00:02:32.858]  Tomorrow's News.
[00:02:32.957 --> 00:02:39.957]  today.
[00:02:39.957 --> 00:02:49.957]  [Music]
[00:02:49.957 --> 00:02:56.957]   Social media from the CCP rarely ever makes its way into American pop culture.
[00:02:56.909 --> 00:03:06.376]  But in early 2020, they went viral with radical videos of forced quarantines and sealing people into their own dwellings with welding torches.
[00:03:07.297 --> 00:03:12.340]  Were Americans showing all this to make our own lockdowns seem less devastating?
[00:03:12.821 --> 00:03:17.564]  And if so, what are we to make of the new social media blitz coming out of Shanghai?
[00:03:18.845 --> 00:03:21.047]  People are being starved in their own homes.
[00:03:22.388 --> 00:03:23.869]  Their pets are being killed.
[00:03:25.166 --> 00:03:31.471]  And it's getting so hellish that suicide is seemingly an everyday part of life now in Shanghai.
[00:03:34.934 --> 00:03:41.138]  Just because things are feeling a bit more liberating in America doesn't mean the lockdowns are over.
[00:03:41.719 --> 00:03:46.523]  How in the hell are these Democrats going to win an election without another lockdown?
[00:03:47.303 --> 00:03:52.727]  They're already setting up the narrative and have invested in new mobile testing machines.
[00:03:53.608 --> 00:03:57.753]   If you think Trump is somehow The way I endorsed another person today, Dr. Oz in Pennsylvania.
[00:03:57.573 --> 00:04:02.212]   in the last lockdown and proudly gave birth to the deadly vaccines.
[00:04:02.212 --> 00:04:04.412]  He just sided with Dr. Oz.
[00:04:04.412 --> 00:04:09.293]   The way I endorsed another person today, Dr. Oz in Pennsylvania.
[00:04:09.293 --> 00:04:11.813]  Dr. Oz.
[00:04:11.813 --> 00:04:12.772]  Great guy.
[00:04:12.826 --> 00:04:13.446]  Good man.
[00:04:13.606 --> 00:04:14.186]  Good man.
[00:04:14.367 --> 00:04:15.627]  Harvard educated.
[00:04:16.007 --> 00:04:19.548]  And Dr. Oz loves the CCP lockdown model.
[00:04:19.648 --> 00:04:22.988]  And the Chinese numbers have dropped dramatically, which is fantastic news.
[00:04:23.588 --> 00:04:26.609]  And it's also valuable for us to understand why they were able to do that.
[00:04:26.629 --> 00:04:29.370]  If you look inside of Wuhan province, they had a catastrophe.
[00:04:29.410 --> 00:04:36.931]  But outside the province, which of course they quarantined in the largest movement of its nature ever, 60 million people blocked in that space.
[00:04:37.211 --> 00:04:39.072]  But the rest of the country was relatively spared.
[00:04:39.312 --> 00:04:45.151]   They didn't have the big spikes, the huge crises that Wuhan experienced, and it took the country in a very different
[00:04:45.151 --> 00:04:45.512]  direction.
[00:04:45.512 --> 00:04:49.831]   We just have to copy what they did, take their blueprint and repeat it here in this country.
[00:04:49.831 --> 00:04:52.632]  And we started that aggressively over the last week.
[00:04:52.632 --> 00:05:01.281]   In trauma-based mind control, the abuser alternates between abuse and comfort, which forms a bond with the victim,
[00:05:01.281 --> 00:05:03.990]  known in pop culture as Stockholm syndrome.
[00:05:04.702 --> 00:05:07.963]  This might not work on you, but they are not doing it for you.
[00:05:08.643 --> 00:05:17.326]  They want the majority on their side when they start arresting people like you for forced vaccination and, of course, gun confiscation.
[00:05:18.146 --> 00:05:34.994]  China has a number of problems, two of which are that their complete lockdown, which was their approach, the strictest lockdown that you'd never be able to implement in the United States, although that prevents the spread of infection.
[00:05:35.054 --> 00:05:41.517]  And remember, early on, they were saying, and I think accurately, that they were doing better than almost anybody else.
[00:05:42.117 --> 00:05:44.300]  But lockdown has its consequences.
[00:05:44.360 --> 00:05:48.426]  You use lockdowns to get people vaccinated.
[00:05:49.408 --> 00:05:51.888]  Reporting for InfoWars, this is Greg Reis.
[00:05:51.888 --> 00:06:06.888]  [Intro Music]
[00:06:06.888 --> 00:06:09.888]  Biological attack is imminent!
[00:06:10.325 --> 00:06:10.726]  Imminent!
[00:06:11.006 --> 00:06:11.866]  It's going to happen.
[00:06:12.086 --> 00:06:15.669]  It's not a question of will it happen, but when it happens.
[00:06:15.889 --> 00:06:27.316]  A bioweapon release could be the thing they'd release to bring in a world government to counter a global problem, and the UN has said that a global pandemic is the only thing that may save their world government.
[00:06:27.196 --> 00:06:33.915]   This is a biological warfare agent that had leaked out of the Wuhan laboratory.
[00:06:33.915 --> 00:06:47.596]   And it's time for humanity to stand up in the info war and say I don't know what's
[00:06:47.596 --> 00:06:49.996]  gonna happen at the end of this but you wanna fight.
[00:06:50.206 --> 00:06:51.746]  You better believe you've got one!
[00:06:51.766 --> 00:06:59.510]  From the front lines of the Information War, it's Alex Jones.
[00:06:59.711 --> 00:07:14.376]   Every free nation on Earth, every free people, every individual trying to live their own life with decency and honor, Indignity is under attack.
[00:07:15.477 --> 00:07:40.569]  So here we are on this Monday, April 18th edition of the Alex Jones Show in the year 2022, and we see worldwide depression, we see worldwide inflation, we see planetary starvation, we see massive wars, we see collapsing borders, we see open pedophilia promotion by every major Western media outlet of any size.
[00:07:42.054 --> 00:08:01.510]  It is just an unspeakable moment in human history to know that we've been turned over to evil, that we've aborted billions of babies on a planetary scale, and that God is now withdrawing his protection from us, and evil and corruption is being allowed to absolutely run rampant.
[00:08:02.651 --> 00:08:05.914]  All right, I'm going to say something here, and I'm not going to talk about it again today.
[00:08:07.677 --> 00:08:12.768]  And it will be basically my statement on the subject and I'm going to move on.
[00:08:14.491 --> 00:08:15.153]  But it's just this.
[00:08:16.401 --> 00:08:20.803]  I am not declaring bankruptcy and InfoWars is not declaring bankruptcy.
[00:08:21.304 --> 00:08:28.707]  It's a Chapter 11 reorganization in the federal courts so you can go and show them their books.
[00:08:29.088 --> 00:08:44.835]  They can come in and look at your books and know that we don't have $16 million in a secret bank account or $5 million or $3 million and know that what has been claimed by the Texas courts that are very political and the Connecticut court is not correct.
[00:08:44.895 --> 00:08:45.636]  It is not true.
[00:08:47.438 --> 00:08:58.448]  And whether that's successful or not, in the long term, this will be an issue for the bankruptcy courts one way or another, and it's just time for that to happen.
[00:08:58.468 --> 00:09:03.352]  And it's time for people to be able to see that I don't have $5 million.
[00:09:04.072 --> 00:09:05.794]  I don't have $3 million.
[00:09:05.834 --> 00:09:12.720]  We have less than $3 million cash, and we need that money to buy future product to be able to operate.
[00:09:13.786 --> 00:09:16.627]  So I'm essentially making no money, which is fine.
[00:09:16.647 --> 00:09:33.353]  The whole purpose of this place was not for Alex Jones to make a bunch of money, but it takes a bunch of money to run an independent, self-sufficient media operation with 3, 4, 5, 6, 7, 8 million people a day watching and listening just in bandwidth alone and this great crew.
[00:09:33.933 --> 00:09:40.196]  And we are what the establishment fears, real independent media giving a system a run for its money.
[00:09:41.541 --> 00:09:46.424]  And so, when you see all these headlines out there, did Alex Jones ever declare bankruptcy?
[00:09:46.885 --> 00:09:47.685]  The answer is no.
[00:09:48.786 --> 00:09:53.669]  The bankruptcy for my affiliate companies is designed to pay all of my creditors in full.
[00:09:54.949 --> 00:10:03.515]  Alex Jones, yours truly, gave up all rights to his membership interest in the debtor's bankruptcy to a trust created to hold that interest and backstop payments and claims.
[00:10:04.346 --> 00:10:09.449]  Number four, I'm confident the federal system has the tools and experience to fairly deal with the resolution of these claims.
[00:10:10.330 --> 00:10:11.391]  Now, here's what's important.
[00:10:13.572 --> 00:10:18.876]  Again, the corporate media and these individuals know that we don't have all this money.
[00:10:19.516 --> 00:10:29.683]  The plan is to try to get judgments that are giant and large, that can't be paid, so they can close our doors here and try to keep me from being on the air elsewhere, which they're not going to be able to do.
[00:10:31.673 --> 00:10:35.178]  In fact, if anything, it makes me work harder and value the First Amendment even more.
[00:10:38.283 --> 00:10:41.766]  That said, my fate is tied to your fate.
[00:10:42.407 --> 00:10:45.389]  And this country and this world is in a lot of trouble.
[00:10:45.770 --> 00:10:58.801]  And so we're all going to share in this misery together, including those that are in the system and that are really destroying due process and every major pillar of our Bill of Rights and Constitution.
[00:10:59.161 --> 00:11:01.803]  I mean, the Eighth Amendment, in my case, is completely thrown out the window.
[00:11:02.424 --> 00:11:04.546]  And I'm not going to get into this today.
[00:11:05.922 --> 00:11:19.250]  In any great detail, but this is a big story for anybody in the country, and I've talked to a lot of lawyers, including some of the biggest names out there, and they've seen these documents, and they cannot believe these.
[00:11:20.450 --> 00:11:45.862]   But the judges given in the Texas case and the Connecticut case, whatever these lawyers want, same lawyers that bankrupted Remington into serious problems, Have filed for one of three trials they have coming up starting next month, actually late this month, that we not be able to talk at the trial.
[00:11:46.343 --> 00:11:47.463]  So I'm already found guilty.
[00:11:47.483 --> 00:11:52.647]  Do juries ever think that they would go and then someone's guilty, you're told, and now you decide how guilty?
[00:11:54.809 --> 00:11:59.052]  That would be a judge usually, a jury would decide, then the judge would have some oversight on how guilty.
[00:11:59.872 --> 00:12:02.294]  And it actually says in here, cannot mention the First Amendment.
[00:12:04.366 --> 00:12:05.527]  Cannot defend yourself.
[00:12:05.567 --> 00:12:06.848]  It actually says it in here.
[00:12:07.348 --> 00:12:08.789]  This is a big story.
[00:12:09.950 --> 00:12:14.132]  And I don't feel sorry for myself.
[00:12:14.152 --> 00:12:15.173]  I feel sorry for the country.
[00:12:15.333 --> 00:12:29.242]  I am shocked by the level of depravity that is just widespread in this country, in the bureaucracies, in government, and in the legal system.
[00:12:30.062 --> 00:12:31.303]  And this country has cancer.
[00:12:32.004 --> 00:12:33.605]  And so this is like learning you have cancer.
[00:12:34.864 --> 00:12:35.865]  And it just is what it is.
[00:12:35.985 --> 00:12:39.527]  But it's not just Alex Jones that has political cancer, spiritual cancer.
[00:12:39.607 --> 00:12:40.247]  We all do.
[00:12:41.147 --> 00:12:49.112]  The rot that is attacking us is endemic of what has happened in civilization.
[00:12:49.812 --> 00:12:51.233]  And it just tears my guts out.
[00:12:52.474 --> 00:12:53.294]  I can tell you this.
[00:12:54.875 --> 00:13:00.152]   If we weren't so maxed out, These legal battles would be a lot easier.
[00:13:00.172 --> 00:13:25.257]  And so the biggest thing you can do is spread the word about the broadcast knowing that powerful forces are doing everything they can and breaking all the rules, try to silence us because they need the main voices of resistance silenced ahead of the next big lockdowns and the devaluation of the currency and the universal basic income and the real tyranny that is being set up and rolled out now.
