[00:00:00.000 --> 00:00:14.000]  [music]
[00:00:14.309 --> 00:00:15.730]  You want to stop tyranny?
[00:00:15.990 --> 00:00:17.131]  Well, so does he.
[00:00:17.652 --> 00:00:22.395]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:22.775 --> 00:00:25.817]  And now, your host, Owen Troyer.
[00:00:26.597 --> 00:00:40.492]   There is a massive story developing in Brazil that the corrupt, inept, pathetic Dinosaur legacy American media is ignoring, but there's a story behind that story.
[00:00:41.231 --> 00:00:46.231]   But first, here's the Greg Rees report, breaking down what's happening in Brazil.
[00:00:46.231 --> 00:01:02.231]   The people of Brazil are united together in protest against the globalist Great Reset.
[00:01:02.231 --> 00:01:12.231]  [crowd chanting]
[00:01:12.611 --> 00:01:21.555]  In 2017, Luiz Lula was convicted on charges of corruption and money laundering and sentenced to nine years in prison.
[00:01:22.436 --> 00:01:28.739]  In April of last year, he was released by the Brazilian Supreme Court to run against Bolsonaro.
[00:01:29.119 --> 00:01:32.040]  He is supported by the World Economic Forum.
[00:01:32.960 --> 00:01:33.641]  Translating.
[00:01:34.803 --> 00:01:36.503]  Lula was not elected.
[00:01:37.184 --> 00:01:38.864]  Lula stole my vote.
[00:01:39.504 --> 00:01:41.084]  Stole from my people.
[00:01:42.085 --> 00:01:43.705]  We will not create war.
[00:01:44.305 --> 00:01:45.645]  We will not spill blood.
[00:01:47.506 --> 00:01:49.226]  We will fight with peace.
[00:01:50.066 --> 00:01:54.127]  This son of a... Alexandre de Moraes.
[00:01:54.567 --> 00:01:59.828]  Because he stole our votes and gave them to another criminal, Lula.
[00:02:00.668 --> 00:02:02.909]  They reversed his sentence in order to win.
[00:02:05.265 --> 00:02:06.065]  End translation.
[00:02:05.884 --> 00:02:11.844]  by stealing and diverting our votes.
[00:02:11.844 --> 00:02:15.924]  This was dishonesty, shadiness, criminal.
[00:02:15.924 --> 00:02:20.604]  In my country, there is no place for them.
[00:02:20.604 --> 00:02:22.164]  End translation.
[00:02:22.164 --> 00:02:28.484]   Alexandre de Moraes is the minister of the Supreme Court of Brazil, who just ordered
[00:02:28.484 --> 00:02:47.764]   the banks to block the accounts of anyone supporting the historic protest.
[00:02:47.777 --> 00:02:56.323]  If people all over the world took to the streets, like the people of Brazil, then the imminent global tyranny would be eradicated.
[00:02:57.123 --> 00:02:59.124]  And this is why the media ignores it.
[00:02:59.685 --> 00:03:05.709]  They're hoping you just stay home and watch it, like a movie, until it arrives at your front door.
[00:03:06.249 --> 00:03:07.010]  And it's too late.
[00:03:07.710 --> 00:03:12.193]  Say, let's pretend this brain is a puny little ant.
[00:03:13.354 --> 00:03:13.914]  Did that hurt?
[00:03:14.895 --> 00:03:15.135]  Nope.
[00:03:15.615 --> 00:03:16.856]  Well, how about this one?
[00:03:17.731 --> 00:03:18.975]  Are you kidding?
[00:03:20.520 --> 00:03:22.520]  How about this?
[00:03:22.520 --> 00:03:24.520]  [Screaming]
[00:03:24.520 --> 00:03:40.520]   You let one ant stand up to us, then they all might stand up.
[00:03:40.795 --> 00:03:45.256]  Those puny little ants outnumber us a hundred to one.
[00:03:45.776 --> 00:03:49.817]  And if they ever figure that out, there goes our way of life!
[00:03:50.637 --> 00:03:51.918]  It's not about food.
[00:03:52.638 --> 00:03:55.338]  It's about keeping those ants in line.
[00:03:58.639 --> 00:04:00.980]  Reporting for InfoWars, this is Greg Reese.
[00:04:02.113 --> 00:04:02.293]  Wow.
[00:04:02.693 --> 00:04:04.294]  Powerful stuff from Greg Reese.
[00:04:05.295 --> 00:04:12.839]  And we stand with the great Brazilian people who are standing against their stolen election peacefully in the streets right now.
[00:04:12.899 --> 00:04:17.902]  And I think, while that's the story, what is the story behind the story?
[00:04:17.982 --> 00:04:19.943]  Well, it's that the American media won't even cover it.
[00:04:21.584 --> 00:04:24.825]  It's that the American media won't even talk about it.
[00:04:25.906 --> 00:04:26.826]  And we all know why.
[00:04:28.127 --> 00:04:31.389]  Because they were in the tank for the corrupt communist criminal Lula.
[00:04:32.782 --> 00:04:57.690]  And because they know that we already had our moment, that they completely scuttled and turned into their Reichstag moment, and that was January 6th, where there's new footage coming out that show the people that were in the building that orchestrated leading people into the building and then opening up the doors are the only ones that haven't been arrested, which means they're clearly being protected by somebody for some reason.
[00:05:00.086 --> 00:05:05.248]  Ladies and gentlemen, here we are on this Sunday, November 20th, 2022.
[00:05:06.669 --> 00:05:38.222]   An incredible time, a historic time in American history and in world history as the future of humanity is on the precipice and will either fall into a corporate global tyranny with endless Digital bureaucracy, soulless, faceless, spiritless, that you're trapped in forever.
[00:05:38.242 --> 00:05:46.544]  A government intervening in every breath you take and every step you make.
[00:05:48.145 --> 00:05:52.746]  This is what we must stand against because we are not slaves, we are not animals.
[00:05:54.960 --> 00:06:00.162]  We are human beings made in the image of the Creator, destined to be free.
[00:06:00.562 --> 00:06:01.903]  And that's why you're in the audience.
[00:06:03.563 --> 00:06:05.624]  And that's why you're joining us here this evening.
[00:06:05.684 --> 00:06:09.286]  Now, let me tell you what's coming up tonight.
[00:06:12.007 --> 00:06:15.008]  We've got Alex Stein joining us in about 30 minutes.
[00:06:16.168 --> 00:06:19.490]  And, I mean, this guy just doesn't stop with the hits.
[00:06:20.504 --> 00:06:27.049]  And he's outside of a library where they're doing a little drag queen story of child abuse for kids.
[00:06:28.810 --> 00:06:40.738]  And it's just so classic how these children behave and then we're supposed to treat them like adults as they're out here under no thought of their own.
[00:06:40.778 --> 00:06:48.984]  This is not an act of their own volition to stand for trans kids surgeries and gay kids and all the other bullcrap that they claim to stand for.
[00:06:51.940 --> 00:06:53.861]  But there they are out there with their flags.
[00:06:54.602 --> 00:06:55.483]  There they are out there.
[00:06:55.723 --> 00:06:59.726]  By the way, they got their nice, their nice rifles that Joe Biden wants to ban.
[00:07:00.066 --> 00:07:00.466]  Yeah.
[00:07:02.108 --> 00:07:04.149]  Yeah, they've got that going too for him now.
[00:07:05.590 --> 00:07:10.474]  So we'll be discussing that, playing that video with Alex and getting a little more into that story.
[00:07:11.915 --> 00:07:16.819]  Where more and more every day, gay Americans are saying, hey, wait a second.
[00:07:17.539 --> 00:07:26.450]   You're not going to use, you're not going to use Us as a means to get access to children.
[00:07:26.470 --> 00:07:34.792]  You're not going to say LGBTQ pride and wave a pride flag and then say, now let me get naked and dance in front of your child that's LGBT.
[00:07:35.472 --> 00:07:40.993]  And so they're showing up at city council meetings, school board meetings, the Gays Against Groomers is becoming a larger group.
[00:07:42.353 --> 00:07:43.213]  So there is the pushback.
[00:07:43.253 --> 00:07:44.994]  So we're going to do at least two segments.
[00:07:45.434 --> 00:07:47.914]  If we're having a good time, maybe we'll extend that with Alex Nine.
[00:07:47.934 --> 00:07:49.235]  Maybe he wants to stay around all night.
[00:07:50.015 --> 00:07:50.875]  We'll take calls with him.
[00:07:52.335 --> 00:08:02.523]  Because I'm going to be taking calls then in the second hour of the Alex Jones transmission and then in the first hour of Sunday Night Live transmission following this show.
[00:08:03.544 --> 00:08:07.347]  And then we're going to have Sean Stone and Vivian Kubrick in studio.
[00:08:08.688 --> 00:08:09.688]  So I've got some news here.
[00:08:09.788 --> 00:08:11.169]  I've got the news with the shooting.
[00:08:13.952 --> 00:08:20.276]  But before I get into that and explain what's really going on here, which is just crazy at this point, how people can't see what's going on.
[00:08:20.897 --> 00:08:21.998]  But that's just typical.
[00:08:23.629 --> 00:08:36.877]  We're about to be severely distracted with this 2024 presidential race where we don't even have a day off, let's say, in between election cycles.
[00:08:38.157 --> 00:08:42.100]  I mean, they're still counting some of the votes from the midterm elections.
[00:08:42.120 --> 00:08:44.441]  What are we, like, two weeks removed from them?
[00:08:44.481 --> 00:08:49.444]  They're still counting votes in some areas, seemingly all for Democrats, magically.
[00:08:51.803 --> 00:09:03.113]  But with Trump already announcing we're already into the 2024 season, and you've already seen the media move against him, you've already seen the establishment, GOP, move against him, and so this is going to be a big distraction item.
[00:09:03.633 --> 00:09:06.015]  Not to say that it's not important, because it is.
[00:09:06.035 --> 00:09:08.337]  I don't have to explain the importance of it.
[00:09:08.378 --> 00:09:09.278]  You know why it's important.
[00:09:09.338 --> 00:09:10.219]  You're thinking about it.
[00:09:10.239 --> 00:09:10.940]  You're talking about it.
[00:09:11.360 --> 00:09:12.121]  You're following it.
[00:09:14.189 --> 00:09:53.739]   But it's a distraction from the larger issue that Trump himself is not going to properly bring to the table, and he has laid it out before, but not near to the extent, not near to the priority, which is the giant corporate world government that is being built right now, where we're going into everything digital, and then everything is Run on some sort of digital database tracker system that you're not gonna get access to unless you are fully compliant.
[00:09:56.341 --> 00:10:04.106]  And you got a taste of it with COVID, but really you're just getting a taste of it with everyday life now.
[00:10:06.888 --> 00:10:17.389]   You may have noticed, and I was at an event last night, And all the venues here in Austin are now cash free.
[00:10:18.830 --> 00:10:24.152]  And I'm sitting there, and I'm trying to pay cash, and it's all robotic.
[00:10:24.232 --> 00:10:25.553]  And I don't necessarily mind.
[00:10:25.593 --> 00:10:27.293]  I mean, it's okay, it's convenient.
[00:10:27.794 --> 00:10:34.296]  You walk right up, you grab a beverage, you grab a box of popcorn, whatever, and you slide your card, and it's just a nice, smooth transition.
[00:10:34.376 --> 00:10:37.578]  I'm all for using technology to make our lives more convenient, sure.
[00:10:39.687 --> 00:10:41.047]  But I'm trying to pay cash.
[00:10:41.067 --> 00:10:46.028]  He's like, oh no, there's one attendant with all the robot checker devices.
[00:10:47.529 --> 00:10:49.369]  He's like, oh no, no, no.
[00:10:49.409 --> 00:10:50.409]  We don't take cash anymore.
[00:10:50.469 --> 00:10:52.750]  I'm like, oh wow, that's so great, isn't it?
[00:10:53.510 --> 00:10:55.431]  I'm so glad we're moving to a cashless society.
[00:10:56.611 --> 00:10:58.911]  It'll be so great when the government can track everything we do.
[00:10:59.211 --> 00:11:01.832]  Boy, oh boy, sir, do I need to show you my vaccine passport?
[00:11:02.772 --> 00:11:03.592]  Just making a joke of it.
[00:11:03.612 --> 00:11:04.813]  The guy actually agreed with me.
[00:11:04.833 --> 00:11:05.693]  He was like, yeah, it's ridiculous.
[00:11:05.713 --> 00:11:06.273]  He thought it was funny.
[00:11:07.858 --> 00:11:08.819]  But see, that's where it goes.
[00:11:09.499 --> 00:11:12.502]  So, oh, okay, yeah, you like the convenience of the technology.
[00:11:13.163 --> 00:11:14.464]  Sure, I like the convenience.
[00:11:14.524 --> 00:11:21.990]  Instead of waiting in line, I just walk right up, grab a beverage out of the cooler, slide my card in, boom, I'm checked out.
[00:11:23.652 --> 00:11:29.797]  Oh, so okay, I like that convenience, but then it's, oh, sorry, oh, your card didn't work.
[00:11:30.598 --> 00:11:33.640]  It says you're not updated on your vaccine.
[00:11:34.463 --> 00:11:34.903]  Oh, oh!
[00:11:35.643 --> 00:11:36.683]  Your card has been declined.
[00:11:36.723 --> 00:11:43.345]  It looks like you made a post on the internet that was... that was bad, and so... Sorry, you can't use your card.
[00:11:43.365 --> 00:11:44.145]  It's been shut off.
[00:11:44.165 --> 00:11:45.405]  I don't know.
[00:11:45.545 --> 00:11:46.245]  I don't know what to do.
[00:11:46.325 --> 00:11:47.405]  Sorry, nothing we can do.
[00:11:47.745 --> 00:11:48.325]  And then that's it!
[00:11:48.405 --> 00:11:49.166]  There's nothing you can do!
[00:11:50.946 --> 00:11:52.126]  Oh, you want to go get dinner.
[00:11:52.206 --> 00:11:53.286]  Oh, you want to go get groceries.
[00:11:53.406 --> 00:11:55.787]  Oh, you want to fill your car with gas.
[00:11:55.907 --> 00:11:56.507]  Oh, sorry!
[00:11:56.807 --> 00:11:58.227]  Sorry, card doesn't work.
[00:11:58.907 --> 00:12:00.748]  Sorry, you made a bad post on the internet.
[00:12:01.528 --> 00:12:02.088]  Sorry!
[00:12:04.002 --> 00:12:06.223]  Sorry, you didn't get your latest vaccine!
[00:12:07.323 --> 00:12:08.103]  La-dee-da!
[00:12:10.484 --> 00:12:22.367]  And yes, it is like the Black Mirror episode where the whole woman's life falls apart because her social credit score falls apart and then she's in a living nightmare.
[00:12:22.887 --> 00:12:23.507]  In a living hell.
[00:12:25.688 --> 00:12:26.608]  So that's where it all goes.
[00:12:28.129 --> 00:12:29.229]  So that's the bigger issue.
[00:12:29.349 --> 00:12:30.909]  That's what we see building around us.
[00:12:31.489 --> 00:12:33.070]  That's what we see building around the world.
[00:12:34.332 --> 00:12:39.236]  That's what you're starting to see, not just the taste of it with COVID, but you're just starting to see it in everyday life now.
[00:12:41.697 --> 00:12:49.863]  And that's the bigger issue than the 2024 presidential election, because it'll be nice to have prosperity with Trump.
[00:12:50.784 --> 00:12:56.749]  And it'll be nice to have a president that actually cares about America and isn't a total traitor like Joe Biden.
[00:12:57.729 --> 00:13:01.652]  And it'll be nice to have a man who's actually running the country, not whatever shadow government's running it now.
[00:13:01.972 --> 00:13:02.613]  That'll all be great.
[00:13:03.342 --> 00:13:03.742]  We'll love it.
[00:13:03.762 --> 00:13:04.743]  We'll love the prosperity.
[00:13:04.783 --> 00:13:08.125]  Hell, he might actually do something about the borders and other issues.
[00:13:09.986 --> 00:13:32.701]  But if we aren't allowed a stopgap, if we aren't allowed a buffer, if we aren't allowed at least a crack to say, hey, we're not going to go under any form of digital corporate world government, which, by the way, Ron DeSantis came out the other day and said anything World Economic Forum is not going to be allowed in Florida.
[00:13:34.153 --> 00:13:37.155]  Anything World Economic Forum is going to be dead on arrival in Florida.
[00:13:37.715 --> 00:13:38.336]  Ron DeSantis.
[00:13:40.257 --> 00:13:56.927]  So as somebody here that's already said I'm behind Trump and DeSantis obviously hasn't announced he's running, nobody has, but that's the kind of stuff you want to be hearing and need to be hearing from whoever the presidential candidate nominee ends up being that you get behind.
[00:13:57.687 --> 00:13:59.689]  Because that's the larger issue.
[00:13:59.709 --> 00:14:01.850]  We can have prosperity all day and it'll be great.
[00:14:03.151 --> 00:14:14.036]  But if you're forced into a slave system, with no control, no human behind it, no soul, then the prosperity is not going to be so great.
[00:14:14.796 --> 00:14:20.438]  And we'll be better off than most countries, but you'll be forced to take that injection, and oh!
[00:14:20.778 --> 00:14:21.479]  You got a bad one!
[00:14:21.919 --> 00:14:22.419]  Is it for you?
[00:14:22.439 --> 00:14:23.940]  Is it for your lineage?
[00:14:24.580 --> 00:14:24.980]  Sorry!
[00:14:26.081 --> 00:14:31.443]  Alright ladies and gentlemen, we're gonna get into this shooting news on the other side, and I'm gonna tell you what's really going on here.
[00:14:35.680 --> 00:14:53.414]  The response from the Democrat Party and the mainstream media to the club, the nightclub, the supposed gay club, which is of course called Club Q. I'm not saying that that has anything to do with the Q movement.
[00:14:53.474 --> 00:14:55.796]  It's just like, are you kidding me with this?
[00:14:55.916 --> 00:14:56.196]  Really?
[00:14:56.296 --> 00:14:56.957]  It's Club Q?
[00:14:57.137 --> 00:14:57.377]  Really?
[00:14:59.298 --> 00:15:03.782]  Five dead, 18 wounded in shooting at LGBTQ nightclub in Colorado.
[00:15:04.864 --> 00:15:13.187]  So again, the response from the Democrat Party, the response from the liberal mainstream media should not surprise us, but it does remind us just how sick and twisted they really are, doesn't it?
[00:15:16.649 --> 00:15:30.234]  Now we all know why they're making the big deal of this shooting, because they can politicize it, blame it on their opposition, and then once again, in an emotional outcry say, we have to ban guns, we have to end the Second Amendment.
[00:15:30.274 --> 00:15:30.554]  But look!
[00:15:32.924 --> 00:15:35.545]  I can play this game every day.
[00:15:35.725 --> 00:15:36.226]  You understand?
[00:15:36.686 --> 00:15:38.867]  I could play this game every Monday.
[00:15:39.707 --> 00:15:44.910]  And I've been doing it more often now, just as a exhibition on how you could play this game.
[00:15:44.930 --> 00:15:47.971]  But I mean, you know, just look at these stories.
[00:15:48.871 --> 00:15:51.773]  Two injured from two overnight shootings in Baltimore.
[00:15:51.933 --> 00:15:52.933]  That's last night.
[00:15:53.874 --> 00:15:57.795]  Philadelphia, Delaware County Police investigating deadly double shooting in Yedon.
[00:15:58.516 --> 00:15:58.876]  Last night.
[00:15:59.631 --> 00:16:00.532]  Chicago shootings.
[00:16:00.612 --> 00:16:04.193]  Two teens among nine shot and weakened gun violence across city.
[00:16:04.213 --> 00:16:05.974]  Again, that's yesterday.
[00:16:06.555 --> 00:16:08.836]  Two teenagers shot on Staten Island.
[00:16:10.277 --> 00:16:11.957]  So, I can play this game all day.
[00:16:12.017 --> 00:16:13.818]  I can play this game every Monday, specifically.
[00:16:13.878 --> 00:16:14.879]  Weekends are really violent.
[00:16:15.579 --> 00:16:16.840]  It's the worst in Chicago.
[00:16:17.881 --> 00:16:20.602]  And this is just a handful of cities I chose to look at.
[00:16:21.022 --> 00:16:25.525]  I didn't even really go into San Francisco or Los Angeles or St.
[00:16:25.565 --> 00:16:26.045]  Louis.
[00:16:27.637 --> 00:16:29.758]  Probably Dallas had a little loving violence too.
[00:16:31.838 --> 00:16:33.358]  So we could play this game all day long.
[00:16:33.438 --> 00:16:36.619]  Now, why do they never cover these shootings?
[00:16:38.300 --> 00:16:41.000]  Why do they never cover the violence in the inner cities?
[00:16:41.080 --> 00:16:43.161]  Why do they never cover the shootings in the inner cities?
[00:16:44.101 --> 00:16:45.581]  Do I really have to say why?
[00:16:45.601 --> 00:16:48.282]  Have we really not figured it out yet?
[00:16:50.303 --> 00:16:52.303]  But fine, let's not even answer that question.
[00:16:53.063 --> 00:16:54.664]  Instead, let's answer this question.
[00:16:54.744 --> 00:17:04.165]   Why are Why are they choosing to make the big fuss about the shooting in Colorado at the nightclub?
[00:17:05.206 --> 00:17:06.087]  Now let's be clear here.
[00:17:08.809 --> 00:17:17.736]  I think it's bad that we're so normalized to cities having violence and shootings all the time that we've just normalized it and so it's not even news.
[00:17:18.729 --> 00:17:24.153]  So it only becomes news if it's outside of the normal realm of activity.
[00:17:24.373 --> 00:17:25.834]  Oh, mass shootings in inner cities.
[00:17:26.594 --> 00:17:27.995]  Oh, black-on-black violence.
[00:17:29.416 --> 00:17:29.957]  We don't care.
[00:17:30.017 --> 00:17:30.717]  We don't cover that.
[00:17:32.078 --> 00:17:32.999]  We're just used to that.
[00:17:33.039 --> 00:17:33.839]  That's just normal.
[00:17:34.179 --> 00:17:36.341]  We can't tug at the emotional heartstrings over that.
[00:17:37.697 --> 00:17:40.119]  We can't use that to blame our political opposition.
[00:17:40.899 --> 00:17:48.645]  And we can't politicize that in the nature that we'd like to so that we can eventually end the Second Amendment because that's really what it's all about.
