[00:00:00.049 --> 00:00:01.670]  Breaking bombshell!
[00:00:03.291 --> 00:00:12.017]  Leaked Pentagon report confirms, and they admit this is real, skyrocketing illnesses and death caused by COVID Vax.
[00:00:13.739 --> 00:00:24.506]  Meanwhile, globalist Kingpin George Soros publicly declares war on China's leader, Xi Jinping, as the Anglo-American establishment goes into full panic mode.
[00:00:24.927 --> 00:00:29.450]  The third world isn't collapsing and starving to death because of COVID, it's because of the COVID lockdowns.
[00:00:31.235 --> 00:00:39.899]  Giant hordes of refugees aren't surging into Europe and what's left of North America because of COVID.
[00:00:39.919 --> 00:00:41.120]  It's because of the restrictions.
[00:00:42.701 --> 00:00:45.322]  People aren't sick of COVID.
[00:00:45.943 --> 00:00:54.227]  They're sick of the technocrats and the biomedical tyranny using it to wage war against our economies and put us into debt to collapse us and control us.
[00:00:55.187 --> 00:01:07.348]   And I know as an audience, you get that, but if Congress doesn't get it, And if the people of the Earth don't get it, the globalists will continue to win, because every Hydra head we cut off, they'll just grow two more.
[00:01:07.669 --> 00:01:10.030]  We have to defeat the heart of the Hydra.
[00:01:10.550 --> 00:01:12.070]  We have to identify the Hydra.
[00:01:12.110 --> 00:01:13.491]  We have to name the Hydra.
[00:01:13.731 --> 00:01:18.633]  We have to demonize the Hydra with its crimes, and expose it, and laze it.
[00:01:19.454 --> 00:01:23.015]  Target it politically, so that people know who's doing it.
[00:01:23.075 --> 00:01:30.075]   From the front lines of the information war, it's Alex Jones.
[00:01:31.075 --> 00:01:37.075]   And it's time for humanity to stand up in the info war and say, "I don't know what's
[00:01:37.075 --> 00:01:41.075]  going to happen at the end of this, but you want to fight?
[00:01:41.075 --> 00:01:46.112]   what's gonna happen at the end of this but you wanna fight You better believe you got one!
[00:01:48.033 --> 00:01:53.632]   From the front lines of the information war, it's Alex Jones.
[00:01:53.632 --> 00:02:11.633]  [Music]
[00:02:11.633 --> 00:02:18.633]  [Music]
[00:02:18.633 --> 00:02:26.972]   The fifth column recently published their findings and conclusions on the strange self-assembling nanotech they
[00:02:26.972 --> 00:02:32.633]   discovered in the Pfizer mRNA vaccines via optical microscopy analysis.
[00:02:33.345 --> 00:02:38.406]  The objects they found in the vaccine correspond with known items in the scientific record.
[00:02:39.067 --> 00:02:41.927]  And the conclusion they come to seems quite clear.
[00:02:42.467 --> 00:02:56.291]  That the well-documented scientific goal to use nanotechnology in living human beings to form networks capable of controlling several nanomachines is currently being deployed in the COVID-19 vaccines.
[00:02:57.332 --> 00:03:02.233]  Which amounts to the most intrusive assault against humanity in all of recorded history.
[00:03:03.345 --> 00:03:09.012]  While the media and government lie in cover for Big Pharma, the official ingredients are still unknown.
[00:03:09.953 --> 00:03:15.279]  But we have thousands of brilliant scientists worldwide studying these experimental vaccines.
[00:03:16.200 --> 00:03:18.363]  Some have died in highly suspicious ways.
[00:03:19.564 --> 00:03:21.727]  But most have been able to share their findings.
[00:03:22.828 --> 00:03:27.114]  And the work shows us that graphene oxide is a key component in all of this.
[00:03:27.955 --> 00:03:35.464]  There have been dozens of official documented studies on the use of graphene oxide related to how we see it being used here today.
[00:03:36.505 --> 00:03:38.826]  Among other things, as a power converter.
[00:03:39.426 --> 00:03:50.870]  Graphene, a one atom thick layer of hexagonally arranged carbon atoms, is the thinnest and strongest material known to man, and an outstanding conductor of heat and electricity.
[00:03:51.590 --> 00:03:59.233]  It can boost gigahertz frequencies into terahertz, which is exactly what these new nanotech machines need for power.
[00:04:00.113 --> 00:04:04.215]  In order to do this, the graphene first needs a frequency to power it.
[00:04:04.975 --> 00:04:13.499]  And the optimal frequency to externally power graphene is known to be 26 gigahertz, which is also the frequency put out by 5G.
[00:04:14.739 --> 00:04:30.046]  In this model, the graphene within the body is activated by microwave signals in the gigahertz range, which it then boosts into the terahertz range, which then powers the novel nanotech machinery to self-assemble within the human body.
[00:04:31.733 --> 00:04:34.735]  Once assembled, what do these nanotech machines do?
[00:04:35.616 --> 00:04:47.083]  The images, compared to the scientific literature, suggest that they are the foundation of an internal electronic system with an endless potential for biomanipulation of the human host.
[00:04:48.129 --> 00:04:52.751]  Nano-routers that emit MAC addresses, able to be registered via Bluetooth.
[00:04:53.331 --> 00:04:56.113]  Nano and plasma antennas to amplify signals.
[00:04:56.813 --> 00:05:00.975]  Nano-rectennas acting as rectifier bridges from AC to DC current.
[00:05:01.495 --> 00:05:04.677]  Codecs and logic gates for encryption of communication.
[00:05:05.908 --> 00:05:09.889]  The raw material for all this self-assembly is also Graphene Oxide.
[00:05:10.330 --> 00:05:18.132]  And when we compare known side effects of Graphene Oxide to the side effects of the COVID-19 vaccines, we find them to be the same.
[00:05:19.413 --> 00:05:27.676]  Once Graphene Oxide is injected into the body, it acquires magnetic properties, predictably around the injection site, the heart, and the brain.
[00:05:28.985 --> 00:05:34.570]  Graphene is seen as a pathogen by our immune system and will often result in paralysis and stroke.
[00:05:35.431 --> 00:05:38.594]  Graphene is known to cause blood clots and heart conditions.
[00:05:39.555 --> 00:05:43.719]  Graphene oxide can generate small discharges causing cardiac arrhythmia.
[00:05:45.219 --> 00:05:47.821]  There is so much going on with these experimental vaccines.
[00:05:48.422 --> 00:05:51.805]  And the evidence seems clear that there is a mass experiment going on.
[00:05:52.826 --> 00:05:55.528]  With certain batches marked more deadly than others.
[00:05:56.509 --> 00:06:07.319]  And with certain batches that contain a bold new technology akin to a man-made parasite intended to control the host human if it doesn't kill them first in the process.
[00:06:08.874 --> 00:06:12.776]  Perhaps that is what the mad scientists and psychopaths are after.
[00:06:13.536 --> 00:06:17.638]  Human genetics that can withstand this new invasive and deadly nanotech.
[00:06:19.438 --> 00:06:21.579]  Reporting for InfoWars, this is Greg Reese.
[00:06:22.280 --> 00:06:23.460]  There's no perhaps about it.
[00:06:23.520 --> 00:06:25.801]  This is the nanotech transhumanist revolution.
[00:06:25.881 --> 00:06:27.862]  We'll be right back with the rest of the story.
[00:06:27.882 --> 00:06:28.862]  Stay with us.
[00:06:29.223 --> 00:06:36.906]  I was getting my hair cut this weekend and the lady was a listener and she said, why haven't you had Dane Whittington on in years?
