[00:00:00.000 --> 00:00:01.000]  [Gun cocks]
[00:00:01.000 --> 00:00:03.000]  [Gunshot]
[00:00:03.000 --> 00:00:06.000]  [Music]
[00:00:06.000 --> 00:00:10.000]   And it's time for humanity to stand up in the info war and say,
[00:00:10.000 --> 00:00:13.000]   "I don't know what's going to happen at the end of this, but you want to fight?"
[00:00:13.416 --> 00:00:15.578]  You better believe you got one!
[00:00:15.838 --> 00:00:22.838]   From the front lines of the information war, it's Alex Jones.
[00:00:22.838 --> 00:00:46.838]  [Music]
[00:00:46.838 --> 00:00:56.048]   FTX founder Sam Bankman-Fried was the largest donor to the Democrat Party, second to George Soros for the spurious
[00:00:56.048 --> 00:00:57.838]  2022 midterms.
[00:00:58.711 --> 00:01:04.257]  Nearly $40 million, which reportedly came from crypto donations to Ukraine.
[00:01:05.018 --> 00:01:10.740]  FTX was partnered with the World Economic Forum as one of Klaus Schwab's stakeholders.
[00:01:11.380 --> 00:01:22.384]  FTX's founder reportedly used a secret backdoor to steal over a billion dollars from the customers of the now defunct cryptocurrency exchange.
[00:01:22.884 --> 00:01:29.586]  But there's more to the story than Sam Bankman-Fried and a money laundering slush fund for the failing Democrat Party.
[00:01:30.106 --> 00:01:38.271]  The CEO for FTX was Caroline Ellison, whose father is Glenn Ellison, head of the MIT Economics Department.
[00:01:38.771 --> 00:01:45.676]  Glenn Ellison hired Gary Gensler to head the Cryptocurrency Department at MIT in 2018.
[00:01:46.256 --> 00:01:52.880]  And in 2021, the Biden administration nominated Gary Gensler as the chair of the U.S.
[00:01:52.920 --> 00:01:58.904]  Securities and Exchange Commission, who has been laser-focused on gaining control of cryptocurrency.
[00:01:59.464 --> 00:02:14.081]  While the SEC has been routinely combative towards cryptos, they have treated FTX like family, causing many to argue that FTX was being groomed and set up by the SEC to monopolize the crypto market.
[00:02:14.401 --> 00:02:19.605]  FTX was an exchange that had a bright sheen on it.
[00:02:19.885 --> 00:02:25.890]  It was led by a CEO that was often on Capitol Hill and being photographed with regulators and lawmakers.
[00:02:26.691 --> 00:02:30.554]  And so there was this sense that the exchange was very buttoned up.
[00:02:30.794 --> 00:02:37.642]  Cryptocurrency has the potential to strip power from the central banking system, and that makes it a major threat.
[00:02:38.263 --> 00:02:46.253]  As this story unfolds, don't be surprised if this mess becomes the catalyst for government overreach into cryptocurrencies.
[00:02:46.613 --> 00:02:55.380]  The Journal reporting the CEO allegedly using customer money from FTX to fund risky bets at his other company, a hedge fund called Alameda.
[00:02:55.560 --> 00:03:01.305]  Many people believe that this will definitely set back the crypto industry for years.
[00:03:01.565 --> 00:03:03.746]  You know, this is a tale as old as time to some degree.
[00:03:03.786 --> 00:03:10.732]  Some young charismatic guy in Bermuda shorts with the floppy hair charmed the 20 best investors in the world.
[00:03:11.312 --> 00:03:14.375]  Rebecca, the big question here, was this a mistake by the founders or a crime?
[00:03:15.253 --> 00:03:18.884]  Well, that's a question the regulators will ultimately have to answer here.
[00:03:18.885 --> 00:03:21.525]  Reporting for InfoWars, this is Greg Reese.
[00:03:21.525 --> 00:03:39.525]   Thank you for joining us on this live Sunday, November 13, 2022 broadcast.
[00:03:40.007 --> 00:03:49.336]  Mike Adams is about to be joining us to break down why FTX is the absolute straw that breaks the camel's back when it comes to the New World Order.
[00:03:49.757 --> 00:03:51.739]  It was openly run by the Democratic Party.
[00:03:52.219 --> 00:04:02.525]  By the Securities and Exchange Commission and by the Justice Department, so they could funnel tens of billions of dollars out of the country and then launder it back to themselves, not just the Democratic Party, but across the board.
[00:04:02.925 --> 00:04:08.988]  Then as they implode it, they're openly using it to go after all the other cryptocurrencies that are based in reality.
[00:04:09.329 --> 00:04:10.349]  Yes, you can speculate.
[00:04:10.649 --> 00:04:11.590]  Yes, there's pump and dumps.
[00:04:11.910 --> 00:04:12.690]  Yes, there's scams.
[00:04:12.750 --> 00:04:20.255]  But independent outside free currencies of the future, not governmental, centralized digital currencies they can program and control.
[00:04:21.135 --> 00:04:25.116]  It's all coming up today with Owen Schroyer, with Mike Adams, and so much more.
[00:04:25.156 --> 00:04:26.236]  And I'll be chiming in as well.
[00:04:26.536 --> 00:04:27.756]  Please stay with us to spread the word.
[00:04:27.776 --> 00:04:29.776]  This could bring down the globalists.
[00:04:29.776 --> 00:04:37.776]  [Music]
[00:04:37.776 --> 00:04:47.776]   Well, what an honor and a privilege here to be hosting the Alex Jones Show on this Sunday, November 13, 2022, because...
[00:04:47.776 --> 00:04:50.776]  We're in...
[00:04:50.776 --> 00:05:00.776]  [BLANK_AUDIO]
[00:04:51.903 --> 00:04:55.546]  An interesting time as InfoWarriors together.
[00:04:57.948 --> 00:05:20.626]   We're in the time where we have been completely vindicated and now it's not just the rest of the news cycle catching up to InfoWars or even what I now see as the thrust The populist movement inside the Republican Party starting to catch up to where InfoWars has been all these years.
[00:05:21.386 --> 00:05:40.883]  And I don't want to make this a pat on the back moment because that just doesn't come off well and we need to be as welcoming and opening to all as possible here to join us in the cause using the First Amendment to save America, save freedom, save prosperity in the West peacefully and politically.
[00:05:42.361 --> 00:05:52.151]  So this isn't a let's pat ourselves on the back moment as we're more vindicated than ever and and and now it's just a matter of watching the rest catch up to us.
[00:05:52.952 --> 00:05:55.214]  Is it going to be in time or is it going to be too late?
[00:05:58.398 --> 00:06:00.600]  But you should not be feeling down.
[00:06:01.832 --> 00:06:11.556]  As we watch our elections get stolen, you should not be feeling down as the Democrat Party goes for full control, totalitarianism, one party rule in this country.
[00:06:11.576 --> 00:06:12.536]  You should not feel down.
[00:06:13.476 --> 00:06:19.158]  You should feel like you're exactly where you belong and you're exactly where you knew you would be long ago.
[00:06:19.859 --> 00:06:21.279]  It was always going to get to this point.
[00:06:22.640 --> 00:06:25.260]  And now you're in your period of total vindication.
[00:06:26.821 --> 00:06:29.282]  And what we do from here is really the question.
[00:06:32.025 --> 00:06:38.050]  We will continue to be tomorrow's news today, but it's time for it to become today's news today.
[00:06:39.972 --> 00:06:57.326]  But that's just depending on what the rest of the country wants to do, what the rest of the media wants to do, what our politicians want to do, and if they finally start to realize how serious all the stuff we've talked about here really is for years.
[00:06:59.528 --> 00:06:59.808]  Hmm.
[00:07:00.689 --> 00:07:00.889]  Hmm.
[00:07:02.785 --> 00:07:03.446]  Oh, don't worry.
[00:07:03.666 --> 00:07:09.350]  Most people saw what happened in the midterms in the last week and have their questions.
[00:07:10.391 --> 00:07:18.156]  Most people saw what just happened in Nevada and Arizona and then some of these house races in the dark of the night and they don't believe it.
[00:07:18.797 --> 00:07:20.518]  And they're seeing the outright corruption.
[00:07:20.918 --> 00:07:28.244]  And then you have this FTX story like a giant elephant dropping right on top of it.
[00:07:30.060 --> 00:07:32.641]  Icing on the Democrat steel cake.
[00:07:34.221 --> 00:07:35.582]  It just couldn't be more obvious.
[00:07:36.702 --> 00:07:38.443]  So you've been in a sense of urgency.
[00:07:40.263 --> 00:07:43.644]  You've known that we were in this period of corruption.
[00:07:43.885 --> 00:07:45.665]  Now the rest of the world is waking up.
[00:07:45.705 --> 00:07:49.606]  So I'm going to be interested to see how the rest of the media responds to this.
[00:07:50.447 --> 00:08:24.467]   I'm going to be interested to see who has the spine to not just Question the results of our elections, but even doubt them and call it a blatant theft And I'm gonna be interested to see who is willing to finally make the connections between FTX Ukraine and the Democrat Party and how that applies to the bigger issue of Using foreign wars to launder money and now using the crypto crash to regulate cryptocurrency
[00:08:25.563 --> 00:08:38.013]  When the entire FTX story was an example of corruption within the Democrats and within the left-wing ideology, not an example of why crypto needs to be regulated.
[00:08:39.935 --> 00:08:41.917]  And so you're going to take a loss on all these issues.
[00:08:42.057 --> 00:08:42.697]  I'm just going to tell you.
[00:08:42.837 --> 00:08:43.718]  You will take the loss.
[00:08:43.778 --> 00:08:45.359]  We will take the loss on all these issues.
[00:08:45.800 --> 00:08:48.842]  The Biden administration will move in and regulate crypto after this.
[00:08:48.882 --> 00:08:50.484]  Doesn't matter the blatant crimes that were committed.
[00:08:50.524 --> 00:08:50.944]  Won't matter.
[00:08:51.484 --> 00:08:51.825]  Won't matter.
[00:08:52.685 --> 00:09:02.733]  It won't matter that seemingly beyond against all odds, the Democrats are going to pull off not just taking the Senate, now it looks like they're going to take the House as well.
[00:09:04.554 --> 00:09:08.438]  Nobody could believe it, but they're going to do it right in front of your face and the media is going to go along for the ride.
[00:09:10.739 --> 00:09:11.900]  Do not feel down.
[00:09:12.160 --> 00:09:13.181]  Do not feel out.
[00:09:15.123 --> 00:09:16.424]  It was always going to get to this point.
[00:09:17.779 --> 00:09:29.647]  So we have to go through this test, we have to go through this trial, and only through it will we actually get a true result of do we deserve to be free anymore?
[00:09:30.448 --> 00:09:33.109]  Does this country deserve to be free and have prosperity?
[00:09:33.149 --> 00:09:43.763]   Because look, There's going to be a period of time where things are going to get so bad in the inner cities, some of areas they already are, and you're going to have the choice.
[00:09:44.103 --> 00:10:02.124]   You can abandon the life that you know, whether it's a metropolitan lifestyle or even the suburban lifestyle, and you can abandon that and just get out into the woods, go out into the country, live in a very population scarce area and you'll be able to stave off a lot of this.
[00:10:02.124 --> 00:10:07.083]   You'll be able to get property and house at a reasonable price and avoid most of the crime
[00:10:07.083 --> 00:10:10.124]   and the violence and even drown out most of the political noise.
[00:10:10.124 --> 00:10:17.923]   And it'll kind of be like the second wave of non-religious, if you will, wave of the
[00:10:17.923 --> 00:10:25.124]   Amish people who saw this whole thing coming from a light years away and just decided to
[00:10:25.124 --> 00:10:28.984]   just completely check out of it permanently, but you notice that the government's coming
[00:10:28.984 --> 00:10:29.764]  after them too.
[00:10:29.764 --> 00:10:39.764]  [BLANK_AUDIO]
[00:10:31.032 --> 00:10:39.916]  So there'll always be ways for you to avoid this, but I don't think that this is a time for us to be depressed and upset because we haven't learned anything new here.
[00:10:40.676 --> 00:10:46.359]  If anything, we should be feeling good that people are finally starting to see how corrupt it is.
[00:10:47.501 --> 00:10:51.142]  And now we get to see who's willing to fight it and who's not.
[00:10:52.382 --> 00:10:53.243]  So here's what's coming up.
[00:10:53.303 --> 00:10:55.683]  I got all the latest election news that I'm going to get into.
[00:10:55.723 --> 00:10:59.544]  We've got all the FTX news with Mike Adams that we're going to be getting into.
[00:11:00.485 --> 00:11:01.825]  I've got some other news as well.
[00:11:01.885 --> 00:11:04.006]  Some other video clips we'll be getting into.
[00:11:05.506 --> 00:11:07.387]  But we'll play the clip.
[00:11:09.807 --> 00:11:12.428]  And it's I don't even know how to really explain it.
[00:11:14.669 --> 00:11:19.714]   Other than It just shows how pathetic the American media is.
[00:11:20.995 --> 00:11:22.116]  And that's truly what it is.
[00:11:22.156 --> 00:11:24.038]  The American media is a joke.
[00:11:24.979 --> 00:11:26.560]  It is a joke.
[00:11:26.841 --> 00:11:32.546]  99% of the American media is in a complete state of either trance or propaganda.
[00:11:34.127 --> 00:11:36.790]  And therefore, most of the American people are as well.
[00:11:36.850 --> 00:11:38.872]  And that video they just put on the screen is an example.
[00:11:39.892 --> 00:11:46.077]  Where this reporter went out to polling places in Pennsylvania and asked, oh, what are you excited about?
[00:11:46.597 --> 00:11:52.242]  And you listen to these Democrat voters, and again, I'm not trying to be mean, but they're literally mentally retarded, folks.
[00:11:53.396 --> 00:12:06.939]  And so you have people that are completely mentally ill, completely brainwashed, completely propagandized, wouldn't know the difference from their ass in a hole in the ground, and they go vote Democrat.
[00:12:06.959 --> 00:12:08.759]  And they say how proud they are to vote Democrat.
[00:12:08.959 --> 00:12:12.200]  They don't know any issues, they don't watch any debates, they have no clue what's going on.
[00:12:12.680 --> 00:12:17.661]  They've just been force-fed the propaganda, Republicans bad, and so you better vote Democrat or else.
[00:12:18.921 --> 00:12:19.301]  And they did!
[00:12:20.498 --> 00:12:20.978]  And they did.
[00:12:21.439 --> 00:12:37.509]  And they'll watch their entire world collapse around them, and they'll scratch their heads as things get worse, and grocery prices go up, and energy prices go up, and gas prices go up, and availability goes down, and the supply chain crisis truly hits, which I think we're on the brink of now after the midterms.
[00:12:37.849 --> 00:12:40.030]  It's been synthetically kind of kept under wraps.
[00:12:40.170 --> 00:12:42.191]  I think it's about to come to the surface now.
[00:12:44.293 --> 00:12:47.495]  And they'll be shocked, and they'll be disoriented, and they won't know what's going on.
[00:12:49.025 --> 00:12:52.148]  But the American people have been through tough times, and we've made it out before.
[00:12:53.869 --> 00:12:56.471]  So we better be praying for God to help us.
[00:12:56.512 --> 00:12:58.353]  We better be praying for God's wisdom.
[00:12:59.414 --> 00:13:01.216]  We better be asking God to light the path.
[00:13:03.377 --> 00:13:06.600]  Because we all see where things are going, and it's not just about this country.
[00:13:06.760 --> 00:13:22.660]   Selfishly, we'd all like to see America go on forever, but it's really the whole planet that's about to go under the corporate Global government with the unending soulless humanless bureaucracy running your life every breath you take.
[00:13:23.120 --> 00:13:25.562]  And I for one would like to avoid that.
[00:13:26.465 --> 00:13:28.707]  That's just where we stand here at InfoWars.
[00:13:28.727 --> 00:13:32.309]  My guess is most people feel that way too, once they understand the issue.
[00:13:32.349 --> 00:13:34.751]  So when we come back, I'm going to cover all the political news.
[00:13:35.071 --> 00:13:36.792]  But folks, remember, they don't even want us on air.
[00:13:36.972 --> 00:13:38.794]  Us being on air is a total victory.
[00:13:39.294 --> 00:13:41.676]  And that's thanks to InfoWarsStore.com.
[00:13:41.716 --> 00:13:43.116]  We don't have big billionaire donors.
[00:13:43.377 --> 00:13:52.079]   We don't have crypto scams like Democrats running FTX to launder millions of dollars back to their party. No, we have you
