[00:00.000 --> 00:22.000]  Infowars, tomorrow's news, today.
[00:22.000 --> 00:38.000]  And it's time for humanity to stand up in the Infowar and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe, you got one!
[00:38.000 --> 01:07.000]  From the front lines of the Information War, it's Alex Jones.
[01:07.000 --> 01:22.000]  FBI agent William Aldenburg, who served as John Durham's lead investigator, is suing Alex Jones because he is traumatized as a result of things said on the show by former guest of the show, Wolfgang Halbig.
[01:22.000 --> 01:35.000]  Alex Jones and his company, these are very powerful people, and I'm not anybody. So someone like me, you just can't defend yourself, you just have to, at some point you have to accept it.
[01:35.000 --> 01:41.000]  He admits that Jones did nothing other than allow a platform for others to lawfully speak.
[01:41.000 --> 01:46.000]  How many times did Jones call you?
[01:46.000 --> 01:49.000]  He didn't call me, sir.
[01:49.000 --> 01:54.000]  Did you ever see this photograph to 89 on Infowars?
[01:54.000 --> 01:57.000]  I didn't know, sir.
[01:57.000 --> 01:59.000]  Do you know whether he ever talked about you on Infowars?
[01:59.000 --> 02:01.000]  I don't know.
[02:01.000 --> 02:06.000]  If Halbig appears as a guest on a talk show, does that make him affiliated with the talk show?
[02:06.000 --> 02:08.000]  To me, it does.
[02:08.000 --> 02:17.000]  The judge, who is noticeably the most emotionally charged in the courtroom, is triggered when Jones' attorney, Norm Pattis, pursues the truth.
[02:17.000 --> 02:23.000]  Who are the powerful people that Mr. Jones has affiliated with?
[02:23.000 --> 02:33.000]  I'm sorry?
[02:33.000 --> 02:40.000]  For example, I don't know who a guy named Joe Rogan is. He's a podcaster, a guy named Joe Rogan.
[02:40.000 --> 02:42.000]  Joe Rogan harassing you, too?
[02:42.000 --> 02:45.000]  No, not at all. No, I'm just saying, in fact, I can answer the question.
[02:45.000 --> 02:48.000]  If he can answer the question, instead he can call off.
[02:48.000 --> 02:51.000]  Just one second, gentlemen.
[02:51.000 --> 02:53.000]  All right, why don't we...
[02:53.000 --> 02:57.000]  No, I now lost the question because...
[02:57.000 --> 02:59.000]  The question was, was Joe Rogan...
[02:59.000 --> 03:00.000]  I'll withdraw and ask another.
[03:00.000 --> 03:01.000]  No, wait a second.
[03:01.000 --> 03:03.000]  No, no, that's all right. So why don't we...
[03:03.000 --> 03:04.000]  I guess he doesn't like the answer.
[03:04.000 --> 03:05.000]  No.
[03:05.000 --> 03:08.000]  All right, so counsel, let's just...
[03:08.000 --> 03:14.000]  Sir, who are the powerful people that Mr. Jones has affiliated with?
[03:14.000 --> 03:16.000]  Well, that was asked and answered. That was Mr. Rogan.
[03:16.000 --> 03:20.000]  No, counsel, sidebar.
[03:20.000 --> 03:23.000]  Patis questions the political nature of the trial.
[03:23.000 --> 03:32.000]  How 15 people waited over five years until 2018 to file lawsuits on the same day and in the same office.
[03:32.000 --> 03:38.000]  But the judge gets noticeably upset because Patis isn't playing along with their kangaroo court
[03:38.000 --> 03:42.000]  and forbids him from mentioning the name Clinton and others.
[03:42.000 --> 03:47.000]  Well, if you did the Hillary Clinton, now we did the Megyn Kelly.
[03:47.000 --> 03:49.000]  Should we address what's coming next?
[03:49.000 --> 03:52.000]  No.
[03:52.000 --> 03:54.000]  Well, I think it might make sense.
