[00:00:16.396 --> 00:00:17.517]  InfoWars.
[00:00:17.517 --> 00:00:18.719]  Tomorrow's news.
[00:00:18.719 --> 00:00:19.059]  Today.
[00:00:55.199 --> 00:00:59.240]  I am tonight announcing my candidacy for President of the United States.
[00:00:59.240 --> 00:00:59.880]  Thank you, Chris.
[00:00:59.880 --> 00:01:00.260]  Thank you.
[00:01:00.260 --> 00:01:00.480]  All of you.
[00:01:34.833 --> 00:01:36.394]  It's Wednesday, November 16, 2022.
[00:01:36.394 --> 00:01:38.675]  I'm your host, Alex Jones.
[00:01:38.675 --> 00:01:40.416]  Obviously a very important broadcast today.
[00:01:40.416 --> 00:01:47.879]  Trump last night announced he is running for president and then gave a lengthy speech.
[00:01:47.879 --> 00:01:48.700]  It's now official.
[00:01:48.700 --> 00:01:53.162]  The Republicans have won the House of Representatives, but narrowly.
[00:01:53.162 --> 00:01:58.104]  Roger Stone's going to be joining us to talk about all of this here in just a few minutes.
[00:01:58.104 --> 00:01:58.805]  Yesterday,
[00:02:00.146 --> 00:02:11.740]  I went on air when it was being announced that Russia had launched a cruise missile at Poland that had blown up a grain silo and killed two people with no evidence.
[00:02:11.740 --> 00:02:17.466]  And I said, and even the fellow running the boom said, we were talking during a break, I said,
[00:02:18.877 --> 00:02:24.802]  I bet, he said, I bet that it's an errant air defense missile.
[00:02:24.802 --> 00:02:37.472]  Because if you know war, you know most cross-border attacks are accidents in a war zone, and the most common is an air defense missile.
[00:02:37.472 --> 00:02:46.039]  Where do you think a giant air defense missile, a SAM missile, a service-to-air missile goes when it misses its target?
[00:02:46.039 --> 00:02:47.601]  Well, it goes somewhere and crashes.
[00:02:49.980 --> 00:02:55.024]  So why on earth, when Russia is trying to de-escalate things, would they attack Poland?
[00:02:55.024 --> 00:02:58.607]  Only fools would take the bait and believe that.
[00:02:58.607 --> 00:03:14.178]  Well, Zelensky came out and said, Russia has attacked us, confirmed it within minutes with no evidence, lied to the world, and called for NATO to attack Russia, and we'd be in World War III right now, probably nuclear war, probably a lot of us dead.
[00:03:14.178 --> 00:03:15.499]  These people are out of control.
[00:03:15.499 --> 00:03:16.280]  They're lies.
[00:03:16.280 --> 00:03:17.681]  They're recklessness.
[00:03:19.673 --> 00:03:20.033]  They do.
[00:03:20.033 --> 00:03:23.516]  So here's CNBC News.
[00:03:23.516 --> 00:03:24.756]  Here's the Associated Press.
[00:03:24.756 --> 00:03:30.801]  NATO chief says Poland blast likely caused by Ukrainian missile but not Ukraine's fault.
[00:03:30.801 --> 00:03:36.685]  Poland, NATO say missile strike wasn't a Russian attack and that was early this morning.
