[00:00:00.000 --> 00:00:20.000]  [Music]
[00:00:20.166 --> 00:00:21.087]  Tomorrow's News.
[00:00:21.167 --> 00:00:35.246]  today.
[00:00:35.625 --> 00:00:42.248]  The Republican Party stood to abolish slavery, and the Democrat Party stood to abolish the Republic.
[00:00:42.849 --> 00:00:54.454]  For years after the Civil War, the Democrat Party created Ku Klux Klan, killed black political leaders, kidnapped heads of families, and leaders of churches and community groups.
[00:00:55.334 --> 00:01:11.027]  In 1870, John Stevens, a Republican state senator who advocated for the rights of African Americans, was murdered in the Caswell County Courthouse by the Ku Klux Klan as part of a terror campaign being carried out by the Democrat Party.
[00:01:11.927 --> 00:01:24.735]  By the end of the century, the Democrat Party helped foster several radical left pro-communist groups, such as the National Labor Union, the Revolutionary Socialist Labor Party, and the Social Democratic Party.
[00:01:25.175 --> 00:01:34.581]  In the 1900s, the Democrat Party's new radical left began killing members of law enforcement and government officials in several major U.S.
[00:01:34.641 --> 00:01:34.961]  cities.
[00:01:35.621 --> 00:01:38.383]  Which culminated in 1920, when U.S.
[00:01:38.423 --> 00:01:45.287]  Attorney General Alexander Mitchell Palmer ordered a series of raids that targeted these leftist organizations.
[00:01:46.148 --> 00:01:52.592]  By the 1940s, the Democrat Party had to go underground with their communist plans to overthrow America.
[00:01:53.192 --> 00:01:54.593]  But this did not last long.
[00:01:55.113 --> 00:02:02.598]  The leftist media soon labeled this pro-American movement as McCarthyism and portrayed it as un-American.
[00:02:03.359 --> 00:02:17.668]  During the early 1970s, with the support of pop culture media, the Democrat Party's Weather Underground started riots, murdered police, and bombed government buildings, including the United States Capitol building.
[00:02:18.608 --> 00:02:35.220]  And today, the Democrat Party's anti-American communist crusade has grown into an unstoppable force with the support of Hollywood, the big banks, corporations, and private think tanks, as well as the majority of the Republican Party.
[00:02:36.121 --> 00:02:50.346]  Today, the Democrat Party's radical BLM and Antifa are able to murder Americans in cold blood and burn down cities while law enforcement defends them and the average American supports them.
[00:02:51.346 --> 00:02:58.930]  What we are witnessing today is the final act of the destruction of individual liberty, natural law, and the Bill of Rights.
[00:02:59.631 --> 00:03:08.976]  And what follows will be a tyranny unlike anything we have ever seen in recorded history, because the average American no longer cares about freedom.
[00:03:09.416 --> 00:03:20.042]  Today's liberal Democrats are all on board with illegal wars for profit, imprisoning their opposition, and exploiting the most innocent among us, our children.
[00:03:20.882 --> 00:03:30.588]  The American people have become fat, drunk, and stupid, with swollen egos incapable of seeing even the most minute flaw in their own character.
[00:03:31.529 --> 00:03:37.372]  The American people have become so dumbed down that all the enemy has to do is lie.
[00:03:37.873 --> 00:03:41.035]  And no matter how radical the lie is, they will believe it.
[00:03:41.895 --> 00:03:44.256]  Some of us would gladly die for freedom.
[00:03:44.796 --> 00:03:46.237]  Thousands already have.
[00:03:46.837 --> 00:03:50.539]  But unfortunately, most of us will do nothing but comply.
[00:03:51.399 --> 00:03:56.521]  The biggest cowards in all of human history can be found today in America.
[00:03:56.961 --> 00:04:01.563]  Because with only the slightest bit of courage, we could turn this all around.
[00:04:02.684 --> 00:04:04.985]  Reporting for InfoWars, this is Greg Reese.
[00:04:06.778 --> 00:04:09.080]  An amazing piece there from Greg Reese.
[00:04:09.100 --> 00:04:11.442]  You can find it, of course, at Band.Video.
[00:04:11.522 --> 00:04:16.385]  Folks, I know I harp on this constantly, but I'm never going to quit.
[00:04:18.307 --> 00:04:20.868]  The Democrat Party was founded as a domestic terror group.
[00:04:21.849 --> 00:04:23.691]  It still exists as such to this day.
[00:04:25.031 --> 00:04:34.999]  And until we recognize that fact and deal with it in the proper manner, the destruction and terror that they bring to this country will not cease to exist.
[00:04:36.713 --> 00:04:52.743]  And we'll look back someday, if the Democrats' destruction of America continues, and we'll live in a third world hellhole, and we'll see the swaller and everything that comes with it, and we'll sit back and we'll look at ourselves, and we won't say, what happened?
[00:04:52.763 --> 00:04:53.504]  How did this happen?
[00:04:54.064 --> 00:04:55.645]  We'll know exactly how it happened.
[00:04:56.988 --> 00:04:59.289]  Because we know exactly how it's happening right now.
[00:04:59.970 --> 00:05:02.971]  With Joe Biden and the rest of the Democrat thieves and criminals.
[00:05:03.711 --> 00:05:10.535]  An honor to be with you on this Tuesday, June 14th, 2022.
[00:05:11.816 --> 00:05:12.536]  Flag day!
[00:05:13.356 --> 00:05:14.597]  No, not your gay flag.
[00:05:14.617 --> 00:05:16.398]  How about the American flag?
[00:05:18.979 --> 00:05:27.995]   As we are just 147 days away from the historic midterms, that almost certainly will determine The fate of the future of this country.
[00:05:28.716 --> 00:05:37.123]  More Democrat Party rule means more destruction, more poverty, more lies, more deception, more war.
[00:05:38.224 --> 00:05:49.573]  Or we can start to reverse that trend by getting a Republican-controlled Congress to try to mitigate the damage being done intentionally right now by the Biden regime.
