[00:00:00.169 --> 00:00:01.450]  Is the pandemic over?
[00:00:02.190 --> 00:00:04.151]  The pandemic is over.
[00:00:04.291 --> 00:00:06.072]  We still have a problem with COVID.
[00:00:06.172 --> 00:00:07.652]  We're still doing a lot of work on it.
[00:00:09.253 --> 00:00:10.453]  But the pandemic is over.
[00:00:10.653 --> 00:00:12.794]  So Joe Biden says the pandemic is over.
[00:00:13.014 --> 00:00:21.298]  So why are we still promoting these vaccines that only have emergency use authorization and haven't even been tested on humans?
[00:00:22.637 --> 00:00:23.597]  Well, that doesn't make sense.
[00:00:23.657 --> 00:00:24.637]  It doesn't have to!
[00:00:24.777 --> 00:00:30.919]  You're in the clown world, run by Biden and Jean-Pierre and Kamala Harris and Democrats.
[00:00:31.299 --> 00:00:33.579]  You know, where men can get pregnant and men are women.
[00:00:34.899 --> 00:00:35.640]  It's the clown world.
[00:00:36.240 --> 00:00:37.020]  We're just living in it.
[00:00:37.820 --> 00:00:45.021]  But that's not the only lies Joe Biden was telling on his 60 Minutes interview.
[00:00:46.002 --> 00:00:47.102]  Oh, the pandemic is over now.
[00:00:46.981 --> 00:00:53.981]  Now it's been over, Jack.
[00:00:53.981 --> 00:00:57.981]  patriots worldwide in defense of human liberty.
[00:00:57.926 --> 00:00:59.926]  It's Alex Jones.
[00:00:59.926 --> 00:01:18.926]  [Music]
[00:01:18.926 --> 00:01:21.980]   InfoWars Tomorrow's News Today.
[00:01:21.980 --> 00:01:29.980]  [Music]
[00:01:29.980 --> 00:01:35.980]   The folks down in Louisiana and Mississippi like to eat their crawdads and their bullfrogs.
[00:01:35.980 --> 00:01:37.980]  And the rest of it is...
[00:01:37.383 --> 00:01:41.545]  And well, sometimes they just throw the whole frog in the boiling pot.
[00:01:41.625 --> 00:01:46.066]  But they learned that if you throw one into boiling water, he'll just jump right out.
[00:01:50.626 --> 00:01:52.047]  He just turned the heat up slow.
[00:01:52.067 --> 00:01:56.248]  He thinks it's a hot tub at first, and then passes out and dies a painless death.
[00:01:56.848 --> 00:01:59.810]  And that's where America and the world is right now.
[00:01:59.850 --> 00:02:04.972]  We're in the middle of the New World Order, Great Reset, takedown of civilization.
[00:02:04.992 --> 00:02:13.795]  The world is not driven forward by big, kind decisions.
[00:02:14.255 --> 00:02:26.684]   The world is driven forward by small action, but If you're left behind, you're facing something far worse, which is to be completely irrelevant.
[00:02:26.504 --> 00:02:32.343]   risk-takeover to force us onto the AI global social credit score cashless
[00:02:32.343 --> 00:02:38.423]   society system. If you're left behind you're facing something far worse which
[00:02:38.423 --> 00:02:42.384]   is to be completely irrelevant. They won't even need you as a serf or as a
[00:02:42.384 --> 00:02:48.183]   slave. Adding to the body a second immune system which is not organic but an
[00:02:48.183 --> 00:02:53.744]   inorganic immune system made up of millions of tiny nano robots
[00:02:53.744 --> 00:02:58.224]   inside your body. What I learned from a source who is a very unique source
[00:02:43.138 --> 00:02:50.498]   are adding to the body a second immune system, which is not organic, but an inorganic immune system
[00:02:50.498 --> 00:02:55.138]  made up of millions of tiny nanorobots inside your body.
[00:02:55.138 --> 00:02:58.418]   What I learned from a source, who is a very unique source,
[00:02:58.418 --> 00:03:05.298]   having infiltrated the globalist cult at the UN level, is that he was in high-level meetings
[00:03:05.298 --> 00:03:10.138]   that required a number of security clearances, where they actually discussed the plan
[00:03:10.138 --> 00:03:15.778]   to bring 100 million people into the United States in order to pave the way for a regional government
[00:03:15.778 --> 00:03:18.257]  of US, Canada, and Mexico.
[00:03:18.257 --> 00:03:23.138]   And that was to bring in 100 million people from Latin American countries,
[00:03:23.138 --> 00:03:28.217]   together with a strategy of creating these cartels, making life unbearable.
[00:03:28.217 --> 00:03:32.817]   It's called a push-pull strategy, where they push all these people out of these countries,
[00:03:32.817 --> 00:03:37.737]   where it's unbearable living like this, and they pull them into the United States.
[00:03:37.891 --> 00:03:54.735]   And then once you reach that critical number of over 100 million in this invasion, They will then propose that, well, for your family and friends back home who need, you know, you need ease of travel, they need a better life, and so on and so on, and we can do all this better with a regional government than we can with a U.S.
[00:03:54.795 --> 00:03:55.196]  government.
[00:03:55.503 --> 00:03:59.983]   and they will have enough critical mass inside the country in order to effect that policy.
[00:03:59.983 --> 00:04:02.943]  That's the globalist plan that we're working towards.
[00:04:02.943 --> 00:04:08.223]   Now being aware of this is the key to winning and whether you're in Sweden or whether you're in
[00:04:08.223 --> 00:04:12.943]   Italy or whether you're in Canada, it's spreading all over the planet. So the globalists are in
[00:04:12.943 --> 00:04:18.622]   trouble and this fight is literally in a tie position right now. If you think collapsing
[00:04:18.622 --> 00:04:22.701]   borders is bad, if you think all the terrible things in wars and police
[00:04:22.591 --> 00:04:27.871]   state political purges and censorship and cashless societies and gun purchases being
[00:04:27.871 --> 00:04:32.510]   tracked by the credit card companies illegally and putting you in a database.
[00:04:32.510 --> 00:04:37.350]  If you think that's bad, you ain't seen nothing yet.
[00:04:37.350 --> 00:04:44.231]   Last night I talked about my involvement in the development of a little microchip implant.
[00:04:44.231 --> 00:04:48.950]  And many people have already taken that microchip implant.
[00:04:49.917 --> 00:04:52.839]  The news media has talked about it being a good thing.
[00:04:53.800 --> 00:04:56.761]  And they will tell you that it's a good thing to have this.
[00:04:57.702 --> 00:04:59.783]  Your children won't ever get lost again.
[00:05:00.444 --> 00:05:03.606]  They won't be able to give you the wrong medication.
[00:05:03.786 --> 00:05:05.747]  You won't be able to lose this thing.
[00:05:07.330 --> 00:05:10.853]  And so the plan is underway that you will receive it.
[00:05:12.074 --> 00:05:18.820]  I would be remiss if I came to you and didn't tell you that God's word says, don't you take it.
[00:05:19.160 --> 00:05:21.802]  What matters for our children is we win this fight.
[00:05:22.403 --> 00:05:23.724]  What happens to us doesn't matter.
[00:05:23.844 --> 00:05:30.249]  And in that challenge, in that conflict, we will find the road to God.
[00:05:30.269 --> 00:05:36.074]  You've got to have the will.
[00:05:38.319 --> 00:05:41.042]  Step the truth and buck the system and the group collective.
[00:05:42.103 --> 00:05:45.846]  Do that, and you'll earn your way to the next level.
[00:05:47.028 --> 00:05:49.028]  This is the InfoWar.
[00:05:49.028 --> 00:06:03.028]  [Music]
[00:06:03.028 --> 00:06:12.387]   And as always, an honor and pleasure to be here with you, hosting the Alex Jones Show on this Monday, September 19th,
