[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[00:00:03.721 --> 00:00:04.642]  under martial law.
[00:00:05.683 --> 00:00:11.046]  The federal government has been completely captured by agents of the Great Reset, by agents of the Bilderberg Group.
[00:00:12.106 --> 00:00:17.669]  And now they're making their biomedical move to sterilize, poison, and kill large swaths of the population.
[00:00:19.651 --> 00:00:23.353]  And of course, those of us in opposition to this are going to be hunted down and killed.
[00:00:25.994 --> 00:00:29.897]  And the people helping carry all this out will be destroyed as well by their masters, not by us.
[00:00:30.834 --> 00:00:31.594]  This is judgment.
[00:00:33.274 --> 00:00:35.075]  This is doomsday for freedom.
[00:00:36.895 --> 00:00:55.459]  Unless we get a reprieve like Nineveh, unless we wake up to this nightmare and decide to not be evil anymore, and to face the fact that they tell us all day the white people are bad, or the black people are bad, or the Christians are bad, or this group's bad, that group's bad, but never the Democrats.
[00:00:57.867 --> 00:01:02.129]  They tell us the veterans are bad, the police are bad, but never the people at the top, right?
[00:01:02.149 --> 00:01:03.089]  They're the good guys, right?
[00:01:03.390 --> 00:01:10.390]   From the front lines of the information war, it's Alex Jones.
[00:01:10.390 --> 00:01:16.390]  It's Friday.
[00:01:16.835 --> 00:01:17.536]  The year is 2022.
[00:01:17.596 --> 00:01:22.938]  We are in the last hours of our Republic, unless we awaken now.
[00:01:27.469 --> 00:01:28.229]  InfoWars.
[00:01:28.590 --> 00:01:30.310]  Tomorrow's news today.
[00:01:32.732 --> 00:01:42.436]  If you ignore all the huffing and puffing on TV and just look at the video evidence, it's been clear for a while now that the Department of Justice probably had some role in the events of January 6th.
[00:01:42.476 --> 00:01:43.137]  It's obvious.
[00:01:43.697 --> 00:01:46.658]  After hearings on Capitol Hill today, it became even clearer.
[00:01:47.419 --> 00:01:54.302]  Watch Senator Ted Cruz of Texas ask an FBI official called Jill Sanborn point-blank whether the FBI was involved.
[00:01:55.660 --> 00:02:01.823]  How many FBI agents or confidential informants actively participated in the events of January 6th?
[00:02:05.485 --> 00:02:10.288]  Sir, I'm sure you can appreciate that I can't go into the specifics of sources and methods.
[00:02:11.008 --> 00:02:17.112]  Did any FBI agents or confidential informants actively participate in the events of January 6th?
[00:02:17.132 --> 00:02:17.672]  Yes or no?
[00:02:17.732 --> 00:02:18.773]  Sir, I can't answer that.
[00:02:21.417 --> 00:02:26.559]  Did any FBI agents or confidential informants commit crimes of violence on January 6th?
[00:02:27.259 --> 00:02:27.519]  6th.
[00:02:28.599 --> 00:02:29.459]  I can't answer that, sir.
[00:02:30.320 --> 00:02:38.462]  Did any FBI agents or FBI informants actively encourage and incite crimes of violence on January 6th?
[00:02:39.142 --> 00:02:39.422]  6th.
[00:02:39.963 --> 00:02:40.983]  Sir, I can't answer that.
[00:02:42.887 --> 00:02:43.567]  Did you hear that?
[00:02:44.508 --> 00:02:51.230]  Cruz asked, quote, did any FBI agents or confidential informants commit crimes of violence on January 6th?
[00:02:51.750 --> 00:02:52.451]  That's what he asked.
[00:02:52.491 --> 00:02:54.211]  And the obvious answer is, are you kidding?
[00:02:54.251 --> 00:02:54.732]  Come on now.
[00:02:55.232 --> 00:02:58.393]  Of course the FBI isn't secretly committing crimes of violence.
[00:02:58.433 --> 00:02:59.253]  That's insane.
[00:02:59.714 --> 00:03:01.214]  We're a federal law enforcement agency.
[00:03:01.234 --> 00:03:02.395]  We're not the Tauntaun Makut.
[00:03:02.655 --> 00:03:03.575]  Next question, please.
[00:03:04.635 --> 00:03:07.937]  That's what Jill Sanborn should have said, but that is not what she said.
[00:03:07.997 --> 00:03:10.278]  Instead, she replied, quote, I can't answer that.
[00:03:11.547 --> 00:03:16.330]  But of course Jill Sanborn can answer that, and she should be forced to answer that immediately.
[00:03:16.370 --> 00:03:18.171]  No sources or methods would be revealed.
[00:03:18.191 --> 00:03:19.072]  Just answer the question.
[00:03:20.113 --> 00:03:21.374]  Did they participate in violence or not?
[00:03:21.414 --> 00:03:22.174]  Why is that hard?
[00:03:22.975 --> 00:03:23.695]  Tells you a lot.
[00:03:24.536 --> 00:03:29.999]  At another point, Senator Tom Cotton of Arkansas asked the Assistant Attorney General Matt Olson about Ray Epps.
[00:03:30.220 --> 00:03:36.704]  Epps is the man you've seen in multiple videos encouraging the crowd to storm the Capitol, but somehow has never been charged himself.
[00:03:37.164 --> 00:03:37.925]  Here's that exchange.
[00:03:38.988 --> 00:03:43.590]  Okay, so this is, it gets back to what I meant earlier about asking if you're prepared for this hearing.
[00:03:44.911 --> 00:03:47.833]  You're the Assistant Attorney General for National Security.
[00:03:48.433 --> 00:03:49.834]  You run the National Security Division.
[00:03:50.014 --> 00:03:54.997]  The department has said that these January 6th prosecutions are one of their highest priorities.
[00:03:55.637 --> 00:03:59.479]  This is a man who was on the most wanted page for six months.
[00:04:01.100 --> 00:04:06.503]  Do you really, do you really expect us to believe that you've never heard of the name Ray Epps, you don't know anything about him?
[00:04:09.713 --> 00:04:13.279]  I simply don't have any information at all, Senator, about that individual.
[00:04:14.670 --> 00:04:17.352]  In other words, they really expect you to believe that.
[00:04:17.392 --> 00:04:20.114]  Quote, I simply don't have any information at all on that individual.
[00:04:20.134 --> 00:04:24.817]  So the DOJ knows nothing about Ray Epps, the guy on the most wanted list.
[00:04:24.877 --> 00:04:25.097]  Right.
[00:04:25.978 --> 00:04:27.218]  That's absurdly false.
[00:04:27.298 --> 00:04:42.168]  And as if to underscore how absurdly false it is, within a short time, Democrats on the January 6th committee released a statement claiming that actually they'd already interviewed Ray Epps and anyone who still has questions about his behavior on January 5th or 6th is a dangerous conspiracy theorist.
[00:04:42.228 --> 00:04:59.557]   Quote, Mr. Epps informed us, the committee said in a statement today, that he was not working with, employed by, or acting in the direction of any law enforcement agency on January 5th or 6th, or at any other time, and that he has never been an informant for the FBI or any other law enforcement agency, end quote.
[00:05:00.517 --> 00:05:00.777]  Wow!
[00:05:01.277 --> 00:05:01.778]  Bombshell!
[00:05:01.798 --> 00:05:03.078]  Looks like case closed.
[00:05:03.118 --> 00:05:05.419]  We can forget about Ray Epps and move on.
[00:05:05.619 --> 00:05:06.520]  Sorry we asked.
[00:05:07.901 --> 00:05:08.861]  Oh, but wait a second.
[00:05:09.482 --> 00:05:13.663]  When exactly and under what circumstances did the committee talk to Ray Epps?
[00:05:14.484 --> 00:05:17.425]  Supposedly, this interview was conducted in secret last November.
[00:05:17.665 --> 00:05:24.787]  If that is true, we don't know that it is, but let's say it is, then why did the committee wait months to tell us today in a tweet?
[00:05:25.508 --> 00:05:30.850]  When the committee got its hands on Mark Meadows' text messages, we seem to remember they leaked those to the media within hours.
[00:05:32.096 --> 00:05:34.978]  And by the way, was this Ray Epps interview conducted under oath?
[00:05:35.738 --> 00:05:39.941]  Did Democrats subpoena his electronic communications as they did with Meadows and so many others?
[00:05:40.662 --> 00:05:47.046]  Will the information Epps revealed to the committee be available to the many January 6th defendants who are now awaiting trial?
[00:05:47.586 --> 00:05:50.768]  Can their lawyers see a transcript of this interview?
[00:05:51.089 --> 00:05:53.750]  Can we see a transcript of this interview?
[00:05:54.331 --> 00:05:55.552]  If not, why not?
[00:05:56.519 --> 00:05:58.501]  And while we're at it, here's something else that's confusing.
[00:05:59.161 --> 00:06:01.063]  Epps is a long-time right-wing activist.
[00:06:01.543 --> 00:06:03.725]  As you know, he urged... Alright, folks.
[00:06:03.986 --> 00:06:04.646]  We'll be right back.
