[00:00.000 --> 00:21.160]  The
[00:21.160 --> 00:28.520]  spokesperson for evil has come out and said that their attempted world, continual, never-ending
[00:28.520 --> 00:37.760]  lockdown and forced injection failed.
[00:37.760 --> 00:43.520]  They put out a press release yesterday, they put out a podcast with Klaus Schwab and others,
[00:43.520 --> 00:50.320]  and they have declared their number one enemy, Info Wars, and have said that they've hired
[00:50.320 --> 00:58.720]  a hundred and ten thousand operatives that they called Information Warriors.
[00:58.720 --> 01:03.840]  Where have we heard that term before, the Info Warriors, to counter we the people?
[01:03.840 --> 01:12.560]  I mean, man, I keep trying to explain to the listeners, they're really scared of us, not
[01:12.560 --> 01:21.640]  just me, but the fact that we've got the Death Star plans.
[01:21.640 --> 01:26.960]  And if people pay attention, folks will know the future and out of counter what's about
[01:26.960 --> 01:30.200]  to go down, and that it's game over.
[01:30.200 --> 01:38.240]  And they are so panicked that we know their exact plans from deep research and total focus,
[01:38.240 --> 01:43.600]  and that if Congress and legislators and other leaders, like Bolsonaro, run with the ball,
[01:43.600 --> 01:54.960]  it's game over, Klaus Schwab's going to prison, like his grandfather, it's Nuremberg 2.0.
[01:54.960 --> 01:58.160]  But if we don't expose them, they're going to collapse civilization around us and pose
[01:58.160 --> 02:00.280]  us as favors.
[02:00.280 --> 02:06.640]  How honored are you as the Army of Info Wars to know that you're in direct conflict and
[02:06.640 --> 02:09.560]  information warfare with Klaus Schwab, the New World Order?
[02:09.560 --> 02:12.200]  Now do you understand why I say share the articles and videos?
[02:12.200 --> 02:16.560]  Now do you understand why I say magnify what we're doing?
[02:16.560 --> 02:20.520]  Because I don't want to be the best in the fight, because I'm not that good.
[02:20.520 --> 02:21.520]  I want to stop these people.
[02:21.520 --> 02:26.240]  I want to see other leaders like Tucker Carlson, Bolsonaro, Joe Rogan, countless others stand
[02:26.240 --> 02:27.640]  up and they're starting to.
[02:27.640 --> 02:34.400]  But you know what, the enemy recognizes us and me as the number one enemy of their New
[02:34.400 --> 02:46.160]  World Order.
[02:46.160 --> 02:51.040]  Alex Jones here issuing an emergency warning to President Trump.
[02:51.040 --> 02:57.680]  Not a warning out of any desire to hurt you, President Trump, but to save your important
[02:57.680 --> 03:04.000]  legacy and hopefully ensure you can get back into the White House coming up in 2024.
[03:04.000 --> 03:05.760]  We know the election was stolen.
[03:05.760 --> 03:09.480]  We know the deep stage trying to set you up any way they can.
[03:09.480 --> 03:15.280]  We understand that you are a lion surrounded by hyenas, but the number one issue that is
[03:15.280 --> 03:20.200]  going to end up biting you in the ass like nothing else is the experimental shot that
[03:20.200 --> 03:26.800]  Fauci and Bill Gates and Berks and the rest of them convinced you would actually save
[03:26.800 --> 03:30.840]  millions of lives and get the economy going when they had brought out their lockdowns.
[03:30.840 --> 03:32.440]  I know why you did it.
[03:32.440 --> 03:36.000]  You've done so many other great things for this nation and I admire you and I appreciate
[03:36.000 --> 03:38.760]  you and I want to support you for president.
[03:38.760 --> 03:43.400]  But Ron DeSantis is coming out and admitting that the vaccines don't work because now the
[03:43.400 --> 03:49.800]  CDC and others have been forced to admit that even as now even the CDC is backhandedly
[03:49.800 --> 03:54.640]  acknowledging that the shots aren't preventing people from getting infected.
[03:54.640 --> 04:00.600]  We have Deborah Berks coming out and saying she knew the COVID vaccine wouldn't protect.
[04:00.600 --> 04:06.160]  We have Walensky, the current head of the CDC coming out and saying that they were wrong
