[00:00:00.000 --> 00:00:03.359]  [MUSIC PLAYING]
[00:00:03.359 --> 00:00:11.039]   This equation has four factors, a little bit of multiplication.
[00:00:10.347 --> 00:00:13.351]  So you've got a thing on the left, CO2, that you want to get to zero.
[00:00:14.170 --> 00:00:20.929]   And that's going to be based on the number of people, the services each person's using on average,
[00:00:20.929 --> 00:00:28.131]   the energy on average for each service, and the CO2 being put out per unit of energy.
[00:00:28.131 --> 00:00:33.451]   So let's look at each one of these and see how we can get this down to zero.
[00:00:33.451 --> 00:00:37.650]   Probably one of these numbers is going to have to get pretty near to zero.
[00:00:37.650 --> 00:00:40.131]  That's fact from high school algebra.
[00:00:40.131 --> 00:00:42.290]  But let's take a look.
[00:00:42.290 --> 00:00:44.771]  First we've got population.
[00:00:44.570 --> 00:00:46.811]  The world today has 6.8 billion people.
[00:00:47.311 --> 00:00:48.911]  That's headed up to about 9 billion.
[00:00:49.512 --> 00:00:57.855]  Now, if we do a really great job on new vaccines, healthcare, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[00:00:59.615 --> 00:01:07.964]  Many believed that Bill Gates somehow misspoke when he attributed successful depopulation to the vaccines.
[00:01:08.624 --> 00:01:10.426]  But it's now evident that he didn't.
[00:01:11.287 --> 00:01:15.030]  He was being very clear about the intentions of the globalist agenda.
[00:01:15.050 --> 00:01:16.792]  Kill 99.99% of all humans.
[00:01:21.196 --> 00:01:25.500]  According to these psychopaths, this is how we will save the planet.
[00:01:25.920 --> 00:01:32.945]  And they have convinced an overwhelming amount of the world's population into accepting their agenda and pushing for it.
[00:01:33.566 --> 00:01:41.492]  People who believe that humans need to be aborted and believe the human race needs to be culled into a small compliant herd.
[00:01:41.972 --> 00:01:49.838]  People that are okay with billions of people starving, so long as the screens on their devices tell them it's the right thing to do.
[00:01:51.319 --> 00:01:53.661]  But not everyone has gone insane.
[00:01:54.621 --> 00:01:57.223]  Some still have a survival instinct.
