[00:00:19.662 --> 00:00:21.582]  Welcome to the InfoWars Nightly News.
[00:00:21.622 --> 00:00:22.743]  It is Tuesday, November 26, 2013.
[00:00:24.223 --> 00:00:26.224]  I'm your host, Leigh Ann McAdoo.
[00:00:26.524 --> 00:00:27.704]  Here's a look at what's coming up tonight.
[00:00:29.924 --> 00:00:34.426]  Tonight, the policy to legally steal your guns.
[00:00:36.126 --> 00:00:39.547]  Then, is it time to embrace weaponized drones?
[00:00:41.067 --> 00:00:44.308]  And... I think that Alex Jones is a lunatic.
[00:00:44.788 --> 00:00:47.889]  That's next on the InfoWars Nightly News.
[00:00:59.449 --> 00:01:03.850]  An anti-freedom policy has been spreading across the United States police departments.
[00:01:04.290 --> 00:01:07.371]  It is the legalized theft of citizens' guns.
[00:01:07.831 --> 00:01:09.811]  Now, I'm not talking about forfeiture laws.
[00:01:10.152 --> 00:01:15.413]  This policy is to impound guns, and in extreme cases, all the guns that officers come across.
[00:01:15.973 --> 00:01:23.397]  Whether they are involved in any crime or not, then they refuse to return the guns until a judge issues an order to return them.
[00:01:23.877 --> 00:01:31.781]  As the attorney fees needed to obtain a court order can easily be ten times what the gun is worth, most people do not even bother.
[00:01:32.813 --> 00:01:34.975]  So joining me in the studio is Jakari Jackson.
[00:01:35.475 --> 00:01:37.216]  Jakari, they are seizing guns.
[00:01:37.276 --> 00:01:38.657]  There's no crime involved.
[00:01:38.717 --> 00:01:40.619]  They don't have any rhyme or reason for doing it.
[00:01:40.839 --> 00:01:41.940]  It's theft.
[00:01:42.340 --> 00:01:43.141]  This is ludicrous.
[00:01:43.181 --> 00:01:44.922]  Well, they have a reason to do this, Leanne.
[00:01:44.962 --> 00:01:51.347]  It's because they want your guns, even though they say, we don't want your guns, just like Anthony Gucciardi and Alex experienced down at the Alamo.
[00:01:51.647 --> 00:01:52.408]  We don't want your guns.
[00:01:52.608 --> 00:01:55.830]  It says on this paper you want to take all of our assault rifles away.
[00:01:55.850 --> 00:01:58.152]  Well, we don't really consider an assault rifle to be a gun.
[00:01:58.412 --> 00:02:02.976]  We don't consider anything that you want for self-defense to be a gun, but we'll touch on that in just one moment.
[00:02:03.176 --> 00:02:09.561]  Yes, the article that you're referencing from Ammoland.com, headline legalized gun, excuse me, legalized theft of guns.
[00:02:09.861 --> 00:02:11.923]  And this isn't just something that's going on in California.
[00:02:11.943 --> 00:02:13.304]  We know it's been going on there for a while.
[00:02:13.584 --> 00:02:20.750]  It's also Ohio, Arizona, Wisconsin, where the police show up, whoever the repo agents may be, and they have to come and seize your guns.
[00:02:20.790 --> 00:02:27.154]  And earlier this year, Bloomberg put out an article headlined, California's gun repo men have a nerve-wracking job.
[00:02:27.455 --> 00:02:36.081]  And Leanne, what this article is about, the guys who have to go and take these guns, and if you read it, it's written in such a way, oh, these poor guys, these brave souls who have to go and confiscate these guns.
[00:02:36.401 --> 00:02:36.942]  Confiscate?
[00:02:37.282 --> 00:02:42.623]  I thought nobody was trying to take the guns, just like they did during Hurricane Katrina, but that's neither here nor there.
[00:02:42.963 --> 00:02:53.126]  But they say, you know, some of these guys have mental issues, some of these guys have domestic abuse issues, some of these guys are convicted felons, even though I don't think that all convicted felons should necessarily have their guns taken.
[00:02:53.146 --> 00:02:59.367]  You got guys, your minor league drug offenders, guys who write bogus checks, now they're convicted felons and they can't protect themselves.
[00:02:59.647 --> 00:03:06.649]  But they say that because some of these guys have these various issues, now they have the right to go and confiscate guns from pretty much anybody.
[00:03:06.969 --> 00:03:09.790]  They see you cleaning your gun in your garage, now they have to send a SWAT team.
[00:03:10.210 --> 00:03:15.752]  Or, you know, somebody takes a gun out, you know, in their apartment parking lot, walking to their car, now they shut down the schools.
[00:03:15.792 --> 00:03:17.353]  They did that here in the city of Austin.
[00:03:17.373 --> 00:03:21.375]  You know, some guy was just walking to his car, you know, duck season or whatnot, and now they've got to shut down the schools.
[00:03:21.755 --> 00:03:32.139]  It's going on, they want your guns, it's a bunch of bull, and they keep acting like, no, we're not, we don't want to take your guns away, we just want to take 150 plus guns away off the streets, die on Feinstein.
[00:03:32.359 --> 00:03:35.320]  They just want to say that you can't have X number of bullets in your magazine.
[00:03:35.640 --> 00:03:36.040]  I think so.
[00:03:50.259 --> 00:04:00.984]  Right, well and it's, they saw that everyone was so upset, oh you know you're not going to violate our second amendment, well now they're just going to bypass that and violate your fourth amendment to be protected from unlawful search and seizure.
[00:04:01.004 --> 00:04:17.172]  Yeah, and that's the thing that people need to realize, like we had good guys, constitutional sheriffs like Nick Finch down in Florida, he said I don't like all these BS gun grabbing laws here in my county, he threw out the charges on the guy, then they took him to court, Sheriff Nick Finch, he beat the rap, he beat the ride, and I'm very happy that he did that.
[00:04:17.472 --> 00:04:19.333]  And not just that, because they say that
[00:04:19.793 --> 00:04:20.053]  I don't
[00:04:39.259 --> 00:04:41.942]  Guns that really don't have numerical value.
[00:04:41.982 --> 00:04:43.284]  They're sentimental guns.
[00:04:43.304 --> 00:04:44.245]  They're custom-made guns.
[00:04:44.285 --> 00:04:48.450]  They're guns they used to go hunting with their grandpa and their granddad and their mom went out fishing with them.
[00:04:48.510 --> 00:04:50.512]  These are things that belong in their family.
[00:04:50.852 --> 00:04:54.096]  Now they have to go ask permission of the state to have their own property back.
[00:04:54.116 --> 00:04:54.757]  It's a bunch of bull.
[00:04:55.242 --> 00:04:58.303]  Right, and it's not even a law, they just say it's our policy.
[00:04:58.623 --> 00:05:02.565]  It's our policy that you can't leave today.
[00:05:02.685 --> 00:05:09.088]  It's our policy that we'll show up and tase your kid in the classroom, he falls, he busts his head, and now he's still potentially facing charges.
[00:05:09.368 --> 00:05:10.148]  That's their policy.
