[00:00:21.767 --> 00:00:23.028]  It's Tuesday, August 27.
[00:00:23.609 --> 00:00:24.950]  I'm Paul Joseph Watson.
[00:00:25.050 --> 00:00:27.011]  This is InfoWars Nightly News.
[00:00:29.113 --> 00:00:35.378]  Tonight, Americans say a war with Syria would be the most unpopular conflict ever.
[00:00:36.018 --> 00:00:41.643]  Then, the United States attempts to sabotage the UN chemical weapons investigation.
[00:00:42.644 --> 00:00:45.366]  And, can weather be controlled using lasers?
[00:00:46.086 --> 00:00:48.909]  That's next on the InfoWars Nightly News.
[00:00:53.138 --> 00:00:56.259]  You know what, you guys are a bunch of play soldiers and I've had it with you!
[00:00:56.459 --> 00:01:04.382]  Top story tonight, as the war drums grow louder, an attack on Syria would be the most unpopular war ever.
[00:01:04.643 --> 00:01:06.203]  This is up on Infowars.com.
[00:01:06.603 --> 00:01:17.167]  Support for an attack on Syria amongst Americans is more than three times lower than support for US involvement in Vietnam, at the very lowest ebb of the Vietnam War.
[00:01:17.468 --> 00:01:20.829]  Illustrating how universally unpopular such a move would be,
[00:01:21.349 --> 00:01:27.710]  Despite the media claiming Obama would, quote, lose credibility if he does not launch a military assault.
[00:01:28.370 --> 00:01:45.054]  So, we've got chicken hawks like Lieberman, McCain more recently, and the rest of the corporate press floating this talking point that Obama has to follow through on his redline rhetoric in order to save face, to restore his credibility.
[00:01:45.987 --> 00:01:48.488]  The question is to restore his credibility with whom?
[00:01:48.888 --> 00:01:51.369]  Because it's certainly not the American people.
[00:01:51.870 --> 00:01:57.952]  A Reuters poll shows a mere 9% of Americans support an attack on Syria.
[00:01:58.773 --> 00:02:07.957]  The war in Vietnam was three times more popular at its most dire point in history in comparison to this planned assault on Syria.
[00:02:09.117 --> 00:02:12.859]  And as the Washington blog highlights in another article that we've got on InfoWars.com,
[00:02:13.900 --> 00:02:34.931]  Other things that Americans find more appealing than attacking Syria include North Korea, cockroaches, lice, root canals, colonoscopies, traffic jams, used car salesmen, Genghis Khan, communism, BP during the Gulf oil spill, Nixon during Watergate, or King George during the American Revolution.
[00:02:35.391 --> 00:02:38.753]  All more popular amongst Americans than this planned attack on Syria.
[00:02:39.548 --> 00:02:45.794]  So, does the Obama administration really care that virtually no one supports their imminent attack on Syria?
[00:02:46.255 --> 00:02:54.823]  Well, no, because they're merely doing the bidding of the 12-year-plus military-industrial-complex agenda to target Syria.
[00:02:55.023 --> 00:03:02.411]  And on that note, listen to what Wesley Clark had to say about what he was told by a Pentagon official in the weeks after 9-11.
[00:03:03.812 --> 00:03:05.933]  And by that time, we were bombing in Afghanistan.
[00:03:05.973 --> 00:03:07.573]  I said, are we still going to war with Iraq?
[00:03:07.613 --> 00:03:09.013]  And he said, oh, it's worse than that.
[00:03:09.554 --> 00:03:17.276]  He said, he reached over on his desk, he picked up a piece of paper, he said, I just, he said, I just got this down from upstairs from the Secretary of Defense's office today.
[00:03:17.316 --> 00:03:29.739]  And he said, this is a memo that describes how we're going to take out seven countries in five years, starting with Iraq and then Syria, Lebanon, Libya, Somalia, Sudan, and finishing off Iran.
[00:03:31.024 --> 00:03:34.405]  So this is about taking out each rogue nation, i.e.
[00:03:34.565 --> 00:03:43.228]  anyone who doesn't comply with the banker-military-industrial-complex-Monsanto-Goldman-Sachs rule, one by one.
[00:03:43.508 --> 00:03:50.650]  And Syria is next on the chopping block along the path to Persia and ultimately the attack on Iran.
[00:03:51.630 --> 00:03:55.453]  Next up, Syria, another Western war crime in the making.
[00:03:55.893 --> 00:04:03.198]  This is by Paul Craig Roberts, who of course is a regular guest, former Assistant Secretary of the Treasury in the Reagan administration.
[00:04:03.798 --> 00:04:13.485]  And you've got to read the whole article because in it he completely tears apart the notion that Washington has any credibility whatsoever on the issue of chemical weapons.
[00:04:14.165 --> 00:04:14.906]  Recall that it was
[00:04:15.546 --> 00:04:26.093]  The United States, who helped Saddam Hussein carry out his chemical weapons attack against the Iranians in the 80s, of course recently released CIA documents confirmed that.
[00:04:26.753 --> 00:04:34.879]  But that hasn't stopped the likes of John Kerry and today Jay Carney lecturing the whole world about the threat posed by chemical weapons.
[00:04:35.519 --> 00:04:44.227]  So Roberts basically echoes the warnings of others who have slammed the lunacy of this whole intervention and how it could very easily turn into World War 3.
[00:04:44.607 --> 00:04:46.229]  Here's a passage from the article.
[00:04:46.769 --> 00:04:54.055]  Washington is driving the world closer to nuclear war than it ever has been in the past, in the most dangerous periods of the Cold War.
[00:04:54.516 --> 00:04:58.159]  And this is the guy who was around at that very time in the Reagan administration.
[00:04:58.962 --> 00:05:02.845]  He goes on to say, when Washington finishes with Syria, the next target is Iran.
[00:05:03.405 --> 00:05:12.072]  Russia and China will no longer be able to fool themselves that there is any system of international law or restraint on Western criminality.
[00:05:12.652 --> 00:05:26.102]  Basically goes on to say that Russia and China know that America has these fifth columns that provoke these phony revolutions in places like Libya, Syria and Egypt and that they're arming themselves
[00:05:26.682 --> 00:05:28.044]  We're good to go.
[00:05:44.218 --> 00:05:49.739]  Next up, military strikes on Syria as early as Thursday, US officials say.
[00:05:50.059 --> 00:05:51.820]  This is NBC News.
[00:05:52.400 --> 00:06:02.943]  Missile strikes against Syria could be launched as early as Thursday, senior US officials said today as the White House intensified its push towards an international response to the suspected use of chemical weapons.
[00:06:03.663 --> 00:06:07.324]  Before any investigations actually being able to take place, of course,
[00:06:08.305 --> 00:06:12.828]  They're talking about three days of strikes that would be limited in scope.
[00:06:13.489 --> 00:06:17.371]  In my view, that whole limited strike rhetoric is probably a ruse.
[00:06:17.952 --> 00:06:21.754]  They're going to attack, they're going to wait until Syria... How dare they?
[00:06:22.255 --> 00:06:28.519]  They're going to wait until they defend themselves and then use that defense as another pretext to continue the assault.
[00:06:28.939 --> 00:06:30.180]  How dare they fight back?
[00:06:30.260 --> 00:06:32.502]  How dare they try and defend their country?
[00:06:33.553 --> 00:06:42.901]  But if you don't care about, you know, the lives of Syrian people already decimated by a civil war, if you don't care about the threat of World War 3, maybe you'll care about this.
[00:06:44.582 --> 00:06:47.264]  Record numbers of Americans, of course, on food stamps.
[00:06:47.664 --> 00:06:50.187]  Major cities like Detroit going bankrupt.
[00:06:50.647 --> 00:07:01.035]  But the first stage, just the first stage of what they're talking about, this Tomahawk cruise missile attack, could cost up to 750 million dollars.
[00:07:01.135 --> 00:07:02.476]  Just the first stage of it.
[00:07:03.217 --> 00:07:05.078]  And that's on you, the taxpayer, of course.
[00:07:05.959 --> 00:07:11.482]  $750 million to help al-Qaeda terrorists seize control of a country just like in Libya.
[00:07:12.062 --> 00:07:16.785]  Is that really money well spent in these perilous economic times?
[00:07:16.805 --> 00:07:24.250]  But they're talking about airstrikes as early as Thursday, pretending that the decision hasn't been made when it obviously has.
[00:07:24.930 --> 00:07:29.736]  Next up, US attempts to sabotage UN chemical weapons investigation.
[00:07:29.796 --> 00:07:31.398]  Again, this is up on Infowars.com.
[00:07:32.019 --> 00:07:42.932]  Desperate to maintain a narrative that will justify a cruise missile attack on Syria, the Obama administration is seemingly trying everything in its power to sabotage the UN chemical weapon investigation in Syria.
[00:07:44.079 --> 00:07:48.662]  So why are the US and Britain so keen to derail the UN inspectors?
[00:07:48.722 --> 00:07:57.589]  Well, it's because last time they investigated a chemical weapons attack in Syria, the UN concluded it was the rebels who were responsible!
[00:07:58.652 --> 00:08:00.934]  We can't have that happening again, can we?
[00:08:00.974 --> 00:08:04.457]  That's going to interrupt this whole narrative, this whole drumbeat for war.
[00:08:04.517 --> 00:08:24.034]  It's very inconvenient indeed, which is why after the UN inspectors were targeted in a sniper attack yesterday, which all the evidence shows leads back to the rebels, the US came out with this veiled threat that they couldn't, quote, guarantee the safety of UN workers, which was basically
[00:08:25.015 --> 00:08:25.515]  A threat.
[00:08:26.076 --> 00:08:28.937]  Now they've had to postpone the investigation until tomorrow.
[00:08:29.317 --> 00:08:31.038]  Who knows if it'll even continue.
[00:08:31.758 --> 00:08:33.659]  Every hour is crucial.
[00:08:33.999 --> 00:08:43.963]  If they found evidence that the rebels were behind this alleged chemical weapons attack, as they were in the past, it could scupper the whole narrative that's building up towards the attack.
[00:08:44.543 --> 00:08:46.944]  And basically we're seeing the same thing that happened in Iraq.
[00:08:47.344 --> 00:08:53.007]  You know, the inspectors went in, they found no evidence of weapons of mass destruction, and they were told by the US
[00:08:53.687 --> 00:08:54.287]  Doesn't matter.
[00:08:54.787 --> 00:08:58.428]  Get out because we're going to bomb the crap out of this place anyway.
[00:08:58.929 --> 00:09:02.290]  So we're seeing the same thing unfold in Syria yet again.
[00:09:02.610 --> 00:09:06.991]  On the one hand they're saying this chemical weapons inspection is inconsequential.
[00:09:07.031 --> 00:09:07.611]  It doesn't matter.
[00:09:07.631 --> 00:09:10.752]  We've already made our minds up before that any evidence has come in.
[00:09:11.232 --> 00:09:18.135]  And then on the other hand, they're actually trying to sabotage it with these sniper attacks and now a veiled threat telling the UN to get out of the country.
[00:09:18.175 --> 00:09:19.436]  They can't guarantee their safety.
[00:09:19.816 --> 00:09:24.579]  So, dirty tricks all along the way in the build-up to war, as you would expect.
[00:09:25.339 --> 00:09:31.042]  Meanwhile, in America, this is out of benswan.com, how America reacted?
[00:09:31.202 --> 00:09:33.223]  Miley Cyrus versus Syria.
[00:09:34.229 --> 00:09:36.750]  And you can see the graph we're displaying here now.
