[00:00:22.682 --> 00:00:26.044]  Welcome to the InfoWars Nightly News this Wednesday, September 18, 2013.
[00:00:27.145 --> 00:00:28.886]  I'm Gigi Arnetta.
[00:00:29.346 --> 00:00:30.887]  Here's what tops the news tonight.
[00:00:33.168 --> 00:00:39.192]  Tonight, breaking news that a SWAT team was told to stand down as the Navy Yard shooting was in progress.
[00:00:40.552 --> 00:00:45.255]  Then, the controlled media buries the connection of psychiatric drugs to the Navy shooter.
[00:00:46.356 --> 00:00:51.699]  And, a high-profile church leader ignores the human soul and demonizes guns.
[00:00:52.682 --> 00:00:56.185]  All that and more on tonight's InfoWars Nightly News.
[00:01:01.850 --> 00:01:04.433]  At the Navy Yard, the SWAT team stood down.
[00:01:04.493 --> 00:01:07.015]  They were told to stand down at the mass shooting.
[00:01:07.035 --> 00:01:11.699]  A tactical response team of the Capitol Police, a force that guards the U.S.
[00:01:11.739 --> 00:01:17.624]  Capitol complex, was told to leave the scene by a supervisor instead of aiding municipal officers.
[00:01:18.445 --> 00:01:34.799]  Multiple sources in the Capitol Police Department have told the BBC that its highly trained and heavily armed four-man containment and emergency response team, known as CERT, was near the Navy Yard when the initial report of an active shooter came in at about 8.20 local time.
[00:01:35.379 --> 00:01:40.263]  The officers were wearing full tactical gear and armed with HK416 assault weapons.
[00:01:40.763 --> 00:01:43.546]  They arrived outside Building 197 a few minutes later.
[00:01:44.186 --> 00:01:46.949]  An official with the knowledge of the incident told the BBC.
[00:01:48.561 --> 00:01:53.422]  Wow, the outcome of this thing would have been a lot different, I think, if they would have been able to do their job.
[00:01:53.442 --> 00:01:56.743]  Of course, hindsight is 20-20, right?
[00:01:57.643 --> 00:02:05.325]  Another thing we're not hearing very much about is the fact that he was on a psychiatric drug, and they're not really discussing it in the media at all.
[00:02:05.785 --> 00:02:17.308]  Despite every indication that the Navy Yard Shooter Aaron Alexis was on SSRI drugs that have been linked to dozens of previous mass shootings, the mainstream media has once again avoided all discussion of the issue.
[00:02:17.728 --> 00:02:22.612]  Preferring instead to blame the tragedy on a non-existent AR-15 that the gunman didn't even use.
[00:02:23.012 --> 00:02:29.398]  Now, Alexis suffered from PTSD, blackouts, and anger issues, all of which are treated with SSRI drugs.
[00:02:29.758 --> 00:02:42.709]  The most common form of treatment for PTSD is paroxetine, which is listed as the number three top violence-causing drug by the Institute for Safe Medication Practices, also known as the ISMP.
[00:02:42.729 --> 00:02:44.830]  Now, with PTSD,
[00:02:46.238 --> 00:02:52.203]  Taking drugs like this can be very risky because there are a lot of side effects and some of them are very, very adverse.
[00:02:52.723 --> 00:02:57.387]  But the other thing they're not talking about is why this guy was able to get a security clearance.
[00:02:58.127 --> 00:03:04.372]  It's not easy to just get a secret security clearance, but for some reason he made it through the system despite all his issues.
[00:03:05.073 --> 00:03:12.498]  The official story ignores the intelligence connection and pushes gun and mental illness propaganda ahead of the next attack on the Second Amendment.
[00:03:13.659 --> 00:03:15.661]  Now, Hoshko actually works
[00:03:18.464 --> 00:03:24.825]  Hushko, a central figure in subtracted military information technology, said that he has questions too about this whole thing.
[00:03:25.245 --> 00:03:35.887]  He says he's working with authorities to figure out why somebody didn't see a pattern or certainly flagged this back in 2007 when all this other stuff happened with him.
[00:03:35.947 --> 00:03:42.008]  Now, he's known to have misconduct and a couple of run-ins with the police and also that he has PTSD.
[00:03:42.789 --> 00:03:44.129]  But when you get a security clearance,
[00:03:45.160 --> 00:03:47.721]  These things actually get in the way of you getting a clearance.
[00:03:47.761 --> 00:03:49.962]  Let's take a look at how to get a security clearance.
[00:03:50.522 --> 00:03:56.324]  Now, the first thing an applicant has to do, obviously, is go through the basic application process, which includes your verification of U.S.
[00:03:56.364 --> 00:03:57.745]  citizenship and fingerprinting.
[00:03:58.385 --> 00:04:05.087]  The last part is the adjudication phase, during which findings from the investigation are reviewed and evaluated based on 13 factors.
[00:04:05.127 --> 00:04:06.348]  Now, some of these factors are
[00:04:07.488 --> 00:04:12.152]  Your criminal background and personal conduct, which obviously didn't happen here.
[00:04:12.752 --> 00:04:16.055]  Your history of substance abuse and any mental disorders.
[00:04:16.956 --> 00:04:22.740]  And of course now with this gentleman, there was personal conduct issues reported in the Navy and out of the Navy.
[00:04:23.041 --> 00:04:25.422]  Substance abuse, he was a heavy drinker, they say.
[00:04:25.703 --> 00:04:29.746]  And also the mental disorder that he has, that has been revealed.
[00:04:30.206 --> 00:04:37.309]  And also the mental disorder that was revealed in the last 24 hours that he was going through, and he had talked to the VA about that.
[00:04:38.209 --> 00:04:46.753]  There are a few other intrusive questions that come out, including you can also have a polygraph done to you and questions to your neighbors, which they did not do in this case, clearly.
[00:04:47.113 --> 00:04:48.354]  But stick around till after the break.
[00:04:48.374 --> 00:04:49.054]  We have more news.
[00:05:16.027 --> 00:05:25.492]  Infowarsstore.com, a conscious and involved distributor of independently made products that support a healthy and aware community.
[00:05:27.813 --> 00:05:32.816]  Dive into cleaner waters with your own ProPure system and Pro1D filter.
[00:05:34.017 --> 00:05:36.038]  Save 10% with the promo code WATER.
[00:05:38.171 --> 00:05:43.856]  We've handpicked a veritable treasure trove of the best non-GMO seed banks on the market.
[00:05:44.857 --> 00:05:51.243]  And our selection of films showcases a wealth of knowledge outdone only by our books.
