[00:00:42.189 --> 00:00:43.789]  It's Tuesday, July 16th.
[00:00:43.889 --> 00:00:45.009]  I'm Paul Joseph Watson.
[00:00:45.129 --> 00:00:46.950]  This is InfoWars Nightly News.
[00:00:46.990 --> 00:00:49.190]  Let's take a look at what's coming up on the show tonight.
[00:00:51.590 --> 00:00:54.831]  Tonight on the InfoWars Nightly News.
[00:00:55.851 --> 00:00:59.432]  The Obama-approved Muslim Brotherhood beat and kidnap children.
[00:01:00.723 --> 00:01:03.946]  Then, Russia amasses full combat readiness.
[00:01:05.347 --> 00:01:08.450]  And we bring you the latest on the Trayvon Martin fallout.
[00:01:09.031 --> 00:01:12.334]  All that and more coming up on the Info Wars Nightly News.
[00:01:12.354 --> 00:01:14.976]  They're talking about this crazy Texan.
[00:01:15.196 --> 00:01:16.898]  Everybody knows Texans are dumb.
[00:01:17.418 --> 00:01:19.981]  I rode a horse to, you know, work this morning.
[00:01:20.984 --> 00:01:21.824]  Top story tonight.
[00:01:22.124 --> 00:01:26.226]  Brothers murdered over free Zimmerman sticker?
[00:01:26.246 --> 00:01:28.126]  That's the headline out of Infowars.com.
[00:01:28.526 --> 00:01:43.651]  The Jacksonville Sheriff's Office is facing accusations that it covered up a hate crime by denying that the murder of two brothers in a parking lot on Sunday night was related to the Trayvon Martin case, despite the fact that a sticker was placed on the brothers' truck.
[00:01:44.151 --> 00:01:46.293]  Which read, Free Zimmerman.
[00:01:46.433 --> 00:01:48.855]  This is causing a lot of controversy today.
[00:01:48.875 --> 00:02:04.788]  Around 8.45pm on Sunday night, 24-year-old Andrew Austin Bohannon and his brother, 19-year-old Matthew Ryan Bohannon, were sitting in their truck at the Golden Corral parking lot when they were approached by another car carrying multiple occupants.
[00:02:05.408 --> 00:02:11.634]  After, quote, some type of conversation between the two parties, multiple shots were fired at the brothers.
[00:02:12.014 --> 00:02:18.360]  One was killed instantly while another was pronounced shortly, was pronounced dead shortly afterwards after he arrived at the hospital.
