[00:00:21.974 --> 00:00:23.555]  It's Tuesday, October 15th.
[00:00:23.795 --> 00:00:24.875]  I'm Paul Joseph Watson.
[00:00:24.915 --> 00:00:26.836]  This is InfoWars Nightly News.
[00:00:28.857 --> 00:00:30.717]  Tonight, the U.S.
[00:00:30.778 --> 00:00:35.880]  Senate says the right to keep and bear arms, the Second Amendment, is now debatable.
[00:00:36.320 --> 00:00:41.642]  The EBT card shutdown showcases the dangers of dependency on the government.
[00:00:42.392 --> 00:00:48.456]  Then, is the Obamacare website crashing to keep the true cost of socialized health care hidden?
[00:00:49.196 --> 00:00:55.780]  And is MSNBC editing footage of the veterans protesting in DC to distort their motives?
[00:00:56.541 --> 00:00:59.523]  All this and more on the InfoWars Nightly News.
[00:01:05.745 --> 00:01:07.306]  Top story tonight, U.S.
[00:01:07.326 --> 00:01:10.687]  Senate says right to keep and bear arms is debatable.
[00:01:11.087 --> 00:01:12.088]  According to the U.S.
[00:01:12.128 --> 00:01:16.669]  Senate, the right of the American people to keep and bear arms is debatable.
[00:01:17.009 --> 00:01:30.415]  Despite two separate Supreme Court decisions which confirmed that the Second Amendment protected the right of an individual to own guns, the Senate.gov website contains an explanation that suggests otherwise.
[00:01:31.095 --> 00:01:35.398]  In a bizarre clarification of the Second Amendment, the Senate website reads, quote,
[00:01:48.326 --> 00:01:55.090]  So the very body concerned with upholding and protecting Americans' rights under the mandate of the Constitution, the U.S.
[00:01:55.170 --> 00:02:02.435]  Senate, refuses to fully acknowledge the fundamental right to keep and bear arms under the Second Amendment.
[00:02:03.055 --> 00:02:04.716]  And that's merely scratching the surface.
[00:02:05.116 --> 00:02:10.780]  This so-called guide to the Constitution reads like a signing statement for the Bill of Rights.
[00:02:11.420 --> 00:02:17.005]  You'll recall those signing statements under Bush where he would just interpret a law any way he wanted.
[00:02:17.365 --> 00:02:21.869]  Well, the Senate has now done the same, basically, for the entire Constitution.
[00:02:22.569 --> 00:02:24.911]  This article only covers the Second Amendment angle.
[00:02:24.931 --> 00:02:33.338]  We're going to have more on the other sections which the Senate feels it needs to reinterpret, and those reports will be coming out soon.
[00:02:34.452 --> 00:02:38.115]  EBT card users threatened Rodney King-style riots.
[00:02:38.856 --> 00:02:53.709]  While some people reacted to the failure of the electronic benefit trading cards system on Saturday by looting Walmart stores, others raised the prospect of more widespread riots if the system goes down for a sustained period of time.
[00:02:54.554 --> 00:03:02.299]  They better resolve something because if it stays like this, there's gonna be an uproar in the city of L.A.
[00:03:02.899 --> 00:03:03.420]  Like what?
[00:03:04.240 --> 00:03:05.501]  A Rodney King, baby!
[00:03:05.641 --> 00:03:06.482]  All again, right?
[00:03:06.662 --> 00:03:06.922]  Yep.
[00:03:07.362 --> 00:03:14.287]  That was the reaction of one Skid Row resident, while numerous others took to Twitter to express similar sentiments.
[00:03:14.847 --> 00:03:26.097]  Considering that Walmarts were being looted just hours after this EBT downtime, imagine what a five-day delay in food stamps would cause.
[00:03:26.538 --> 00:03:32.924]  That's the potential fallout from a US debt default which could occur by the end of this week.
[00:03:33.724 --> 00:03:36.147]  Moving on, hidden messages in new $100 bill.
[00:03:38.101 --> 00:03:46.403]  A video blogger claims there are hidden messages in the new $100 bill which warn of future nuclear devastation in the United States.
[00:03:47.183 --> 00:03:56.405]  Remember, of course, the $20 bill which, if you folded it over, appeared to show the attacks on the Pentagon and the World Trade Center that was issued in 1998, three years before the 9-11 attacks.
[00:03:58.826 --> 00:04:09.633]  Well now, according to Jonathan Kleck, the new $100 bill contains images of nuclear devastation and day-after-tomorrow style flooding of New York City.
[00:04:10.354 --> 00:04:21.821]  So while some are going to read all kinds of symbolism into this, I see it more speaking to the human appetite for apocalyptic fervor and kind of prophecy pornography.
[00:04:21.921 --> 00:04:22.882]  It's in that vein.
[00:04:23.202 --> 00:04:24.123]  It's debatable.
[00:04:24.183 --> 00:04:26.865]  You have to use leaps of imagination and logic to see it.
[00:04:27.345 --> 00:04:28.126]  But there's no doubt
[00:04:28.806 --> 00:04:30.247]  That people are interested in this.
[00:04:30.307 --> 00:04:35.991]  I mean, the one video from Kleck has got something like 150,000 views.
[00:04:36.671 --> 00:04:41.414]  So, people are fascinated by the supposed symbolism in the $100 bill.
[00:04:41.814 --> 00:04:47.238]  The full clip is on the Prison Planet Live YouTube channel, so make your own mind up.
[00:04:47.578 --> 00:04:55.203]  Steve Watson reports on InfoWars.com, Obama operatives anti-Tea Party protest draws dismal numbers.
[00:04:55.743 --> 00:05:09.262]  An anti-Tea Party protest today at the Capitol building in Washington DC, organised by paid Obama operatives, drew numbers so small that many couldn't even find the protest they were supposed to be taking part in.
[00:05:10.134 --> 00:05:21.440]  The economic action event, billed as an anti-Tea Party shutdown protest, was put together by Organizing for Action, the social welfare Obama support group.
[00:05:22.081 --> 00:05:29.445]  So we saw with the Million Vet March this past weekend, thousands of protesters descend on Washington DC
[00:05:30.385 --> 00:05:36.129]  Carry off the barricades, as they're known, from the War Memorial, the World War II Memorial.
[00:05:36.550 --> 00:05:38.291]  Dump them outside the White House.
[00:05:38.771 --> 00:05:49.559]  Of course, then we saw the riot cops sent in examples of police brutality, which Rachel Maddow and MSNBC later edited deceptively to hide.
[00:05:50.100 --> 00:05:58.526]  And basically that protest, even though it was epic in terms of some of the images that were coming out of there, drew basically no media attention whatsoever.
[00:05:58.826 --> 00:06:05.731]  Well, this Obama protest is not going to draw any media attention either, because basically nobody showed up.
[00:06:06.252 --> 00:06:06.952]  Moving on now.
[00:06:07.653 --> 00:06:13.658]  Girls threatened with hate crime charges for complaining about transgender bathroom harassment.
[00:06:14.318 --> 00:06:25.902]  Does the right of people who identify as transgender to sexually harass girls in public bathrooms trump the privacy rights of the girls being subjected to that harassment?
[00:06:26.482 --> 00:06:29.103]  Yes, according to a Colorado school.
[00:06:29.683 --> 00:06:39.627]  Female students at Florence High School were threatened with hate crimes charges when they complained about being harassed by a transgender boy in the girl's bathroom.
[00:06:40.307 --> 00:06:49.837]  The school ardently sided with the transgender student and suggested that the girls stop using most of the female restrooms if they had a problem with it.
[00:06:50.777 --> 00:07:02.950]  After both parents and female high school students complained, the students were told they could be kicked off the athletic team and even hit with hate crimes charges if they didn't stay silent about the issue.
[00:07:04.073 --> 00:07:23.798]  And again, this is another example of how political correctness in the name of protecting the rights of a minority, in this case the supposed right of a transgender student to harass girls in public bathrooms, serves only to violate the rights of the vast majority.
[00:07:25.262 --> 00:07:32.669]  Finally now, this is out of Forbes, Obamacare's website is crashing because it doesn't want you to know how costly its plans are.
[00:07:33.430 --> 00:07:43.640]  A growing consensus of IT experts outside and inside the government have figured out a principal reason why the website for Obamacare's federally sponsored insurance exchange is crashing.
[00:07:44.321 --> 00:07:50.082]  Healthcare.gov forces you to create an account and enter detailed personal information before you can start shopping.
[00:07:50.562 --> 00:07:59.064]  This in turn creates a massive traffic bottleneck as the government verifies your information and decides whether or not you're eligible for subsidies.
[00:07:59.664 --> 00:08:08.146]  So why did they do this, even with the knowledge that it would crash the entire system, which, as we know, is exactly what happened?
[00:08:09.195 --> 00:08:16.085]  Because they didn't want people to realise how expensive the new system really is, and the quotes out of the Forbes article attest to that.
[00:08:17.216 --> 00:08:30.348]  Which when you crunch the numbers, according to a study by the Manhattan Institute, equates to an average 99% more expensive for men and 62% more expensive for women under Obamacare.
[00:08:30.829 --> 00:08:41.558]  So to avoid scaring off the middle class who are going to be paying for all this, it actually appears as though the healthcare.gov train wreck was planned all along.
[00:08:42.259 --> 00:09:06.105]  And that rather than creating or risking the creation of an instant backlash, the government planned to boil Americans in the pot slowly by deliberately engineering the slowdowns themselves, enabling the true horror of the added expenses under the new Obamacare system to be revealed more gradually.
[00:09:07.486 --> 00:09:19.037]  That's it for this portion of the news, but don't go away because after the break, Gigi Aneta presents Tyranny Watch, a special report on the latest examples of police brutality and TSA abuse.
[00:09:43.567 --> 00:09:54.697]  Many anthropologists and archaeologists believe that before man even discovered the power to harness and use fire, we were involved in agrarian activities.
[00:09:55.178 --> 00:09:59.942]  That is, taking the seeds of plants and then replanting them to produce more.
[00:10:00.562 --> 00:10:09.571]  The very foundation of our modern civilization and human culture is centered around the planting and cultivation of edible plants.
[00:10:10.091 --> 00:10:14.936]  Here are some of the amazing deals at InfoWars Seed Center at InfoWarshop.com.
[00:10:15.357 --> 00:10:24.947]  The Survival Seed Vault by My Patriot Supply features only the finest survival heirloom seeds for a robust and hardy garden, even in the toughest times.
[00:10:25.207 --> 00:10:32.515]  We also have starter varieties of the Deluxe Seed Packages for fruit, salad, salsa, peppers, medical herbs, and more.
[00:10:32.995 --> 00:10:36.838]  Go to the Infowars Seed Center at InfowarsShop.com.
[00:10:37.519 --> 00:10:41.362]  And remember, the revolution against tyranny is growing.
[00:10:42.042 --> 00:10:43.683]  Introducing Pro-1.
[00:10:43.944 --> 00:10:47.466]  All of your filtration in one system, portable, on the go.
[00:10:47.586 --> 00:10:51.950]  No more do you have two or three filters to just reduce sodium fluoride.
[00:10:52.130 --> 00:10:54.792]  You have a system that cuts out the sodium fluoride and
[00:10:54.992 --> 00:10:58.114]  Up to 95% of hydrofluorosilicic acid.
[00:10:58.215 --> 00:11:09.123]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:11:09.223 --> 00:11:11.905]  It is the only one that does it and out of the gates!
[00:11:12.065 --> 00:11:15.527]  We have it discounted at 10% off with promo code WATER.
[00:11:15.707 --> 00:11:32.676]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:11:33.016 --> 00:11:38.338]  Get your ProPure with a new Pro1 filter today at InfoWarstore.com or by calling 888-253-3139.
[00:11:45.540 --> 00:12:02.994]  Welcome back to InfoWars Nightly News, and I'd like to remind you, of course, if you're watching this on YouTube, that you can see it first and in high quality at PrisonPlanet.tv, which is our subscription website, and you don't just get access to the Nightly News first as it goes out.
[00:12:03.014 --> 00:12:14.364]  Of course, you also get video streaming of the Alex Jones Show, a ton of other multimedia content, speeches, special events, behind-the-scenes footage, and it all goes to support our network
[00:12:14.864 --> 00:12:18.408]  It allows us to continue doing what we do and reach more people.
[00:12:18.928 --> 00:12:25.055]  It's the same low price it always has been, so please subscribe at PrisonPlanet.tv.
[00:12:25.975 --> 00:12:35.786]  Coming up now, Gigi Annetta presents her special Tyranny Watch report, which this week focuses on police brutality and TSA abuse.
