[00:00:03.578 --> 00:00:04.138]  Will you fight?
[00:00:06.660 --> 00:00:09.481]  Against that?
[00:00:09.862 --> 00:00:10.202]  No!
[00:00:10.882 --> 00:00:11.403]  We will run!
[00:00:12.503 --> 00:00:13.004]  And we will live.
[00:00:13.964 --> 00:00:14.685]  Alright.
[00:00:15.505 --> 00:00:16.466]  Fight and you may die.
[00:00:17.706 --> 00:00:19.067]  Run and you'll live.
[00:00:20.648 --> 00:00:21.348]  At least a while.
[00:00:21.729 --> 00:00:24.911]  And dying in your beds many years from now.
[00:00:26.131 --> 00:00:26.992]  Would you be willing?
[00:00:27.731 --> 00:00:45.237]  To trade all the days from this day to that for one chance, just one chance to come back here and tell our enemies that they may take our lives, but they'll never take our freedom!
[00:00:45.337 --> 00:00:49.738]  Rallying patriots worldwide in defense of human liberty.
[00:00:50.318 --> 00:00:51.839]  It's Alex Jones.
[00:00:56.772 --> 00:01:00.873]  Ladies and gentlemen, it is Sunday, the third day of March 2013.
[00:01:01.273 --> 00:01:03.734]  I am your host, Alex Jones.
[00:01:03.754 --> 00:01:08.035]  I want to thank you all for tuning in on this Sunday Worldwide Transmission.
[00:01:08.755 --> 00:01:18.457]  Coming up today, we've got an encore presentation for you with some key information, but we're also going to have some new info today as well.
[00:01:18.497 --> 00:01:23.699]  But coming up right after the break, my interview with Congressman Ron Paul earlier in the week.
[00:01:23.739 --> 00:01:25.299]  It's so important we're going to re-air that.
[00:01:26.020 --> 00:01:27.283]  On this Sunday broadcast.
[00:01:28.240 --> 00:01:31.101]  And then we've got the Michael Savage interview.
[00:01:31.801 --> 00:01:36.343]  And whether you love Michael Savage or hate Michael Savage, he's definitely interesting and informative and makes a lot of good points.
[00:01:36.763 --> 00:01:47.308]  And the fact that we can get the second biggest to third biggest, depending on who you look at, it might be George Norrie, it might be Michael Savage, but he's right about most groups, the second biggest radio talk show host in the United States.
[00:01:47.808 --> 00:01:55.131]  That we could get Michael Savage on and, you know, communicate with him and hopefully wake him up to some of the things he's not aware of.
[00:01:56.195 --> 00:01:59.919]  And also get his audience more awake and to tune into what we're doing.
[00:02:00.259 --> 00:02:01.721]  That is a win-win-win-win-win.
[00:02:02.561 --> 00:02:11.591]  And then we've got some big excerpts of not last Sunday when he called in live, but from the Thursday broadcast with the one, the only Ted Nugent.
[00:02:12.418 --> 00:02:15.519]  So please call your friends and family and tell them to tune in to this Sunday broadcast.
[00:02:15.559 --> 00:02:20.482]  And remember, the system doesn't want you to be aware of this information.
[00:02:20.522 --> 00:02:24.844]  That's why they stonewall you and say there are no drones when the drone program is even admitted.
[00:02:24.864 --> 00:02:27.165]  That's why they engage in all these activities.
[00:02:28.485 --> 00:02:35.649]  Watson did an article about Sarah Palin talking about 2 billion rounds of ammo that are admitted in the federal government's own purchase orders and online.
[00:02:37.306 --> 00:02:51.754]  In public filings and a bunch of publications, so-called liberal publications, authoritarian publications, came out and said that she was insane, that it was just totally made up and an internet rumor giving no proof.
[00:02:52.275 --> 00:03:01.480]  I mean, just a new level of propagandizing the public like there's some foreign occupying army, which they are, the foreign occupying army of the globalists.
[00:03:02.577 --> 00:03:03.678]  So pretty incredible.
[00:03:03.738 --> 00:03:07.160]  Those articles are up at InfoWars.com and PrisonPlanet.com.
[00:03:07.200 --> 00:03:13.804]  And also, a story from Thursday that I want to talk more about is breaking Texas moves to forcibly inoculate children.
[00:03:14.365 --> 00:03:14.985]  That's what it is.
[00:03:15.906 --> 00:03:16.186]  SB 63.
[00:03:16.326 --> 00:03:19.428]  And there's another draconian bill that we'll get to in a moment.
[00:03:20.269 --> 00:03:23.331]  In fact, I'll cover it at the first little five-minute segment of the second hour.
[00:03:23.351 --> 00:03:25.032]  I'm going to get back into this exclusively.
[00:03:26.155 --> 00:03:34.847]  They come out and are saying, you know, just like California, we're going to have your 10-year-old just give us consent to give them any shots or basically drugs we want, but this is inoculations.
[00:03:35.548 --> 00:03:37.691]  Ladies and gentlemen, a child can't walk in and buy a car.
[00:03:38.372 --> 00:03:42.337]  A child isn't allowed to have sex with some pervert, and the pervert can't say, well, they gave consent.
[00:03:43.078 --> 00:03:45.078]  Now, this is absolutely incredible.
[00:03:45.118 --> 00:03:45.718]  So, breaking.
[00:03:46.099 --> 00:03:50.259]  Texas moves to forcibly inoculate children.
[00:03:50.819 --> 00:03:54.900]  The bill is SB63, has a good chance of passing, got big vaccine money behind it.
[00:03:54.920 --> 00:03:58.301]  Remember Governor Perry lied and said it was the law to take Gardasil?
[00:03:58.781 --> 00:04:03.021]  Well, now they're actually trying to make it the law where they can just say to your kid, want some candy?
[00:04:03.461 --> 00:04:05.542]  Hey, get in the van, kid.
[00:04:05.602 --> 00:04:07.062]  Come on, I got a puppy dog.
[00:04:07.362 --> 00:04:08.862]  Now it's like, hey, want some candy?
[00:04:09.402 --> 00:04:11.823]  Want to be able to get extracurricular, you know, prizes?
[00:04:12.423 --> 00:04:14.710]  We'll take the shots is what they do in California.
[00:04:14.751 --> 00:04:15.152]  They sign the law.
[00:04:16.829 --> 00:04:17.309]  Last year.
[00:04:17.329 --> 00:04:19.451]  So that's SB number 64 in Texas.
[00:04:19.771 --> 00:04:20.452]  Look in your state.
[00:04:20.472 --> 00:04:21.673]  It's happening all over the country.
[00:04:22.654 --> 00:04:23.534]  That's an SB 64.
[00:04:24.355 --> 00:04:26.157]  Is anybody involved in child care?
[00:04:26.477 --> 00:04:26.977]  Period.
[00:04:27.518 --> 00:04:35.644]  Whether you work at the YMCA or at a daycare center, you got to take any of the 50 plus shots they're saying are quote mandatory.
[00:04:35.664 --> 00:04:38.206]  Now they've never been mandatory, but they hoaxed and said they were.
[00:04:38.486 --> 00:04:42.710]  Now that you're finding out it's not mandatory, they're going, okay, we'll pass a law to make it mandatory.
[00:04:43.030 --> 00:04:51.821]  First it's the nurses, then it's the medical workers, then it's the people that carry the trash out at the medical facility, and then it's everybody in child health care, and then it's everybody, period.
[00:04:52.181 --> 00:04:54.905]  All right, we're going to go to break and come back with Congressman Ron Paul.
[00:04:55.105 --> 00:04:56.567]  This is very important information.
[00:04:56.787 --> 00:04:57.448]  Please stay with us.
[00:04:57.508 --> 00:04:58.229]  I'm Alex Jones.
[00:04:58.509 --> 00:05:00.331]  Don't forget we stream video at PrisonPlanet.tv.
[00:05:05.111 --> 00:05:12.779]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:13.219 --> 00:05:16.843]  Alex and his staff have used these pure soap products for years.
[00:05:17.304 --> 00:05:24.131]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:24.611 --> 00:05:27.094]  See them on the web at 5starsoap.com.
[00:05:27.614 --> 00:05:32.117]  Or call 800-340-7091 for a free catalog.
[00:05:32.457 --> 00:05:38.120]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:38.380 --> 00:05:43.503]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:43.803 --> 00:05:45.424]  This is an amazing deal.
[00:05:45.784 --> 00:05:50.407]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:51.027 --> 00:05:54.169]  See them on the web at 5starsoap.com or call
[00:05:54.309 --> 00:05:55.930]  800-340-7091 for a free catalog.
[00:05:56.090 --> 00:06:06.174]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:11.601 --> 00:06:15.363]  Former Congressman Ron Paul, best-selling author, joins us.
[00:06:15.823 --> 00:06:22.487]  I wanted to get him on because he's been writing and speaking and posting articles at Campaign for Liberty.
[00:06:23.128 --> 00:06:25.509]  Breaking down the bubble is really getting big.
[00:06:25.529 --> 00:06:33.113]  The QE Unlimited, the global currency crises, with the very authors of the currency crises posing as our saviors.
[00:06:33.474 --> 00:06:40.598]  And just last week, more proposals by the G20 for a Bank of the World, SDR, that's global government, to back it all up.
[00:06:41.598 --> 00:06:44.060]  Ron Paul, Dr. Ron Paul, thank you for coming on, sir.
[00:06:44.580 --> 00:06:45.541]  Thank you, good to be with you.
[00:06:47.282 --> 00:06:54.707]  Can you give us the latest on your analysis on what's happening with the economy and this big event you've been talking about the last few years?
[00:06:54.747 --> 00:06:56.628]  How close are we right now?
[00:06:56.648 --> 00:06:59.090]  How serious is this currency war?
[00:07:00.271 --> 00:07:02.773]  I think in many ways we're in the middle of it.
[00:07:02.833 --> 00:07:07.656]  I think the evidence to the general public is still not there and there's not been a panic.
[00:07:09.890 --> 00:07:22.782]  The people in Washington and even our central bankers don't face up to the real truth of the matter, and that is we're totally bankrupt, and yet just putting more money and running up more debt seems to settle the markets.
[00:07:22.862 --> 00:07:25.724]  They don't dump their stocks.
[00:07:25.985 --> 00:07:27.206]  They don't dump their bonds.
[00:07:28.286 --> 00:07:31.268]  But we're in the middle of some unwinding.
[00:07:31.628 --> 00:07:41.513]  I think that this is so much different than anything we've gone through, you know, since World War II and especially even since 1971 with the breakdown of Bretton Woods.
[00:07:42.314 --> 00:07:50.678]  But one of these days, we'll wake up some morning and realize that the whole world has given up on the system, just as we woke up one day and
[00:07:51.178 --> 00:07:51.478]  I think so.
[00:08:11.431 --> 00:08:20.256]  Congressman, getting into specifics and your research there with the Von Mies Institute, pretty much everything you predicted in the last 30 years is now unfolding.
[00:08:20.636 --> 00:08:26.179]  From all my research, and even with the establishment saying and the way they're behaving, it's all coming to a head.
[00:08:26.539 --> 00:08:31.722]  Now it's two billion rounds of bullets and hollow points that are illegal under the Geneva Convention.
[00:08:32.302 --> 00:08:39.747]  We've got a new report out where Homeland Security is funding domestic drones, and I'm not making this up, to quote, track gun purchases.
[00:08:40.247 --> 00:08:42.068]  That just broke at InfoWars.com.
[00:08:42.589 --> 00:08:45.170]  We see military drills expanding everywhere.
[00:08:45.751 --> 00:08:50.634]  We see the new Justice Department memo saying, hey, let's just ban guns and confiscate them.
[00:08:51.254 --> 00:08:58.779]  It's like I've woken up in an Orwellian nightmare, and we've got this normalcy bias, this mass Stockholm syndrome,
[00:08:59.159 --> 00:09:10.670]  Where even mainline conservatives, I had Ted Nugent on yesterday, he said, look, the green light's been given on Benghazi, the green light's been given on all this other tyranny, Fast and Furious, nobody got in trouble.
[00:09:11.070 --> 00:09:17.917]  And so I think we've reached that point where the tyrants figure out that if they can take us an inch, why not take us a million miles?
[00:09:18.370 --> 00:09:18.650]  I think?
