[00:00:19.398 --> 00:00:20.739]  It's Tuesday, September 10th.
[00:00:21.019 --> 00:00:22.240]  I'm Paul Joseph Watson.
[00:00:22.400 --> 00:00:24.321]  This is InfoWars Nightly News.
[00:00:24.662 --> 00:00:31.446]  Tonight, Obamacare regulations are eight times longer than the Bible.
[00:00:32.567 --> 00:00:38.311]  And David Attenborough drags out tired Malthusian arguments for population control.
[00:00:39.192 --> 00:00:44.735]  Then, Dr. McCainlove and his sidekick twist the peace initiative to push for war.
[00:00:45.316 --> 00:00:48.538]  All that and more, tonight's InfoWars Nightly News.
[00:00:55.657 --> 00:00:57.918]  First up tonight, a report out of AFP.
[00:00:58.399 --> 00:01:01.401]  US won't wait long for Syria arms plan.
[00:01:01.741 --> 00:01:12.108]  The United States is waiting to see a Russian proposal to put Syria's chemical weapons stock under international control, but will not wait for long, top diplomat John Kerry said Tuesday.
[00:01:12.748 --> 00:01:24.637]  And Defence Secretary Chuck Hagel said while everyone was hopeful the move could be, quote, a real solution to the crisis, he warned the threat of credible, real US military action had to remain on the table.
[00:01:25.317 --> 00:01:30.661]  So, of course, Syria has agreed to the Russian plan to relinquish its chemical weapons.
[00:01:31.001 --> 00:01:35.484]  They've also agreed to sign the Chemical Weapons Convention in the last few hours.
[00:01:36.345 --> 00:01:41.609]  Putin, of course, has called on the US to withdraw their threat of military action for all of this to go ahead.
[00:01:42.169 --> 00:01:46.210]  And there's also a UN mandate being proposed by Britain and France.
[00:01:46.810 --> 00:01:54.811]  But was this whole process started by a gaffe made by John Kerry during his speech in London yesterday morning?
[00:01:55.551 --> 00:02:00.512]  Which he's now, by the way, trying to walk back and say the whole thing was his idea to begin with.
[00:02:01.172 --> 00:02:10.854]  Or, as InfoWars is asking in an article that I put together earlier today, is Assad being tricked into sacrificing Syria?
[00:02:11.821 --> 00:02:19.945]  Is President Bashar al-Assad being tricked into creating circumstances that will hand the Obama White House a justification for war?
[00:02:20.445 --> 00:02:26.928]  Or is the plan for serious chemical weapons to be destroyed a geopolitical masterstroke that will avert a regional conflict?
[00:02:27.288 --> 00:02:28.689]  So let's break this down, okay?
[00:02:29.309 --> 00:02:34.853]  Obama's case for attacking Syria, as we know, has completely fallen flat on its face.
[00:02:35.254 --> 00:02:39.016]  He's going to lose the Congressional vote, even if it happens.
[00:02:39.517 --> 00:02:45.461]  So Kerry comes out with this apparent gaffe, which he's saying now he planned all along, about Assad disarming.
[00:02:45.842 --> 00:02:47.203]  Russia seizes upon it.
[00:02:47.283 --> 00:02:52.006]  Everybody then praises Putin and Lavrov as geniuses, Peace Prize nominees.
[00:02:52.967 --> 00:03:01.831]  And of course this now gives Obama the chance to back down from the whole war rhetoric while maintaining his supposed credibility.
[00:03:02.271 --> 00:03:03.151]  But here's the fear.
[00:03:04.192 --> 00:03:14.536]  Both Saddam Hussein and Colonel Gaddafi were given insurances that they would not be attacked if they relinquished their weapons of mass destruction.
[00:03:14.996 --> 00:03:18.398]  And we all know what then happened to Iraq and Libya.
[00:03:19.158 --> 00:03:25.901]  So is this a ruse to disarm Syria before launching an even bigger attack later down the line?
[00:03:26.402 --> 00:03:35.806]  Is it a ruse to insert hundreds of weapons inspectors into the country infiltrated with spies to destabilize Assad's government?
[00:03:36.307 --> 00:03:44.611]  Is it a ruse to get Congress to authorize what they would otherwise have rejected by making it seem more reasonable?
[00:03:45.051 --> 00:03:48.232]  They were going to reject immediate airstrikes on Syria.
[00:03:48.552 --> 00:03:50.573]  All the whip counts showed that that would happen.
[00:03:51.133 --> 00:03:57.715]  But how about authorizing military action if Syria fails to disarm within, say, six months?
[00:03:58.255 --> 00:03:59.576]  Sounds more reasonable.
[00:04:00.316 --> 00:04:07.902]  Then the administration could claim that Syria hasn't disarmed, that there's a delay in the process, that they're not committed to the action.
[00:04:08.443 --> 00:04:19.952]  They could claim they've failed to adhere to a UN mandate, and at that point they'll have already secured the congressional authorization, which otherwise seems impossible.
[00:04:20.592 --> 00:04:30.943]  So this disarmament process could be part of a larger strategy to create a pretext for military intervention that Obama currently doesn't have.
[00:04:31.404 --> 00:04:37.650]  It could be used to back Assad into a corner out of which he cannot escape.
[00:04:38.231 --> 00:04:43.216]  Those are some of the fears being expressed in the lights of this chemical weapons proposal.
[00:04:43.677 --> 00:04:48.342]  And in a related story, McCain and Graham seize on peace initiative to push war.
[00:04:48.742 --> 00:04:58.032]  Senators John McCain and Lindsey Graham have seized upon a potential path to peace, Syria giving up its chemical weapons and managed to turn it into an avenue for war.
[00:04:58.553 --> 00:04:59.413]  Listen to what they said.
[00:05:00.054 --> 00:05:06.996]  Today's development should make members of Congress more willing to vote YES, McCain and Graham said in a joint statement.
[00:05:07.396 --> 00:05:17.380]  This will give the President additional leverage to press Russia and Syria to make good on their proposal to take the weapons of mass destruction out of Assad's hands.
[00:05:18.100 --> 00:05:27.383]  So, as I just described, to rescue a Congressional vote that seems doomed to failure, McCain and Graham, who of course have been pushing for this attack from the very start,
[00:05:28.143 --> 00:05:41.252]  They're trying to exploit this development to put pressure on Congress, not only to authorize the airstrikes, but as we've documented, which is in the actual resolution that Obama put forth, an open-ended war throughout the region.
[00:05:41.693 --> 00:05:43.274]  They're not going to get that done.
[00:05:43.334 --> 00:05:50.059]  They're not going to get the green light without making that resolution they put to Congress seem more reasonable.
[00:05:50.119 --> 00:05:54.842]  So they're going to say, if Syria disarms, if it doesn't disarm, this is what happens.
[00:05:54.882 --> 00:05:56.003]  It's more palatable
[00:05:56.543 --> 00:05:56.963]  We're good.
