[00:00:14.273 --> 00:00:17.055]  It's time for humanity to stand up in the info war!
[00:00:17.095 --> 00:00:17.955]  You wanna fight?
[00:00:17.975 --> 00:00:18.836]  You better believe it!
[00:00:40.722 --> 00:00:42.724]  Welcome to tonight's InfoWars Nightly News.
[00:00:42.805 --> 00:00:46.369]  I'm your host, Melissa Melton, and here's what we have coming up for you on this January 31st, 2013 edition.
[00:00:51.155 --> 00:00:58.559]  Tonight, high military alert across the Middle East after an Israeli attack inside Syria.
[00:00:58.760 --> 00:00:59.680]  Meanwhile, U.S.
[00:00:59.700 --> 00:01:07.184]  Special Forces are deployed to Jordan, and the Russian fleet in the Mediterranean is also on high alert.
[00:01:07.665 --> 00:01:15.189]  Then, a look at the mainstream media's continuing campaign to deceive the public and gut the Second Amendment.
[00:01:15.629 --> 00:01:19.272]  That's up next on the InfoWars Nightly News.
[00:01:23.991 --> 00:01:31.563]  We begin this evening with a very important development as high military alert is across the Middle East following an Israeli attack inside Syria.
[00:01:32.831 --> 00:01:35.714]  Syria has now moved troops to the Israel-occupied Golan Heights.
[00:01:35.774 --> 00:01:41.599]  The Lebanese army has reinforced its southern outposts, and Jordan has positioned troops on the Jordan River border with Israel.
[00:01:41.999 --> 00:01:44.602]  The Russian fleet in the Mediterranean is also on high alert.
[00:01:44.722 --> 00:01:44.942]  U.S.
[00:01:44.982 --> 00:01:54.911]  forces are now stationed in Turkey, and special forces have also been deployed, and American, German, and Dutch Patriot missile units are on the Turkish border, also on high preparedness.
[00:01:56.432 --> 00:02:01.718]  Basically, this Israeli attack is a desperate bid to save this failed Syria campaign.
[00:02:02.098 --> 00:02:10.306]  As Tony Cartolucci points out at Infowars.com, Israel has now conducted airstrikes inside Syria based on suspicions of chemical weapons transfers.
[00:02:11.307 --> 00:02:21.237]  And Israel has publicly warned that it would take military action to prevent the Syrian regime's chemical weapons falling into the hands of Hezbollah in Lebanon or, quote, global jihadists fighting inside Syria.
[00:02:21.557 --> 00:02:28.644]  But in reality, these global jihadists are, in fact, armed and funded by the U.S., Saudi Arabia and Israel since at least as early as 2007.
